noise,type,class,snr,auc,accuracy
babble,filtered,svm,-10,0.5665680473372781,0.5576923076923077
babble,filtered,svm,-5,0.6849112426035503,0.6538461538461539
babble,filtered,svm,0,0.8535502958579881,0.7884615384615384
babble,filtered,svm,5,0.9452662721893492,0.9038461538461539
babble,filtered,svm,10,0.9600591715976331,0.9230769230769231
babble,filtered,svm,-10,0.6893491124260355,0.6730769230769231
babble,filtered,svm,-5,0.8313609467455622,0.7692307692307693
babble,filtered,svm,0,0.9792899408284024,0.9230769230769231
babble,filtered,svm,5,0.9985207100591716,0.9807692307692307
babble,filtered,svm,10,0.9585798816568049,0.9423076923076923
babble,filtered,svm,-10,0.7292899408284024,0.7692307692307693
babble,filtered,svm,-5,0.8838757396449705,0.75
babble,filtered,svm,0,0.970414201183432,0.9423076923076923
babble,filtered,svm,5,0.9437869822485208,0.9423076923076923
babble,filtered,svm,10,0.9600591715976331,0.9615384615384616
babble,original,svm,-10,0.6893491124260355,0.5961538461538461
babble,original,svm,-5,0.8742603550295859,0.75
babble,original,svm,0,0.9541420118343196,0.9230769230769231
babble,original,svm,5,0.9571005917159763,0.9615384615384616
babble,original,svm,10,0.985207100591716,0.9615384615384616
babble,filtered,knn,-10,0.610207100591716,0.5769230769230769
babble,filtered,knn,-5,0.6804733727810651,0.6346153846153846
babble,filtered,knn,0,0.7855029585798816,0.7692307692307693
babble,filtered,knn,5,0.8920118343195266,0.7884615384615384
babble,filtered,knn,10,0.9689349112426036,0.8846153846153846
babble,filtered,knn,-10,0.6915680473372781,0.6153846153846154
babble,filtered,knn,-5,0.7892011834319528,0.7307692307692307
babble,filtered,knn,0,0.8624260355029586,0.7307692307692307
babble,filtered,knn,5,0.9689349112426036,0.9038461538461539
babble,filtered,knn,10,0.9911242603550295,0.9230769230769231
babble,filtered,knn,-10,0.6952662721893491,0.6923076923076923
babble,filtered,knn,-5,0.7884615384615384,0.6730769230769231
babble,filtered,knn,0,0.8431952662721893,0.7307692307692307
babble,filtered,knn,5,0.959319526627219,0.9038461538461539
babble,filtered,knn,10,0.9881656804733728,0.9423076923076923
babble,original,knn,-10,0.47559171597633143,0.4423076923076923
babble,original,knn,-5,0.7329881656804734,0.6538461538461539
babble,original,knn,0,0.9001479289940829,0.8076923076923077
babble,original,knn,5,0.9911242603550297,0.9615384615384616
babble,original,knn,10,0.9837278106508875,0.9615384615384616
babble,filtered,randomforest,-10,0.6568047337278107,0.5769230769230769
babble,filtered,randomforest,-5,0.7433431952662722,0.6923076923076923
babble,filtered,randomforest,0,0.7670118343195266,0.6730769230769231
babble,filtered,randomforest,5,0.9275147928994084,0.8269230769230769
babble,filtered,randomforest,10,0.955621301775148,0.9038461538461539
babble,filtered,randomforest,-10,0.7159763313609466,0.6153846153846154
babble,filtered,randomforest,-5,0.7965976331360948,0.75
babble,filtered,randomforest,0,0.8291420118343195,0.75
babble,filtered,randomforest,5,0.9526627218934911,0.9038461538461539
babble,filtered,randomforest,10,0.985207100591716,0.9615384615384616
babble,filtered,randomforest,-10,0.5695266272189349,0.5961538461538461
babble,filtered,randomforest,-5,0.82396449704142,0.7884615384615384
babble,filtered,randomforest,0,0.915680473372781,0.8076923076923077
babble,filtered,randomforest,5,0.9681952662721894,0.9230769230769231
babble,filtered,randomforest,10,0.985207100591716,0.9423076923076923
babble,original,randomforest,-10,0.6420118343195266,0.6346153846153846
babble,original,randomforest,-5,0.8261834319526628,0.7307692307692307
babble,original,randomforest,0,0.9223372781065089,0.8653846153846154
babble,original,randomforest,5,0.9689349112426036,0.9038461538461539
babble,original,randomforest,10,0.9778106508875739,0.9615384615384616

