@RELATION trained_models/babble/filtered/mmse/knn/snr_10/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.068966,0.000894,3.068354,0.150435,0.184529,0.456048,0.009322,0.113956,-29.899523,2.545801,0.207969,0.337877,0.227410,0.278016,0.148302,0.181839,-0.095026,0.057269,0.040580,0.014447,-0.043983,0.015652,0.005133,0.035604,0.010259,0.056188,0.008898,0.045908,0.002483,0.004304,0.016814,0.028503,0.002765,0.024639,0.000250,-0.000018,0.006253,0.000183,-0.000086,0.002227,0.000044,0.000735,-0.003704,-0.018961,-0.012368,0.007323,-0.010112,0.004688,0.002824,-0.000953,-0.002581,0.006465,-0.001808,-0.004548,-0.001917,0.000054,0.000025,-0.000455,0.000023,-0.000743,0.000011,0.000089,0.000138,0.000203,0.000051,-0.000646,0.000031,-0.000243,0.063859,0.001892,0.201038,0.075433,0.034103,0.478370,0.004813,0.133533,1.365576,0.631222,0.543487,0.425207,0.378457,0.370007,0.317986,0.306162,0.277022,0.248453,0.276848,0.249554,0.229354,0.016383,0.010213,0.027649,0.012470,0.033127,0.010219,0.035290,0.004152,0.004511,0.016046,0.021179,0.004050,0.009868,0.065200,0.002523,0.273150,0.067238,0.035784,0.500423,0.005506,0.146928,1.208095,0.573127,0.569089,0.442850,0.451144,0.375952,0.352015,0.335139,0.293573,0.264673,0.300199,0.285419,0.251130,0.021901,0.013846,0.037261,0.015437,0.045230,0.014173,0.043195,0.005029,0.005630,0.022268,0.026134,0.005365,0.012794,carolina
0.044923,0.001152,2.977292,0.128417,0.180821,0.274486,0.008559,0.055181,-29.442944,2.367114,0.164662,0.410888,0.223810,0.381511,0.082568,0.075669,0.031006,-0.005513,-0.000920,0.045323,-0.017140,0.015226,0.004203,0.032463,0.010478,0.055079,0.009593,0.051345,0.003083,0.006016,0.017579,0.032861,0.004143,0.025996,-0.000082,-0.000002,0.000577,0.000074,0.000187,0.000348,0.000047,-0.000472,-0.020499,0.020079,0.003663,-0.012664,0.000066,-0.007147,0.000585,0.004160,-0.003124,-0.007697,0.002239,0.003216,0.005758,0.000326,-0.000015,0.000194,0.000031,-0.000377,0.000030,0.000138,-0.000033,0.000018,0.000201,0.000225,0.000007,-0.000002,0.025782,0.002407,0.271052,0.039425,0.034555,0.246238,0.004456,0.064531,1.944705,0.814697,0.733969,0.339274,0.384743,0.378175,0.308121,0.269908,0.256828,0.218933,0.233537,0.241937,0.232070,0.017849,0.007282,0.019589,0.011457,0.038508,0.010615,0.047149,0.006347,0.010326,0.015094,0.024423,0.006540,0.012479,0.028848,0.002936,0.364655,0.042640,0.035485,0.277163,0.005475,0.083165,1.405431,0.637028,0.621837,0.375123,0.416155,0.384855,0.349158,0.283432,0.273678,0.265880,0.271726,0.301760,0.250748,0.026172,0.008708,0.026097,0.015396,0.044166,0.015009,0.056090,0.007719,0.014460,0.020362,0.033687,0.009942,0.014255,carolina
0.056747,0.001352,3.039990,0.139769,0.182760,0.389964,0.008823,0.082568,-29.991107,2.317309,0.267023,0.340851,0.103501,0.250805,0.120527,0.173691,0.024304,0.077750,0.021292,0.085749,-0.059648,0.013247,0.004430,0.035172,0.009848,0.055961,0.007795,0.051050,0.002403,0.005081,0.016684,0.030127,0.004222,0.024796,0.000322,-0.000000,0.003118,0.001901,0.001373,0.002257,0.000024,0.000027,-0.002325,-0.001490,0.001995,-0.001519,-0.000829,0.002446,0.000975,0.000636,-0.000016,-0.002228,0.000197,0.000319,0.001278,0.000038,0.000007,-0.000412,0.000062,0.000360,-0.000016,-0.000465,0.000000,-0.000027,0.000086,-0.000165,-0.000007,0.000037,0.044568,0.004160,0.233171,0.062675,0.040178,0.372587,0.004650,0.105232,2.067491,0.963257,0.610246,0.462132,0.450073,0.342353,0.309184,0.305649,0.242246,0.240897,0.245085,0.237817,0.229998,0.012759,0.008817,0.021775,0.010076,0.038257,0.009170,0.041216,0.004311,0.007022,0.014991,0.023754,0.005322,0.011123,0.046180,0.004259,0.318603,0.054565,0.032974,0.394757,0.005791,0.118067,1.609524,0.764584,0.560721,0.470156,0.427089,0.369395,0.361630,0.282485,0.276421,0.271494,0.255262,0.302052,0.290313,0.017672,0.012189,0.030626,0.013981,0.041601,0.012190,0.052112,0.006319,0.009377,0.020026,0.030236,0.006661,0.011269,carolina
0.069805,0.002078,3.064319,0.157574,0.191453,0.445154,0.009325,0.115009,-28.513221,2.437400,0.180043,0.431043,0.180559,0.331033,0.115811,0.121410,-0.029563,0.104994,0.017251,0.011306,-0.046078,0.016768,0.005686,0.035878,0.009460,0.059828,0.006598,0.044604,0.002369,0.006429,0.015533,0.025535,0.003352,0.025767,0.000091,-0.000002,-0.001527,0.000073,-0.000141,0.000936,0.000134,-0.000109,-0.011720,-0.007888,0.015372,0.004064,0.003442,0.005892,-0.003797,-0.003670,-0.001780,0.000372,-0.005245,-0.003612,-0.001039,-0.000037,-0.000056,-0.000494,0.000058,0.001086,-0.000016,0.000013,-0.000002,-0.000171,-0.000006,-0.000253,-0.000033,0.000122,0.064958,0.004455,0.156798,0.082084,0.041831,0.460781,0.006768,0.151226,1.673013,0.826761,0.671770,0.440167,0.358842,0.283758,0.293305,0.275114,0.302066,0.257261,0.246280,0.220250,0.272692,0.020719,0.011523,0.026330,0.009655,0.041582,0.006473,0.037356,0.003877,0.011717,0.015877,0.017287,0.003710,0.011113,0.069686,0.005838,0.230920,0.075054,0.036894,0.510648,0.008209,0.175381,1.503424,0.736338,0.614820,0.435521,0.409992,0.279719,0.375717,0.316455,0.343463,0.292810,0.263108,0.252875,0.279293,0.024056,0.015085,0.032895,0.013143,0.054924,0.009404,0.047843,0.005008,0.015870,0.020251,0.024389,0.004475,0.013521,carolina
0.046239,0.000919,3.019580,0.131539,0.184869,0.256949,0.008891,0.056969,-30.134961,2.435199,0.125544,0.393012,0.174377,0.361572,0.094134,0.209749,-0.000768,0.020011,0.022725,0.025103,0.000015,0.013944,0.004156,0.039469,0.008448,0.058419,0.007722,0.047602,0.002675,0.005129,0.017417,0.033746,0.004860,0.026300,0.000073,-0.000001,0.005417,0.000174,-0.000010,0.001161,0.000057,0.000036,-0.002240,-0.000267,-0.002881,0.003563,-0.002516,-0.004908,-0.003433,-0.000066,0.000012,-0.003825,-0.003415,-0.001683,-0.000626,0.000314,0.000008,0.000074,0.000044,-0.000432,-0.000009,0.000102,0.000010,0.000004,-0.000079,0.000085,0.000003,-0.000070,0.026902,0.001877,0.227681,0.042913,0.034528,0.203977,0.004453,0.063552,1.863239,0.748871,0.750296,0.428938,0.321315,0.403308,0.326378,0.257603,0.290484,0.227342,0.234111,0.238634,0.210938,0.013110,0.006032,0.029485,0.008738,0.035911,0.010736,0.037208,0.004242,0.007024,0.014649,0.026473,0.008459,0.010155,0.034045,0.002220,0.312514,0.048138,0.036992,0.263173,0.005937,0.084168,1.591048,0.651356,0.679523,0.426282,0.338417,0.382663,0.354331,0.281980,0.310784,0.276975,0.277872,0.293605,0.256158,0.018416,0.006552,0.036699,0.011091,0.042818,0.014353,0.050815,0.005314,0.008794,0.018787,0.034528,0.011069,0.012597,carolina
0.052019,0.001193,3.051381,0.133188,0.186745,0.308210,0.009921,0.067586,-29.116527,2.394031,0.203058,0.385025,0.157581,0.371009,0.129456,0.088246,0.020997,0.035254,0.024087,0.050874,-0.072819,0.014334,0.002844,0.040665,0.010711,0.050701,0.008120,0.050834,0.004264,0.005296,0.015272,0.035133,0.003508,0.026138,-0.000113,0.000008,-0.001644,0.000237,0.000494,-0.000801,0.000124,-0.000073,0.010876,-0.000341,0.001610,0.008542,0.001333,0.000670,0.000053,0.001514,0.006268,0.000959,0.001319,-0.000790,-0.002861,0.000042,-0.000016,-0.000128,0.000004,0.000058,-0.000284,-0.000231,0.000001,-0.000086,-0.000127,0.000843,0.000001,0.000075,0.034987,0.002153,0.202074,0.044964,0.033540,0.297844,0.004897,0.079739,1.533931,0.789418,0.697130,0.459862,0.414054,0.410891,0.304201,0.291591,0.312922,0.306034,0.266122,0.259161,0.241163,0.014020,0.003994,0.028432,0.013047,0.035820,0.011757,0.044724,0.009512,0.005698,0.014357,0.026513,0.005687,0.011688,0.035260,0.002498,0.275941,0.042457,0.036110,0.317813,0.005879,0.092462,1.283263,0.685745,0.620821,0.439129,0.423025,0.442791,0.367269,0.330380,0.345709,0.353581,0.319636,0.269063,0.254476,0.019415,0.005206,0.036550,0.018388,0.047805,0.015897,0.056480,0.012953,0.007359,0.020526,0.034650,0.007574,0.012905,carolina
0.050889,0.000920,3.032330,0.130046,0.180846,0.313902,0.009027,0.062033,-29.998674,2.387617,0.090664,0.367655,0.238729,0.313687,0.120139,0.068297,0.058150,0.045923,-0.040242,0.038174,-0.001523,0.013840,0.005719,0.035295,0.007304,0.049367,0.008724,0.052233,0.002696,0.006423,0.014721,0.036857,0.003393,0.025502,0.001003,-0.000056,0.010086,0.001343,0.000953,0.005736,0.000045,0.001452,-0.061392,0.030876,0.019586,-0.000194,-0.000693,-0.004200,0.005196,-0.007687,-0.000843,-0.005945,-0.009105,-0.003397,0.001305,0.000442,-0.000205,0.000098,0.000043,0.000253,0.000196,0.000140,-0.000011,-0.000066,0.000120,0.000186,-0.000042,0.000098,0.028651,0.002075,0.252427,0.043145,0.035669,0.276309,0.004802,0.059558,1.906068,0.785641,0.593516,0.408221,0.382553,0.363748,0.345090,0.359786,0.274288,0.263204,0.256455,0.234716,0.243317,0.015047,0.009572,0.023448,0.007930,0.034766,0.008966,0.051295,0.005783,0.008866,0.013288,0.028127,0.004273,0.013024,0.025296,0.002617,0.355066,0.046531,0.037936,0.269443,0.006369,0.060489,1.573590,0.631869,0.546259,0.412861,0.373700,0.430486,0.388397,0.396201,0.319822,0.325867,0.273852,0.266998,0.279522,0.019376,0.011610,0.028163,0.011555,0.041964,0.011479,0.067221,0.007179,0.010256,0.018349,0.033032,0.005718,0.014711,carolina
0.045358,0.001758,2.994032,0.124044,0.178124,0.285355,0.008729,0.059038,-29.769362,2.263685,0.154884,0.232286,0.066755,0.368859,0.177978,0.118275,-0.055115,0.000627,0.017727,0.065627,-0.024242,0.016618,0.004745,0.042800,0.010458,0.056465,0.010029,0.037899,0.004425,0.004339,0.014364,0.028594,0.004244,0.024941,-0.000903,-0.000104,0.012635,-0.000243,-0.000581,0.002930,0.000149,0.000082,-0.006870,0.002846,0.009555,-0.007987,0.001474,-0.011317,-0.002307,0.004374,-0.004979,-0.004259,-0.003684,0.001518,0.000877,-0.000162,-0.000009,0.000121,0.000032,0.000152,-0.000142,0.000240,-0.000025,0.000077,-0.000256,-0.000096,0.000050,-0.000014,0.026379,0.004305,0.420470,0.034585,0.031011,0.271636,0.004638,0.057792,2.444341,0.789272,0.754707,0.498902,0.450736,0.311556,0.312910,0.302528,0.302980,0.281418,0.294435,0.236590,0.268967,0.015242,0.006240,0.033880,0.011480,0.040168,0.011802,0.031222,0.007011,0.004331,0.012629,0.022492,0.007638,0.010715,0.027385,0.004513,0.581036,0.035881,0.032562,0.287815,0.005825,0.065324,1.653140,0.565314,0.603323,0.464827,0.437641,0.326936,0.340422,0.327827,0.334749,0.316699,0.286520,0.272690,0.305390,0.021775,0.007692,0.042038,0.015058,0.041101,0.015668,0.040396,0.008009,0.005133,0.018979,0.027293,0.010619,0.011597,carolina
0.058190,0.001159,2.999298,0.135079,0.176830,0.382821,0.008500,0.087795,-30.113862,2.168640,0.013693,0.316388,0.060840,0.328281,0.044716,0.103370,-0.004189,0.080427,0.005086,0.035389,0.015334,0.013328,0.005045,0.040893,0.008265,0.040267,0.009848,0.048144,0.002627,0.006642,0.015635,0.035065,0.004250,0.024213,0.000068,-0.000004,0.000204,0.000474,0.000633,0.003570,0.000047,0.000254,-0.011558,-0.010555,0.004313,0.004675,0.005022,0.006259,-0.004401,0.002200,0.001689,0.001879,0.001180,-0.002209,-0.004735,-0.000016,-0.000024,-0.000049,0.000022,-0.000023,-0.000243,-0.000165,-0.000059,-0.000005,-0.000083,-0.000033,-0.000016,-0.000023,0.049384,0.002905,0.342925,0.059179,0.034189,0.401403,0.005379,0.104527,2.481935,0.996870,0.753969,0.402795,0.434276,0.383700,0.336370,0.321079,0.302715,0.239722,0.256927,0.216614,0.256664,0.012186,0.006673,0.029996,0.008282,0.035865,0.011235,0.042680,0.004307,0.007887,0.013772,0.028990,0.005523,0.012556,0.047422,0.003416,0.485425,0.059070,0.033533,0.405184,0.006528,0.112632,1.848759,0.704441,0.692059,0.454328,0.463290,0.407159,0.368568,0.312472,0.353443,0.315914,0.264530,0.282278,0.288456,0.017201,0.008042,0.033966,0.010939,0.041471,0.014559,0.049760,0.005378,0.010079,0.018870,0.036167,0.007225,0.013572,carolina
0.054555,0.001521,3.035099,0.138476,0.186619,0.345907,0.008333,0.074927,-28.702050,2.197769,0.235292,0.483609,0.041625,0.397233,0.159559,0.203863,-0.035246,0.030727,0.003351,0.028023,0.002023,0.013172,0.004161,0.035427,0.009231,0.056162,0.007690,0.048555,0.002043,0.003954,0.012969,0.037171,0.003443,0.025386,0.000086,-0.000000,-0.000480,0.000260,0.000412,-0.002497,0.000030,-0.000082,-0.001973,0.011073,0.001944,-0.007404,-0.003780,-0.001394,-0.001892,-0.004047,0.002181,-0.004161,0.008023,-0.002508,0.005719,-0.000012,0.000001,-0.000385,-0.000003,-0.000318,-0.000011,0.000337,0.000023,0.000026,0.000005,0.000625,-0.000030,-0.000039,0.032119,0.002612,0.210090,0.044318,0.033854,0.319846,0.004477,0.081043,1.672654,0.887930,0.577738,0.436381,0.328726,0.377546,0.298723,0.336242,0.276262,0.231893,0.279922,0.250086,0.233236,0.016112,0.008432,0.024309,0.008520,0.037111,0.007897,0.040743,0.002927,0.004803,0.011289,0.026042,0.005009,0.011129,0.034738,0.003210,0.289620,0.046478,0.037683,0.344965,0.006041,0.101905,1.505677,0.770535,0.632878,0.444965,0.340050,0.422606,0.335995,0.345976,0.326535,0.262320,0.310221,0.280127,0.267922,0.022776,0.011282,0.032855,0.012158,0.046675,0.010730,0.047210,0.003434,0.006062,0.015296,0.037631,0.005951,0.013683,carolina
