@RELATION trained_models/babble/filtered/mmse/randomforest/snr_-5/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.081388,0.012395,3.047596,0.152763,0.176565,0.528536,0.013982,0.127169,-25.541042,2.015028,-0.559279,-0.163839,0.001983,-0.138813,0.322818,0.287460,-0.257557,-0.049189,-0.057062,-0.066787,-0.040652,0.013625,0.010837,0.025767,0.021772,0.021315,0.016586,0.014334,0.006316,0.006233,0.011610,0.014350,0.005605,0.020688,0.000250,-0.000070,0.002571,0.000242,0.000142,0.001349,0.000043,0.000363,-0.031319,-0.017275,-0.008169,0.011394,-0.002721,-0.002699,0.005055,0.001503,-0.006644,0.003591,-0.001792,0.001370,0.004810,0.000064,-0.000006,0.000070,0.000050,0.000002,0.000062,0.000350,0.000136,0.000145,-0.000414,-0.001163,0.000023,-0.000235,0.074703,0.009221,0.213091,0.086730,0.042067,0.564725,0.009938,0.135656,1.701164,0.792412,0.875644,0.484997,0.540830,0.550665,0.466791,0.442654,0.390145,0.321647,0.385584,0.304315,0.325217,0.022696,0.018754,0.029252,0.028245,0.026539,0.027375,0.016253,0.009714,0.008240,0.017488,0.015678,0.009137,0.012802,0.079947,0.011469,0.300086,0.083833,0.047059,0.634090,0.011674,0.153771,1.719163,0.784388,0.953434,0.534884,0.625201,0.525743,0.493169,0.440239,0.424361,0.360595,0.373646,0.336987,0.343200,0.028771,0.026511,0.036733,0.034679,0.034962,0.037473,0.020875,0.012653,0.009893,0.019457,0.014444,0.012132,0.016704,carolina
0.075998,0.011747,3.027361,0.151598,0.175906,0.519803,0.011687,0.128802,-26.555410,1.936765,-0.416982,0.001928,-0.086788,0.114529,0.333758,0.086574,-0.053926,-0.034997,-0.016660,0.068798,-0.036713,0.016493,0.007767,0.020319,0.010763,0.020952,0.019636,0.022136,0.007143,0.008925,0.011143,0.016126,0.006767,0.018996,0.001438,0.000003,-0.000338,0.001960,0.000064,0.020588,0.000022,0.004047,-0.018474,0.006185,0.006783,-0.000477,0.000062,-0.000217,-0.001578,-0.000105,0.002278,-0.003950,0.002193,0.006168,-0.000325,-0.000195,-0.000401,-0.000299,-0.000026,-0.000316,-0.000014,-0.000059,-0.000017,-0.000027,0.000076,-0.000028,-0.000045,-0.000064,0.062650,0.014063,0.231757,0.076845,0.043346,0.532220,0.005653,0.131555,2.239423,0.718515,1.218649,0.581716,0.589688,0.574922,0.491299,0.373901,0.376643,0.326403,0.332167,0.339809,0.321694,0.023008,0.014492,0.021797,0.013177,0.021600,0.022563,0.029262,0.012825,0.015720,0.012131,0.018184,0.010394,0.009304,0.073517,0.014759,0.344414,0.079809,0.045619,0.631518,0.006965,0.157866,1.620945,0.722945,1.114882,0.533999,0.603740,0.545981,0.513323,0.396838,0.370513,0.343478,0.373102,0.367656,0.329952,0.028590,0.018184,0.025865,0.018789,0.024905,0.025943,0.036598,0.017443,0.022004,0.014940,0.023803,0.014402,0.013704,carolina
0.081252,0.005336,3.014177,0.155944,0.174757,0.609537,0.012890,0.148838,-27.277477,1.875077,-0.242119,-0.207588,-0.178432,0.109072,0.230754,0.213518,-0.055900,-0.077009,-0.049601,0.032148,-0.162980,0.017371,0.012059,0.026628,0.017420,0.020213,0.009610,0.021477,0.006294,0.008506,0.012442,0.012370,0.007603,0.021072,0.001166,0.000001,0.000094,0.002029,0.000961,0.006821,0.000022,0.004401,0.017443,-0.007443,0.015758,-0.005879,-0.001019,0.001518,-0.010570,0.000472,-0.004535,0.000910,0.001554,-0.000664,0.001025,0.000020,0.000001,-0.000105,0.000040,0.000054,0.000099,-0.001434,0.000006,0.000008,0.000071,0.000152,-0.000005,-0.000227,0.066963,0.005259,0.246069,0.085327,0.045711,0.562076,0.009317,0.149208,2.089701,0.922676,1.027493,0.629644,0.626749,0.480669,0.464906,0.488662,0.392025,0.326367,0.349428,0.326946,0.246377,0.024076,0.022465,0.027595,0.027007,0.024738,0.014907,0.032835,0.014602,0.013846,0.015776,0.014014,0.010665,0.013693,0.073076,0.005989,0.344205,0.081700,0.048695,0.626290,0.010580,0.158421,1.941154,0.775448,0.905223,0.630207,0.605250,0.459138,0.421992,0.475138,0.438113,0.390776,0.364802,0.359393,0.282111,0.025721,0.028877,0.037070,0.035726,0.032568,0.020140,0.036397,0.020985,0.017719,0.020832,0.019810,0.012442,0.017261,carolina
0.099025,0.021236,3.000541,0.181419,0.190282,0.673314,0.012331,0.148503,-25.877187,2.095065,-0.518279,-0.046238,-0.194833,0.072895,0.288496,0.104806,-0.030288,0.075156,-0.039855,-0.085746,-0.179024,0.023435,0.011271,0.020073,0.011989,0.017200,0.005767,0.015179,0.005294,0.009269,0.014038,0.017596,0.007835,0.019358,0.000073,-0.000122,0.010943,0.000380,0.000201,0.004869,0.000102,0.000608,-0.041062,-0.018125,0.031705,0.000401,0.002617,0.013627,-0.006105,-0.002457,-0.003862,-0.002194,-0.000413,-0.001881,-0.002047,0.000073,-0.000218,0.000392,-0.000051,0.000329,0.000008,-0.000007,-0.000025,-0.000039,-0.000022,0.000140,-0.000243,0.000054,0.087186,0.023303,0.288985,0.101100,0.043139,0.691729,0.009203,0.160788,1.831396,0.756942,1.096850,0.593907,0.644212,0.466724,0.458796,0.409467,0.421740,0.410447,0.308513,0.296569,0.334387,0.036000,0.020830,0.022960,0.017257,0.024250,0.007348,0.021384,0.009628,0.016660,0.017268,0.019169,0.011577,0.012244,0.088146,0.026113,0.417380,0.089177,0.041262,0.740939,0.009756,0.174735,1.887310,0.767980,0.944942,0.552671,0.613021,0.472126,0.491848,0.428096,0.392589,0.396370,0.332780,0.337933,0.324287,0.042517,0.025957,0.028993,0.024300,0.031820,0.008986,0.028379,0.011125,0.021954,0.022587,0.023508,0.016067,0.016454,carolina
0.095567,0.009335,3.070054,0.183306,0.195963,0.680534,0.010424,0.160127,-26.514451,1.931959,-0.456799,-0.026864,-0.166263,0.243446,0.141157,0.217645,0.046676,-0.001466,0.018641,-0.046762,-0.036222,0.014483,0.008315,0.018695,0.011118,0.013534,0.011129,0.014740,0.005195,0.012083,0.016864,0.017937,0.011346,0.018703,0.000944,0.000003,-0.001940,0.000489,-0.000330,0.008565,0.000018,0.002069,-0.003651,0.011589,-0.002579,0.008084,0.000399,-0.010036,-0.004115,-0.001731,-0.000326,-0.000941,-0.001840,-0.000849,-0.005329,0.000089,-0.000133,-0.000378,-0.000004,-0.000434,-0.000063,0.000068,0.000004,0.000014,-0.000275,0.000010,0.000012,-0.000135,0.068961,0.010612,0.213163,0.080261,0.041717,0.603145,0.005803,0.141330,1.816436,0.862826,1.042363,0.503765,0.525416,0.625336,0.505263,0.384097,0.372020,0.321395,0.328021,0.307333,0.303016,0.023864,0.015929,0.021757,0.016587,0.015206,0.020932,0.011196,0.010142,0.021399,0.025383,0.026571,0.022169,0.010528,0.080634,0.010415,0.310900,0.085662,0.043438,0.694243,0.007377,0.172740,1.567853,0.837662,0.852548,0.545760,0.514473,0.569438,0.476140,0.432043,0.386282,0.365782,0.355720,0.344698,0.321908,0.033059,0.020917,0.027573,0.017757,0.017937,0.025288,0.016182,0.011085,0.026500,0.033646,0.034483,0.028198,0.014864,carolina
0.078480,0.016368,3.061867,0.165687,0.193477,0.575906,0.012052,0.126933,-25.834723,1.842645,-0.567308,-0.023551,0.049096,0.270722,0.226269,0.080174,-0.138622,0.018769,-0.032227,0.010801,-0.147517,0.012503,0.004905,0.025219,0.019879,0.016718,0.012166,0.017479,0.008843,0.008029,0.013225,0.017969,0.005897,0.020400,0.000404,-0.000009,0.001454,0.001148,0.000974,0.002970,0.000048,0.000027,0.008499,-0.012201,-0.015042,0.003721,-0.003124,0.003160,0.011659,-0.002822,0.008513,-0.002231,0.005084,0.004643,-0.008981,-0.000049,0.000021,-0.000560,-0.000282,-0.000386,-0.000050,0.000014,-0.000001,-0.000026,-0.000058,0.000730,0.000029,-0.000020,0.051477,0.015368,0.214930,0.078704,0.046243,0.521230,0.008352,0.110612,1.852165,0.742204,1.195159,0.590149,0.540187,0.585890,0.460497,0.432020,0.342685,0.325354,0.332280,0.291472,0.300250,0.016840,0.006763,0.030528,0.035412,0.015156,0.019883,0.027099,0.017905,0.013332,0.016110,0.019170,0.009470,0.013152,0.055618,0.016044,0.308387,0.080307,0.051553,0.584279,0.009802,0.121446,1.622963,0.757975,1.001208,0.530628,0.548606,0.579222,0.491089,0.422093,0.353469,0.356783,0.336173,0.338737,0.315865,0.022953,0.008684,0.034131,0.043572,0.018272,0.026884,0.037114,0.024350,0.017078,0.021775,0.025666,0.011097,0.017530,carolina
0.089583,0.009271,3.041720,0.171228,0.186684,0.681760,0.011906,0.144138,-26.647939,1.876127,-0.493213,0.053601,0.065825,0.090089,0.235952,-0.047848,0.054498,0.022146,-0.054684,0.011249,-0.088468,0.011063,0.010145,0.013153,0.010149,0.017111,0.009214,0.016118,0.006302,0.007598,0.013390,0.022593,0.007136,0.017793,0.000395,0.000142,0.002329,0.001639,0.000765,0.002935,0.000049,0.001307,-0.032437,0.029397,0.019727,0.005187,-0.002423,-0.015709,0.000135,-0.012338,-0.002992,-0.010153,-0.007062,-0.005298,0.007351,-0.000023,-0.000125,0.000010,0.000089,0.002194,0.000180,-0.000334,-0.000043,-0.000045,-0.000015,-0.000048,-0.000033,0.000515,0.068726,0.010667,0.220654,0.084663,0.045219,0.645276,0.009802,0.131607,1.913864,0.900877,0.935751,0.523408,0.617429,0.565789,0.450245,0.511761,0.403471,0.349382,0.284175,0.293885,0.378325,0.013979,0.018284,0.015414,0.016586,0.026668,0.015962,0.015758,0.012798,0.012189,0.017250,0.030079,0.012749,0.012767,0.071953,0.011402,0.302272,0.083610,0.049189,0.651301,0.013097,0.140357,1.657978,0.758185,0.865397,0.518785,0.568693,0.545318,0.506946,0.505204,0.476202,0.382751,0.319092,0.330589,0.393036,0.017161,0.019487,0.020039,0.023264,0.030282,0.021009,0.020679,0.017117,0.015608,0.022498,0.034970,0.015213,0.016875,carolina
0.075281,0.013288,2.994534,0.156123,0.184227,0.566377,0.010977,0.117740,-26.087379,1.706602,-0.247482,-0.068284,-0.213734,0.261812,0.224988,0.104687,0.043762,-0.045844,-0.022561,0.030016,-0.148724,0.014759,0.009048,0.023803,0.016630,0.027444,0.011188,0.017245,0.006138,0.004688,0.010718,0.014887,0.007051,0.018920,-0.001788,-0.000158,0.007367,-0.001728,-0.001444,0.000184,0.000092,-0.001279,-0.020288,0.000282,0.010112,-0.009305,0.007442,-0.012642,-0.002638,0.011993,-0.003394,0.000247,-0.004002,0.001424,0.003610,-0.000168,0.000065,0.000172,-0.000007,0.000040,-0.000039,0.000045,-0.000022,-0.000031,-0.000245,-0.000114,0.000058,-0.000047,0.046355,0.015608,0.267890,0.061501,0.040346,0.481869,0.006034,0.086721,2.063752,0.782973,1.117237,0.566546,0.554415,0.521403,0.467280,0.418591,0.361557,0.361415,0.366767,0.282913,0.281130,0.020981,0.014875,0.026969,0.022855,0.032294,0.014477,0.021233,0.011331,0.005355,0.013454,0.016125,0.010791,0.012005,0.054748,0.017574,0.364011,0.071263,0.042095,0.552428,0.007100,0.113416,1.637656,0.815950,0.824220,0.530890,0.534429,0.610840,0.480442,0.422897,0.356849,0.352718,0.388037,0.298470,0.331186,0.026746,0.019676,0.029878,0.027785,0.036858,0.018898,0.025134,0.014098,0.007203,0.016574,0.019844,0.013599,0.014415,carolina
0.074474,0.013623,3.040848,0.152604,0.179031,0.523555,0.011832,0.118757,-26.093817,1.990411,-0.392506,0.024644,-0.127465,0.210101,0.155651,0.130582,-0.027319,0.005212,-0.154669,-0.111380,-0.099245,0.016667,0.010429,0.029676,0.012239,0.018504,0.011877,0.014272,0.006342,0.011471,0.013874,0.019836,0.006780,0.021367,-0.000413,0.000028,0.001528,-0.000260,0.000155,-0.007804,0.000098,-0.001125,0.025002,0.002432,-0.003826,-0.000700,-0.006499,0.002932,-0.004261,0.001682,-0.000430,-0.004350,-0.003586,-0.004148,-0.008675,0.000193,0.000207,0.001271,0.000031,-0.000122,-0.000042,-0.000357,0.000041,-0.000026,-0.000085,-0.000269,0.000004,0.000280,0.064801,0.014959,0.214790,0.077638,0.038018,0.576581,0.007974,0.122475,2.293268,0.848551,0.885583,0.553361,0.690358,0.476593,0.428068,0.444405,0.432995,0.308084,0.338065,0.282826,0.323822,0.017714,0.016410,0.036845,0.017027,0.027163,0.017903,0.018043,0.014280,0.018584,0.018054,0.020274,0.010698,0.012265,0.073438,0.013382,0.304155,0.078153,0.040083,0.672817,0.009958,0.141873,1.691343,0.780251,0.861244,0.529521,0.592492,0.489479,0.433655,0.391421,0.455379,0.331515,0.347734,0.325186,0.314448,0.022183,0.022193,0.042967,0.019892,0.035335,0.018300,0.022579,0.018669,0.022896,0.023106,0.024584,0.013914,0.016934,carolina
0.085068,0.020301,3.042937,0.171591,0.194044,0.588778,0.010173,0.128684,-25.200080,1.752248,-0.339276,0.095558,-0.212257,0.245624,0.274489,0.089441,-0.075329,-0.129942,-0.101672,-0.019409,-0.105715,0.015234,0.004697,0.025186,0.016406,0.019122,0.012956,0.017504,0.007058,0.005843,0.009984,0.021214,0.007401,0.019728,0.000014,0.000001,-0.002062,-0.000149,-0.000077,-0.000059,0.000096,-0.000045,0.001132,0.001605,0.002126,-0.002216,-0.000941,0.009516,-0.001778,-0.009705,0.002566,0.001549,0.008263,0.006894,0.002349,-0.000433,-0.000387,-0.001081,-0.000012,0.000282,-0.000004,0.000192,-0.000049,0.000480,0.000057,0.000709,-0.000030,-0.000092,0.066252,0.022081,0.223767,0.078109,0.041607,0.576394,0.005868,0.122144,1.516538,0.779100,0.854655,0.571544,0.548040,0.529128,0.484303,0.493139,0.424794,0.352066,0.355935,0.328986,0.324665,0.018211,0.008429,0.031283,0.019658,0.022809,0.019131,0.020310,0.013312,0.008190,0.012879,0.021565,0.012109,0.011623,0.075330,0.025724,0.321770,0.083153,0.049085,0.685168,0.008099,0.154211,1.607380,0.904123,0.878578,0.477819,0.537535,0.596296,0.467223,0.469570,0.434581,0.360690,0.366936,0.354582,0.347478,0.024692,0.011411,0.036108,0.024521,0.027538,0.024447,0.024897,0.017395,0.009580,0.018553,0.024316,0.011982,0.014537,carolina
