@RELATION trained_models/babble/filtered/mmse/svm/snr_0/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.085481,0.004560,3.054602,0.156079,0.177180,0.556333,0.013235,0.137087,-27.044972,2.038185,-0.539668,0.088888,0.216448,0.008974,0.298711,0.241742,-0.171261,0.008008,0.012300,0.007212,-0.082965,0.012840,0.008835,0.024376,0.015425,0.025319,0.015214,0.019057,0.005480,0.006615,0.012565,0.015124,0.004857,0.019456,0.000313,-0.000037,0.004283,0.000240,0.000049,0.001450,0.000043,0.000517,-0.021361,-0.020209,-0.011131,0.013447,-0.003623,0.000664,0.003302,0.000852,-0.005440,0.002627,-0.002155,-0.000513,0.001384,0.000039,0.000002,-0.000078,0.000044,-0.000223,0.000029,0.000226,0.000134,0.000143,-0.000261,-0.000970,0.000023,-0.000214,0.077129,0.004291,0.195590,0.087793,0.038154,0.592134,0.009620,0.143620,1.717155,0.810539,0.851491,0.527382,0.520836,0.535579,0.444310,0.446283,0.374421,0.319094,0.364975,0.322554,0.316043,0.020057,0.017454,0.027077,0.021395,0.026616,0.026319,0.019741,0.008409,0.010117,0.017401,0.015914,0.007770,0.011588,0.079839,0.005583,0.256022,0.082025,0.042248,0.648329,0.011312,0.155535,1.606369,0.775942,0.897228,0.553714,0.605655,0.500365,0.479767,0.435106,0.413948,0.343924,0.355051,0.339772,0.336520,0.026073,0.025265,0.033434,0.025185,0.034333,0.036288,0.025806,0.010804,0.013396,0.019095,0.015233,0.010287,0.015278,carolina
0.072078,0.004064,3.022417,0.152253,0.180229,0.490915,0.010470,0.123503,-27.975892,2.065578,-0.297380,0.231573,-0.001338,0.299410,0.258738,0.011930,0.040360,-0.028021,-0.032401,0.059721,-0.046376,0.015470,0.005701,0.022107,0.010312,0.031367,0.014529,0.031133,0.005998,0.007666,0.013882,0.021176,0.006685,0.019954,0.001021,0.000001,0.000391,0.001647,0.000257,0.018375,0.000028,0.003702,-0.015867,0.012280,0.007322,-0.006173,0.000636,-0.003225,-0.001918,0.001052,0.001014,-0.005442,0.002672,0.003898,0.000394,0.000108,-0.000100,-0.000170,-0.000054,-0.000527,-0.000002,-0.000084,-0.000027,-0.000008,0.000129,0.000025,-0.000005,-0.000063,0.056882,0.005447,0.241220,0.072813,0.042546,0.507943,0.005718,0.129749,2.151280,0.746108,1.133814,0.513084,0.550877,0.514025,0.411770,0.352900,0.345817,0.304038,0.321088,0.299284,0.288837,0.018993,0.009692,0.019314,0.012887,0.029643,0.016839,0.034529,0.010683,0.013202,0.013826,0.019877,0.010537,0.008998,0.068327,0.006003,0.337467,0.075105,0.043261,0.586364,0.006725,0.155329,1.518404,0.675338,0.976865,0.488133,0.566189,0.490315,0.441115,0.327718,0.353705,0.298080,0.355351,0.328701,0.263699,0.024054,0.011732,0.023962,0.016643,0.032692,0.020082,0.040905,0.014623,0.018734,0.017071,0.026809,0.014360,0.012766,carolina
0.077591,0.002323,3.029055,0.154736,0.177883,0.559556,0.013106,0.137813,-28.505799,2.008425,-0.174342,0.035818,-0.177425,0.199935,0.233208,0.198171,0.023560,-0.000201,-0.047358,0.062533,-0.146231,0.015499,0.011670,0.025502,0.015631,0.024737,0.008470,0.026167,0.006093,0.007382,0.013576,0.016769,0.007505,0.021014,0.000998,0.000000,0.001636,0.002486,0.001096,0.007469,0.000017,0.005962,0.007863,-0.003122,0.011794,-0.004311,-0.001952,0.000796,-0.005861,0.000891,-0.002178,0.000590,0.001539,-0.000986,-0.000444,0.000042,0.000003,-0.000214,0.000032,0.000049,0.000027,-0.001194,0.000002,-0.000002,0.000025,0.000204,-0.000004,-0.000137,0.065227,0.003023,0.213662,0.084493,0.045253,0.543009,0.010000,0.148583,1.976470,0.954115,0.928520,0.624876,0.631553,0.504264,0.443370,0.485868,0.384466,0.315939,0.349067,0.287107,0.252328,0.020463,0.022552,0.025845,0.025468,0.026601,0.011974,0.034612,0.014761,0.011798,0.016219,0.019016,0.010635,0.013342,0.070097,0.003499,0.300556,0.075088,0.045288,0.572064,0.010705,0.148441,1.790580,0.751936,0.823102,0.609958,0.569955,0.466085,0.407443,0.437559,0.408683,0.357741,0.352147,0.332327,0.296143,0.022999,0.029065,0.035233,0.034776,0.034066,0.015768,0.038741,0.020588,0.015073,0.021212,0.026800,0.012306,0.016125,carolina
0.098240,0.009799,3.022925,0.181567,0.191794,0.662232,0.011961,0.156751,-26.867838,2.208045,-0.403813,0.194939,-0.108392,0.214918,0.260687,0.083519,-0.036863,0.128884,-0.010796,-0.088872,-0.150593,0.022663,0.009941,0.023306,0.010199,0.023082,0.005416,0.022171,0.005627,0.009447,0.014223,0.017140,0.006702,0.020497,-0.000005,-0.000034,0.009256,0.000374,0.000173,0.003408,0.000106,-0.000027,-0.035433,-0.013611,0.029691,0.000092,0.003585,0.012244,-0.004574,-0.005722,-0.004406,-0.001050,-0.002845,-0.002886,-0.001208,-0.000039,-0.000284,0.000587,-0.000003,0.000541,0.000003,0.000065,-0.000011,-0.000085,0.000009,0.000014,-0.000196,0.000140,0.090368,0.012778,0.242607,0.103566,0.042877,0.698597,0.009397,0.168906,1.784573,0.745559,1.023403,0.598368,0.584259,0.436884,0.390745,0.381809,0.428618,0.389112,0.299221,0.293646,0.339526,0.035733,0.019827,0.026559,0.013456,0.028914,0.006472,0.028165,0.010363,0.017192,0.017673,0.016644,0.009970,0.013018,0.092870,0.014956,0.349526,0.089378,0.039751,0.735609,0.010097,0.178395,1.761365,0.748354,0.862974,0.537237,0.544449,0.445382,0.439237,0.402215,0.394347,0.362440,0.319391,0.327788,0.329830,0.042374,0.024918,0.032200,0.019410,0.039230,0.008342,0.035249,0.012144,0.021595,0.022333,0.020043,0.013322,0.017196,carolina
0.089478,0.003011,3.064221,0.177774,0.198230,0.626494,0.009320,0.144492,-28.008703,2.096372,-0.258637,0.194349,0.006428,0.416632,0.194008,0.138296,0.031657,-0.024175,0.065793,-0.016456,-0.007948,0.013855,0.006206,0.022807,0.008696,0.024907,0.010847,0.025166,0.006395,0.011546,0.014975,0.022522,0.007728,0.019417,0.001116,-0.000000,0.002620,0.000794,-0.000250,0.012668,0.000020,0.002713,-0.001727,0.006390,-0.005205,0.004938,-0.003582,-0.008310,-0.002489,-0.001431,0.000990,-0.001504,-0.004430,-0.002251,-0.003809,0.000107,-0.000008,-0.000296,0.000015,-0.000737,-0.000037,0.000024,0.000011,0.000014,-0.000346,-0.000015,0.000011,-0.000201,0.065520,0.004328,0.212436,0.075839,0.039826,0.572230,0.004764,0.141401,1.753357,0.808904,0.944355,0.455537,0.464809,0.614150,0.450448,0.354243,0.354584,0.303098,0.293740,0.287477,0.267389,0.020968,0.011992,0.021641,0.010756,0.022737,0.019926,0.019599,0.012482,0.022362,0.016880,0.025380,0.015803,0.009656,0.077294,0.004543,0.306288,0.079778,0.041807,0.650496,0.006006,0.174524,1.499792,0.739814,0.791919,0.500511,0.444715,0.530246,0.459233,0.390614,0.359228,0.352716,0.339904,0.328647,0.292212,0.029029,0.014738,0.027403,0.011558,0.026648,0.024219,0.027306,0.014174,0.026951,0.020965,0.032820,0.020434,0.013669,carolina
0.074437,0.012692,3.070260,0.162940,0.196080,0.512877,0.012591,0.116225,-26.088242,2.051577,-0.398250,0.150356,0.108471,0.341537,0.255980,0.066362,-0.046959,-0.010790,0.015151,0.024463,-0.102244,0.010772,0.003931,0.027171,0.017075,0.025559,0.011657,0.027530,0.008166,0.006940,0.013206,0.022981,0.005197,0.021676,0.000295,0.000002,0.000274,0.001136,0.001093,0.000171,0.000058,0.000572,0.008375,-0.007287,-0.005820,0.006686,-0.001621,0.003797,0.007378,0.001170,0.006857,-0.002457,0.005986,0.002952,-0.006434,-0.000014,0.000002,-0.000622,-0.000209,-0.000163,-0.000111,0.000063,-0.000006,-0.000055,-0.000071,0.001029,0.000011,0.000016,0.050609,0.012753,0.214916,0.075914,0.046925,0.474085,0.009169,0.111271,1.692623,0.737824,1.098264,0.599375,0.532579,0.544614,0.384940,0.405930,0.345679,0.326808,0.314442,0.296137,0.261705,0.013179,0.004943,0.029916,0.029284,0.023546,0.019009,0.037585,0.018029,0.012076,0.014739,0.021994,0.009002,0.013623,0.055415,0.014021,0.317704,0.074817,0.048905,0.557855,0.011178,0.121872,1.506189,0.735025,0.942403,0.521575,0.516803,0.536010,0.430041,0.376665,0.366869,0.352833,0.333036,0.325560,0.295425,0.016648,0.006278,0.032990,0.036036,0.028436,0.025450,0.050784,0.024789,0.015203,0.019266,0.028558,0.011063,0.017450,carolina
0.083866,0.002931,3.041461,0.163936,0.186843,0.614106,0.010809,0.132668,-28.033613,2.026122,-0.382801,0.171526,0.137974,0.170098,0.256339,-0.001491,0.086268,-0.014510,-0.069514,0.030344,-0.024882,0.010515,0.010143,0.018205,0.010564,0.024969,0.007723,0.023798,0.005379,0.007707,0.012069,0.025749,0.005023,0.018276,0.000517,0.000011,0.005180,0.001673,0.000889,0.003067,0.000054,0.001334,-0.040745,0.033582,0.020848,0.000822,-0.003824,-0.011937,0.000220,-0.013642,-0.002751,-0.008455,-0.009616,-0.005699,0.005292,-0.000013,-0.000198,-0.000053,0.000067,0.002009,0.000327,-0.000221,-0.000032,-0.000033,-0.000005,-0.000022,-0.000032,0.000487,0.059371,0.003632,0.232233,0.077974,0.044529,0.574451,0.008107,0.122455,1.817973,0.856706,0.806063,0.495702,0.576287,0.505242,0.403423,0.490013,0.355216,0.344549,0.280310,0.277497,0.332184,0.010758,0.018280,0.016463,0.016586,0.028681,0.009403,0.023916,0.012732,0.011692,0.013992,0.031101,0.007600,0.011321,0.065058,0.004172,0.324709,0.078693,0.046934,0.640234,0.010594,0.145179,1.574508,0.729912,0.749264,0.524488,0.523511,0.498049,0.476192,0.498359,0.409501,0.378583,0.296528,0.306452,0.350309,0.014026,0.020415,0.021082,0.023848,0.034558,0.012446,0.029782,0.016899,0.014778,0.017238,0.035991,0.009409,0.015244,carolina
0.068716,0.004759,2.998438,0.148234,0.182876,0.496023,0.010787,0.100708,-27.507365,1.820438,-0.121304,0.067963,-0.146057,0.306041,0.242286,0.111238,0.031163,-0.039144,-0.008240,0.019493,-0.093106,0.013614,0.007974,0.028386,0.016286,0.033945,0.009806,0.020804,0.005722,0.004904,0.011591,0.017394,0.006273,0.019826,-0.001797,-0.000138,0.010888,-0.001253,-0.001475,0.002125,0.000116,0.000281,-0.011576,0.001866,0.009841,-0.009647,0.002184,-0.013978,-0.002664,0.008465,-0.003190,-0.001812,-0.003885,0.001656,0.002594,-0.000175,0.000023,0.000152,0.000006,0.000083,-0.000063,0.000160,-0.000030,-0.000004,-0.000270,-0.000121,0.000060,-0.000046,0.041899,0.006752,0.318547,0.055584,0.039422,0.440527,0.006433,0.078188,2.176754,0.817171,1.040593,0.557827,0.543922,0.482954,0.432985,0.391981,0.355242,0.330402,0.358508,0.267146,0.284108,0.015917,0.012381,0.030834,0.022555,0.037781,0.012611,0.023011,0.009782,0.005553,0.013079,0.018225,0.009739,0.012492,0.049240,0.007173,0.424760,0.063124,0.040999,0.490688,0.007606,0.096745,1.627254,0.767156,0.764032,0.521709,0.527946,0.557747,0.453518,0.399390,0.363580,0.314902,0.369426,0.286074,0.332820,0.020364,0.017275,0.035686,0.027371,0.040124,0.016768,0.028781,0.011545,0.007293,0.017003,0.022686,0.012337,0.014845,carolina
0.073525,0.004126,3.037439,0.148049,0.176873,0.506694,0.011479,0.119292,-27.531169,2.010903,-0.365594,0.114966,-0.123660,0.245211,0.175224,0.118070,-0.038715,0.033030,-0.097183,-0.087117,-0.075122,0.014884,0.009986,0.031025,0.012528,0.022639,0.011517,0.018903,0.006164,0.011075,0.012371,0.020438,0.006438,0.020716,-0.000177,0.000005,0.001182,0.000173,0.000481,-0.000802,0.000045,-0.000091,0.007538,-0.001040,0.000951,0.000432,-0.001736,0.003889,-0.004504,0.001471,-0.001830,-0.001866,-0.000236,-0.004462,-0.009213,0.000092,0.000109,0.000569,0.000097,-0.000033,-0.000078,-0.000301,0.000016,-0.000008,-0.000122,-0.000147,-0.000000,0.000089,0.062829,0.005346,0.244486,0.075081,0.038333,0.561495,0.007764,0.126683,2.330089,0.864346,0.839251,0.549623,0.655307,0.467745,0.425521,0.431296,0.395619,0.284113,0.318751,0.264476,0.307509,0.017200,0.015204,0.035503,0.017106,0.030879,0.016683,0.019475,0.013295,0.017805,0.013814,0.020664,0.009502,0.011834,0.068700,0.005566,0.343412,0.074722,0.038603,0.633625,0.009561,0.141580,1.742852,0.747304,0.819131,0.542870,0.577071,0.490641,0.413392,0.380997,0.426316,0.322102,0.329287,0.310974,0.301344,0.022832,0.020328,0.042006,0.020244,0.037977,0.017453,0.024745,0.017107,0.022775,0.018296,0.025743,0.012502,0.015684,carolina
0.081266,0.009370,3.028526,0.167458,0.194618,0.537800,0.009900,0.121243,-26.180944,1.856794,-0.381565,0.297707,-0.123693,0.368611,0.378982,0.148608,-0.130852,-0.055239,-0.015631,-0.027229,-0.031448,0.011345,0.004024,0.023465,0.014921,0.024840,0.013769,0.024127,0.006174,0.005009,0.010117,0.022054,0.005751,0.018744,-0.000077,0.000003,-0.000873,0.000164,0.000394,-0.001606,0.000043,-0.000018,-0.002342,0.006601,-0.000012,-0.003654,-0.002038,0.004642,-0.002924,-0.007651,0.005370,-0.000424,0.006851,0.003320,0.004874,-0.000146,-0.000114,-0.000950,-0.000044,0.000049,-0.000012,0.000319,-0.000017,0.000149,0.000049,0.000769,-0.000024,-0.000034,0.059303,0.010208,0.219339,0.073982,0.041315,0.514864,0.005758,0.103994,1.487188,0.801860,0.787988,0.546053,0.450005,0.491160,0.441748,0.465627,0.391682,0.309625,0.325176,0.299532,0.280249,0.013536,0.007443,0.026788,0.017803,0.023834,0.018489,0.023768,0.011043,0.006378,0.011796,0.021034,0.009690,0.010286,0.064621,0.012398,0.317047,0.077486,0.048951,0.576887,0.007956,0.118550,1.562729,0.887807,0.843171,0.493099,0.474338,0.544246,0.450603,0.446045,0.404722,0.331175,0.329690,0.331875,0.322223,0.018507,0.010415,0.031178,0.021916,0.029199,0.023851,0.031545,0.013604,0.007908,0.016741,0.026840,0.009293,0.012518,carolina
