@RELATION trained_models/babble/filtered/spect_sub/knn/snr_5/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.038970,0.001400,3.040316,0.121644,0.180448,0.222134,0.008043,0.047423,-27.997912,2.776924,0.292752,0.253193,0.184758,0.226580,0.194031,0.187353,-0.059631,0.034319,0.020404,0.013939,-0.068913,0.020776,0.005152,0.040149,0.010176,0.058090,0.008991,0.047812,0.001853,0.004192,0.022241,0.042202,0.003407,0.025846,0.000240,-0.000036,0.006024,0.000316,0.000216,0.001356,0.000039,0.000245,-0.015488,-0.009105,-0.002350,0.005754,-0.002486,-0.007417,-0.000614,0.001666,-0.003828,0.002367,0.002197,-0.000040,-0.000804,0.000107,0.000018,0.000051,0.000100,-0.000108,0.000012,0.000130,0.000014,-0.000009,-0.000031,-0.000444,0.000028,-0.000032,0.024790,0.001403,0.197933,0.042035,0.030406,0.184075,0.003255,0.060760,0.829652,0.399087,0.418801,0.308194,0.325385,0.265234,0.243566,0.266854,0.200646,0.206673,0.209377,0.208855,0.227443,0.022154,0.011070,0.023047,0.008728,0.024467,0.007831,0.029872,0.002625,0.004663,0.017854,0.028798,0.003728,0.006900,0.028339,0.001941,0.273675,0.044317,0.033914,0.226732,0.003768,0.076331,0.998876,0.471572,0.533098,0.384892,0.418852,0.341683,0.333652,0.330770,0.263380,0.263933,0.261959,0.288408,0.258151,0.032952,0.015627,0.033431,0.011041,0.036818,0.011199,0.041374,0.003504,0.006152,0.023469,0.039643,0.005098,0.010313,carolina
0.033693,0.001222,2.990957,0.117131,0.180084,0.179216,0.007147,0.032368,-28.026282,2.637201,0.268341,0.386970,0.140027,0.301676,0.143340,0.115351,-0.015774,-0.022647,0.012238,0.070546,-0.058737,0.019552,0.002756,0.037288,0.009635,0.058027,0.008313,0.060138,0.002152,0.004046,0.021648,0.040361,0.003340,0.026992,0.000154,-0.000003,0.000943,0.000279,0.000310,0.000423,0.000039,0.000027,-0.005309,0.008190,0.000420,-0.003554,-0.005166,-0.002503,-0.001960,-0.001044,-0.001095,-0.003121,0.002657,0.002501,0.004381,-0.000003,-0.000029,0.000055,0.000215,-0.000372,0.000049,-0.000374,0.000010,0.000160,-0.000217,0.000189,0.000047,-0.000076,0.013638,0.001082,0.252747,0.027086,0.027191,0.111245,0.002767,0.023568,1.051493,0.419819,0.516800,0.252694,0.267915,0.295980,0.246676,0.204351,0.224116,0.196913,0.182996,0.202378,0.197004,0.017833,0.003680,0.022848,0.006997,0.029377,0.007791,0.036801,0.003283,0.003813,0.017141,0.025831,0.003404,0.007599,0.017714,0.001353,0.333572,0.034919,0.033810,0.147517,0.003559,0.029597,1.018050,0.421691,0.558580,0.315952,0.370560,0.331052,0.324771,0.254071,0.275539,0.269908,0.262987,0.280073,0.254059,0.023747,0.004999,0.032337,0.009305,0.038526,0.011251,0.048227,0.003880,0.004995,0.024077,0.035740,0.004816,0.009836,carolina
0.038947,0.001174,3.009911,0.120035,0.179546,0.235347,0.007344,0.042922,-28.126206,2.592423,0.313428,0.254485,0.139605,0.215797,0.140026,0.181184,0.009797,0.020776,0.034856,0.056603,-0.088572,0.017761,0.004921,0.042489,0.010138,0.059246,0.008282,0.053905,0.001965,0.005894,0.017142,0.034129,0.004324,0.025263,0.000123,0.000002,-0.001389,0.000549,0.000596,0.000370,0.000050,-0.000018,0.005477,-0.004299,0.004080,0.002392,0.000454,-0.000590,0.000738,0.000868,0.000391,-0.001349,-0.003481,-0.002236,0.000616,-0.000021,0.000002,0.000348,0.000378,-0.000222,0.000003,-0.000425,-0.000010,-0.000107,0.000091,0.000008,0.000007,-0.000021,0.022662,0.001586,0.291010,0.033284,0.029649,0.170937,0.002846,0.043383,1.147851,0.545426,0.448924,0.311565,0.314731,0.255568,0.268945,0.244102,0.242009,0.216995,0.213230,0.172265,0.203877,0.014036,0.006736,0.020756,0.008717,0.028803,0.007356,0.032268,0.003329,0.006779,0.013294,0.024156,0.004733,0.007178,0.028757,0.001874,0.396383,0.036825,0.033212,0.206215,0.003865,0.058760,1.125331,0.544691,0.495281,0.354856,0.383389,0.315835,0.318728,0.311987,0.297655,0.299077,0.257600,0.233929,0.288243,0.020202,0.008658,0.029551,0.012570,0.038457,0.010621,0.043009,0.005359,0.008703,0.017775,0.033780,0.006261,0.009011,carolina
0.041039,0.005302,3.058390,0.125738,0.183029,0.226130,0.008524,0.045799,-26.003875,2.736100,0.297011,0.296988,0.089690,0.319546,0.171306,0.129441,-0.004222,0.065350,-0.017688,-0.050632,-0.090985,0.020580,0.005452,0.045894,0.011328,0.062468,0.006808,0.045544,0.001809,0.005289,0.020399,0.033187,0.003930,0.026261,0.000041,-0.000020,0.000554,0.000104,-0.000032,0.000949,0.000052,-0.000082,-0.014483,-0.007444,0.012953,0.000905,-0.001294,0.004625,-0.003528,0.000024,0.000518,0.003202,-0.000941,-0.003492,0.000012,0.000118,-0.000068,0.000329,0.000042,0.000262,-0.000150,-0.000105,-0.000010,-0.000232,-0.000041,0.000137,0.000028,0.000086,0.027487,0.003163,0.142153,0.047399,0.033805,0.204734,0.004337,0.054673,0.913772,0.445780,0.452873,0.301646,0.330073,0.255503,0.281251,0.242160,0.244025,0.233560,0.193098,0.207471,0.209440,0.017734,0.009435,0.027435,0.008836,0.033755,0.005925,0.026493,0.002576,0.007822,0.017713,0.021791,0.004225,0.007427,0.034245,0.003990,0.191278,0.052926,0.036680,0.265562,0.005164,0.071729,1.042681,0.540989,0.508877,0.363855,0.415061,0.324321,0.395112,0.353898,0.289598,0.323017,0.274650,0.279975,0.267493,0.024697,0.011882,0.039477,0.012458,0.049549,0.008510,0.033776,0.003365,0.010365,0.023462,0.030077,0.006410,0.010541,carolina
0.035200,0.001108,2.985667,0.117821,0.180672,0.174759,0.007509,0.027713,-28.360929,2.728518,0.293191,0.299017,0.119024,0.320164,0.142356,0.148400,0.007853,0.027213,0.001288,0.044294,-0.013184,0.016703,0.003099,0.043102,0.009296,0.067238,0.007709,0.046038,0.001944,0.004738,0.018835,0.040857,0.003790,0.026704,0.000136,-0.000001,0.004089,0.000213,0.000144,0.000551,0.000069,-0.000000,-0.005378,0.000776,-0.000623,0.002380,0.001854,-0.002581,-0.004896,0.000268,-0.003770,-0.003682,0.002130,-0.001674,-0.001591,0.000022,-0.000017,-0.000291,0.000087,-0.000262,0.000053,0.001023,0.000033,-0.000013,-0.000110,-0.000146,-0.000002,0.000068,0.013671,0.001285,0.255092,0.029386,0.027475,0.103008,0.003145,0.015370,1.031721,0.444987,0.454264,0.292917,0.249696,0.275941,0.251110,0.208918,0.208792,0.196683,0.182713,0.183193,0.185006,0.014714,0.003827,0.028639,0.009869,0.032123,0.007031,0.025722,0.003323,0.005247,0.013681,0.024140,0.005376,0.007929,0.018090,0.001789,0.349996,0.037127,0.033188,0.137048,0.003862,0.018520,1.133453,0.492914,0.509632,0.368000,0.335627,0.304067,0.298029,0.251937,0.263707,0.248532,0.259774,0.256175,0.242529,0.020133,0.005226,0.036854,0.013759,0.045031,0.009552,0.035403,0.004579,0.007327,0.018199,0.031919,0.007236,0.011033,carolina
0.033593,0.003567,3.048522,0.113296,0.177209,0.179798,0.008791,0.031025,-26.510933,2.686220,0.305524,0.270261,0.141558,0.316987,0.121725,0.118383,-0.049103,0.048033,0.027219,0.031776,-0.063752,0.015612,0.002473,0.047089,0.013766,0.059312,0.007106,0.058360,0.003946,0.004133,0.016740,0.039758,0.003535,0.028371,-0.000014,0.000036,-0.000746,0.000203,0.000401,-0.000675,0.000108,-0.000064,0.008253,-0.002272,-0.003170,0.007389,0.002504,0.001564,0.003481,-0.003134,0.001259,0.001096,0.003747,0.002696,-0.002539,-0.000026,-0.000018,-0.000506,-0.000070,0.000185,0.000010,0.000268,-0.000001,-0.000068,-0.000205,0.000621,0.000002,0.000059,0.014420,0.002211,0.150361,0.026888,0.026397,0.114132,0.003894,0.018944,0.810806,0.435344,0.474001,0.301735,0.286554,0.284660,0.216950,0.214757,0.222843,0.224572,0.213258,0.207118,0.184864,0.012543,0.002918,0.028877,0.013688,0.031669,0.007163,0.042319,0.008031,0.003935,0.012799,0.023425,0.005765,0.009055,0.015122,0.003152,0.219001,0.028507,0.029144,0.126305,0.004577,0.023011,0.965177,0.548929,0.536120,0.370671,0.364795,0.375201,0.297992,0.287634,0.304067,0.283110,0.282355,0.300359,0.246151,0.018119,0.004155,0.037467,0.018280,0.047193,0.009857,0.058918,0.011345,0.005024,0.019018,0.032459,0.008187,0.011680,carolina
0.034006,0.001247,2.990202,0.114374,0.177790,0.189819,0.008574,0.034183,-28.186820,2.654135,0.243198,0.325116,0.155577,0.235072,0.143862,0.092500,0.010596,0.072011,-0.003635,-0.026253,-0.070353,0.017917,0.004693,0.040840,0.010388,0.055164,0.007831,0.057112,0.001943,0.004721,0.018958,0.043693,0.003346,0.027444,0.000109,-0.000016,0.003488,0.000504,0.000941,-0.002965,0.000057,-0.000862,-0.030356,0.026128,0.012820,-0.002872,-0.000409,-0.004861,0.002691,-0.008736,-0.002254,-0.003855,-0.006704,-0.003384,-0.001140,-0.000048,-0.000171,0.000421,0.000092,0.000860,-0.000010,0.000504,-0.000070,-0.000021,0.000068,0.000299,-0.000013,0.000256,0.013392,0.001474,0.276727,0.024488,0.023866,0.130690,0.003948,0.025367,1.121388,0.492824,0.417062,0.277310,0.316637,0.258812,0.269960,0.286961,0.255953,0.207927,0.194337,0.199622,0.218012,0.016486,0.007415,0.024645,0.011053,0.034059,0.009579,0.040461,0.003151,0.004524,0.014981,0.027910,0.003510,0.010023,0.017349,0.001956,0.346588,0.029073,0.028386,0.158737,0.004991,0.029608,1.178787,0.533313,0.467008,0.399533,0.415066,0.336490,0.338846,0.357995,0.352912,0.280201,0.246919,0.258166,0.287415,0.023771,0.009910,0.034244,0.014061,0.044609,0.014061,0.056421,0.004297,0.006154,0.021737,0.040571,0.004865,0.013706,carolina
0.034764,0.001438,2.954055,0.108021,0.170460,0.186321,0.007698,0.032840,-28.189552,2.621961,0.333982,0.208663,0.047595,0.333866,0.202159,0.135512,-0.053001,-0.042023,-0.028835,0.053500,-0.042351,0.016259,0.004431,0.050929,0.013327,0.058286,0.009566,0.052688,0.001990,0.004005,0.017309,0.036250,0.003496,0.026476,-0.000222,-0.000048,0.008897,-0.000194,-0.000509,0.002852,0.000115,-0.000191,-0.007709,-0.000108,0.011532,-0.007821,0.006397,-0.010122,-0.000250,0.007113,-0.003963,-0.003580,-0.007997,0.001754,0.001181,0.000014,0.000024,0.000123,0.000179,0.000296,0.000021,0.000109,-0.000108,-0.000111,-0.000122,-0.000068,-0.000061,0.000046,0.013874,0.002422,0.347653,0.022664,0.023429,0.145824,0.003220,0.025871,1.365967,0.478091,0.532060,0.309940,0.332175,0.255563,0.267226,0.225137,0.218375,0.196463,0.221366,0.186428,0.195164,0.012848,0.005962,0.030243,0.012549,0.028802,0.008170,0.033684,0.003641,0.004007,0.014073,0.021720,0.004876,0.008914,0.016877,0.003057,0.410469,0.029921,0.031318,0.195693,0.004165,0.035353,1.304381,0.555362,0.498754,0.389865,0.403526,0.332902,0.309649,0.298334,0.260014,0.247946,0.269983,0.223476,0.247415,0.018711,0.008565,0.040877,0.016924,0.038435,0.010332,0.047086,0.004592,0.005160,0.021014,0.032141,0.006544,0.011750,carolina
0.037677,0.001460,3.000773,0.115775,0.174667,0.198588,0.007975,0.037178,-27.969758,2.621988,0.199156,0.293782,0.064049,0.245558,0.121439,0.125701,0.002421,0.047183,-0.010723,0.020575,-0.023526,0.017481,0.004114,0.051703,0.009455,0.048066,0.009263,0.056269,0.001607,0.005446,0.019546,0.040818,0.004279,0.026844,0.000050,0.000005,-0.000455,0.000089,0.000269,0.000476,0.000077,-0.000218,0.004631,-0.000673,0.004076,-0.001105,0.003170,-0.000439,-0.003513,-0.001009,-0.007082,0.001691,0.003805,-0.003766,-0.001668,0.000024,0.000002,0.000561,0.000011,-0.000041,-0.000060,0.000220,0.000002,-0.000009,-0.000183,-0.000193,-0.000025,0.000111,0.022858,0.002233,0.229389,0.036932,0.030524,0.145643,0.003675,0.031082,1.263310,0.530061,0.476701,0.305590,0.310438,0.279478,0.234906,0.255762,0.275395,0.214548,0.210073,0.182028,0.204920,0.013988,0.005230,0.028513,0.009368,0.033727,0.007022,0.036261,0.002213,0.005266,0.014491,0.024020,0.004606,0.008833,0.025721,0.003081,0.339225,0.042395,0.035649,0.171663,0.004351,0.041236,1.285862,0.553332,0.574491,0.361624,0.369245,0.366575,0.280758,0.298018,0.333497,0.267195,0.252764,0.260322,0.237887,0.017743,0.006819,0.036006,0.012948,0.046592,0.010470,0.046029,0.003107,0.007299,0.021120,0.031147,0.006336,0.011836,carolina
0.035767,0.002611,3.012329,0.119581,0.181202,0.212101,0.007693,0.040907,-26.897317,2.575174,0.312938,0.340185,0.071029,0.332663,0.203032,0.153372,-0.054106,-0.010834,-0.030692,0.022142,-0.032682,0.015512,0.002987,0.040996,0.011948,0.056843,0.007683,0.051736,0.002074,0.003865,0.018786,0.046160,0.003391,0.026324,0.000218,0.000003,-0.004232,0.000005,0.000020,-0.000128,0.000065,0.000027,0.006274,0.000248,0.000053,0.001482,0.000826,-0.001630,-0.004944,-0.002964,0.003328,-0.002763,0.002078,-0.002490,0.004362,0.000093,-0.000047,0.000270,-0.000093,-0.000679,-0.000017,0.000023,0.000003,0.000039,0.000036,0.000666,0.000005,-0.000037,0.015861,0.001923,0.219392,0.028550,0.024183,0.163607,0.002891,0.037281,0.963092,0.494133,0.424227,0.304773,0.250210,0.289933,0.256761,0.266265,0.239391,0.186209,0.218499,0.194522,0.159170,0.013065,0.003979,0.024475,0.009347,0.030915,0.007507,0.035044,0.003381,0.003566,0.014715,0.025480,0.004569,0.007524,0.021322,0.002629,0.292752,0.033214,0.029973,0.199291,0.003714,0.050406,1.159059,0.595808,0.555047,0.382378,0.340744,0.411767,0.324161,0.326989,0.323976,0.232055,0.274358,0.268179,0.230186,0.017909,0.005537,0.034270,0.012481,0.042312,0.011033,0.049696,0.004853,0.005289,0.020726,0.035369,0.005700,0.010264,carolina
