@RELATION trained_models/babble/filtered/wiener/knn/snr_0/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.038807,0.008236,3.084728,0.121102,0.181631,0.203581,0.007239,0.039174,-25.185066,2.818747,0.239508,0.197505,0.148177,0.147637,0.200048,0.234349,-0.047047,0.030689,0.002490,-0.014748,-0.121211,0.025645,0.005222,0.039195,0.011665,0.050429,0.008308,0.035645,0.001849,0.004180,0.026262,0.045089,0.004429,0.024016,0.000177,-0.000011,0.005008,0.000249,0.000173,0.000902,0.000039,0.000054,0.004467,-0.008209,-0.000947,0.006004,0.000259,-0.005361,-0.000370,0.001273,-0.004352,0.002593,0.000402,0.001080,0.000373,0.000188,0.000000,0.000372,0.000052,-0.000034,0.000027,0.000395,0.000012,-0.000002,-0.000195,-0.000626,0.000033,-0.000020,0.023821,0.003143,0.141506,0.042140,0.030621,0.161238,0.002862,0.034357,0.752100,0.382958,0.442693,0.274471,0.295231,0.275517,0.248704,0.235391,0.193351,0.172533,0.209215,0.191798,0.194518,0.025362,0.008253,0.025765,0.010367,0.021239,0.008327,0.020061,0.002417,0.004213,0.019596,0.025686,0.004624,0.005659,0.028397,0.004166,0.196838,0.042816,0.032062,0.201732,0.003529,0.049805,0.862003,0.445958,0.496556,0.319411,0.383891,0.305794,0.322533,0.270601,0.231606,0.244253,0.245471,0.238530,0.216505,0.035606,0.011418,0.036261,0.013391,0.028836,0.012113,0.027292,0.003357,0.005359,0.025547,0.031408,0.006143,0.008006,carolina
0.032922,0.008219,3.069078,0.116882,0.180959,0.168597,0.006304,0.029764,-25.066889,2.692154,0.242172,0.271458,0.069932,0.249226,0.194245,0.137610,-0.003555,-0.010737,0.006800,0.057301,-0.072900,0.023756,0.003161,0.035260,0.009481,0.051975,0.010218,0.049295,0.002186,0.005300,0.022225,0.042843,0.004612,0.024510,0.000154,-0.000009,0.000356,0.000497,0.000380,0.001425,0.000028,0.000073,-0.004514,0.007028,0.001776,-0.004228,-0.003903,-0.005717,0.000389,0.001468,0.002010,-0.002809,-0.000804,0.000456,0.002764,-0.000004,-0.000004,-0.000085,0.000179,-0.000478,0.000065,-0.000082,-0.000002,0.000055,-0.000064,0.000327,0.000053,-0.000031,0.013509,0.003269,0.150886,0.028617,0.026693,0.086948,0.002074,0.013129,0.906031,0.337550,0.518963,0.243095,0.254516,0.283363,0.232046,0.193417,0.207701,0.186653,0.167623,0.186856,0.186108,0.020902,0.003610,0.018547,0.007195,0.025695,0.009950,0.030125,0.003481,0.005594,0.016183,0.025655,0.005664,0.006510,0.018096,0.003635,0.214375,0.034442,0.030809,0.114441,0.002650,0.013267,0.797385,0.331167,0.510556,0.287747,0.328938,0.309039,0.295041,0.235725,0.242916,0.241448,0.227226,0.231057,0.229782,0.027801,0.004796,0.025627,0.009485,0.030271,0.014236,0.039629,0.004687,0.007248,0.021760,0.033035,0.007992,0.008164,carolina
0.035848,0.007226,3.092702,0.118233,0.179827,0.199639,0.006830,0.033339,-25.216776,2.679822,0.304023,0.178214,0.074589,0.198777,0.151409,0.201903,0.000151,0.004548,0.004235,0.041709,-0.109709,0.021600,0.005963,0.045069,0.012397,0.053279,0.008160,0.045318,0.002024,0.006376,0.017870,0.034628,0.005449,0.023823,0.000077,0.000004,0.001511,0.000691,0.000635,0.000821,0.000049,0.000036,0.004225,-0.003538,0.006133,-0.001789,-0.000559,-0.000294,-0.001965,0.000948,-0.001073,-0.000560,0.000360,0.000356,0.000214,-0.000043,0.000008,0.000314,0.000138,-0.000431,0.000080,-0.000356,-0.000002,-0.000031,0.000051,0.000293,0.000006,-0.000048,0.020063,0.003115,0.142092,0.035452,0.030071,0.131157,0.002645,0.018999,0.941799,0.433954,0.445466,0.293079,0.323743,0.234229,0.241452,0.240346,0.222419,0.178387,0.186786,0.171500,0.177327,0.016774,0.008861,0.021992,0.011639,0.027235,0.007450,0.026334,0.002670,0.007043,0.014184,0.023220,0.005834,0.006686,0.024750,0.003465,0.212411,0.036610,0.031211,0.148503,0.003287,0.020327,0.907951,0.426161,0.454589,0.328410,0.359039,0.260834,0.271405,0.280685,0.259629,0.247553,0.215464,0.230253,0.232922,0.019615,0.011336,0.031017,0.016686,0.036425,0.010300,0.033202,0.003774,0.008598,0.017307,0.031939,0.007292,0.007675,carolina
0.038593,0.018971,3.117597,0.126236,0.184873,0.204759,0.007006,0.038176,-24.058870,2.777919,0.260648,0.223421,0.007949,0.253860,0.224088,0.148057,0.008420,0.030487,-0.032770,-0.038509,-0.147270,0.024191,0.006227,0.046974,0.012629,0.054442,0.006314,0.036829,0.002560,0.005719,0.022638,0.036984,0.004829,0.024978,0.000113,-0.000078,0.000028,0.000230,0.000137,0.001123,0.000072,-0.000082,-0.010820,-0.009984,0.012914,-0.001077,-0.003709,0.001984,-0.002403,-0.000340,0.001018,0.002116,0.000270,-0.001262,0.001112,0.000279,-0.000069,0.000104,-0.000039,0.000254,-0.000002,-0.000229,-0.000028,-0.000098,-0.000131,0.000021,0.000098,0.000050,0.022936,0.007682,0.103645,0.046988,0.034501,0.169345,0.002735,0.040741,0.797652,0.369704,0.487770,0.244616,0.294966,0.222947,0.242452,0.193381,0.233499,0.202020,0.185310,0.174148,0.199549,0.021451,0.009571,0.028903,0.011317,0.030525,0.005221,0.021113,0.004308,0.007084,0.018694,0.019770,0.005025,0.006091,0.027580,0.008654,0.134435,0.047667,0.032614,0.211896,0.003734,0.059546,0.889879,0.458977,0.467982,0.273828,0.338634,0.281120,0.304064,0.271440,0.262567,0.262944,0.233228,0.232353,0.237398,0.028041,0.011819,0.037865,0.015409,0.042107,0.007036,0.027540,0.005264,0.008758,0.025376,0.023675,0.006938,0.007945,carolina
0.036053,0.007306,3.064386,0.118909,0.181737,0.176102,0.006274,0.030372,-25.267090,2.751982,0.250338,0.247515,0.050337,0.259316,0.150692,0.193887,0.029260,0.026559,-0.016298,0.001435,-0.047125,0.022190,0.005227,0.041610,0.009210,0.053632,0.007701,0.036946,0.002178,0.006080,0.023215,0.043408,0.005632,0.023763,0.000358,-0.000014,0.001952,0.000590,0.000436,0.001550,0.000038,-0.000064,-0.009914,-0.000002,0.000529,0.003612,0.002131,-0.000889,-0.005390,0.000152,-0.004356,-0.004385,0.002351,0.000028,-0.001290,-0.000019,-0.000081,-0.000212,0.000092,-0.000248,0.000041,0.001098,0.000009,-0.000022,-0.000137,-0.000007,-0.000003,0.000129,0.014097,0.002907,0.181663,0.031533,0.027493,0.102184,0.002104,0.013405,0.862031,0.403787,0.459791,0.251446,0.221034,0.285978,0.234762,0.192236,0.191184,0.172284,0.178467,0.175863,0.174288,0.019692,0.007288,0.023849,0.007867,0.026101,0.007345,0.019101,0.003471,0.007670,0.016112,0.025330,0.008455,0.005314,0.017487,0.003439,0.255541,0.036655,0.030605,0.128774,0.002626,0.014909,0.815569,0.421978,0.431656,0.314737,0.281473,0.299708,0.268461,0.229006,0.246069,0.205434,0.230329,0.232734,0.230378,0.025101,0.009947,0.031791,0.010743,0.034458,0.010037,0.024685,0.004462,0.009969,0.022073,0.031508,0.010626,0.006771,carolina
0.032999,0.019587,3.124548,0.113830,0.177330,0.178525,0.007134,0.031951,-23.856883,2.722146,0.263758,0.188797,0.102835,0.268799,0.148833,0.175805,-0.025804,0.034789,-0.012359,-0.019469,-0.099463,0.020454,0.003869,0.046032,0.016466,0.052246,0.006762,0.041174,0.003147,0.004703,0.020399,0.038916,0.004213,0.025185,0.000154,0.000039,0.000047,0.000245,0.000336,-0.000102,0.000098,0.000009,0.003140,-0.003550,-0.005060,0.004793,0.002317,0.000046,0.005299,-0.001706,0.001056,0.001753,0.003921,0.001389,-0.001913,0.000018,-0.000015,-0.000472,-0.000161,0.000198,0.000017,0.000169,0.000000,-0.000049,-0.000190,0.000562,0.000011,0.000019,0.014550,0.006336,0.095056,0.029700,0.027903,0.104920,0.002684,0.016010,0.788798,0.364454,0.496620,0.271383,0.281062,0.285335,0.210852,0.224256,0.203037,0.195359,0.171158,0.177522,0.178061,0.015046,0.004547,0.028906,0.018460,0.027012,0.007557,0.030396,0.004959,0.004596,0.014648,0.022237,0.005702,0.007408,0.015868,0.006960,0.132096,0.030999,0.029297,0.118783,0.003389,0.018356,0.812230,0.451883,0.487861,0.296347,0.302264,0.333213,0.262175,0.264156,0.256271,0.241843,0.204792,0.234347,0.221452,0.021109,0.005959,0.035919,0.022026,0.038830,0.010627,0.038658,0.006575,0.005734,0.021866,0.031979,0.007660,0.009376,carolina
0.033766,0.006173,3.093650,0.115507,0.178712,0.184340,0.006747,0.033603,-25.438731,2.721731,0.212167,0.224643,0.078363,0.192287,0.174382,0.120991,0.006460,0.041332,-0.008108,0.005931,-0.076766,0.019914,0.006174,0.040135,0.011970,0.047567,0.007397,0.044026,0.002101,0.005013,0.021741,0.048120,0.003963,0.024992,0.000386,-0.000001,-0.001080,0.000804,0.000782,0.000501,0.000051,-0.000599,-0.020893,0.015002,0.006956,-0.001968,-0.000514,-0.003295,0.003385,-0.006695,-0.001460,-0.004013,-0.006261,-0.003646,0.002106,-0.000089,-0.000068,0.000083,0.000050,0.000410,-0.000048,0.000105,-0.000030,-0.000019,0.000140,0.000327,0.000003,0.000135,0.013647,0.002433,0.137866,0.028145,0.024860,0.112932,0.002445,0.018514,0.907306,0.371783,0.415792,0.246282,0.318476,0.239595,0.223748,0.262041,0.221359,0.176939,0.170469,0.181286,0.186938,0.016751,0.009055,0.026986,0.011697,0.027112,0.007153,0.028183,0.003649,0.004287,0.015281,0.026962,0.004830,0.006817,0.016333,0.002698,0.177731,0.032383,0.029629,0.137757,0.003184,0.022777,0.892660,0.398559,0.446689,0.348374,0.380462,0.304430,0.273489,0.307167,0.290794,0.237819,0.225069,0.231543,0.224410,0.021541,0.010329,0.036387,0.015716,0.035896,0.010543,0.040028,0.005303,0.005801,0.020996,0.034726,0.006300,0.008881,carolina
0.034015,0.006771,3.049879,0.110725,0.174576,0.186219,0.006498,0.033367,-25.288316,2.644545,0.311128,0.158630,-0.048316,0.282397,0.215911,0.144874,-0.012759,-0.040598,-0.017739,0.048811,-0.112448,0.020095,0.005955,0.044138,0.015800,0.054754,0.009975,0.036999,0.002734,0.004318,0.018120,0.037469,0.004808,0.023324,-0.000381,-0.000046,0.007717,-0.000578,-0.000769,0.000778,0.000077,-0.000227,-0.007376,0.000982,0.007246,-0.005051,0.003886,-0.006281,-0.001388,0.004706,-0.004589,-0.002873,-0.004469,0.000976,0.000774,0.000035,-0.000009,0.000046,0.000102,0.000134,-0.000046,0.000322,-0.000073,0.000027,-0.000071,-0.000018,-0.000041,0.000078,0.013692,0.003682,0.216124,0.023388,0.022646,0.132145,0.002365,0.019044,1.036763,0.399952,0.525370,0.289945,0.302180,0.252571,0.236566,0.216593,0.196362,0.184464,0.215830,0.182153,0.182801,0.015824,0.007482,0.022871,0.014167,0.029597,0.009010,0.021384,0.004892,0.004028,0.012356,0.021600,0.005774,0.006653,0.015231,0.004267,0.270775,0.028900,0.028149,0.161364,0.003071,0.023838,0.957984,0.465001,0.476702,0.331068,0.348698,0.300550,0.273314,0.267225,0.227789,0.227535,0.250593,0.230989,0.225478,0.020770,0.010424,0.031880,0.017897,0.038250,0.011230,0.029237,0.006451,0.005222,0.017400,0.030553,0.007852,0.007334,carolina
0.034764,0.008059,3.083342,0.113439,0.174125,0.184330,0.007028,0.033076,-25.072505,2.700556,0.208585,0.215657,-0.008694,0.216133,0.161623,0.157324,-0.006331,0.031120,-0.033900,0.012087,-0.057870,0.019758,0.006001,0.049956,0.009402,0.041877,0.009935,0.045300,0.001850,0.006655,0.021666,0.042743,0.004606,0.024751,-0.000054,0.000014,0.001287,0.000077,0.000196,-0.000255,0.000063,-0.000036,0.002981,0.000120,-0.000151,0.000642,0.000553,-0.001232,-0.003431,-0.000071,-0.002736,0.000284,0.001633,-0.001974,-0.003197,0.000034,0.000207,0.000715,-0.000025,0.000036,-0.000063,-0.000153,0.000029,-0.000003,-0.000390,-0.000441,-0.000026,0.000089,0.018289,0.004051,0.133082,0.034490,0.028981,0.127773,0.002879,0.016570,1.034033,0.438421,0.443785,0.257353,0.313327,0.267819,0.232795,0.226997,0.226876,0.157487,0.192551,0.154296,0.179100,0.015031,0.007848,0.027952,0.008150,0.029040,0.007810,0.031238,0.002901,0.007434,0.016536,0.022052,0.004075,0.007212,0.020825,0.004256,0.192237,0.037720,0.032150,0.139761,0.003472,0.020982,0.935715,0.448401,0.512940,0.299459,0.323297,0.332803,0.261477,0.247976,0.274069,0.191147,0.231798,0.211479,0.227990,0.020619,0.010155,0.034239,0.011276,0.040808,0.010463,0.037625,0.003911,0.009813,0.022650,0.030121,0.004967,0.009093,carolina
0.034397,0.011932,3.095533,0.119291,0.184030,0.190222,0.006601,0.036525,-24.504280,2.684240,0.293941,0.258910,0.025008,0.256862,0.192646,0.155656,-0.061062,0.002126,-0.013968,0.008936,-0.087928,0.017757,0.003347,0.040306,0.012907,0.050668,0.008420,0.042017,0.002314,0.004418,0.022367,0.049484,0.004907,0.024566,0.000209,0.000041,-0.005250,-0.000006,0.000111,-0.000261,0.000054,0.000018,0.007035,0.002486,-0.001752,-0.000743,0.000055,0.001368,-0.001924,-0.004176,-0.001291,-0.002115,0.001407,-0.000095,0.004209,0.000059,-0.000166,0.000040,-0.000055,-0.000686,-0.000009,0.000239,-0.000002,0.000070,0.000015,0.000821,-0.000004,0.000001,0.016361,0.003321,0.117553,0.029653,0.024427,0.139198,0.002176,0.023327,0.716126,0.367837,0.405872,0.293738,0.240608,0.256206,0.248832,0.221026,0.225380,0.166126,0.190206,0.183219,0.172890,0.015052,0.003899,0.023438,0.009328,0.027045,0.009141,0.024621,0.003572,0.003459,0.017310,0.026442,0.007063,0.005483,0.020405,0.004373,0.138984,0.033770,0.029777,0.157940,0.002653,0.029122,0.880355,0.465197,0.500995,0.333108,0.307681,0.340839,0.313025,0.265863,0.280457,0.205719,0.220603,0.240492,0.229789,0.019618,0.005120,0.030155,0.012477,0.035697,0.011908,0.033439,0.004864,0.004510,0.024117,0.033860,0.008178,0.007335,carolina
