@RELATION trained_models/babble/filtered/wiener/svm/snr_10/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.025921,0.004093,3.027426,0.110509,0.179591,0.126977,0.006886,0.020789,-26.539320,2.899608,0.463302,0.306887,0.259572,0.301098,0.135221,0.183259,-0.052041,0.064806,0.016356,0.019960,-0.043831,0.017757,0.002174,0.043389,0.008852,0.077939,0.007223,0.053811,0.001234,0.003328,0.023639,0.040591,0.002555,0.029440,0.000172,0.000008,0.006044,0.000306,0.000227,0.000939,0.000041,0.000209,0.018621,-0.007231,-0.004306,0.004708,-0.004554,-0.005278,-0.000138,0.002303,-0.002381,0.002666,0.001735,-0.001747,-0.002268,0.000100,0.000030,-0.000063,0.000103,-0.000101,0.000004,-0.000050,0.000014,-0.000015,0.000072,-0.000286,0.000037,-0.000051,0.010345,0.001943,0.161740,0.023555,0.022051,0.064325,0.002580,0.008818,0.579554,0.292965,0.287056,0.210821,0.205785,0.188962,0.163059,0.163485,0.158419,0.143241,0.157214,0.144046,0.147951,0.015316,0.002927,0.024357,0.007491,0.027575,0.005876,0.032933,0.001352,0.003290,0.020262,0.022738,0.002437,0.005506,0.013649,0.002695,0.226766,0.024634,0.023993,0.080857,0.003226,0.011534,0.655281,0.336770,0.362455,0.273687,0.279044,0.257582,0.232107,0.202678,0.210803,0.198363,0.202475,0.202773,0.181926,0.022624,0.003968,0.035747,0.010569,0.041033,0.008449,0.045118,0.001639,0.004584,0.028627,0.031792,0.003426,0.007635,carolina
0.026593,0.004246,2.996993,0.110913,0.178886,0.128993,0.006203,0.022659,-26.259144,2.754396,0.404331,0.395650,0.214136,0.343328,0.119488,0.107851,-0.028269,0.001043,0.016871,0.064218,-0.013110,0.015416,0.001614,0.038371,0.008903,0.073403,0.008017,0.062195,0.001429,0.003273,0.022595,0.043091,0.002406,0.029443,0.000064,-0.000019,-0.000002,0.000113,0.000183,0.000155,0.000037,0.000036,-0.008561,0.006559,0.001293,-0.004047,-0.002267,-0.003610,0.001013,0.002057,-0.000881,-0.003740,-0.000523,-0.001076,0.003669,0.000016,0.000010,0.000102,0.000204,-0.000406,0.000087,-0.000054,-0.000001,0.000040,-0.000208,0.000285,0.000022,-0.000057,0.008007,0.001600,0.200225,0.015721,0.018842,0.051349,0.002166,0.013723,0.842904,0.330990,0.354361,0.169440,0.179867,0.205335,0.176052,0.153588,0.151256,0.150947,0.138335,0.139919,0.146447,0.013476,0.001636,0.018945,0.006162,0.031072,0.006411,0.036244,0.002141,0.003036,0.015609,0.026231,0.002465,0.007188,0.009503,0.002099,0.292554,0.019542,0.023320,0.054170,0.002648,0.014031,0.778283,0.315859,0.392402,0.227772,0.243697,0.231221,0.236955,0.194256,0.197530,0.211732,0.202047,0.190674,0.193058,0.019839,0.002007,0.030078,0.008537,0.041580,0.008987,0.051349,0.002849,0.004196,0.023131,0.035086,0.003339,0.009167,carolina
0.028993,0.004167,3.012819,0.111570,0.178269,0.151597,0.006070,0.024501,-26.300892,2.748120,0.439785,0.317754,0.215499,0.268197,0.089056,0.168080,-0.005043,0.054345,0.032702,0.054055,-0.037567,0.015688,0.002535,0.044076,0.009417,0.076345,0.007730,0.060599,0.001212,0.004081,0.017986,0.037856,0.003198,0.029154,0.000005,-0.000003,0.000970,0.000144,0.000159,0.000041,0.000074,-0.000018,-0.000754,-0.001203,0.000068,0.000137,-0.000712,0.000432,0.002072,0.001979,-0.000639,-0.000521,-0.001106,-0.000787,-0.000077,-0.000034,0.000007,0.000414,0.000154,-0.000269,0.000003,-0.000189,-0.000001,-0.000024,0.000029,-0.000024,0.000014,-0.000008,0.012677,0.002293,0.187661,0.018794,0.021215,0.089406,0.002304,0.015121,0.949977,0.434368,0.318817,0.209299,0.224816,0.179952,0.197160,0.174129,0.167128,0.154869,0.144734,0.134250,0.147496,0.012284,0.002945,0.021185,0.007194,0.030141,0.005757,0.034164,0.001529,0.003884,0.013580,0.023999,0.003274,0.006941,0.015106,0.002465,0.286573,0.020555,0.023169,0.087468,0.003277,0.015189,0.806193,0.410006,0.318512,0.250367,0.269500,0.227390,0.242521,0.200855,0.210725,0.216614,0.189535,0.188125,0.201699,0.016888,0.003784,0.029901,0.010273,0.039247,0.007904,0.045598,0.002039,0.004883,0.018490,0.034480,0.003716,0.008031,carolina
0.027881,0.010477,3.053239,0.113258,0.180010,0.132798,0.006427,0.021724,-25.092293,2.832745,0.433692,0.339246,0.207581,0.363972,0.146481,0.137262,-0.023081,0.051276,-0.013378,-0.004631,-0.044309,0.017044,0.002594,0.049090,0.009712,0.079946,0.006457,0.052076,0.001188,0.003390,0.021020,0.036563,0.002383,0.029443,0.000163,-0.000017,-0.000372,-0.000084,-0.000195,0.000145,0.000055,-0.000054,-0.007507,-0.001647,0.006686,0.000857,-0.000723,-0.000913,-0.001625,0.001767,0.000288,0.001471,-0.001972,-0.002070,0.000462,0.000049,-0.000022,0.000170,0.000049,0.000014,-0.000019,-0.000323,-0.000011,-0.000042,-0.000083,0.000176,0.000048,-0.000006,0.010508,0.003435,0.110648,0.022509,0.022152,0.063609,0.002687,0.011155,0.736263,0.336982,0.307498,0.194005,0.189704,0.158802,0.194440,0.149013,0.162894,0.159113,0.162171,0.155137,0.150762,0.013068,0.003648,0.024434,0.007026,0.033388,0.005355,0.029730,0.001392,0.003353,0.017553,0.018501,0.002051,0.006346,0.013037,0.004486,0.153846,0.024927,0.023791,0.078670,0.003568,0.013829,0.772598,0.356311,0.343378,0.220545,0.257357,0.214606,0.275597,0.212130,0.196649,0.219858,0.212396,0.212549,0.193225,0.018754,0.004646,0.032507,0.010034,0.048071,0.007749,0.039065,0.001808,0.004591,0.023759,0.027478,0.003108,0.008373,carolina
0.026307,0.004188,3.005344,0.110121,0.178749,0.124890,0.006078,0.022151,-26.352125,2.803048,0.395900,0.335825,0.213116,0.344718,0.116064,0.162941,-0.007993,0.045914,0.005289,0.022352,-0.000427,0.015814,0.002383,0.045104,0.007440,0.078772,0.006705,0.049445,0.001311,0.003749,0.018874,0.045853,0.002480,0.029443,-0.000027,-0.000008,0.004576,0.000063,0.000014,0.000225,0.000061,0.000036,-0.002221,0.000479,0.001163,0.001190,-0.000785,-0.003440,-0.002914,0.000201,-0.002847,-0.003424,0.001080,-0.001141,-0.000765,0.000011,-0.000003,-0.000246,0.000069,-0.000264,0.000075,0.000915,0.000015,-0.000008,-0.000152,-0.000075,-0.000004,0.000069,0.006451,0.001919,0.203936,0.014423,0.017587,0.048424,0.002247,0.012164,0.814532,0.351005,0.336563,0.212479,0.162951,0.196994,0.172968,0.133830,0.151381,0.136627,0.138239,0.147759,0.137563,0.013173,0.002864,0.027279,0.005930,0.032222,0.005191,0.026351,0.001692,0.003915,0.013985,0.025344,0.002638,0.006422,0.008962,0.002586,0.275137,0.018108,0.021592,0.057129,0.002792,0.014201,0.806987,0.359719,0.336854,0.248233,0.231838,0.231772,0.202195,0.167187,0.196277,0.160689,0.200491,0.204158,0.180686,0.019113,0.003564,0.037451,0.008450,0.041982,0.007460,0.038576,0.002312,0.005229,0.019175,0.034357,0.003536,0.008410,carolina
0.025699,0.010879,3.053997,0.108384,0.176454,0.128046,0.006916,0.021534,-25.002796,2.796809,0.444054,0.337312,0.247015,0.364948,0.111816,0.127609,-0.041566,0.058098,0.011843,0.026503,-0.032365,0.016334,0.001569,0.046989,0.010485,0.075487,0.005791,0.057560,0.001686,0.003440,0.019547,0.042622,0.001898,0.030475,-0.000100,0.000118,-0.002760,0.000088,0.000221,-0.000502,0.000097,-0.000064,0.005370,-0.002241,-0.000006,0.005403,0.002537,-0.000033,0.001168,0.001193,-0.000367,0.001386,0.003090,0.000695,-0.000427,0.000001,-0.000022,-0.000396,-0.000019,0.000388,-0.000024,0.000001,-0.000004,-0.000093,-0.000221,0.000408,-0.000001,0.000076,0.008339,0.003331,0.125575,0.014018,0.016067,0.054563,0.002742,0.009707,0.634962,0.341337,0.309076,0.198510,0.194434,0.185540,0.166426,0.164451,0.180374,0.157789,0.137475,0.157994,0.137055,0.013576,0.001813,0.025056,0.009488,0.034358,0.005158,0.036576,0.002374,0.002794,0.013651,0.023551,0.001811,0.006572,0.009777,0.004542,0.181829,0.016661,0.019779,0.058275,0.003312,0.011305,0.730435,0.363990,0.328955,0.243174,0.237811,0.232335,0.215535,0.225455,0.238773,0.201421,0.187539,0.213672,0.187376,0.020340,0.002689,0.032194,0.013669,0.053252,0.007552,0.051153,0.003223,0.003750,0.020720,0.033490,0.002550,0.008739,carolina
0.026502,0.003939,3.028209,0.107699,0.175151,0.135897,0.006566,0.022377,-26.402396,2.771054,0.395137,0.340413,0.228407,0.312010,0.109402,0.117059,0.007263,0.066964,-0.011610,0.012221,-0.038397,0.016188,0.002758,0.046041,0.007923,0.067652,0.007599,0.061089,0.001019,0.003616,0.019492,0.048023,0.002538,0.029467,0.000073,-0.000030,-0.003133,0.000296,0.000574,-0.001667,0.000050,-0.000681,-0.023541,0.016931,0.006498,-0.002210,0.000077,-0.003556,0.003275,-0.006136,-0.000241,-0.001059,-0.005495,-0.003061,-0.000744,-0.000025,-0.000080,0.000245,0.000013,-0.000526,-0.000039,0.000622,-0.000020,-0.000029,0.000190,0.000635,0.000015,0.000070,0.007861,0.001784,0.182023,0.012833,0.015173,0.064351,0.002682,0.011981,0.855191,0.364627,0.284280,0.189532,0.231278,0.176447,0.200784,0.197059,0.167563,0.143858,0.146102,0.150373,0.143468,0.011858,0.003756,0.028061,0.006560,0.031212,0.006917,0.035973,0.001230,0.002862,0.014503,0.024176,0.002340,0.007543,0.009953,0.002407,0.254672,0.015609,0.018649,0.070594,0.003174,0.013008,0.780631,0.364671,0.302532,0.267767,0.290967,0.242648,0.258002,0.242310,0.219978,0.195442,0.185901,0.195257,0.195731,0.017901,0.004534,0.038953,0.008362,0.043783,0.009860,0.048825,0.001755,0.004076,0.021288,0.032583,0.003379,0.009328,carolina
0.027237,0.004387,2.993654,0.106091,0.173245,0.136845,0.006271,0.023094,-26.306900,2.763077,0.445867,0.278016,0.167855,0.366314,0.151523,0.135442,-0.044910,-0.011690,-0.000872,0.047702,-0.033778,0.016737,0.002704,0.051303,0.010377,0.073554,0.007911,0.048839,0.001601,0.003589,0.018824,0.039719,0.002455,0.028372,-0.000054,-0.000044,0.007418,-0.000091,-0.000249,0.001748,0.000082,-0.000218,-0.006708,0.001855,0.007140,-0.005986,0.003177,-0.007069,-0.000880,0.005748,-0.003739,-0.002781,-0.004539,0.001235,0.001190,0.000040,0.000005,0.000008,0.000098,0.000123,-0.000038,0.000380,-0.000085,0.000009,-0.000084,-0.000018,-0.000046,0.000089,0.008623,0.003179,0.252775,0.013694,0.016053,0.076713,0.002603,0.014460,1.050343,0.394536,0.368705,0.223091,0.224717,0.164766,0.178011,0.164516,0.162361,0.164249,0.163349,0.147761,0.159838,0.012250,0.002945,0.026720,0.007960,0.034555,0.005362,0.027171,0.002951,0.003253,0.013970,0.023507,0.002520,0.007056,0.010839,0.003974,0.346727,0.016603,0.020545,0.090506,0.003404,0.014137,0.911939,0.382515,0.338513,0.263059,0.262340,0.209809,0.201280,0.215838,0.204584,0.200429,0.200717,0.191247,0.206279,0.018478,0.003876,0.037408,0.010533,0.045114,0.006688,0.038499,0.003698,0.004035,0.020113,0.031692,0.003192,0.008450,carolina
0.027763,0.004294,3.025383,0.108047,0.173247,0.143781,0.006753,0.024673,-26.208271,2.715511,0.376411,0.340375,0.139662,0.283035,0.093349,0.128049,-0.010859,0.057125,-0.007365,0.050259,0.010618,0.015361,0.002898,0.052582,0.007954,0.060471,0.008556,0.065195,0.001100,0.004285,0.020135,0.042809,0.003087,0.029853,0.000100,-0.000017,0.001383,0.000182,0.000225,0.000650,0.000042,0.000127,-0.002763,-0.002933,0.001773,0.001394,0.000946,0.000871,-0.002780,-0.000808,-0.001373,0.002067,0.002462,-0.001362,-0.001578,-0.000033,0.000009,0.000239,-0.000038,0.000303,-0.000045,0.000092,0.000008,-0.000011,-0.000303,-0.000352,-0.000018,0.000042,0.010906,0.002815,0.159401,0.019550,0.021367,0.072510,0.003063,0.014109,1.021778,0.456181,0.340730,0.196173,0.225645,0.204588,0.178156,0.173471,0.201274,0.150576,0.153245,0.142608,0.150203,0.010995,0.003444,0.027105,0.006402,0.035608,0.005856,0.042690,0.001237,0.003875,0.014643,0.023077,0.003086,0.008738,0.012284,0.003689,0.243826,0.021537,0.023186,0.069569,0.003699,0.014820,1.012283,0.411360,0.421421,0.237783,0.265512,0.274321,0.235610,0.215511,0.266753,0.206426,0.203689,0.208976,0.194024,0.016590,0.004322,0.036970,0.009041,0.050920,0.009342,0.053926,0.001686,0.005663,0.020858,0.029127,0.004034,0.011102,carolina
0.027586,0.005775,3.018251,0.112424,0.180397,0.140014,0.006497,0.023412,-25.831949,2.722241,0.454787,0.374413,0.177363,0.376560,0.140648,0.138796,-0.053231,0.024550,0.003443,0.038384,-0.013742,0.013798,0.001753,0.043964,0.010346,0.072704,0.006597,0.057306,0.001234,0.003071,0.019743,0.049532,0.002351,0.029819,0.000045,0.000006,-0.003861,-0.000036,0.000018,-0.000266,0.000045,0.000045,0.003578,0.003609,-0.000830,-0.000963,0.000441,-0.000113,-0.002675,-0.003710,0.000504,-0.000259,0.003455,-0.001377,0.001576,0.000083,-0.000013,0.000261,-0.000130,-0.000771,-0.000007,0.000206,0.000008,0.000031,0.000055,0.000605,0.000007,-0.000069,0.008559,0.001823,0.136047,0.016747,0.016310,0.068950,0.002280,0.014038,0.733328,0.400068,0.281919,0.237521,0.162719,0.173035,0.176084,0.173046,0.174236,0.137885,0.160443,0.150573,0.118563,0.013071,0.001881,0.022882,0.007171,0.031375,0.005678,0.034853,0.001585,0.002431,0.014964,0.026272,0.002690,0.006459,0.011481,0.002344,0.181349,0.020110,0.020671,0.081015,0.002864,0.017722,0.775721,0.416225,0.369085,0.289513,0.215982,0.246362,0.235653,0.213233,0.249659,0.183138,0.202787,0.206184,0.176808,0.018145,0.002531,0.032289,0.010252,0.044171,0.008627,0.046611,0.002233,0.003525,0.022207,0.037368,0.003628,0.008755,carolina
