@RELATION trained_models/babble/original//svm/snr_0/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.038643,0.008383,3.090370,0.121558,0.181146,0.209138,0.007268,0.040690,-25.120935,2.823045,0.224520,0.180880,0.148298,0.165410,0.210533,0.224504,-0.052581,0.027853,0.012230,-0.017692,-0.134416,0.026430,0.004678,0.039530,0.011763,0.051659,0.008422,0.037620,0.001678,0.003846,0.024595,0.042887,0.004384,0.024165,0.000077,-0.000018,0.001471,0.000416,0.000521,0.000866,0.000037,0.000036,0.004847,-0.007313,-0.002150,0.006375,0.001990,-0.005037,0.001027,0.002605,-0.002982,0.002180,-0.001903,-0.001350,-0.000040,0.000295,-0.000010,0.000130,0.000072,0.000143,0.000090,0.000455,0.000008,0.000051,0.000038,-0.000937,0.000049,-0.000068,0.023281,0.003015,0.127575,0.044630,0.032795,0.163741,0.002821,0.036399,0.795569,0.367115,0.430637,0.261830,0.295237,0.273019,0.225975,0.224165,0.213513,0.167780,0.210518,0.184053,0.187400,0.022878,0.007168,0.025274,0.012781,0.024010,0.007726,0.023743,0.002156,0.003537,0.017327,0.024423,0.004914,0.006547,0.026832,0.003830,0.172896,0.044959,0.034644,0.199984,0.003606,0.052217,0.843413,0.421529,0.506126,0.314177,0.377585,0.305304,0.279285,0.278418,0.257396,0.215109,0.235710,0.226943,0.226575,0.031548,0.009925,0.033952,0.017578,0.033779,0.011268,0.032269,0.002847,0.004815,0.024177,0.030182,0.006653,0.008440,carolina
0.033054,0.008334,3.072070,0.113615,0.175537,0.166572,0.006626,0.030762,-25.081010,2.709583,0.252882,0.275826,0.067847,0.229597,0.189728,0.122672,-0.003543,0.008947,0.004212,0.059947,-0.057609,0.024085,0.003397,0.037601,0.009438,0.052552,0.010952,0.045669,0.002337,0.005577,0.021781,0.041277,0.004865,0.024168,0.000059,-0.000006,0.000327,0.000072,0.000004,0.000155,0.000049,-0.000036,-0.009168,0.008722,0.002356,-0.002862,-0.000773,-0.002934,-0.002234,-0.000581,-0.002359,-0.003001,0.001764,0.005085,0.005036,0.000146,-0.000097,-0.000089,-0.000082,-0.000425,0.000033,0.000036,-0.000012,0.000017,0.000259,0.000340,-0.000005,0.000029,0.013702,0.003280,0.139415,0.028584,0.027773,0.091217,0.002070,0.018585,0.904175,0.364979,0.530601,0.243547,0.278867,0.283543,0.238140,0.192736,0.208282,0.176981,0.173740,0.194211,0.201262,0.022041,0.004375,0.020564,0.008035,0.026867,0.010000,0.029324,0.004419,0.006244,0.014576,0.026158,0.007727,0.006886,0.017910,0.003763,0.178884,0.033295,0.033547,0.114538,0.002475,0.022717,0.829601,0.350914,0.546778,0.295489,0.333497,0.321776,0.282198,0.244497,0.256746,0.218270,0.232532,0.249039,0.239688,0.029584,0.005816,0.029878,0.011018,0.032366,0.012978,0.036507,0.006257,0.008624,0.020249,0.033710,0.011435,0.009134,carolina
0.036053,0.007347,3.111109,0.117067,0.176372,0.198929,0.006939,0.033212,-25.233075,2.675545,0.316226,0.188828,0.069408,0.213113,0.161605,0.196455,-0.009047,-0.004575,-0.005713,0.053542,-0.121403,0.020898,0.005973,0.041366,0.012929,0.053983,0.008679,0.046203,0.002331,0.006391,0.019297,0.034619,0.005510,0.024126,-0.000027,0.000007,0.003041,0.000402,0.000632,-0.000189,0.000029,0.000036,0.003986,-0.000166,0.006388,-0.001678,-0.002086,0.000783,-0.004195,0.000967,0.000144,0.000156,0.000885,0.000565,-0.001011,0.000072,0.000010,0.000126,0.000081,-0.000154,-0.000015,-0.000724,-0.000001,-0.000012,0.000123,0.000232,-0.000001,-0.000050,0.018886,0.003336,0.117035,0.036698,0.032382,0.129181,0.002648,0.018045,0.960805,0.422997,0.450391,0.286984,0.321675,0.232525,0.227504,0.238055,0.211964,0.168489,0.194067,0.179519,0.186648,0.017439,0.009933,0.020243,0.012282,0.029837,0.008019,0.028889,0.004299,0.007729,0.014106,0.024128,0.006605,0.006956,0.022196,0.004295,0.169174,0.038942,0.034463,0.145636,0.003192,0.019042,1.045470,0.398071,0.471831,0.327893,0.369813,0.277382,0.275791,0.279724,0.262714,0.230953,0.248521,0.228755,0.260972,0.022176,0.013016,0.028292,0.016444,0.039885,0.011975,0.035019,0.006743,0.009423,0.018425,0.032777,0.008654,0.007851,carolina
0.038721,0.019187,3.091157,0.125766,0.184037,0.203523,0.006929,0.037831,-24.044236,2.803804,0.271895,0.231393,0.004171,0.231851,0.208430,0.133752,-0.014630,0.044872,-0.029895,-0.050913,-0.133201,0.024487,0.006086,0.042603,0.012713,0.054105,0.006803,0.039351,0.002341,0.006371,0.022588,0.036806,0.004664,0.025136,0.000036,-0.000128,-0.000507,0.000343,0.000322,0.001230,0.000126,-0.000100,-0.014046,-0.012699,0.017003,0.002610,-0.000978,0.007875,-0.002855,-0.002259,0.000874,0.000557,-0.000484,-0.002008,0.002007,-0.000034,-0.000119,-0.000331,-0.000051,0.000958,-0.000051,0.000283,-0.000010,-0.000254,0.000013,-0.000075,-0.000117,0.000155,0.021835,0.007596,0.109077,0.046196,0.033590,0.166923,0.002683,0.040116,0.819443,0.382215,0.495435,0.262652,0.280699,0.213784,0.233808,0.171168,0.232358,0.192113,0.180460,0.171896,0.227861,0.023083,0.009029,0.025128,0.012799,0.031163,0.005059,0.023762,0.003647,0.008323,0.020844,0.021141,0.005003,0.006786,0.025688,0.008628,0.146606,0.045587,0.031190,0.208470,0.003387,0.058937,0.919183,0.474590,0.479831,0.303129,0.324068,0.259982,0.284981,0.223835,0.252088,0.237867,0.214442,0.223581,0.256836,0.028551,0.011562,0.029187,0.016768,0.043040,0.007413,0.029879,0.004577,0.010364,0.026271,0.026505,0.006601,0.008897,carolina
0.035504,0.007435,3.071527,0.118334,0.180730,0.173952,0.006746,0.030354,-25.246869,2.746250,0.257568,0.251444,0.039535,0.270585,0.173466,0.206881,0.025197,0.023721,-0.010413,-0.004803,-0.062234,0.023924,0.004948,0.042178,0.008849,0.053026,0.007308,0.041261,0.002224,0.006099,0.023138,0.038940,0.005770,0.024333,0.000054,-0.000001,-0.000414,0.000142,0.000142,0.000175,0.000044,-0.000082,-0.005593,0.003928,0.000173,0.005337,0.001566,-0.004705,-0.005482,0.001674,-0.001081,0.000330,-0.000580,-0.001804,-0.002431,0.000253,-0.000066,-0.000095,0.000035,-0.000055,-0.000082,0.000284,0.000011,0.000008,-0.000087,0.000034,0.000011,-0.000016,0.014222,0.002896,0.172150,0.029712,0.026394,0.104683,0.002424,0.013902,0.830197,0.385435,0.470629,0.248129,0.232983,0.286954,0.252293,0.208471,0.200637,0.186083,0.172944,0.157572,0.177909,0.023269,0.006511,0.023288,0.006791,0.027767,0.007339,0.025042,0.003247,0.006764,0.015680,0.024422,0.008187,0.005868,0.018620,0.003426,0.247638,0.034726,0.029895,0.132945,0.003094,0.015786,0.821391,0.407233,0.471351,0.310484,0.278778,0.317789,0.291041,0.249512,0.259385,0.255371,0.217617,0.209513,0.240873,0.031028,0.008530,0.029668,0.008787,0.037285,0.009499,0.035053,0.003536,0.008887,0.021042,0.031637,0.010261,0.007885,carolina
0.033081,0.019874,3.116836,0.113001,0.175474,0.179683,0.006869,0.032940,-23.809416,2.710207,0.262537,0.189843,0.089500,0.286730,0.155196,0.165885,-0.032490,0.021133,-0.022976,-0.015854,-0.113412,0.020207,0.003956,0.046420,0.016603,0.049862,0.007559,0.041744,0.003248,0.005068,0.021112,0.038696,0.004177,0.024950,0.000104,0.000017,-0.000985,0.000235,0.000363,-0.000187,0.000087,0.000009,0.005955,-0.006224,-0.005862,0.007458,0.001144,0.003034,0.003418,-0.000461,0.004483,-0.000911,0.003416,0.002795,-0.002355,0.000015,-0.000006,-0.000656,-0.000149,-0.000052,-0.000110,0.000135,0.000002,-0.000067,0.000051,0.000982,0.000000,0.000024,0.014262,0.006321,0.092552,0.029889,0.027994,0.107811,0.002478,0.016868,0.778925,0.351517,0.495910,0.268191,0.273195,0.291617,0.225925,0.222967,0.190637,0.192180,0.166116,0.171239,0.178638,0.015025,0.004162,0.028587,0.018135,0.026135,0.008822,0.028316,0.005873,0.005362,0.013752,0.023228,0.005509,0.006758,0.015412,0.007047,0.121074,0.031727,0.031503,0.121824,0.003313,0.018328,0.745354,0.424747,0.477487,0.292476,0.291378,0.340200,0.279699,0.257562,0.252591,0.233501,0.192077,0.211267,0.219646,0.022014,0.004839,0.037148,0.020706,0.035866,0.012334,0.040346,0.007697,0.007621,0.019726,0.032123,0.007346,0.008715,carolina
0.033739,0.006275,3.099943,0.113437,0.174206,0.185232,0.006713,0.033466,-25.425799,2.723829,0.204782,0.229449,0.093878,0.207200,0.197420,0.125220,-0.002393,0.027482,-0.026048,0.005767,-0.062318,0.020026,0.006626,0.039352,0.011345,0.048752,0.007498,0.042624,0.002183,0.004431,0.019290,0.051025,0.003585,0.024910,0.000422,-0.000043,-0.000108,0.000906,0.000725,0.001896,0.000057,-0.000526,-0.026764,0.010526,0.006993,0.000328,0.002238,-0.001561,0.004624,-0.005270,-0.003095,-0.005397,-0.005434,-0.002715,0.003774,-0.000080,-0.000061,0.000095,0.000059,0.000767,0.000130,0.000002,-0.000044,-0.000028,0.000088,-0.000044,-0.000068,0.000191,0.013902,0.002592,0.120063,0.031804,0.029610,0.118868,0.002300,0.018773,0.860812,0.371749,0.399126,0.230601,0.297875,0.262672,0.210163,0.268755,0.205217,0.182154,0.171040,0.185963,0.199447,0.015103,0.010056,0.021110,0.011792,0.027127,0.006224,0.027743,0.004458,0.003764,0.014797,0.028748,0.004557,0.006134,0.017224,0.003078,0.161823,0.037266,0.033401,0.147468,0.003130,0.024004,0.863298,0.427495,0.438804,0.298922,0.329800,0.322942,0.279220,0.339701,0.263371,0.237371,0.225455,0.240240,0.240670,0.018986,0.011393,0.028578,0.016318,0.035078,0.008256,0.037046,0.006334,0.004684,0.021043,0.033842,0.005826,0.007701,carolina
0.034043,0.006877,3.064565,0.110521,0.172987,0.188914,0.006463,0.034664,-25.255519,2.629250,0.315792,0.159328,-0.065493,0.271124,0.198263,0.155776,0.001640,-0.037494,-0.024372,0.060152,-0.090101,0.021104,0.006170,0.047746,0.013934,0.055601,0.008708,0.036422,0.002733,0.004561,0.017670,0.035109,0.005307,0.023888,-0.000436,-0.000062,0.004636,-0.000553,-0.000779,0.001083,0.000087,-0.000181,-0.008772,0.000268,0.006587,-0.005286,0.002636,-0.007126,-0.001772,0.004365,-0.003454,-0.002349,-0.004316,0.000912,0.000979,0.000073,0.000005,-0.000086,0.000097,0.000213,-0.000147,0.000440,-0.000033,0.000051,-0.000228,-0.000099,0.000031,0.000096,0.014334,0.003450,0.205498,0.023451,0.024488,0.136048,0.002438,0.021031,1.035655,0.391712,0.494196,0.272344,0.298878,0.253892,0.237414,0.227967,0.210579,0.196821,0.215010,0.177242,0.183472,0.017555,0.007544,0.025697,0.010961,0.031797,0.008315,0.023010,0.004178,0.003836,0.011842,0.019623,0.006909,0.006704,0.016144,0.003624,0.271342,0.028689,0.028076,0.165655,0.002951,0.026593,0.913080,0.436305,0.424519,0.306233,0.348082,0.308843,0.284959,0.270355,0.258376,0.234101,0.242220,0.232717,0.247244,0.024174,0.010484,0.033914,0.015021,0.036818,0.011401,0.032439,0.004958,0.004873,0.015617,0.025028,0.009826,0.007929,carolina
0.034773,0.008170,3.079045,0.111394,0.171210,0.184324,0.006346,0.034138,-25.037341,2.707513,0.204691,0.219963,0.004118,0.214825,0.142194,0.145929,0.000473,0.047381,-0.016370,0.004355,-0.067258,0.019562,0.006231,0.048548,0.010420,0.041207,0.009646,0.041808,0.002053,0.006911,0.021581,0.047820,0.004161,0.024144,-0.000073,0.000007,0.003657,0.000150,0.000330,-0.000017,0.000055,0.000027,0.002706,0.001075,-0.000366,-0.000913,0.000146,0.001788,-0.003341,0.000609,-0.001200,-0.001754,-0.000159,-0.002720,-0.004165,0.000120,0.000140,0.000597,0.000033,0.000073,-0.000013,-0.000393,0.000045,0.000006,-0.000153,-0.000645,-0.000005,-0.000020,0.017868,0.003995,0.169732,0.034619,0.027932,0.132520,0.002571,0.018497,1.067319,0.448430,0.436712,0.273533,0.307976,0.248463,0.231873,0.214073,0.228320,0.158824,0.197360,0.166773,0.188680,0.015829,0.007913,0.026721,0.009224,0.026427,0.008678,0.026333,0.003213,0.007269,0.015395,0.024136,0.004462,0.006885,0.019520,0.003967,0.245147,0.038445,0.031238,0.143969,0.003146,0.021897,0.900504,0.425382,0.471830,0.320191,0.336656,0.335938,0.278804,0.247011,0.267853,0.212129,0.240618,0.236212,0.239358,0.019914,0.010295,0.034421,0.013184,0.033224,0.011544,0.031961,0.004403,0.009096,0.019968,0.029674,0.006155,0.008597,carolina
0.034342,0.012149,3.099606,0.114943,0.177864,0.182756,0.006722,0.035780,-24.473227,2.698541,0.273000,0.247509,0.014787,0.261511,0.205458,0.170604,-0.050570,0.011509,0.001335,0.026272,-0.078496,0.020229,0.003588,0.038956,0.011123,0.051364,0.008648,0.042064,0.002409,0.005155,0.019486,0.050917,0.004922,0.024764,0.000091,0.000031,-0.002805,-0.000117,-0.000085,-0.000255,0.000035,0.000000,0.005504,0.003756,-0.002074,-0.002796,0.001073,-0.001628,-0.002140,-0.001766,0.001237,-0.002506,0.004286,0.001235,0.003125,-0.000049,-0.000052,-0.000997,-0.000023,-0.000212,0.000006,0.000114,-0.000002,0.000051,-0.000081,0.001116,-0.000014,-0.000042,0.016109,0.003527,0.109318,0.029207,0.025947,0.131268,0.002365,0.025586,0.687771,0.384579,0.393793,0.283853,0.242247,0.264176,0.227269,0.242836,0.215146,0.179839,0.209881,0.187886,0.189554,0.018744,0.004574,0.024765,0.010041,0.026134,0.010297,0.022635,0.003527,0.004928,0.013995,0.026973,0.006807,0.006110,0.019397,0.004835,0.134098,0.032623,0.030767,0.151410,0.002918,0.033827,0.873461,0.484539,0.481361,0.311692,0.312599,0.348839,0.265427,0.284525,0.258265,0.244219,0.248278,0.229550,0.243447,0.026883,0.006613,0.033131,0.013417,0.035216,0.014156,0.030796,0.004694,0.006022,0.018988,0.037329,0.007622,0.007941,carolina
