@RELATION trained_models/oficina/filtered/mmse/svm/snr_-10/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.081071,0.015477,3.057171,0.153246,0.177857,0.518695,0.014413,0.125363,-25.319166,2.008450,-0.508978,-0.167516,0.013579,-0.154178,0.326810,0.291594,-0.268940,-0.068148,-0.062696,-0.052798,-0.007454,0.014243,0.010312,0.026589,0.022698,0.022403,0.016725,0.014719,0.005672,0.005506,0.011500,0.018631,0.005657,0.021648,0.000259,-0.000084,0.001723,0.000378,0.000420,0.001089,0.000052,0.000290,-0.047763,-0.012153,-0.006094,0.009753,-0.001601,-0.007200,0.004504,0.000625,-0.006561,0.004709,-0.001155,0.000869,0.006782,0.000297,-0.000020,0.000175,0.000049,0.000020,0.000071,0.000832,0.000052,0.000083,-0.000418,-0.001153,0.000044,-0.000130,0.074684,0.011038,0.202585,0.087100,0.043433,0.557558,0.010054,0.137216,1.732673,0.790735,0.911723,0.489971,0.528665,0.558892,0.480730,0.443866,0.402122,0.315904,0.398081,0.302437,0.333815,0.024975,0.018097,0.029231,0.029163,0.028514,0.027227,0.018445,0.009268,0.007401,0.017174,0.020618,0.009113,0.013307,0.081922,0.013550,0.284227,0.085955,0.047743,0.640763,0.011988,0.157624,1.764320,0.804970,0.975301,0.548941,0.619493,0.537295,0.506551,0.438619,0.439893,0.362710,0.384583,0.338331,0.349343,0.032034,0.025816,0.037719,0.035241,0.037542,0.036898,0.022938,0.012219,0.009004,0.019694,0.020158,0.012091,0.017066,carolina
0.075440,0.013672,3.021927,0.149952,0.173392,0.517316,0.012707,0.127151,-26.371076,1.903013,-0.421933,-0.110321,-0.196359,0.014638,0.353602,0.063722,-0.063832,-0.068793,-0.055130,0.096750,-0.050494,0.018861,0.008647,0.021180,0.010756,0.015695,0.020602,0.018138,0.006904,0.008984,0.010064,0.015030,0.006887,0.019036,0.001411,0.000003,0.001880,0.002010,0.000007,0.019273,0.000019,0.003348,-0.015104,0.002174,0.005897,0.004295,-0.001639,-0.000910,0.000529,-0.000852,0.001682,-0.000310,0.000415,0.006936,-0.000610,-0.000371,-0.000541,-0.000341,0.000040,-0.000042,0.000003,-0.000022,-0.000005,-0.000032,0.000033,-0.000053,-0.000076,-0.000117,0.064938,0.015558,0.241419,0.078970,0.044265,0.546692,0.006772,0.131308,2.306410,0.754696,1.217342,0.621261,0.597815,0.620020,0.518751,0.396226,0.413168,0.339528,0.331071,0.358674,0.341306,0.027511,0.015586,0.024289,0.012292,0.018359,0.025139,0.026076,0.012603,0.015237,0.011125,0.017554,0.010697,0.010132,0.074342,0.015804,0.353829,0.081845,0.046976,0.631416,0.008134,0.155172,1.634981,0.787462,1.155374,0.592535,0.611863,0.587264,0.529991,0.421417,0.396674,0.378143,0.370290,0.384835,0.367112,0.033450,0.019643,0.029285,0.018278,0.020533,0.030069,0.034250,0.017526,0.020907,0.014323,0.021928,0.014937,0.014349,carolina
0.079982,0.015504,3.018154,0.156110,0.174782,0.602578,0.013067,0.144955,-25.893972,1.897919,-0.201875,-0.288958,-0.199398,0.099866,0.245152,0.189906,-0.044142,-0.119125,-0.085732,-0.001125,-0.186264,0.019542,0.012353,0.028030,0.018311,0.018847,0.009770,0.023909,0.006145,0.008252,0.012415,0.011495,0.007386,0.022345,0.001139,0.000005,-0.000507,0.001659,0.000920,0.004336,0.000022,0.004220,0.024169,-0.008113,0.014586,-0.005858,-0.001071,0.002917,-0.012943,0.000681,-0.007057,0.000738,0.000935,-0.000475,0.001836,0.000003,-0.000001,-0.000062,0.000007,0.000563,0.000207,-0.001722,0.000011,0.000009,0.000058,0.000091,-0.000003,-0.000278,0.067469,0.014038,0.272854,0.085435,0.045397,0.573813,0.008939,0.148694,2.199523,0.875567,1.070818,0.606627,0.613390,0.494678,0.477903,0.496220,0.399083,0.334960,0.341172,0.336240,0.262731,0.025636,0.021971,0.028709,0.029364,0.024719,0.014882,0.039429,0.013766,0.013850,0.016902,0.012755,0.010577,0.014942,0.077159,0.015495,0.373022,0.085192,0.048941,0.673845,0.010923,0.160481,2.024070,0.753092,0.934955,0.628565,0.607989,0.464102,0.439164,0.503909,0.440530,0.406091,0.368179,0.360964,0.301292,0.026760,0.027849,0.037719,0.038215,0.032284,0.020281,0.045310,0.020120,0.017856,0.021954,0.017164,0.012407,0.019516,carolina
0.100853,0.021198,2.997054,0.183102,0.189963,0.702470,0.011834,0.151579,-25.911313,2.012751,-0.479790,-0.156143,-0.211530,0.018685,0.294248,0.047491,-0.051098,0.036969,-0.080544,-0.099840,-0.195674,0.023516,0.011156,0.019557,0.012977,0.015019,0.005768,0.012653,0.005166,0.009443,0.013694,0.018145,0.007900,0.018945,0.000340,-0.000138,0.011342,0.000441,0.000177,0.007472,0.000093,0.000789,-0.039993,-0.024151,0.035660,-0.001884,0.003301,0.013401,-0.005750,-0.002894,-0.003378,-0.003730,0.000987,-0.001972,-0.002028,0.000085,-0.000254,0.000020,-0.000069,0.000058,0.000043,0.000033,-0.000025,-0.000040,0.000062,0.000367,-0.000289,0.000021,0.086342,0.022176,0.294216,0.099224,0.042184,0.699116,0.008458,0.157884,1.883363,0.792724,1.138175,0.581129,0.654473,0.480988,0.468880,0.417258,0.424676,0.417063,0.330374,0.310702,0.340549,0.036025,0.020172,0.023510,0.019175,0.020223,0.007757,0.017509,0.009291,0.016902,0.016513,0.020099,0.012106,0.011715,0.086911,0.024273,0.424980,0.088907,0.040934,0.754778,0.008956,0.173171,1.933486,0.798058,0.988694,0.557021,0.610710,0.485264,0.494108,0.437121,0.412051,0.403594,0.349140,0.354360,0.332990,0.042367,0.024729,0.030189,0.027094,0.025347,0.009484,0.023873,0.010467,0.022643,0.021343,0.024149,0.016917,0.015274,carolina
0.097441,0.016752,3.066690,0.184003,0.192200,0.716665,0.011216,0.159328,-25.795654,1.811701,-0.383356,-0.248385,-0.286538,0.145849,0.090731,0.219333,0.052141,-0.039492,-0.045323,-0.069340,-0.093904,0.016768,0.010464,0.018294,0.011797,0.010081,0.010901,0.010881,0.004466,0.012316,0.016202,0.016152,0.012885,0.019115,0.000817,0.000006,-0.002480,0.000421,-0.000223,0.002683,0.000020,0.000381,-0.005190,0.015876,-0.003124,0.012931,0.001654,-0.006964,-0.006935,-0.000981,-0.000207,0.002908,0.000474,0.000395,-0.005313,0.000054,-0.000264,-0.000148,-0.000005,-0.000008,-0.000070,-0.000006,-0.000000,0.000011,0.000071,0.000012,0.000010,-0.000025,0.071347,0.016956,0.196675,0.082990,0.043516,0.622547,0.006457,0.139245,1.857510,0.882989,1.101118,0.528446,0.546438,0.637882,0.513355,0.391254,0.385206,0.335340,0.347384,0.312738,0.307875,0.025966,0.018077,0.022246,0.017860,0.012254,0.020872,0.009048,0.008464,0.023288,0.026255,0.026308,0.025064,0.011278,0.082359,0.017108,0.293819,0.089365,0.044434,0.729548,0.007968,0.174392,1.628959,0.839332,0.924140,0.563648,0.556611,0.588455,0.494151,0.430488,0.415158,0.368785,0.355688,0.338699,0.330457,0.035535,0.024819,0.027628,0.019717,0.014971,0.024968,0.012363,0.009287,0.030095,0.035365,0.033337,0.030247,0.014982,carolina
0.077001,0.020836,3.058577,0.162875,0.188789,0.593782,0.011959,0.124991,-25.356102,1.626725,-0.489662,-0.255990,-0.030166,0.226562,0.173544,0.114546,-0.215120,-0.074739,-0.040153,-0.041570,-0.152088,0.012548,0.005710,0.026719,0.024888,0.014047,0.012902,0.013058,0.009366,0.007370,0.011412,0.013859,0.005722,0.020742,0.000449,-0.000022,0.000354,0.001075,0.000864,0.003520,0.000049,0.000054,0.007560,-0.020536,-0.021207,0.003688,-0.006115,0.001654,0.014017,-0.002410,0.009887,-0.004650,0.005349,0.004011,-0.008944,-0.000050,0.000063,-0.000578,-0.000321,-0.000519,-0.000022,0.000054,0.000011,-0.000017,-0.000088,0.000384,0.000032,-0.000097,0.050211,0.017672,0.201348,0.074744,0.044690,0.506825,0.007995,0.103729,1.916014,0.777388,1.202321,0.568288,0.529511,0.603239,0.479919,0.440754,0.341336,0.322127,0.328393,0.284561,0.330615,0.016408,0.008254,0.034083,0.044042,0.013434,0.021029,0.019860,0.018368,0.011574,0.016037,0.017487,0.009130,0.014048,0.052979,0.018241,0.278039,0.077079,0.050571,0.566728,0.008605,0.116918,1.664474,0.822952,1.007492,0.532375,0.551957,0.588833,0.509634,0.425326,0.374672,0.363433,0.310342,0.337462,0.341466,0.022316,0.010204,0.038289,0.052764,0.017097,0.028641,0.027177,0.024056,0.015419,0.022219,0.022124,0.010632,0.017974,carolina
0.089877,0.016459,3.064693,0.170527,0.183948,0.709459,0.011539,0.146633,-25.761431,1.667666,-0.423456,-0.069829,-0.004651,0.082239,0.251463,0.006658,-0.060163,0.033367,-0.029421,0.013030,-0.141611,0.010807,0.009725,0.012036,0.011398,0.014381,0.010424,0.014770,0.006901,0.007333,0.013287,0.022731,0.006939,0.018189,0.000381,0.000254,0.001043,0.001550,0.000641,0.003569,0.000044,0.001325,-0.024034,0.023571,0.018069,0.010335,-0.001765,-0.018811,0.001201,-0.008029,-0.002948,-0.011472,-0.006579,-0.002819,0.009508,-0.000033,-0.000061,0.000038,0.000093,0.002267,0.000104,-0.000372,-0.000080,-0.000144,-0.000023,-0.000056,-0.000031,0.000520,0.068997,0.017762,0.231603,0.083370,0.044165,0.660980,0.009558,0.131658,1.997633,0.908671,1.047031,0.547384,0.620944,0.596262,0.469467,0.524502,0.416493,0.348535,0.289735,0.301725,0.379536,0.015109,0.017756,0.015709,0.017981,0.024163,0.018157,0.015335,0.012819,0.011701,0.017550,0.031586,0.013113,0.013203,0.069746,0.018891,0.314464,0.081539,0.048652,0.631445,0.012511,0.131866,1.697928,0.779394,0.986778,0.552556,0.603211,0.581285,0.506354,0.504640,0.503333,0.386017,0.337941,0.340858,0.416914,0.018179,0.018519,0.020194,0.024102,0.025065,0.022373,0.021561,0.017143,0.015271,0.023155,0.035829,0.015266,0.016252,carolina
0.074006,0.017616,3.038076,0.152067,0.178362,0.577436,0.010692,0.115381,-25.498176,1.558422,-0.274033,-0.256629,-0.313222,0.246081,0.254722,0.060477,0.001013,-0.050766,-0.073086,0.124084,-0.174446,0.015856,0.009313,0.022261,0.019034,0.025968,0.012990,0.016055,0.006084,0.005469,0.009973,0.012160,0.007152,0.019685,-0.001951,-0.000059,0.002566,-0.002118,-0.001295,-0.005190,0.000088,-0.003575,-0.019621,-0.005598,0.007354,-0.009724,0.009912,-0.007094,-0.001258,0.009265,-0.004149,0.001385,-0.002706,0.002028,0.000077,-0.000095,0.000071,0.000109,-0.000017,-0.000004,-0.000000,0.000025,-0.000013,-0.000007,-0.000180,-0.000109,0.000034,-0.000035,0.045877,0.017197,0.225466,0.059096,0.040415,0.472078,0.005467,0.081604,2.006347,0.736658,1.131757,0.551204,0.546164,0.554023,0.485733,0.429014,0.370234,0.362373,0.379435,0.284652,0.261519,0.024731,0.015823,0.025621,0.022854,0.032230,0.018274,0.024843,0.011945,0.007292,0.012159,0.011940,0.011931,0.012308,0.052640,0.018608,0.306524,0.070531,0.043253,0.533930,0.007022,0.099483,1.694302,0.864076,0.893019,0.550863,0.578631,0.622988,0.532321,0.443152,0.371192,0.378141,0.426902,0.298908,0.316610,0.031625,0.019610,0.028951,0.028622,0.038642,0.021214,0.032705,0.015256,0.010129,0.014734,0.014032,0.015529,0.016185,carolina
0.068403,0.018049,3.069004,0.146077,0.175324,0.483141,0.012028,0.108303,-25.769300,2.010919,-0.329253,-0.015236,-0.137370,0.166810,0.222451,0.051628,-0.127512,-0.009639,-0.214044,-0.095349,-0.113438,0.018558,0.008717,0.031527,0.012338,0.017218,0.015516,0.013605,0.006448,0.012574,0.014025,0.022794,0.005773,0.023120,-0.000817,0.000050,0.002076,-0.000669,-0.000033,-0.012667,0.000188,-0.001425,0.034536,0.010544,-0.010273,0.001027,-0.005987,0.000397,-0.004235,0.003834,-0.003577,-0.006571,-0.003693,-0.005910,-0.007226,0.000274,0.000166,0.001667,0.000040,-0.000083,-0.000026,-0.000146,0.000032,-0.000021,-0.000123,-0.000159,0.000003,0.000424,0.059260,0.018564,0.188035,0.075557,0.040228,0.539031,0.008283,0.116298,2.346057,0.828507,0.996076,0.583108,0.685104,0.483806,0.461487,0.435941,0.421802,0.292672,0.346981,0.293360,0.325526,0.019770,0.014316,0.037655,0.015987,0.022863,0.025324,0.018881,0.013924,0.017968,0.016772,0.024945,0.009676,0.013058,0.068086,0.015162,0.260002,0.077740,0.042655,0.623833,0.010420,0.137681,1.628983,0.803953,0.926679,0.573879,0.594487,0.499237,0.470891,0.411473,0.446466,0.315964,0.365073,0.361281,0.334212,0.023138,0.019164,0.042659,0.019278,0.030215,0.028474,0.024257,0.018861,0.020608,0.020160,0.029562,0.012844,0.018343,carolina
0.082695,0.022265,3.052955,0.168053,0.191034,0.584003,0.010295,0.125626,-24.984832,1.721236,-0.336847,0.048723,-0.136419,0.171379,0.333001,0.025547,-0.168843,-0.167819,-0.174158,-0.027948,-0.122771,0.017296,0.003815,0.027274,0.016732,0.018142,0.013587,0.016194,0.007008,0.006891,0.010845,0.021663,0.006519,0.020930,0.000213,-0.000017,-0.002296,-0.000371,-0.000499,0.000274,0.000129,0.000118,-0.001062,-0.004870,0.003159,0.001614,-0.001035,0.012065,0.000039,-0.007288,0.003513,0.004536,0.008338,0.009312,0.000724,-0.000482,-0.000483,-0.001218,0.000013,0.000184,-0.000006,0.000127,-0.000042,0.000943,0.000080,0.000587,-0.000017,-0.000099,0.066097,0.022376,0.220264,0.077237,0.040766,0.584514,0.005863,0.121603,1.578766,0.762554,0.909944,0.604708,0.584745,0.534061,0.493625,0.479299,0.414177,0.360003,0.351322,0.340217,0.350757,0.021493,0.007037,0.034654,0.019331,0.022606,0.020273,0.019796,0.012881,0.011686,0.014477,0.021346,0.010656,0.012392,0.075666,0.025622,0.317537,0.083104,0.048676,0.703224,0.008149,0.153420,1.667893,0.881699,0.933051,0.504920,0.548612,0.586626,0.474337,0.464669,0.438790,0.370164,0.349796,0.354655,0.363139,0.028342,0.009114,0.040196,0.024662,0.026857,0.026765,0.024045,0.017026,0.013659,0.020676,0.023255,0.010532,0.015522,carolina
