@RELATION trained_models/oficina/filtered/spect_sub/randomforest/snr_-10/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.061819,0.020543,3.041547,0.142259,0.185437,0.400426,0.009566,0.102523,-24.151721,2.600479,-0.033535,0.064190,0.023668,0.008965,0.245416,0.207730,-0.068944,-0.008890,-0.011267,-0.052112,-0.189143,0.025122,0.008419,0.030617,0.014281,0.023549,0.009858,0.024830,0.002935,0.005141,0.024570,0.042901,0.005978,0.021645,0.000082,-0.000658,0.001494,0.000044,0.000017,0.000343,0.000077,-0.000127,-0.045170,-0.005567,0.001908,0.003943,0.001120,-0.009506,-0.001385,0.000320,-0.003033,0.003611,0.001312,0.001681,0.004407,0.000204,-0.000021,0.000509,-0.000007,-0.000014,0.000046,0.000777,0.000003,0.000096,-0.000376,-0.000677,-0.000004,-0.000062,0.052818,0.013085,0.187814,0.068662,0.038753,0.402659,0.004896,0.115000,1.219665,0.541813,0.649901,0.397929,0.413201,0.418339,0.359357,0.347864,0.283686,0.275243,0.291489,0.268395,0.255753,0.027478,0.014534,0.023802,0.015990,0.018976,0.010663,0.020516,0.005752,0.005399,0.018349,0.031916,0.006716,0.008915,0.061026,0.017574,0.252212,0.074050,0.045620,0.490209,0.006654,0.134364,1.421383,0.653784,0.745308,0.486972,0.537746,0.462423,0.452283,0.411630,0.362992,0.372172,0.347584,0.340423,0.307554,0.034804,0.020041,0.031075,0.021646,0.023638,0.014799,0.027716,0.007643,0.007065,0.022651,0.036144,0.009719,0.012748,carolina
0.052818,0.013578,3.068979,0.136483,0.185794,0.367494,0.009719,0.080544,-24.759290,2.458797,0.015443,0.085075,-0.121872,0.126533,0.267954,0.139830,0.024338,0.002750,-0.035374,0.010249,-0.140455,0.029058,0.006518,0.028372,0.008817,0.022793,0.011751,0.030931,0.004186,0.007983,0.020811,0.033120,0.008081,0.020064,0.000399,-0.000002,0.005438,0.000940,0.000531,0.003673,0.000039,0.000254,-0.002215,-0.000203,-0.001700,0.001455,0.000184,0.003105,-0.001611,-0.003067,0.002426,-0.003203,-0.002921,0.006700,-0.001074,-0.000417,-0.000342,-0.000174,0.000140,-0.000115,0.000002,0.000191,0.000003,0.000044,0.000316,0.000358,-0.000017,0.000047,0.039020,0.010776,0.166798,0.054390,0.033527,0.387011,0.004706,0.093315,1.276433,0.537836,0.800778,0.379630,0.403513,0.407120,0.371381,0.291055,0.310941,0.262676,0.263413,0.256016,0.248389,0.026846,0.008597,0.021315,0.007700,0.016124,0.014888,0.024160,0.008593,0.009778,0.019061,0.024595,0.010078,0.007172,0.051958,0.011660,0.208101,0.065911,0.039095,0.518068,0.006065,0.130562,1.142845,0.604087,0.851094,0.444640,0.510629,0.446934,0.443826,0.348448,0.348017,0.322770,0.333638,0.291147,0.322153,0.035238,0.011277,0.026279,0.010776,0.021083,0.021396,0.031280,0.012185,0.013102,0.023475,0.033122,0.013611,0.010234,carolina
0.057328,0.012639,3.074439,0.137673,0.182051,0.408037,0.009760,0.092387,-24.798637,2.421051,0.080976,0.066083,-0.082198,0.084182,0.242776,0.179240,-0.016738,-0.044047,-0.022479,0.007825,-0.161668,0.024181,0.009174,0.038926,0.014735,0.026388,0.008242,0.032520,0.003171,0.007723,0.018624,0.027984,0.006738,0.021470,0.000177,0.000011,0.000124,0.001078,0.000913,0.000974,0.000058,-0.000082,0.004068,-0.005793,0.014800,-0.005577,-0.002170,0.003362,-0.011773,0.003592,0.000089,-0.003176,0.000883,0.001942,-0.001413,-0.000044,0.000005,0.000018,0.000071,-0.000220,0.000141,-0.000644,-0.000008,-0.000055,-0.000036,0.000700,-0.000004,0.000008,0.045944,0.010010,0.175707,0.061311,0.039367,0.399485,0.005597,0.108837,1.347809,0.550537,0.650489,0.452261,0.441844,0.360480,0.385663,0.341978,0.331718,0.270099,0.266036,0.278415,0.240625,0.024343,0.014626,0.024495,0.015885,0.027952,0.010377,0.028825,0.004769,0.009266,0.017339,0.023269,0.008500,0.009394,0.059737,0.012564,0.241236,0.067754,0.042253,0.520267,0.006752,0.133001,1.481636,0.641805,0.734218,0.522697,0.503483,0.391393,0.429490,0.435710,0.400120,0.347412,0.319169,0.339440,0.324670,0.025944,0.018671,0.034239,0.022635,0.037596,0.014399,0.034321,0.006621,0.011685,0.022614,0.028929,0.011165,0.013141,carolina
0.065531,0.023661,3.078258,0.147902,0.187498,0.446383,0.010070,0.103893,-24.097394,2.553108,0.018995,0.083385,-0.178005,0.140537,0.242026,0.107788,0.032284,0.006115,-0.027832,-0.082011,-0.230306,0.028127,0.009841,0.033992,0.012285,0.024729,0.006693,0.024821,0.004400,0.007748,0.021703,0.032731,0.008653,0.021837,0.000059,-0.000244,0.001645,0.000354,0.000418,0.001929,0.000090,-0.000200,-0.016129,-0.013639,0.027500,-0.000764,-0.007120,0.005022,-0.005369,-0.003940,0.000120,0.003403,-0.000828,0.000460,0.000722,0.000296,-0.000284,0.000038,-0.000142,0.000062,0.000048,0.000208,-0.000084,0.000052,0.000013,0.000374,0.000039,0.000096,0.058620,0.017615,0.175387,0.074839,0.041167,0.492901,0.004845,0.126883,1.173101,0.613661,0.770935,0.372341,0.456615,0.351529,0.328409,0.288414,0.315564,0.284467,0.246257,0.235691,0.274420,0.028519,0.015173,0.029975,0.015039,0.022444,0.007173,0.022555,0.008047,0.011979,0.022482,0.025186,0.010366,0.009547,0.072089,0.022810,0.243781,0.080569,0.042563,0.650119,0.006014,0.170224,1.472078,0.817104,0.794592,0.423143,0.553298,0.436411,0.414445,0.405643,0.362634,0.360827,0.325052,0.314252,0.340499,0.036755,0.018557,0.037950,0.021746,0.030608,0.009902,0.029495,0.010449,0.016496,0.029363,0.031277,0.013723,0.013217,carolina
0.062282,0.018533,3.078655,0.141618,0.187292,0.416969,0.009038,0.089773,-24.185092,2.517995,0.111249,0.167818,-0.102295,0.161254,0.160320,0.141483,0.018621,-0.027665,-0.049865,-0.049304,-0.103421,0.028713,0.007616,0.034898,0.012218,0.020482,0.009687,0.024624,0.003359,0.007878,0.025449,0.035723,0.008091,0.020524,0.000485,0.000016,-0.003239,0.000857,0.000655,0.001624,0.000059,-0.000200,-0.013345,0.005306,0.003047,0.006352,0.008751,-0.002776,-0.009291,0.001194,-0.004902,-0.005264,0.003591,-0.002263,-0.001041,0.000063,-0.000370,-0.000069,0.000334,0.000049,-0.000019,0.000381,-0.000007,-0.000042,-0.000177,0.000698,-0.000009,0.000161,0.048728,0.012209,0.200707,0.060922,0.034890,0.450130,0.003977,0.108948,1.067935,0.557453,0.674004,0.348230,0.393736,0.422027,0.344727,0.306187,0.301011,0.256371,0.267085,0.241350,0.239292,0.034694,0.013162,0.024472,0.013235,0.014080,0.012721,0.016301,0.006151,0.010843,0.018689,0.024094,0.012931,0.007941,0.062743,0.015050,0.295022,0.075660,0.042079,0.597057,0.005329,0.149726,1.105169,0.655572,0.666206,0.457543,0.482028,0.466641,0.403955,0.348520,0.392859,0.334491,0.297723,0.321629,0.312551,0.042814,0.018310,0.033565,0.017069,0.019664,0.017202,0.020134,0.008044,0.014259,0.025187,0.028502,0.016139,0.011485,carolina
0.052668,0.024404,3.087656,0.133384,0.184419,0.351291,0.009603,0.075862,-23.898670,2.459624,0.040545,0.060147,-0.014186,0.170481,0.181432,0.164263,-0.032094,-0.016572,-0.035272,-0.071659,-0.169795,0.023791,0.006689,0.038015,0.019553,0.023520,0.009212,0.028951,0.005320,0.006179,0.019167,0.030609,0.006706,0.021785,0.000313,-0.000891,0.002146,0.000617,0.000512,0.002907,0.000064,0.000617,-0.007175,-0.013982,-0.015185,0.001902,-0.003230,0.001873,0.011911,-0.002850,0.002932,-0.000035,0.003908,0.004201,-0.006657,0.000016,0.000003,-0.000747,-0.000538,-0.000191,0.000047,0.000250,0.000010,-0.000001,-0.000045,0.000604,0.000085,-0.000163,0.032101,0.019077,0.148242,0.054033,0.040953,0.307488,0.005012,0.064189,1.261137,0.490811,0.780854,0.428243,0.386840,0.366477,0.309473,0.341178,0.294785,0.241538,0.245221,0.236140,0.279026,0.023567,0.008290,0.028481,0.025995,0.016732,0.013565,0.027692,0.009687,0.009403,0.014512,0.022287,0.010311,0.008930,0.036172,0.024966,0.196066,0.060438,0.045695,0.393779,0.006146,0.085831,1.368191,0.634361,0.809500,0.521512,0.459065,0.440828,0.390028,0.408398,0.346816,0.306276,0.303315,0.302728,0.335368,0.033182,0.010215,0.034231,0.031150,0.022032,0.018491,0.032420,0.013311,0.012798,0.019485,0.029582,0.012451,0.011583,carolina
0.052781,0.009220,3.059695,0.134488,0.183265,0.373273,0.009241,0.076325,-25.166791,2.526710,-0.022233,0.076952,-0.100570,0.041285,0.205329,0.049030,-0.020121,-0.000059,-0.034335,-0.035707,-0.135119,0.021042,0.008978,0.029917,0.016257,0.022144,0.007463,0.028886,0.003976,0.007500,0.021352,0.038560,0.005558,0.020356,0.000218,0.000111,-0.000535,0.001067,0.000989,-0.000035,0.000059,-0.000717,-0.015521,0.014707,0.006902,0.001350,-0.001458,-0.009617,0.003186,-0.006575,-0.000719,-0.006905,-0.008538,-0.006232,0.005579,-0.000155,-0.000054,0.000016,0.000526,0.001941,-0.000038,-0.000481,-0.000199,-0.000013,0.000008,-0.000091,-0.000003,0.000422,0.035186,0.007484,0.219879,0.054272,0.037160,0.372564,0.004108,0.075732,1.280271,0.508773,0.697093,0.396427,0.436781,0.388563,0.309204,0.341368,0.348022,0.269192,0.239102,0.228449,0.276940,0.021074,0.013752,0.022773,0.017819,0.020702,0.009183,0.023090,0.006691,0.008070,0.015726,0.029752,0.006410,0.009137,0.043562,0.009279,0.314918,0.064570,0.044289,0.475724,0.005763,0.100604,1.456980,0.584710,0.847301,0.506901,0.540777,0.463732,0.357001,0.430485,0.499395,0.357646,0.323596,0.293191,0.340105,0.026040,0.017476,0.030452,0.024860,0.022115,0.012653,0.031582,0.009381,0.010608,0.021261,0.033477,0.008488,0.011273,carolina
0.051629,0.016137,3.040269,0.127061,0.180118,0.344274,0.009689,0.071751,-24.351779,2.436663,0.110233,0.019426,-0.242010,0.186494,0.223166,0.121012,-0.002925,-0.086032,-0.044031,0.028023,-0.169089,0.020696,0.009858,0.034626,0.017787,0.030889,0.012099,0.028565,0.004785,0.005455,0.016759,0.031066,0.007392,0.020577,-0.001574,-0.000100,0.012600,-0.001129,-0.001262,0.004725,0.000075,0.001198,-0.011924,-0.004177,0.011989,-0.005223,0.005861,-0.005448,0.000814,0.006425,-0.006371,-0.001125,-0.003911,0.001328,0.003163,-0.000039,-0.000039,0.000082,0.000057,0.000146,0.000021,0.000095,-0.000060,-0.000060,-0.000103,-0.000062,-0.000064,0.000018,0.034711,0.011055,0.233838,0.044819,0.031886,0.352805,0.004524,0.071904,1.237905,0.545780,0.755904,0.405470,0.430481,0.396681,0.347719,0.323881,0.257438,0.249033,0.301696,0.244500,0.214359,0.020121,0.014063,0.024225,0.017179,0.026365,0.012180,0.020415,0.009560,0.006080,0.012939,0.021203,0.011707,0.008241,0.042971,0.014581,0.262064,0.059921,0.040883,0.431605,0.005755,0.085122,1.402234,0.785414,0.736532,0.499529,0.539583,0.508817,0.440353,0.393884,0.313150,0.321405,0.380255,0.323631,0.270610,0.025530,0.018945,0.030590,0.021732,0.032851,0.014151,0.026354,0.012451,0.008863,0.018688,0.029544,0.016279,0.009900,carolina
0.051937,0.013826,3.090557,0.128495,0.176906,0.351953,0.009677,0.088975,-24.722607,2.588415,-0.019676,0.077310,-0.145092,0.143638,0.197347,0.107473,-0.030491,0.008872,-0.079716,-0.027193,-0.123681,0.020664,0.008382,0.037121,0.009620,0.021927,0.011351,0.029486,0.003876,0.010350,0.022908,0.035901,0.006064,0.020440,-0.000168,0.000059,0.000500,-0.000119,0.000150,-0.002151,0.000112,-0.000100,0.015720,0.002291,-0.006864,-0.000850,0.004018,0.002442,-0.000132,0.003742,-0.005999,-0.003481,0.001270,-0.001840,-0.002888,-0.000003,0.000204,0.001165,-0.000098,-0.000016,-0.000038,-0.000219,0.000045,-0.000021,-0.000401,-0.000323,-0.000032,0.000209,0.043227,0.010310,0.161086,0.061382,0.036535,0.397374,0.005620,0.106849,1.306961,0.524490,0.640820,0.400671,0.463986,0.385895,0.343372,0.319289,0.299375,0.214258,0.239393,0.203790,0.228434,0.015450,0.011202,0.027406,0.008386,0.019448,0.012698,0.021854,0.007141,0.013446,0.019899,0.023857,0.005858,0.007353,0.052061,0.010585,0.217139,0.071572,0.043433,0.518261,0.006798,0.132862,1.213555,0.603907,0.724195,0.478258,0.490667,0.448094,0.385768,0.349078,0.381547,0.252519,0.318899,0.271009,0.288996,0.018881,0.015358,0.031019,0.011564,0.028182,0.015062,0.024064,0.009758,0.017410,0.026007,0.028475,0.007450,0.009940,carolina
0.053131,0.032028,3.114633,0.134601,0.187477,0.361432,0.009960,0.083730,-23.419085,2.468817,0.038630,0.108961,-0.166379,0.142219,0.241933,0.130112,-0.074220,-0.032612,-0.050831,-0.041922,-0.169621,0.020407,0.005800,0.032027,0.016011,0.022115,0.010202,0.033016,0.004688,0.005347,0.020797,0.039720,0.007373,0.021257,-0.000068,0.000090,-0.002606,-0.000133,-0.000207,0.000133,0.000073,0.000154,0.019140,0.000074,-0.004889,-0.003307,-0.001907,0.002605,-0.003456,-0.008898,-0.002257,-0.000560,0.000185,0.002967,0.002991,-0.000092,-0.000383,-0.000603,0.000038,-0.000365,0.000014,0.000231,0.000089,0.000152,0.000087,0.000682,0.000019,-0.000100,0.042927,0.021633,0.126680,0.052357,0.031209,0.399743,0.004848,0.098093,1.009756,0.507805,0.623306,0.395212,0.384345,0.454136,0.362156,0.341315,0.294432,0.236710,0.267193,0.233591,0.273627,0.020414,0.007524,0.025208,0.018993,0.017867,0.014069,0.027078,0.008138,0.005008,0.017643,0.028682,0.010603,0.008176,0.053290,0.029664,0.174262,0.062744,0.040921,0.498921,0.005739,0.129843,1.390663,0.689804,0.774809,0.454802,0.498087,0.567071,0.419906,0.420613,0.358455,0.305146,0.318647,0.320988,0.355813,0.028336,0.010165,0.031684,0.026175,0.023015,0.019428,0.036048,0.011660,0.006680,0.025721,0.034169,0.012109,0.010917,carolina
