@RELATION trained_models/oficina/filtered/wiener/knn/snr_-10/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.046053,0.033677,3.106349,0.128960,0.184249,0.258990,0.008548,0.064737,-23.326401,2.751944,0.100044,0.096794,0.025213,0.015344,0.238317,0.241254,-0.060357,-0.011106,-0.019874,-0.060180,-0.193200,0.032285,0.007241,0.036070,0.014048,0.025222,0.008713,0.022960,0.002216,0.004616,0.028202,0.051708,0.006011,0.024369,0.000045,-0.000162,0.001626,0.000059,0.000048,0.000270,0.000075,-0.000118,-0.017139,-0.005582,0.002254,0.005296,-0.000086,-0.008103,0.000730,0.001458,-0.003420,0.004239,0.001232,0.000511,0.002595,0.000334,-0.000016,0.000530,-0.000013,-0.000076,0.000064,0.000655,0.000005,0.000034,-0.000413,-0.000517,0.000004,-0.000043,0.033708,0.013531,0.118232,0.054990,0.036947,0.247741,0.004102,0.078537,0.990632,0.449848,0.572501,0.309798,0.356961,0.342070,0.293621,0.271243,0.233560,0.214879,0.250412,0.228555,0.224052,0.035001,0.011050,0.029300,0.014246,0.016971,0.010901,0.017795,0.003450,0.004842,0.021558,0.031618,0.006526,0.008287,0.037900,0.016719,0.159502,0.057105,0.040769,0.307909,0.005473,0.107546,1.106981,0.520238,0.600865,0.358843,0.439825,0.355082,0.365335,0.308142,0.265365,0.302261,0.274072,0.274637,0.259283,0.044114,0.015041,0.038700,0.018089,0.020109,0.014621,0.023481,0.004809,0.005965,0.026095,0.033799,0.009122,0.012008,carolina
0.038897,0.018820,3.117306,0.123929,0.183008,0.235310,0.007734,0.043857,-24.098954,2.604005,0.138648,0.105799,-0.104458,0.126738,0.256092,0.145717,0.009690,-0.026033,-0.026868,0.036624,-0.149295,0.035114,0.005107,0.033465,0.009707,0.025633,0.012180,0.031496,0.002837,0.008114,0.022333,0.041696,0.006983,0.022224,0.000363,0.000028,0.001587,0.000857,0.000439,0.003603,0.000026,0.000045,0.003019,0.003084,-0.001112,-0.004178,-0.003029,-0.001630,0.000884,-0.001063,0.003689,-0.003842,-0.002160,0.006006,0.002255,-0.000306,-0.000072,-0.000447,0.000088,-0.000300,0.000050,-0.000062,-0.000000,0.000058,0.000267,0.000272,0.000077,0.000014,0.022476,0.011350,0.126451,0.041474,0.031927,0.208717,0.003076,0.035939,1.145708,0.435734,0.689996,0.319028,0.344619,0.351827,0.299857,0.232819,0.247174,0.227111,0.207412,0.229585,0.208176,0.031513,0.006090,0.022533,0.009145,0.017693,0.014247,0.022343,0.004859,0.009614,0.017592,0.027459,0.008692,0.006670,0.028822,0.010139,0.168720,0.048405,0.035484,0.276950,0.003912,0.051582,0.906732,0.480925,0.660002,0.360956,0.421740,0.356223,0.360233,0.261968,0.274817,0.275794,0.262083,0.259025,0.252744,0.039053,0.007925,0.025395,0.012782,0.021123,0.020245,0.028046,0.006735,0.012651,0.021887,0.033467,0.012466,0.008496,carolina
0.042505,0.032970,3.121527,0.124931,0.181090,0.263643,0.008450,0.057704,-23.279158,2.597487,0.229093,0.052682,-0.069085,0.097602,0.192094,0.201934,-0.004852,-0.028840,-0.009129,0.032414,-0.161608,0.027999,0.008730,0.045678,0.014556,0.029260,0.007675,0.033458,0.002608,0.008803,0.020796,0.032094,0.007055,0.023452,0.000050,0.000077,0.000243,0.001105,0.000878,0.001645,0.000066,0.000009,0.010447,-0.006979,0.013341,-0.004861,-0.001879,0.001792,-0.008120,0.001105,-0.002156,-0.001957,0.001247,0.000966,-0.000119,-0.000062,0.000004,0.000094,0.000065,-0.000218,0.000186,-0.000780,-0.000003,-0.000064,-0.000136,0.000779,-0.000005,-0.000011,0.031630,0.017813,0.121808,0.049790,0.035892,0.244712,0.003917,0.074963,1.156020,0.474295,0.602138,0.358702,0.379517,0.300068,0.290043,0.276791,0.253171,0.201223,0.214879,0.214947,0.196873,0.026723,0.012997,0.027259,0.016591,0.024374,0.008927,0.026806,0.003639,0.011248,0.019349,0.024548,0.008335,0.008747,0.038440,0.019392,0.175310,0.050957,0.037354,0.293395,0.005013,0.089192,1.158700,0.496840,0.581469,0.403143,0.425989,0.309383,0.328956,0.324827,0.301686,0.270413,0.233548,0.254259,0.258831,0.027165,0.016762,0.035215,0.022757,0.030967,0.011943,0.029855,0.004649,0.013755,0.023512,0.031366,0.010307,0.010324,carolina
0.049360,0.029090,3.136373,0.135720,0.186322,0.301752,0.008368,0.063212,-23.664980,2.696203,0.152559,0.111370,-0.167379,0.118612,0.251904,0.130520,-0.003725,-0.008530,-0.043542,-0.063859,-0.230315,0.031328,0.008977,0.042771,0.015060,0.027631,0.006341,0.024805,0.003840,0.007889,0.022870,0.040129,0.007173,0.024057,0.000059,-0.000133,-0.000102,0.000435,0.000498,0.001620,0.000078,-0.000054,-0.007956,-0.015268,0.018589,-0.001731,-0.005669,0.005759,-0.002703,-0.000377,0.001475,0.001445,-0.000503,-0.001387,0.000209,0.000496,-0.000128,-0.000241,-0.000235,-0.000013,-0.000007,0.000006,-0.000040,-0.000065,-0.000164,0.000526,0.000106,0.000077,0.039101,0.015539,0.111027,0.063508,0.040254,0.337415,0.003568,0.084060,1.018888,0.474852,0.650714,0.293431,0.385349,0.267912,0.281735,0.242319,0.287861,0.223744,0.211043,0.196154,0.235286,0.029915,0.013310,0.034705,0.017385,0.023044,0.005953,0.018523,0.007069,0.010481,0.019220,0.027329,0.008063,0.008353,0.047450,0.016549,0.165613,0.063139,0.037244,0.429284,0.004854,0.111339,1.169337,0.600667,0.616906,0.337014,0.406407,0.317362,0.337281,0.321100,0.310118,0.279735,0.258524,0.256142,0.267323,0.037304,0.016594,0.043670,0.024492,0.030209,0.007695,0.024725,0.008264,0.012907,0.026464,0.031200,0.010712,0.011299,carolina
0.045613,0.026242,3.121802,0.129335,0.185673,0.266066,0.007536,0.053457,-23.580308,2.660656,0.146302,0.132590,-0.117904,0.136024,0.159262,0.189353,0.023134,-0.009459,-0.040200,-0.029774,-0.104307,0.030257,0.008022,0.038209,0.011516,0.023697,0.009026,0.024569,0.002959,0.009102,0.028241,0.039769,0.008841,0.022095,0.000576,-0.000036,-0.002760,0.001182,0.000687,0.004974,0.000034,0.001071,-0.018335,-0.001003,0.000933,0.005043,0.005116,-0.000298,-0.007453,0.001064,-0.003789,-0.005136,0.002235,0.000362,-0.002396,-0.000032,-0.000391,-0.000105,0.000141,-0.000074,-0.000037,0.000732,-0.000003,-0.000043,-0.000091,0.000499,-0.000006,0.000194,0.029226,0.013130,0.127748,0.047120,0.033351,0.241255,0.002978,0.052987,0.971221,0.476809,0.580723,0.290158,0.332653,0.360332,0.271556,0.243285,0.234056,0.210401,0.220727,0.204044,0.211623,0.033532,0.012626,0.025621,0.010831,0.016198,0.010411,0.015495,0.004958,0.012106,0.020089,0.027101,0.013212,0.006860,0.034989,0.013579,0.182911,0.053060,0.036791,0.293297,0.003963,0.063006,0.892037,0.510418,0.535155,0.365672,0.366789,0.380567,0.314149,0.287425,0.309086,0.264896,0.256673,0.275726,0.268592,0.038510,0.017302,0.033537,0.013335,0.019669,0.014331,0.018790,0.006284,0.014312,0.025918,0.027535,0.015379,0.008153,carolina
0.040118,0.031423,3.141197,0.119959,0.179165,0.235471,0.008231,0.047142,-23.316529,2.639542,0.156135,0.053251,-0.002352,0.155477,0.147257,0.186871,-0.029494,-0.009153,-0.048093,-0.075269,-0.165856,0.025971,0.006006,0.045571,0.020530,0.027151,0.008016,0.025631,0.003909,0.006299,0.022062,0.036647,0.006508,0.023351,0.000086,-0.000221,0.001932,0.000492,0.000492,0.001012,0.000072,0.000054,0.000812,-0.005930,-0.011006,0.001244,-0.000708,-0.000374,0.009472,-0.002433,0.001781,0.000583,0.003577,0.001716,-0.004982,0.000028,-0.000006,-0.000209,-0.000287,-0.000394,0.000020,0.000251,0.000004,-0.000012,-0.000093,0.000660,0.000073,-0.000036,0.022541,0.014769,0.097192,0.042120,0.035901,0.176526,0.003978,0.035888,1.110512,0.418608,0.657407,0.337952,0.346609,0.351487,0.254929,0.286115,0.217620,0.209192,0.207330,0.203809,0.225458,0.022576,0.006708,0.033983,0.026123,0.017396,0.011040,0.021801,0.006330,0.008679,0.016190,0.025097,0.008904,0.009140,0.023281,0.013763,0.120424,0.044511,0.038695,0.207591,0.004977,0.046712,1.060629,0.527646,0.623065,0.369450,0.383523,0.398529,0.314500,0.316348,0.277730,0.256895,0.247113,0.256630,0.262720,0.030013,0.008652,0.037703,0.029796,0.020979,0.015175,0.025758,0.008115,0.011603,0.021585,0.033709,0.011520,0.011357,carolina
0.040390,0.022592,3.125146,0.122279,0.180293,0.254979,0.007661,0.051924,-23.742090,2.670318,0.106866,0.101171,-0.072747,0.074067,0.195274,0.097909,-0.025681,0.004159,-0.025256,-0.020078,-0.129241,0.024016,0.008764,0.033555,0.016358,0.024415,0.007353,0.028753,0.003130,0.006776,0.025377,0.048049,0.005307,0.022843,0.000281,0.000095,0.000746,0.001156,0.000696,0.002988,0.000054,-0.000163,-0.016704,0.007421,0.004852,0.000968,-0.000572,-0.003567,0.002737,-0.004960,-0.001004,-0.006167,-0.007013,-0.004192,0.004262,-0.000350,-0.000046,-0.000024,0.000128,0.001622,-0.000102,-0.000262,-0.000032,-0.000011,0.000041,-0.000239,-0.000007,0.000335,0.024963,0.011573,0.123972,0.043514,0.032866,0.243923,0.002971,0.043628,1.108727,0.443538,0.600625,0.300952,0.372497,0.315357,0.266947,0.303231,0.278905,0.215357,0.196698,0.202478,0.234632,0.021822,0.013037,0.024162,0.019065,0.019562,0.008813,0.019841,0.005638,0.006339,0.017119,0.032731,0.006375,0.008673,0.030263,0.011301,0.170743,0.048880,0.038810,0.291411,0.004047,0.056262,1.129688,0.475764,0.660965,0.377131,0.417191,0.362584,0.303574,0.349774,0.370132,0.284141,0.255249,0.243499,0.256336,0.025083,0.015143,0.029539,0.026883,0.021433,0.012184,0.027708,0.008006,0.008175,0.022670,0.035380,0.007983,0.010318,carolina
0.040522,0.024714,3.099973,0.116435,0.176662,0.243122,0.008059,0.049864,-23.588553,2.550693,0.209695,0.039427,-0.211806,0.188203,0.219118,0.138807,-0.007841,-0.078178,-0.028719,0.043456,-0.181052,0.024362,0.008408,0.040731,0.019228,0.032384,0.011617,0.027064,0.003498,0.005471,0.018480,0.038166,0.006462,0.022677,-0.001375,-0.000058,0.006726,-0.001330,-0.001069,-0.003343,0.000068,-0.001434,-0.008635,-0.001559,0.005466,-0.004918,0.004012,-0.003139,-0.000190,0.004965,-0.003395,-0.000729,-0.002161,0.001181,-0.000145,0.000007,-0.000007,0.000027,0.000037,0.000083,-0.000045,0.000201,-0.000029,0.000054,-0.000003,-0.000029,-0.000019,0.000041,0.024350,0.012894,0.155932,0.035068,0.028711,0.232897,0.003307,0.045863,1.147613,0.437844,0.670770,0.345008,0.358489,0.327814,0.280425,0.267491,0.221800,0.195830,0.235466,0.188738,0.195771,0.024083,0.011019,0.025463,0.018402,0.027006,0.013529,0.020877,0.006121,0.005872,0.013141,0.022807,0.008094,0.008126,0.028235,0.012529,0.199848,0.043376,0.035606,0.287429,0.004147,0.063159,1.131412,0.601508,0.627044,0.396251,0.425303,0.393992,0.342367,0.318859,0.242796,0.248459,0.282022,0.235642,0.243912,0.029138,0.015082,0.030958,0.023805,0.033151,0.015826,0.025106,0.007893,0.008018,0.018947,0.027065,0.011265,0.009028,carolina
0.039179,0.029170,3.136562,0.117244,0.175928,0.223625,0.007721,0.050227,-23.525600,2.710495,0.100259,0.096194,-0.134684,0.128749,0.186710,0.145083,-0.029496,-0.011084,-0.055443,-0.021552,-0.132810,0.024495,0.008527,0.045027,0.010358,0.022718,0.011789,0.027821,0.002514,0.009533,0.024706,0.045377,0.005582,0.023420,-0.000186,0.000182,0.000434,-0.000222,-0.000021,-0.002329,0.000138,-0.000091,0.014323,0.003827,-0.006844,-0.001304,0.001860,-0.000174,-0.001747,0.002285,-0.006462,-0.002783,-0.001025,-0.003598,-0.006481,0.000151,0.000418,0.001110,-0.000005,-0.000085,-0.000045,-0.000508,0.000051,-0.000037,-0.000472,-0.000447,-0.000030,0.000160,0.025322,0.017305,0.103260,0.046080,0.033571,0.214553,0.003287,0.049942,1.206608,0.467336,0.561783,0.330810,0.371701,0.306869,0.284758,0.252948,0.251029,0.176749,0.221578,0.164557,0.211661,0.019572,0.011688,0.032560,0.009336,0.018938,0.012782,0.020651,0.004150,0.011313,0.018356,0.027215,0.004748,0.006561,0.028657,0.013513,0.141679,0.050993,0.038697,0.250137,0.004022,0.067132,0.959152,0.517145,0.580121,0.382392,0.364442,0.368730,0.312907,0.261117,0.311856,0.200450,0.261126,0.222384,0.255474,0.023365,0.015106,0.035290,0.012664,0.025390,0.015006,0.023108,0.005621,0.014205,0.023336,0.033613,0.005731,0.008292,carolina
0.041838,0.033809,3.143675,0.124647,0.186262,0.249860,0.007772,0.054837,-23.139396,2.659588,0.183831,0.114985,-0.123618,0.102392,0.207736,0.151795,-0.089423,-0.035678,-0.056350,-0.034076,-0.166953,0.023837,0.005251,0.035983,0.015547,0.025513,0.010005,0.029630,0.003171,0.006127,0.025406,0.049751,0.007085,0.022908,0.000023,0.000133,-0.004353,0.000102,0.000213,0.000107,0.000062,0.000045,0.012968,0.000599,-0.000428,-0.000053,-0.000518,0.003713,-0.002118,-0.005951,-0.001512,-0.001757,-0.000716,0.002863,0.003728,-0.000131,-0.000530,-0.000439,0.000063,-0.000179,-0.000003,0.000348,-0.000019,0.000147,0.000047,0.000929,-0.000017,-0.000030,0.028408,0.014202,0.103682,0.042229,0.030512,0.254228,0.003172,0.059624,0.850202,0.411232,0.560241,0.334802,0.333881,0.343069,0.303029,0.278692,0.260914,0.206905,0.214482,0.204222,0.224276,0.023101,0.007195,0.025718,0.013778,0.019156,0.013400,0.020335,0.005197,0.005577,0.020012,0.030047,0.009998,0.006735,0.031864,0.016554,0.143685,0.047012,0.036438,0.282515,0.004105,0.074505,1.065644,0.541291,0.654462,0.358635,0.395287,0.408908,0.363571,0.325038,0.296578,0.247275,0.244013,0.252923,0.278849,0.030715,0.009063,0.030747,0.017920,0.023820,0.016761,0.024906,0.006974,0.006882,0.028032,0.031478,0.011066,0.007597,carolina
