@RELATION trained_models/oficina/filtered/wiener/knn/snr_5/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.032405,0.005077,3.054460,0.115696,0.180738,0.159809,0.006828,0.026443,-26.008972,2.865246,0.352552,0.260074,0.212862,0.230167,0.170689,0.211682,-0.048819,0.050842,0.012119,0.004652,-0.078511,0.020999,0.003502,0.041730,0.010005,0.067041,0.007750,0.046293,0.001492,0.003730,0.024697,0.041841,0.003331,0.026603,0.000145,0.000004,0.005864,0.000279,0.000201,0.000928,0.000039,0.000100,0.013351,-0.007886,-0.003031,0.005597,-0.001886,-0.005784,-0.000443,0.002201,-0.003633,0.002055,0.000932,-0.000142,-0.001298,0.000136,0.000018,0.000114,0.000088,-0.000088,0.000012,0.000122,0.000013,-0.000013,-0.000025,-0.000434,0.000038,-0.000022,0.015948,0.002168,0.153809,0.032438,0.026198,0.102557,0.002542,0.010776,0.648972,0.329917,0.355760,0.244543,0.250553,0.232573,0.203724,0.199128,0.177160,0.152498,0.179342,0.163395,0.165570,0.019403,0.005368,0.024617,0.008132,0.024587,0.006736,0.026604,0.001747,0.003814,0.019641,0.022976,0.003433,0.004940,0.019719,0.002979,0.216147,0.033159,0.027607,0.129426,0.003146,0.014735,0.739537,0.385373,0.423086,0.299545,0.336957,0.281518,0.275851,0.234449,0.220705,0.212163,0.220428,0.216013,0.185769,0.028580,0.007396,0.035538,0.010852,0.035604,0.009814,0.035976,0.002294,0.005112,0.027376,0.030557,0.004644,0.006873,carolina
0.028557,0.005212,3.025946,0.113481,0.179946,0.142833,0.006096,0.025898,-25.810806,2.728659,0.323995,0.348671,0.155169,0.304090,0.154378,0.122610,-0.017476,-0.003556,0.017322,0.065141,-0.038767,0.018271,0.002187,0.037098,0.009142,0.065378,0.008891,0.057609,0.001748,0.003985,0.022406,0.043171,0.003264,0.027305,0.000127,-0.000017,0.000028,0.000272,0.000280,0.000574,0.000032,0.000064,-0.007031,0.007199,0.001552,-0.004338,-0.003221,-0.004767,0.000839,0.002089,0.000363,-0.003265,-0.000508,-0.000617,0.003130,0.000015,0.000007,0.000031,0.000198,-0.000445,0.000077,-0.000068,-0.000001,0.000047,-0.000155,0.000316,0.000034,-0.000048,0.008972,0.001873,0.180432,0.020926,0.022383,0.057475,0.001989,0.013340,0.851061,0.326218,0.423781,0.203585,0.206129,0.242518,0.196976,0.171600,0.178021,0.167277,0.148625,0.160063,0.162236,0.015985,0.002324,0.018477,0.006432,0.028842,0.007665,0.033849,0.002640,0.004013,0.015665,0.025789,0.003701,0.007064,0.011443,0.002377,0.259819,0.025880,0.026893,0.068505,0.002458,0.013509,0.778185,0.308270,0.438119,0.255511,0.278455,0.273027,0.253593,0.218164,0.215827,0.227149,0.212887,0.210170,0.203154,0.022689,0.003039,0.028270,0.008578,0.036615,0.010835,0.046701,0.003491,0.005336,0.022425,0.033900,0.005178,0.008824,carolina
0.031897,0.004907,3.052391,0.114632,0.179253,0.171118,0.006234,0.028621,-25.876757,2.720702,0.367383,0.255172,0.151709,0.237832,0.121708,0.190237,0.000121,0.030709,0.019339,0.050305,-0.069287,0.017921,0.003978,0.044401,0.010659,0.067304,0.007974,0.054437,0.001554,0.004987,0.017471,0.036450,0.004188,0.026501,0.000168,-0.000002,0.001262,0.000400,0.000407,0.000310,0.000060,0.000009,0.001142,-0.002183,0.002491,-0.000812,-0.000650,-0.000117,0.000743,0.001586,-0.000648,-0.000308,-0.000301,-0.000390,0.000091,-0.000036,0.000008,0.000394,0.000153,-0.000342,0.000030,-0.000246,-0.000001,-0.000026,0.000046,0.000078,0.000011,-0.000026,0.015886,0.002356,0.171728,0.026037,0.025110,0.099665,0.002271,0.015154,0.918983,0.428504,0.365847,0.245986,0.278155,0.203504,0.214855,0.210930,0.197474,0.165252,0.164170,0.147842,0.162217,0.013547,0.005470,0.020838,0.008701,0.028468,0.006330,0.030258,0.001974,0.005000,0.013060,0.023341,0.004261,0.006561,0.018921,0.002575,0.260269,0.027431,0.026495,0.105932,0.003054,0.015948,0.833545,0.407626,0.372663,0.282224,0.315278,0.238589,0.251500,0.244454,0.234583,0.229685,0.196900,0.203100,0.217528,0.017595,0.007016,0.029922,0.012692,0.037585,0.008838,0.040232,0.002837,0.006227,0.016762,0.033212,0.005151,0.007718,carolina
0.032205,0.012567,3.084547,0.119529,0.182909,0.160552,0.006499,0.025508,-24.689787,2.811853,0.348433,0.289069,0.119004,0.320592,0.184985,0.143279,-0.003338,0.047247,-0.025036,-0.022022,-0.092404,0.019974,0.004177,0.048721,0.010861,0.070024,0.006329,0.045669,0.001725,0.004318,0.021702,0.036307,0.003339,0.027277,0.000100,-0.000036,0.000064,0.000050,-0.000071,0.000545,0.000058,-0.000073,-0.009561,-0.005344,0.009692,0.000115,-0.001711,0.000349,-0.001977,0.000804,0.000478,0.002149,-0.000991,-0.002045,0.000730,0.000123,-0.000038,0.000176,0.000032,0.000165,-0.000012,-0.000309,-0.000019,-0.000075,-0.000105,0.000076,0.000066,0.000026,0.015389,0.004261,0.103404,0.034367,0.028741,0.099633,0.002563,0.010692,0.740784,0.340343,0.386023,0.215963,0.235312,0.188464,0.217765,0.165817,0.197155,0.182401,0.174334,0.165806,0.174609,0.016233,0.006343,0.025859,0.008048,0.032599,0.005094,0.025710,0.002491,0.004777,0.018183,0.018085,0.003215,0.005821,0.018468,0.005263,0.137802,0.036077,0.028700,0.124990,0.003483,0.012730,0.800117,0.391654,0.392628,0.243962,0.293882,0.245970,0.293306,0.236020,0.227667,0.244006,0.225111,0.224854,0.214524,0.022270,0.007867,0.033921,0.011012,0.046372,0.007198,0.033758,0.003160,0.006210,0.024987,0.025040,0.004681,0.007449,carolina
0.030077,0.004948,3.028497,0.113849,0.180242,0.142335,0.006035,0.025463,-25.946756,2.783246,0.322817,0.302012,0.145694,0.310324,0.133350,0.181267,0.011352,0.036282,-0.005304,0.014322,-0.018653,0.018050,0.003512,0.043841,0.008049,0.069450,0.007022,0.044550,0.001649,0.004556,0.020477,0.045060,0.003693,0.026908,0.000136,-0.000010,0.003819,0.000264,0.000201,0.000598,0.000055,0.000009,-0.005128,0.000304,0.000717,0.002277,0.000232,-0.002245,-0.003637,0.000031,-0.003400,-0.004100,0.001711,-0.000601,-0.000847,-0.000000,-0.000020,-0.000238,0.000077,-0.000268,0.000064,0.001014,0.000013,-0.000013,-0.000148,-0.000070,-0.000004,0.000089,0.008809,0.002077,0.198309,0.021625,0.021890,0.060327,0.002001,0.011976,0.821627,0.367313,0.383716,0.230588,0.182220,0.236848,0.204484,0.159361,0.166665,0.151840,0.157116,0.163207,0.156048,0.014955,0.004452,0.025518,0.006528,0.029635,0.005805,0.023016,0.002363,0.005368,0.014480,0.025290,0.004996,0.005907,0.011228,0.002725,0.270772,0.026060,0.025554,0.076426,0.002546,0.013824,0.795506,0.379090,0.370433,0.276144,0.252303,0.255267,0.229350,0.189077,0.210475,0.178743,0.215728,0.219307,0.203140,0.021080,0.005850,0.034303,0.009251,0.039235,0.008043,0.032282,0.003114,0.007270,0.020191,0.033524,0.006549,0.007754,carolina
0.028684,0.012953,3.085118,0.110605,0.176833,0.147888,0.006907,0.026071,-24.562277,2.766706,0.355056,0.268522,0.175630,0.328722,0.137108,0.153077,-0.033298,0.048284,0.001782,0.005693,-0.065093,0.017899,0.002472,0.046619,0.013061,0.066635,0.006116,0.051116,0.002329,0.003871,0.019764,0.041002,0.002823,0.028071,0.000036,0.000099,-0.001291,0.000143,0.000264,-0.000396,0.000107,-0.000036,0.004201,-0.002960,-0.001837,0.005896,0.002936,-0.000027,0.002927,-0.000579,0.000234,0.001411,0.003865,0.001477,-0.000820,0.000004,-0.000020,-0.000483,-0.000062,0.000368,0.000004,0.000088,-0.000002,-0.000076,-0.000219,0.000459,0.000002,0.000051,0.009945,0.003729,0.115891,0.020812,0.021122,0.071112,0.002595,0.011434,0.671191,0.347060,0.389942,0.232000,0.232261,0.233289,0.183109,0.187267,0.191847,0.178342,0.149863,0.167315,0.152507,0.013365,0.002897,0.026017,0.013134,0.031830,0.005834,0.034253,0.003484,0.003187,0.013885,0.022479,0.003389,0.006598,0.011405,0.004843,0.168685,0.022430,0.023126,0.078043,0.003030,0.013519,0.736102,0.405453,0.397864,0.264632,0.264621,0.281466,0.231295,0.237655,0.248294,0.224429,0.193480,0.224657,0.197508,0.019770,0.004064,0.033559,0.017086,0.048134,0.008434,0.046061,0.004717,0.004035,0.021252,0.032389,0.004593,0.008545,carolina
0.029587,0.004464,3.057764,0.111109,0.177106,0.152812,0.006562,0.025953,-26.029359,2.746945,0.302294,0.291093,0.162764,0.258358,0.145856,0.124519,0.010187,0.056871,-0.007635,0.013154,-0.054554,0.017603,0.004206,0.043694,0.009447,0.060078,0.007511,0.054050,0.001447,0.004135,0.020296,0.047934,0.003145,0.027337,0.000259,-0.000020,-0.002433,0.000541,0.000727,-0.000826,0.000049,-0.000672,-0.022536,0.016778,0.006840,-0.002212,0.000005,-0.003449,0.003432,-0.006711,-0.001054,-0.002360,-0.006047,-0.003302,0.000317,-0.000034,-0.000077,0.000175,0.000021,-0.000186,-0.000039,0.000402,-0.000024,-0.000025,0.000174,0.000546,0.000010,0.000064,0.009127,0.001802,0.163494,0.018579,0.018984,0.072612,0.002472,0.012134,0.851297,0.360475,0.327287,0.215426,0.273842,0.202145,0.213873,0.234661,0.190964,0.155021,0.153786,0.167446,0.158262,0.013566,0.006040,0.027769,0.008212,0.029698,0.006869,0.032885,0.002207,0.003295,0.014721,0.024681,0.003397,0.007313,0.011660,0.002333,0.218680,0.021896,0.022975,0.086929,0.003104,0.013997,0.804107,0.378411,0.357413,0.309890,0.339788,0.271182,0.270028,0.282349,0.252012,0.207770,0.202600,0.210200,0.205762,0.019263,0.007037,0.038157,0.010536,0.041258,0.010016,0.045365,0.003217,0.004652,0.021232,0.033471,0.004692,0.008975,carolina
0.030154,0.004938,3.019736,0.107879,0.173696,0.156341,0.006139,0.027550,-25.907049,2.708698,0.381829,0.226648,0.066193,0.332614,0.190846,0.141464,-0.028474,-0.023847,-0.009840,0.049290,-0.071215,0.017968,0.004033,0.047791,0.012734,0.066764,0.008793,0.044164,0.002077,0.003797,0.018370,0.038583,0.003436,0.025959,-0.000163,-0.000044,0.007599,-0.000277,-0.000487,0.001478,0.000080,-0.000227,-0.006961,0.001516,0.007211,-0.005626,0.003447,-0.006835,-0.001102,0.005371,-0.004052,-0.002799,-0.004537,0.001116,0.001036,0.000039,-0.000001,0.000025,0.000101,0.000129,-0.000041,0.000359,-0.000081,0.000016,-0.000080,-0.000018,-0.000044,0.000085,0.010459,0.003183,0.242937,0.017226,0.018572,0.093610,0.002269,0.016589,1.040151,0.393609,0.431445,0.253752,0.262431,0.199138,0.201208,0.186160,0.178656,0.178198,0.190823,0.164911,0.173335,0.013202,0.004584,0.024147,0.010875,0.031851,0.006627,0.024761,0.003822,0.003463,0.013186,0.022227,0.003750,0.006558,0.012640,0.003901,0.319869,0.020994,0.023488,0.112622,0.002916,0.017958,0.924117,0.407383,0.390248,0.296829,0.303879,0.241247,0.227092,0.239063,0.217121,0.216295,0.222848,0.208633,0.218667,0.018980,0.006381,0.034662,0.013882,0.041785,0.008350,0.034838,0.004937,0.004384,0.018735,0.031103,0.004903,0.007583,carolina
0.031411,0.005196,3.049067,0.110680,0.173842,0.160005,0.006840,0.027759,-25.771560,2.705565,0.290411,0.283435,0.068804,0.254756,0.132932,0.148591,-0.002672,0.049806,-0.023942,0.031381,-0.016798,0.017132,0.004211,0.051993,0.008554,0.053092,0.009048,0.056969,0.001397,0.005106,0.020544,0.042506,0.003780,0.027471,-0.000018,-0.000009,0.001385,0.000153,0.000217,0.000356,0.000046,0.000073,-0.000685,-0.001662,0.001337,0.001298,0.000695,-0.000333,-0.003329,-0.000562,-0.001670,0.001424,0.002083,-0.001702,-0.002188,-0.000014,0.000083,0.000445,-0.000033,0.000188,-0.000053,0.000008,0.000016,-0.000008,-0.000341,-0.000386,-0.000022,0.000053,0.013851,0.002975,0.146510,0.026559,0.025075,0.090181,0.002971,0.013390,1.009203,0.444759,0.379736,0.226684,0.265753,0.235857,0.202051,0.201196,0.211533,0.153753,0.169803,0.147179,0.166738,0.012270,0.005272,0.026944,0.007192,0.033329,0.006140,0.038081,0.001888,0.005209,0.015384,0.022395,0.003578,0.008107,0.015255,0.003727,0.220949,0.028923,0.027059,0.091881,0.003590,0.015076,0.971133,0.422276,0.455221,0.267291,0.289041,0.303682,0.244049,0.234411,0.266212,0.201972,0.214218,0.204791,0.210772,0.017789,0.006811,0.035826,0.010158,0.047756,0.009375,0.047553,0.002545,0.007282,0.021795,0.029269,0.004501,0.010385,carolina
0.030730,0.007244,3.051164,0.115585,0.182285,0.158709,0.006355,0.028004,-25.329754,2.702487,0.374958,0.326704,0.107251,0.330531,0.169948,0.148309,-0.053342,0.017674,0.000822,0.029959,-0.044717,0.014928,0.002322,0.042591,0.011325,0.064562,0.007316,0.051041,0.001684,0.003572,0.020736,0.049579,0.003369,0.027442,0.000154,0.000016,-0.004530,-0.000034,0.000047,-0.000293,0.000046,-0.000000,0.004869,0.003463,-0.001059,-0.000878,0.000349,0.000439,-0.002514,-0.004026,-0.000296,-0.001017,0.002618,-0.000681,0.002793,0.000089,-0.000054,0.000205,-0.000104,-0.000779,-0.000009,0.000211,0.000005,0.000043,0.000031,0.000702,0.000002,-0.000044,0.011218,0.002025,0.125992,0.022003,0.019746,0.089105,0.002021,0.014780,0.697415,0.381885,0.327213,0.263087,0.195373,0.205701,0.210664,0.191903,0.196975,0.150069,0.176391,0.166210,0.136744,0.012525,0.002422,0.022744,0.007692,0.029880,0.006517,0.030010,0.002376,0.002774,0.015893,0.025694,0.004423,0.005767,0.014797,0.002701,0.156634,0.025737,0.024635,0.102345,0.002509,0.019374,0.803421,0.437678,0.420152,0.308380,0.259304,0.287347,0.274702,0.230961,0.266921,0.189774,0.214163,0.228161,0.194537,0.016605,0.003239,0.031236,0.010760,0.041096,0.009318,0.040788,0.003276,0.003930,0.022872,0.036015,0.005370,0.008051,carolina
