@RELATION trained_models/oficina/filtered/wiener/svm/snr_-5/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.042976,0.018415,3.103771,0.125654,0.182779,0.239579,0.007842,0.056924,-24.074009,2.779835,0.155286,0.138571,0.079281,0.072403,0.222969,0.243342,-0.053237,0.007540,-0.010467,-0.038731,-0.163358,0.029797,0.006552,0.037120,0.013118,0.034875,0.008630,0.027019,0.002107,0.004496,0.027619,0.048934,0.005416,0.023593,0.000109,-0.000065,0.003673,0.000165,0.000104,0.000677,0.000048,-0.000064,-0.006316,-0.007354,0.001057,0.005909,0.001052,-0.005763,0.000193,0.001482,-0.003870,0.003675,0.000825,0.001623,0.002030,0.000272,-0.000015,0.000536,0.000005,-0.000048,0.000046,0.000599,0.000009,0.000018,-0.000350,-0.000640,0.000020,-0.000043,0.030297,0.007050,0.120180,0.050037,0.034664,0.215769,0.003348,0.066484,0.875360,0.419776,0.518592,0.293956,0.335207,0.313198,0.279380,0.258824,0.215149,0.193907,0.233683,0.213441,0.213081,0.031058,0.010189,0.027680,0.012786,0.018432,0.009946,0.017034,0.003067,0.004585,0.020655,0.029263,0.005720,0.007122,0.034533,0.008929,0.166354,0.051191,0.037227,0.268502,0.004332,0.091074,0.989668,0.486538,0.555536,0.339106,0.418791,0.331320,0.353146,0.293102,0.250089,0.275162,0.260278,0.260575,0.242818,0.040966,0.014009,0.037539,0.016282,0.023271,0.013958,0.023180,0.004315,0.005658,0.025224,0.033050,0.007799,0.010269,carolina
0.036266,0.015982,3.104338,0.120570,0.181939,0.203024,0.006885,0.038612,-24.183711,2.648881,0.177346,0.185021,-0.021691,0.188137,0.231131,0.144674,0.005942,-0.019856,-0.012251,0.047291,-0.114923,0.030329,0.004265,0.033863,0.009680,0.036894,0.011436,0.039324,0.002585,0.006904,0.022251,0.042239,0.006005,0.022651,0.000272,0.000011,0.001091,0.000718,0.000435,0.002582,0.000025,0.000036,-0.001444,0.005454,0.000778,-0.004174,-0.003670,-0.004396,0.000606,0.000245,0.002889,-0.003339,-0.001463,0.003295,0.003011,-0.000093,-0.000029,-0.000258,0.000140,-0.000442,0.000055,-0.000086,-0.000001,0.000061,0.000081,0.000305,0.000071,0.000001,0.018139,0.008175,0.125159,0.036087,0.030120,0.142462,0.002467,0.027488,1.014194,0.376845,0.613348,0.284919,0.304655,0.321688,0.267829,0.213994,0.230561,0.208695,0.189296,0.210768,0.203224,0.026899,0.005063,0.020051,0.008233,0.021459,0.012390,0.025940,0.004310,0.007717,0.016985,0.026494,0.007509,0.006120,0.023214,0.007833,0.173164,0.042666,0.033995,0.189617,0.003190,0.039235,0.843543,0.395500,0.588582,0.330180,0.382360,0.335536,0.333037,0.249474,0.258309,0.259344,0.244653,0.246954,0.247428,0.033885,0.006685,0.024032,0.011077,0.024724,0.017763,0.032859,0.005921,0.010073,0.021480,0.033100,0.010701,0.007914,carolina
0.040236,0.014123,3.114242,0.121899,0.180419,0.233390,0.007721,0.047641,-24.324936,2.634880,0.258347,0.106129,-0.003663,0.147174,0.173121,0.202985,-0.000885,-0.013509,-0.004704,0.035615,-0.141341,0.025441,0.007700,0.045702,0.013824,0.039116,0.008040,0.037286,0.002418,0.007840,0.019295,0.033071,0.006476,0.022960,0.000159,0.000023,0.001130,0.000945,0.000792,0.001387,0.000054,0.000018,0.007402,-0.005223,0.010155,-0.003255,-0.000883,0.000302,-0.005222,0.000934,-0.001596,-0.001052,0.001006,0.000740,0.000005,-0.000054,0.000006,0.000179,0.000102,-0.000427,0.000142,-0.000546,-0.000003,-0.000043,0.000004,0.000584,-0.000000,-0.000040,0.025934,0.006751,0.112073,0.043960,0.033794,0.186516,0.003431,0.052155,1.033794,0.449546,0.532622,0.330486,0.357232,0.267753,0.269124,0.262644,0.240808,0.188209,0.201698,0.196733,0.188103,0.022054,0.011564,0.025031,0.014656,0.025855,0.008438,0.025161,0.003297,0.009502,0.016946,0.023937,0.007366,0.007588,0.031396,0.007430,0.165160,0.044943,0.034943,0.219144,0.004247,0.064719,1.028427,0.457709,0.531876,0.368168,0.397893,0.287844,0.301144,0.306682,0.281501,0.258548,0.224213,0.248722,0.248411,0.023560,0.014828,0.033453,0.020451,0.034075,0.011435,0.029343,0.004389,0.011565,0.020443,0.031725,0.009223,0.008596,carolina
0.045118,0.031596,3.135390,0.131888,0.185927,0.256726,0.007740,0.053530,-23.430287,2.736056,0.193571,0.160107,-0.095794,0.180021,0.248216,0.143889,0.008242,0.011921,-0.036779,-0.053192,-0.196940,0.028412,0.007965,0.044610,0.014198,0.038518,0.006350,0.029071,0.003371,0.007053,0.023102,0.038651,0.006261,0.023994,0.000141,-0.000147,-0.000467,0.000352,0.000339,0.001557,0.000071,-0.000054,-0.009585,-0.013074,0.016701,-0.001348,-0.004962,0.004300,-0.002379,-0.000686,0.001637,0.001719,0.000042,-0.001604,0.000297,0.000442,-0.000103,-0.000083,-0.000147,0.000143,0.000000,-0.000106,-0.000036,-0.000086,-0.000154,0.000219,0.000117,0.000035,0.031824,0.015402,0.104010,0.057101,0.038181,0.258432,0.003137,0.071108,0.903092,0.420221,0.585136,0.272266,0.349449,0.248662,0.264460,0.221240,0.266057,0.215091,0.197806,0.185037,0.217579,0.026626,0.012026,0.032490,0.015147,0.027191,0.005624,0.018607,0.006068,0.009248,0.019176,0.023458,0.006796,0.007376,0.038687,0.016617,0.145450,0.057009,0.035255,0.325742,0.004262,0.101812,1.028979,0.533406,0.553059,0.307350,0.378468,0.300787,0.318904,0.302510,0.293135,0.272843,0.244440,0.242834,0.251275,0.033734,0.014943,0.041678,0.021048,0.036434,0.007406,0.024387,0.007189,0.011297,0.026065,0.026046,0.009104,0.010011,carolina
0.041071,0.014852,3.099866,0.124625,0.183920,0.222533,0.006900,0.041797,-24.283112,2.706297,0.190811,0.187467,-0.042701,0.197462,0.159796,0.195644,0.032800,0.010608,-0.027730,-0.014395,-0.077825,0.026895,0.006900,0.039388,0.010553,0.036301,0.008484,0.029453,0.002668,0.007844,0.026197,0.041384,0.007579,0.022146,0.000458,-0.000024,-0.000709,0.000935,0.000616,0.003231,0.000029,-0.000018,-0.014916,-0.000694,0.000541,0.004649,0.004113,-0.000134,-0.006805,0.000264,-0.004504,-0.004980,0.002616,0.000433,-0.002163,-0.000036,-0.000216,-0.000166,0.000118,-0.000183,0.000001,0.001033,0.000002,-0.000034,-0.000110,0.000194,-0.000003,0.000184,0.022738,0.006530,0.154465,0.040584,0.031414,0.171867,0.002553,0.033183,0.916264,0.447865,0.532029,0.273404,0.278492,0.331263,0.259522,0.220835,0.218675,0.198944,0.202289,0.191128,0.194337,0.027357,0.010387,0.023827,0.009552,0.021457,0.009170,0.016328,0.004445,0.010212,0.018412,0.025777,0.011457,0.005530,0.028367,0.006878,0.220455,0.046188,0.034421,0.211687,0.003266,0.044022,0.851715,0.472625,0.491944,0.348843,0.322546,0.348094,0.302792,0.262020,0.287906,0.243908,0.246239,0.256545,0.254570,0.032102,0.014293,0.031840,0.012359,0.027321,0.012593,0.019895,0.005668,0.012442,0.024183,0.028909,0.013779,0.006525,carolina
0.037264,0.030599,3.144026,0.117159,0.178166,0.210296,0.007610,0.040608,-23.256478,2.676937,0.197186,0.114810,0.043114,0.207724,0.153404,0.189230,-0.025499,0.013005,-0.032219,-0.049909,-0.135234,0.023394,0.005193,0.045687,0.019180,0.037455,0.007488,0.031662,0.003713,0.005665,0.021327,0.037271,0.005556,0.023587,0.000041,-0.000113,0.001240,0.000385,0.000437,0.000437,0.000082,0.000009,0.002212,-0.004729,-0.008886,0.002755,0.000987,0.000234,0.008007,-0.002066,0.001941,0.001542,0.003498,0.001173,-0.003821,0.000028,-0.000010,-0.000347,-0.000247,-0.000100,0.000016,0.000213,0.000002,-0.000026,-0.000138,0.000639,0.000036,-0.000015,0.019684,0.012571,0.081409,0.037026,0.032856,0.143285,0.003277,0.028943,0.955371,0.391317,0.592354,0.307053,0.321050,0.325960,0.235413,0.261926,0.211497,0.207769,0.192289,0.192656,0.205356,0.018905,0.005975,0.032389,0.023295,0.021481,0.009650,0.025792,0.005974,0.006886,0.015476,0.023381,0.007674,0.008403,0.020316,0.012116,0.102761,0.038721,0.034829,0.166546,0.004262,0.031692,0.934467,0.496803,0.569821,0.333397,0.342632,0.372665,0.289487,0.295497,0.267318,0.255095,0.225018,0.248800,0.244925,0.025471,0.007703,0.037518,0.026906,0.028290,0.013317,0.031233,0.007763,0.008994,0.021791,0.032410,0.010152,0.010241,carolina
0.036797,0.011010,3.118863,0.119547,0.179717,0.224419,0.007166,0.043575,-24.643255,2.697012,0.144937,0.154907,-0.004504,0.127129,0.189538,0.110668,-0.007128,0.022995,-0.016675,-0.007315,-0.103524,0.022301,0.007827,0.036275,0.014621,0.033996,0.007355,0.034660,0.002733,0.006015,0.023660,0.048298,0.004725,0.023365,0.000254,0.000033,0.000190,0.001024,0.000763,0.001937,0.000054,-0.000554,-0.018558,0.011597,0.006216,-0.000918,-0.000863,-0.003486,0.003224,-0.006061,-0.001314,-0.005292,-0.006722,-0.004115,0.003648,-0.000214,-0.000055,0.000013,0.000093,0.001108,-0.000073,-0.000146,-0.000033,-0.000012,0.000092,0.000013,-0.000003,0.000263,0.018915,0.004989,0.117923,0.037422,0.029818,0.183428,0.002623,0.034160,1.010439,0.404834,0.515856,0.275691,0.353011,0.279130,0.243044,0.284544,0.253797,0.198930,0.185743,0.191363,0.214923,0.019870,0.011545,0.025243,0.016001,0.022963,0.007963,0.023080,0.004914,0.005499,0.016186,0.030138,0.005839,0.007490,0.022631,0.004936,0.155709,0.042478,0.035165,0.220354,0.003517,0.042656,1.018295,0.431663,0.554408,0.366621,0.405535,0.335832,0.283360,0.326825,0.336943,0.264811,0.242823,0.237264,0.240470,0.023672,0.013285,0.032707,0.022243,0.028045,0.011409,0.033055,0.007061,0.007225,0.021504,0.035050,0.007286,0.009512,carolina
0.037936,0.012062,3.077383,0.113876,0.175739,0.218054,0.007273,0.044519,-24.477696,2.587044,0.252834,0.092663,-0.144656,0.232213,0.225115,0.145764,-0.005394,-0.059032,-0.023500,0.045353,-0.150992,0.022603,0.007557,0.041805,0.018179,0.041571,0.010992,0.030542,0.003250,0.004998,0.018283,0.037396,0.005923,0.022275,-0.000848,-0.000049,0.007549,-0.000957,-0.000982,-0.000767,0.000071,-0.000218,-0.008002,-0.000089,0.006888,-0.004563,0.004393,-0.005054,-0.001280,0.004268,-0.004767,-0.002410,-0.003791,0.001112,0.000401,0.000026,-0.000016,0.000060,0.000088,0.000127,-0.000049,0.000264,-0.000057,0.000043,-0.000049,-0.000020,-0.000032,0.000064,0.018876,0.006103,0.182339,0.029958,0.026352,0.185499,0.002810,0.038168,1.070784,0.414930,0.614113,0.320857,0.338984,0.298260,0.263842,0.246674,0.209751,0.191166,0.230053,0.190570,0.190840,0.020139,0.009843,0.023964,0.016767,0.027871,0.011609,0.019663,0.005624,0.005056,0.012560,0.021721,0.007389,0.007357,0.021418,0.006405,0.219379,0.037188,0.032628,0.228571,0.003615,0.053165,1.027948,0.537602,0.563665,0.365324,0.392203,0.356828,0.315895,0.298010,0.233323,0.239294,0.268883,0.239384,0.234445,0.024840,0.013535,0.030696,0.021495,0.035076,0.013966,0.025043,0.007325,0.006716,0.017972,0.028756,0.010238,0.008196,carolina
0.037509,0.017188,3.117045,0.115749,0.174939,0.208227,0.007261,0.043984,-24.095976,2.704564,0.145157,0.149764,-0.081915,0.168941,0.178169,0.156019,-0.017165,0.007382,-0.043825,-0.005125,-0.096757,0.022401,0.007592,0.047178,0.010092,0.030564,0.010988,0.034525,0.002262,0.008350,0.023333,0.043852,0.005262,0.023359,-0.000082,0.000081,0.000948,-0.000060,0.000100,-0.001167,0.000098,-0.000091,0.007955,0.002012,-0.003295,-0.000594,0.000831,-0.001056,-0.002603,0.001126,-0.004450,-0.001277,0.000627,-0.002514,-0.004895,0.000098,0.000336,0.000947,-0.000016,-0.000072,-0.000063,-0.000339,0.000042,-0.000005,-0.000436,-0.000485,-0.000030,0.000136,0.022250,0.009184,0.118859,0.041312,0.031755,0.174632,0.002826,0.037738,1.103932,0.447036,0.509628,0.293803,0.352681,0.292603,0.261346,0.244009,0.240207,0.165386,0.211523,0.159037,0.194115,0.017518,0.010206,0.030132,0.008949,0.023805,0.010471,0.024357,0.003715,0.009652,0.017642,0.023648,0.004495,0.006576,0.024776,0.007528,0.167580,0.045511,0.036312,0.199138,0.003495,0.052408,0.926128,0.482650,0.561379,0.339350,0.351041,0.358327,0.288260,0.252885,0.291735,0.194070,0.249097,0.218561,0.244864,0.022459,0.013162,0.033915,0.012149,0.032362,0.012865,0.028015,0.005024,0.012333,0.022894,0.031249,0.005460,0.008224,carolina
0.037668,0.028733,3.129922,0.122529,0.185458,0.225576,0.007106,0.050708,-23.289152,2.673174,0.230349,0.180042,-0.059690,0.171870,0.205986,0.158022,-0.073858,-0.015278,-0.035777,-0.016153,-0.133921,0.021295,0.004477,0.037871,0.014543,0.035693,0.009421,0.034053,0.002864,0.005368,0.024175,0.049433,0.006280,0.023003,0.000132,0.000115,-0.005194,0.000055,0.000187,-0.000100,0.000064,0.000036,0.010102,0.001294,-0.001943,-0.001105,-0.000698,0.002194,-0.002009,-0.004896,-0.001555,-0.002450,0.000209,0.001029,0.004485,-0.000028,-0.000359,-0.000229,0.000013,-0.000434,-0.000007,0.000299,-0.000012,0.000111,0.000024,0.000908,-0.000011,0.000013,0.022046,0.010153,0.110321,0.037151,0.028367,0.205912,0.002722,0.052510,0.780152,0.382001,0.492735,0.316870,0.291316,0.304754,0.279068,0.253151,0.248458,0.187180,0.202245,0.193136,0.202940,0.019677,0.005801,0.024778,0.011843,0.022829,0.011900,0.021292,0.004614,0.004405,0.018856,0.028298,0.009069,0.006008,0.025227,0.012360,0.142299,0.041678,0.034078,0.230342,0.003438,0.066704,0.980360,0.503943,0.587356,0.347216,0.354185,0.383586,0.339396,0.299550,0.288127,0.227671,0.230521,0.242364,0.255539,0.025843,0.007443,0.030031,0.015420,0.029151,0.015008,0.027661,0.006226,0.005354,0.026221,0.031589,0.010238,0.007140,carolina
