@RELATION trained_models/oficina/original//knn/snr_5/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.032586,0.005191,3.053725,0.115566,0.179022,0.165059,0.006859,0.027015,-25.922576,2.863233,0.330204,0.245689,0.209159,0.240493,0.176331,0.198047,-0.056560,0.040794,0.018908,0.010226,-0.085700,0.021871,0.003193,0.041686,0.010532,0.068570,0.007667,0.048464,0.001271,0.003487,0.022399,0.039257,0.003255,0.026902,0.000132,0.000002,0.003010,0.000448,0.000559,0.000838,0.000040,0.000082,0.011140,-0.008549,-0.003937,0.005935,-0.000021,-0.003573,0.002826,0.003043,-0.002351,0.002685,-0.001542,-0.002850,-0.001316,0.000192,-0.000003,0.000089,0.000058,-0.000002,0.000068,0.000114,0.000008,0.000034,0.000169,-0.000594,0.000051,-0.000044,0.015365,0.002012,0.145200,0.035814,0.029726,0.108358,0.002469,0.011525,0.666817,0.330454,0.336738,0.227686,0.241860,0.226775,0.192041,0.196630,0.186404,0.153573,0.182344,0.167545,0.167962,0.017707,0.004693,0.025361,0.010842,0.026790,0.006022,0.027171,0.001479,0.002936,0.017137,0.021173,0.003412,0.005687,0.017252,0.002658,0.199978,0.037052,0.032383,0.129665,0.003039,0.014403,0.699496,0.375609,0.412058,0.268950,0.316622,0.269130,0.244695,0.255462,0.234594,0.197200,0.211539,0.209866,0.209611,0.025439,0.006540,0.035685,0.014894,0.038042,0.008706,0.035367,0.001972,0.003982,0.024836,0.028556,0.004532,0.007871,carolina
0.028848,0.005305,3.031238,0.110231,0.174490,0.141088,0.006385,0.025517,-25.812332,2.744338,0.334008,0.347953,0.159103,0.290410,0.150024,0.111240,-0.022586,0.006489,0.007460,0.063164,-0.030078,0.018854,0.002273,0.039665,0.009526,0.066240,0.009960,0.053008,0.001742,0.004290,0.021595,0.042177,0.003523,0.026858,0.000045,-0.000011,0.000279,-0.000099,-0.000081,-0.000170,0.000043,-0.000018,-0.008438,0.008685,0.001324,-0.004032,-0.000987,-0.002546,-0.001562,-0.000112,-0.002686,-0.003753,0.000927,0.003182,0.004767,0.000233,-0.000040,0.000037,-0.000023,-0.000561,0.000036,0.000059,-0.000010,0.000029,0.000202,0.000311,-0.000001,-0.000023,0.008338,0.001914,0.159694,0.020761,0.023473,0.059710,0.002181,0.013009,0.834511,0.351970,0.427209,0.208986,0.229959,0.233975,0.200746,0.170952,0.180373,0.146858,0.158031,0.172902,0.178541,0.017484,0.002742,0.019811,0.008360,0.030042,0.008364,0.033648,0.002840,0.004456,0.014549,0.025260,0.005205,0.007420,0.009282,0.002541,0.211468,0.024723,0.029158,0.065851,0.002705,0.013116,0.792990,0.321855,0.461103,0.268502,0.281830,0.275043,0.259529,0.209658,0.236693,0.190920,0.220617,0.244264,0.219601,0.024790,0.003617,0.029721,0.011688,0.038289,0.011178,0.044556,0.004042,0.006176,0.020827,0.032989,0.008042,0.009512,carolina
0.031956,0.004997,3.072031,0.112241,0.173817,0.169159,0.006554,0.028775,-25.894794,2.714299,0.374431,0.261534,0.146270,0.261465,0.141113,0.194187,-0.003951,0.023122,0.007130,0.058712,-0.089241,0.017033,0.004065,0.040776,0.011078,0.068180,0.008418,0.055134,0.001638,0.004869,0.018283,0.036946,0.004073,0.026909,0.000005,-0.000002,0.002850,0.000244,0.000393,-0.000016,0.000032,0.000018,0.001976,-0.001041,0.003209,-0.000796,-0.001556,0.000548,-0.001086,0.000828,0.000881,-0.000447,0.000860,0.000636,-0.000865,0.000091,0.000011,0.000086,0.000107,-0.000203,-0.000018,-0.000471,0.000001,-0.000014,0.000160,0.000049,-0.000001,-0.000055,0.014278,0.002531,0.144504,0.027554,0.027666,0.099532,0.002476,0.016103,0.912535,0.417531,0.369154,0.238276,0.270870,0.200801,0.201454,0.203409,0.184890,0.154255,0.176194,0.164393,0.176122,0.013964,0.006363,0.018712,0.008934,0.032392,0.007685,0.032733,0.002543,0.005117,0.013810,0.024700,0.004720,0.007071,0.015884,0.003489,0.214579,0.030066,0.030984,0.104692,0.003438,0.017518,0.951470,0.378921,0.407755,0.284492,0.307504,0.249012,0.258238,0.243552,0.233794,0.213414,0.234331,0.220993,0.253329,0.019632,0.008476,0.027634,0.012226,0.042282,0.011245,0.043192,0.003890,0.006288,0.018162,0.033681,0.006360,0.008235,carolina
0.032010,0.012784,3.063468,0.117833,0.179292,0.159825,0.006580,0.025554,-24.676316,2.833104,0.357915,0.297924,0.112975,0.295334,0.171095,0.130927,-0.023061,0.059051,-0.013340,-0.024554,-0.080139,0.019951,0.004073,0.043825,0.010879,0.069630,0.006917,0.048503,0.001579,0.004880,0.021379,0.037211,0.003300,0.027620,0.000077,-0.000047,-0.000692,0.000285,0.000277,0.000691,0.000120,-0.000109,-0.010802,-0.008695,0.013201,0.004151,0.000575,0.006028,-0.001926,-0.002244,0.000388,-0.000378,-0.002663,-0.002539,0.001125,-0.000026,-0.000059,-0.000571,0.000024,0.001011,-0.000051,0.000166,-0.000006,-0.000239,0.000024,-0.000155,-0.000052,0.000108,0.014872,0.004299,0.114872,0.034739,0.029877,0.101123,0.002743,0.012245,0.741686,0.355519,0.393428,0.238278,0.220765,0.182022,0.208985,0.147554,0.191775,0.163583,0.164301,0.151696,0.196445,0.018457,0.005962,0.024118,0.009194,0.034029,0.005193,0.028087,0.002131,0.005650,0.019350,0.020119,0.003174,0.006466,0.018353,0.005477,0.158592,0.035222,0.028609,0.129643,0.003499,0.015936,0.825114,0.416551,0.414011,0.283386,0.274593,0.225923,0.273048,0.208637,0.217765,0.208409,0.205908,0.199653,0.222557,0.022671,0.007799,0.029106,0.012057,0.047440,0.007983,0.036399,0.002811,0.007016,0.024988,0.028113,0.004316,0.008294,carolina
0.029841,0.005040,3.039053,0.112368,0.177327,0.140492,0.006672,0.025054,-25.931871,2.774037,0.338327,0.312136,0.131188,0.313025,0.150696,0.198903,0.008318,0.045203,0.004789,0.010093,-0.034577,0.018613,0.003309,0.044885,0.007799,0.069059,0.006586,0.049992,0.001669,0.004537,0.020981,0.039434,0.003978,0.027791,-0.000036,-0.000007,0.001798,0.000117,0.000131,0.000185,0.000052,-0.000018,-0.003172,0.001005,-0.001378,0.003935,-0.000219,-0.004236,-0.002825,0.001799,-0.000473,0.000146,-0.001745,-0.002484,-0.001791,0.000245,-0.000000,-0.000094,0.000028,-0.000189,-0.000047,0.000408,0.000016,0.000001,-0.000150,0.000031,0.000003,-0.000027,0.009579,0.002109,0.185729,0.020220,0.021873,0.061019,0.002571,0.011794,0.797436,0.344872,0.390747,0.228730,0.197945,0.236525,0.218167,0.186020,0.180515,0.169251,0.144811,0.148389,0.163099,0.015951,0.004200,0.025237,0.005319,0.031601,0.005924,0.030746,0.002251,0.004566,0.014340,0.024907,0.004936,0.006169,0.012860,0.002833,0.270538,0.024227,0.025453,0.077172,0.003225,0.014030,0.831797,0.357590,0.416747,0.282339,0.249506,0.279225,0.262521,0.228369,0.237987,0.242046,0.187283,0.202812,0.224210,0.022127,0.005443,0.033870,0.007102,0.043160,0.008006,0.043889,0.002574,0.006189,0.019796,0.033248,0.006530,0.008679,carolina
0.028766,0.013234,3.074764,0.108763,0.172772,0.148574,0.006740,0.026688,-24.518319,2.751934,0.354056,0.273538,0.169142,0.337274,0.139798,0.152790,-0.029220,0.041285,-0.013880,0.004985,-0.073859,0.017174,0.002592,0.047380,0.012836,0.065014,0.006741,0.051596,0.002236,0.004134,0.020322,0.040902,0.002885,0.027934,-0.000005,0.000071,-0.002605,0.000148,0.000288,-0.000464,0.000092,0.000000,0.005149,-0.003818,-0.001888,0.007043,0.001587,0.002247,0.001559,-0.000063,0.004678,-0.000304,0.002420,0.001756,-0.002486,0.000042,-0.000014,-0.000536,-0.000034,0.000174,-0.000165,-0.000075,0.000000,-0.000090,0.000012,0.000747,-0.000004,0.000012,0.009771,0.003666,0.111145,0.021887,0.022767,0.073919,0.002422,0.011920,0.660426,0.339951,0.393939,0.229360,0.227999,0.246061,0.196738,0.202384,0.178595,0.178944,0.151344,0.157102,0.153059,0.012281,0.002462,0.026240,0.012709,0.031588,0.006362,0.033429,0.003630,0.003403,0.013685,0.023290,0.003430,0.006380,0.011754,0.004737,0.146675,0.023283,0.026166,0.080386,0.003168,0.012706,0.643638,0.373075,0.379985,0.254283,0.256880,0.300918,0.262399,0.256553,0.236652,0.226332,0.188061,0.194805,0.192043,0.018663,0.002995,0.037108,0.016029,0.045152,0.008944,0.048444,0.004764,0.004779,0.020605,0.032795,0.004414,0.008668,carolina
0.029682,0.004547,3.066375,0.109446,0.172981,0.152339,0.006598,0.025826,-26.008008,2.754141,0.297080,0.301408,0.171778,0.270931,0.161609,0.121852,0.007054,0.045334,-0.020996,0.008729,-0.040845,0.017494,0.004463,0.043706,0.009010,0.061534,0.007629,0.053046,0.001473,0.003811,0.017984,0.049943,0.002798,0.027694,0.000286,-0.000048,0.000648,0.000681,0.000730,0.000192,0.000054,-0.000617,-0.029004,0.012106,0.006870,-0.000539,0.002263,-0.001419,0.004667,-0.005691,-0.002373,-0.003049,-0.004455,-0.001602,0.002173,0.000100,-0.000071,0.000241,0.000039,0.000305,0.000099,0.000232,-0.000026,-0.000045,0.000081,0.000060,-0.000050,0.000105,0.008812,0.001899,0.143454,0.022754,0.024151,0.074965,0.002250,0.011647,0.803417,0.351046,0.320454,0.200498,0.239640,0.214708,0.186114,0.227260,0.168528,0.158181,0.167064,0.163559,0.169127,0.012401,0.006462,0.021501,0.008997,0.030491,0.005654,0.034873,0.002607,0.003160,0.013131,0.028219,0.003098,0.006951,0.011312,0.002549,0.205047,0.027899,0.028062,0.092906,0.003070,0.013674,0.824940,0.399150,0.380960,0.259420,0.271841,0.282657,0.261892,0.299704,0.220570,0.210505,0.221212,0.213728,0.222308,0.016959,0.007432,0.030622,0.012800,0.042549,0.007719,0.047447,0.003691,0.004089,0.018496,0.035919,0.004202,0.009018,carolina
0.030091,0.005024,3.036499,0.106899,0.170419,0.159054,0.006113,0.027913,-25.859759,2.688070,0.388177,0.230416,0.044592,0.317073,0.166359,0.139587,-0.019402,-0.020282,-0.017176,0.058029,-0.049987,0.018871,0.004319,0.050161,0.011296,0.067483,0.007842,0.043659,0.002022,0.004076,0.018069,0.036766,0.003864,0.026343,-0.000172,-0.000061,0.004385,-0.000243,-0.000487,0.001647,0.000099,-0.000191,-0.008401,0.000655,0.006776,-0.005221,0.002777,-0.007173,-0.001440,0.004686,-0.003129,-0.002244,-0.004101,0.001142,0.000974,0.000068,0.000008,-0.000088,0.000092,0.000210,-0.000168,0.000461,-0.000038,0.000049,-0.000226,-0.000096,0.000036,0.000102,0.010877,0.002900,0.232316,0.017503,0.021232,0.096815,0.002295,0.017266,1.033891,0.385744,0.409378,0.254061,0.251364,0.198466,0.210027,0.195080,0.187986,0.177589,0.187718,0.162427,0.174955,0.013724,0.005023,0.024754,0.008693,0.032441,0.006776,0.026733,0.002713,0.003357,0.012894,0.021100,0.004644,0.006321,0.013331,0.003188,0.318307,0.021816,0.024570,0.113759,0.002773,0.018073,0.876502,0.379811,0.361226,0.299049,0.308513,0.251706,0.247047,0.234348,0.239199,0.220702,0.220335,0.211924,0.234226,0.019466,0.006832,0.032808,0.012276,0.037111,0.009983,0.037181,0.003040,0.004236,0.017774,0.025221,0.006502,0.007684,carolina
0.031148,0.005292,3.044841,0.109187,0.170905,0.162600,0.006107,0.028902,-25.705370,2.699746,0.282490,0.278102,0.076665,0.255086,0.112066,0.134849,0.001880,0.062030,-0.004594,0.021676,-0.029396,0.016431,0.004292,0.050387,0.009504,0.052596,0.008630,0.053927,0.001553,0.005529,0.020046,0.047489,0.003444,0.026943,-0.000082,-0.000009,0.003873,0.000232,0.000371,0.000362,0.000062,0.000045,-0.001230,-0.000505,0.001503,0.000009,0.000363,0.002423,-0.003833,-0.000287,-0.000688,-0.001358,0.000330,-0.001547,-0.002494,0.000053,0.000040,0.000350,0.000014,0.000363,-0.000013,-0.000265,0.000013,0.000008,-0.000166,-0.000603,-0.000012,-0.000001,0.013644,0.002746,0.205561,0.027057,0.025062,0.094326,0.002400,0.015033,1.032576,0.457210,0.379821,0.233910,0.258307,0.217491,0.201495,0.185263,0.207952,0.154877,0.172499,0.149377,0.180118,0.013341,0.005080,0.025827,0.008228,0.031174,0.006312,0.032830,0.002219,0.005115,0.014431,0.025320,0.003871,0.007341,0.014814,0.003108,0.302350,0.030935,0.029733,0.093269,0.003065,0.015407,0.903423,0.406241,0.415737,0.277725,0.303236,0.298303,0.254400,0.222381,0.249621,0.220842,0.213195,0.211970,0.238521,0.018784,0.006551,0.035799,0.012267,0.041051,0.008929,0.041172,0.003026,0.006516,0.019598,0.030852,0.005484,0.009305,carolina
0.030631,0.007393,3.059349,0.110650,0.175045,0.151230,0.006501,0.027740,-25.295085,2.724540,0.358309,0.320176,0.090286,0.314781,0.170067,0.154954,-0.042415,0.029885,0.008199,0.039412,-0.035520,0.017181,0.002575,0.041290,0.009851,0.065517,0.007448,0.052063,0.001699,0.004229,0.018348,0.049384,0.003347,0.027454,-0.000027,0.000014,-0.002347,-0.000065,-0.000046,-0.000236,0.000034,0.000027,0.002590,0.003054,-0.001249,-0.003027,0.001031,-0.001819,-0.002262,-0.001378,0.001198,-0.002751,0.004428,0.000861,0.002928,-0.000031,-0.000010,-0.000860,-0.000057,-0.000272,0.000007,0.000193,0.000007,0.000023,-0.000096,0.001097,-0.000001,-0.000024,0.010371,0.002130,0.121634,0.020442,0.020870,0.080537,0.002321,0.014049,0.664219,0.374722,0.324130,0.253888,0.200609,0.216558,0.191558,0.208238,0.192106,0.164767,0.191734,0.167935,0.156637,0.015536,0.003253,0.024004,0.007937,0.028917,0.006809,0.029850,0.002203,0.003672,0.012991,0.025921,0.004134,0.006147,0.012610,0.002957,0.160679,0.023952,0.025847,0.095210,0.002669,0.018542,0.794024,0.436199,0.419228,0.295812,0.267839,0.295666,0.223903,0.256103,0.242584,0.221717,0.238212,0.211919,0.199295,0.022080,0.004847,0.034902,0.011482,0.039527,0.009660,0.040514,0.003031,0.004697,0.017512,0.038046,0.004868,0.008395,carolina
