@RELATION trained_models/oficina/original//svm/snr_-10/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.046307,0.033866,3.127583,0.130070,0.184830,0.265790,0.008583,0.068421,-23.303258,2.753394,0.084704,0.090102,0.030732,0.034908,0.238523,0.230665,-0.059823,-0.011006,-0.011434,-0.071447,-0.211955,0.032693,0.006401,0.035805,0.013781,0.026070,0.009651,0.024116,0.002181,0.004216,0.027541,0.050925,0.005785,0.024452,0.000005,-0.000198,-0.001484,0.000268,0.000419,0.000440,0.000069,-0.000091,-0.013560,-0.002923,0.001405,0.006131,0.004004,-0.007677,-0.001476,0.000686,-0.002692,0.003313,-0.001622,-0.000816,0.002949,0.000632,-0.000001,0.000230,0.000062,0.000061,0.000083,0.000913,0.000004,0.000091,-0.000258,-0.001111,0.000018,-0.000104,0.033787,0.014032,0.111928,0.056338,0.036190,0.250324,0.004133,0.078795,1.030292,0.449550,0.559729,0.317236,0.355934,0.330413,0.274592,0.253769,0.258100,0.198310,0.254538,0.204616,0.212255,0.032869,0.009727,0.026473,0.015877,0.021256,0.011597,0.021891,0.003172,0.004335,0.019269,0.032318,0.006918,0.008253,0.037116,0.017164,0.155532,0.057493,0.038439,0.303054,0.005392,0.103519,1.107400,0.529376,0.611417,0.396845,0.440343,0.354293,0.326796,0.300966,0.317590,0.267868,0.275023,0.250415,0.244154,0.040393,0.013434,0.033158,0.021078,0.028164,0.016534,0.030230,0.004117,0.005702,0.023299,0.034295,0.009792,0.010413,carolina
0.038947,0.018954,3.123304,0.121092,0.178305,0.231229,0.008122,0.042514,-24.136579,2.630832,0.159746,0.120037,-0.116195,0.096940,0.247413,0.129046,0.006643,-0.000876,-0.013562,0.037660,-0.135575,0.035158,0.005585,0.035658,0.009010,0.024792,0.012165,0.030771,0.003323,0.007974,0.022710,0.039900,0.006981,0.022103,0.000064,0.000007,0.001247,0.000545,0.000208,0.001500,0.000061,-0.000018,-0.011888,0.007095,0.005636,0.000470,-0.000693,-0.004077,-0.001515,0.000471,-0.000041,-0.001480,0.001195,0.008073,0.003599,-0.000177,-0.000330,-0.000687,-0.000115,0.000022,0.000043,0.000005,-0.000015,-0.000053,0.000429,0.000493,-0.000006,0.000048,0.021994,0.011407,0.118435,0.043154,0.033604,0.205531,0.002959,0.036574,1.178431,0.450165,0.711398,0.304030,0.366065,0.380289,0.307762,0.249433,0.244701,0.237140,0.199578,0.225733,0.242147,0.033279,0.007578,0.024124,0.007502,0.017408,0.013022,0.022715,0.006783,0.009493,0.016225,0.027658,0.010362,0.007114,0.027769,0.010156,0.157208,0.049486,0.039441,0.263393,0.004188,0.054776,0.965581,0.514690,0.704624,0.347097,0.417244,0.407449,0.338569,0.313328,0.280532,0.287728,0.254742,0.255184,0.287373,0.043613,0.010004,0.028139,0.010540,0.021592,0.016612,0.025880,0.009481,0.012752,0.021134,0.034000,0.014743,0.009568,carolina
0.042759,0.033177,3.135896,0.125003,0.179674,0.267710,0.008193,0.054918,-23.300600,2.600039,0.253951,0.061144,-0.067397,0.110398,0.182856,0.185247,-0.013435,-0.042089,-0.027815,0.035669,-0.176162,0.027937,0.008573,0.042424,0.014883,0.030006,0.008291,0.034559,0.003292,0.009130,0.022174,0.031873,0.007406,0.023976,-0.000281,0.000090,0.002408,0.000490,0.000777,-0.001837,0.000038,-0.000054,0.006452,0.002454,0.013979,-0.003121,-0.004276,0.001562,-0.010683,0.001073,-0.001001,0.002623,0.002264,0.000170,-0.000637,-0.000004,0.000004,0.000203,0.000031,0.000298,0.000010,-0.001639,-0.000005,-0.000005,-0.000019,0.000691,-0.000003,-0.000130,0.028764,0.017983,0.093668,0.051395,0.037084,0.240783,0.003633,0.061289,1.214102,0.461063,0.600581,0.360796,0.376251,0.297223,0.277337,0.291255,0.246767,0.186848,0.210994,0.203658,0.191643,0.026818,0.013985,0.024235,0.016971,0.025001,0.008537,0.029449,0.006512,0.013058,0.018053,0.025793,0.009049,0.009053,0.033708,0.020053,0.129142,0.054744,0.038542,0.298112,0.004436,0.081603,1.337622,0.488716,0.569901,0.417964,0.425673,0.322136,0.322227,0.356411,0.294683,0.244870,0.256360,0.237509,0.245430,0.028303,0.018406,0.031046,0.021951,0.033311,0.012517,0.030896,0.010194,0.016737,0.023763,0.031999,0.011237,0.010867,carolina
0.049369,0.029181,3.106443,0.137281,0.189901,0.291541,0.008125,0.061388,-23.634637,2.722356,0.150900,0.118577,-0.162886,0.108809,0.244571,0.121929,-0.025919,-0.002161,-0.055630,-0.079510,-0.209034,0.032039,0.008804,0.040415,0.015522,0.027858,0.006565,0.025816,0.003553,0.008294,0.023214,0.039077,0.006667,0.023973,0.000059,-0.000291,-0.000273,0.000273,0.000276,0.001640,0.000121,-0.000073,-0.015445,-0.019193,0.021942,0.001202,-0.004316,0.010062,-0.003477,-0.000227,0.000020,0.000783,0.001839,-0.002606,0.001273,0.000075,-0.000162,-0.000171,-0.000203,0.000166,-0.000037,0.000504,-0.000016,-0.000168,-0.000014,0.000526,-0.000190,0.000115,0.038080,0.015271,0.137244,0.060263,0.037069,0.319414,0.003323,0.081982,1.043201,0.470060,0.666195,0.289599,0.370821,0.251570,0.267238,0.227171,0.291422,0.224686,0.220974,0.210279,0.249614,0.034489,0.012796,0.029402,0.018744,0.023223,0.006270,0.019359,0.005832,0.011307,0.021425,0.025823,0.007853,0.008792,0.044570,0.015947,0.199222,0.058424,0.034703,0.398864,0.004001,0.110544,1.194758,0.605937,0.618789,0.339418,0.383480,0.296521,0.296862,0.278095,0.311180,0.265183,0.246482,0.267914,0.289013,0.043329,0.016206,0.034492,0.025926,0.029723,0.008172,0.023910,0.006914,0.014395,0.027538,0.030014,0.010118,0.011641,carolina
0.045776,0.026471,3.116500,0.129812,0.186056,0.262494,0.008163,0.054574,-23.581458,2.654303,0.140286,0.128185,-0.121854,0.162011,0.183483,0.192380,0.017786,-0.032502,-0.054138,-0.040065,-0.113892,0.033309,0.007798,0.037903,0.010710,0.023595,0.008174,0.025654,0.003023,0.009287,0.026678,0.038983,0.008641,0.022473,0.000295,0.000047,-0.008603,0.000104,0.000084,-0.000348,0.000066,-0.000127,-0.010252,0.009476,0.006537,0.007339,0.004604,-0.004089,-0.010207,0.000751,-0.000272,0.002040,0.001654,-0.001209,-0.003987,0.000172,-0.000448,-0.000060,0.000103,0.000367,-0.000110,0.000077,0.000001,0.000017,0.000126,0.000077,0.000028,0.000017,0.029380,0.012836,0.137944,0.046295,0.032755,0.245204,0.003325,0.059282,0.965277,0.478795,0.602477,0.287250,0.324968,0.364856,0.296348,0.244931,0.248385,0.219000,0.213137,0.185545,0.207219,0.038502,0.011242,0.024512,0.010307,0.018236,0.009214,0.015523,0.004827,0.011878,0.020320,0.028793,0.012990,0.007924,0.035976,0.012603,0.182830,0.053783,0.036740,0.309847,0.004450,0.077181,0.920703,0.533764,0.559822,0.357393,0.351988,0.396864,0.324829,0.280765,0.329374,0.290413,0.247428,0.225378,0.263748,0.047682,0.014532,0.030426,0.012906,0.022967,0.011807,0.020437,0.005265,0.015459,0.027384,0.033116,0.015458,0.010533,carolina
0.040327,0.031524,3.137229,0.120381,0.179915,0.238930,0.007845,0.050635,-23.289476,2.627674,0.158856,0.052672,-0.042801,0.171817,0.155337,0.172063,-0.048388,-0.029184,-0.038104,-0.059777,-0.184349,0.026336,0.005834,0.045338,0.021040,0.025412,0.008960,0.025144,0.004382,0.006721,0.022691,0.036545,0.006166,0.023366,0.000159,-0.000227,0.001035,0.000374,0.000397,0.000988,0.000093,0.000145,0.008329,-0.010713,-0.015185,0.004095,-0.002820,0.003582,0.007160,-0.001829,0.002566,-0.001618,0.003211,0.002969,-0.002362,-0.000033,0.000010,-0.000656,-0.000272,-0.000678,0.000022,0.000461,0.000006,-0.000024,0.000087,0.001127,0.000021,0.000037,0.022468,0.014811,0.102883,0.042691,0.034033,0.187102,0.003349,0.038951,1.123427,0.404314,0.669707,0.332304,0.333604,0.367088,0.276757,0.261796,0.204383,0.206194,0.192775,0.195449,0.223893,0.023898,0.006466,0.033735,0.025603,0.017745,0.012787,0.018397,0.008552,0.009407,0.015994,0.023870,0.008255,0.008912,0.023913,0.013822,0.134551,0.046538,0.039060,0.223800,0.004499,0.045549,1.043727,0.516231,0.648348,0.383643,0.371085,0.403840,0.322510,0.272632,0.270002,0.247088,0.212478,0.242810,0.280949,0.033025,0.007470,0.038451,0.027613,0.022424,0.017775,0.024254,0.011265,0.013300,0.019563,0.029839,0.011164,0.011034,carolina
0.040726,0.022737,3.125688,0.120069,0.176284,0.253495,0.007578,0.052187,-23.750523,2.668091,0.119695,0.099876,-0.063024,0.092394,0.224725,0.106100,-0.030919,-0.017607,-0.044489,-0.019810,-0.122602,0.024598,0.009472,0.032925,0.016029,0.025197,0.007346,0.026501,0.003372,0.006035,0.022660,0.050854,0.004874,0.022782,0.000526,-0.000048,-0.001306,0.001249,0.000643,0.004646,0.000063,0.001670,-0.022693,0.004775,0.008384,0.003889,0.002345,-0.003693,0.002763,-0.003239,-0.006013,-0.010031,-0.005554,-0.002898,0.006502,-0.000560,-0.000033,-0.000012,0.000071,0.001685,0.000111,-0.000199,-0.000073,-0.000027,0.000020,-0.000324,-0.000089,0.000304,0.023910,0.011972,0.120315,0.045823,0.036757,0.235424,0.003487,0.045099,1.056308,0.443378,0.582470,0.307629,0.369814,0.331648,0.260241,0.323313,0.266239,0.223139,0.188278,0.206993,0.236990,0.021714,0.014249,0.022681,0.018690,0.019247,0.007462,0.017209,0.007302,0.006048,0.015528,0.032741,0.006564,0.008195,0.028172,0.012262,0.169295,0.050368,0.039915,0.281002,0.004629,0.060127,1.022173,0.479919,0.592662,0.369970,0.404851,0.378176,0.305934,0.377185,0.331652,0.271244,0.245290,0.257455,0.266653,0.022593,0.016293,0.027512,0.024991,0.019983,0.009612,0.023170,0.010316,0.007620,0.022531,0.032505,0.007779,0.009354,carolina
0.040386,0.024855,3.114255,0.116989,0.176377,0.246025,0.008091,0.048512,-23.583783,2.536251,0.207478,0.037044,-0.225475,0.184748,0.212419,0.158597,0.019855,-0.072461,-0.045699,0.047456,-0.164892,0.025124,0.008577,0.043583,0.017415,0.033291,0.009913,0.026480,0.003574,0.005635,0.017554,0.036397,0.007037,0.023106,-0.001547,-0.000086,0.005283,-0.001305,-0.001047,-0.001879,0.000074,-0.000018,-0.010576,-0.001197,0.005496,-0.005156,0.002136,-0.005799,-0.002458,0.002964,-0.003704,-0.002154,-0.003872,-0.000042,0.000578,0.000065,0.000045,-0.000132,0.000076,0.000147,-0.000030,0.000312,-0.000013,0.000050,-0.000159,-0.000138,-0.000011,0.000059,0.024872,0.013069,0.130995,0.034944,0.030670,0.226066,0.003642,0.045184,1.150477,0.427877,0.652266,0.317715,0.373181,0.326453,0.275886,0.268829,0.240891,0.220249,0.247441,0.205440,0.191001,0.025440,0.010833,0.029674,0.014897,0.029147,0.011438,0.021214,0.006710,0.005783,0.012493,0.023088,0.009430,0.008109,0.028999,0.012634,0.157446,0.042058,0.035781,0.278864,0.004623,0.061690,1.107211,0.559138,0.562969,0.348045,0.415478,0.385692,0.343485,0.306326,0.288912,0.273569,0.291156,0.264966,0.260915,0.033696,0.014855,0.037027,0.020097,0.035566,0.013697,0.026660,0.008552,0.007832,0.016552,0.027156,0.013491,0.009863,carolina
0.039052,0.029308,3.128922,0.115196,0.173243,0.218597,0.007687,0.046824,-23.561950,2.718179,0.126411,0.116839,-0.129325,0.125936,0.179894,0.147294,-0.018026,0.002184,-0.042146,-0.023697,-0.132477,0.024864,0.009106,0.043635,0.011174,0.022719,0.012096,0.025209,0.002796,0.009457,0.024596,0.048396,0.005071,0.023628,-0.000059,0.000136,0.001355,-0.000153,0.000036,-0.001365,0.000069,0.000036,0.016755,0.004965,-0.007047,-0.002901,0.001684,0.001215,-0.003045,0.002831,-0.002577,-0.002572,-0.002658,-0.005549,-0.006969,0.000257,0.000362,0.000989,0.000063,-0.000351,-0.000015,-0.000679,0.000107,-0.000110,-0.000145,-0.000569,0.000013,0.000066,0.026465,0.017467,0.114254,0.046268,0.033548,0.212839,0.003429,0.039005,1.239886,0.477365,0.586308,0.352346,0.388889,0.300896,0.284642,0.275152,0.252238,0.186185,0.243781,0.191395,0.210545,0.022647,0.012876,0.030969,0.009997,0.018286,0.014544,0.019273,0.004569,0.011063,0.017718,0.028722,0.005346,0.006943,0.030966,0.014354,0.154202,0.050600,0.037158,0.245536,0.003987,0.050645,0.957131,0.482853,0.593484,0.398175,0.416662,0.371901,0.319343,0.290908,0.292445,0.225805,0.277715,0.267633,0.250627,0.023282,0.016536,0.035049,0.013464,0.022337,0.017891,0.020438,0.006239,0.013969,0.022102,0.033645,0.006748,0.009134,carolina
0.041565,0.033996,3.142573,0.121863,0.182130,0.244444,0.007863,0.050853,-23.111652,2.645077,0.153288,0.107472,-0.104466,0.143576,0.238002,0.175264,-0.084650,-0.047539,-0.032729,-0.002599,-0.154811,0.024825,0.005170,0.036146,0.013739,0.026011,0.010365,0.029104,0.003397,0.006997,0.022352,0.052389,0.007178,0.023614,-0.000023,0.000101,-0.002142,-0.000401,-0.000485,-0.000243,0.000043,0.000027,0.010843,0.003450,-0.002817,-0.001519,-0.000900,0.001391,-0.000904,-0.002595,0.001300,0.000105,0.003197,0.003503,0.002991,-0.000141,-0.000217,-0.001230,0.000018,0.000010,-0.000008,-0.000004,-0.000022,0.000127,0.000116,0.000965,-0.000022,-0.000143,0.028533,0.014586,0.102051,0.042155,0.031809,0.241271,0.003411,0.052115,0.845743,0.447383,0.545926,0.337419,0.331233,0.324791,0.279919,0.295554,0.258372,0.216065,0.213844,0.221389,0.241542,0.025270,0.006734,0.027227,0.014225,0.018826,0.015349,0.018116,0.005486,0.007526,0.016300,0.030964,0.010580,0.007669,0.031713,0.017190,0.137683,0.044991,0.036424,0.266033,0.004356,0.063811,1.036943,0.555120,0.622951,0.345527,0.388360,0.393921,0.316030,0.343081,0.300927,0.270702,0.246615,0.270739,0.306319,0.035696,0.009035,0.032007,0.018103,0.024208,0.020912,0.024076,0.007005,0.008631,0.021941,0.036343,0.012141,0.009422,carolina
