@RELATION sp-project/oficina/original_snr_10
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.026397,0.004185,3.024704,0.109858,0.176658,0.132511,0.006791,0.021652,-26.439618,2.894471,0.435985,0.298800,0.254296,0.302676,0.137800,0.168827,-0.055056,0.050604,0.018874,0.030308,-0.048007,0.018626,0.002032,0.042633,0.009645,0.079691,0.007214,0.056015,0.000997,0.003156,0.021257,0.037790,0.002447,0.029712,0.000032,0.000007,0.003734,0.000463,0.000573,0.000800,0.000045,0.000136,0.014668,-0.009302,-0.005383,0.005209,-0.001484,-0.002173,0.003527,0.002908,-0.001229,0.002937,-0.001086,-0.003840,-0.002271,0.000133,0.000001,0.000057,0.000037,-0.000096,0.000052,-0.000089,0.000008,0.000027,0.000218,-0.000332,0.000049,-0.000057,0.009811,0.001794,0.153326,0.027337,0.026212,0.074248,0.002587,0.010197,0.575062,0.300673,0.260753,0.199070,0.189995,0.179186,0.161846,0.167473,0.158117,0.141058,0.154868,0.148861,0.153527,0.014943,0.002579,0.024995,0.009721,0.029610,0.005508,0.031394,0.001078,0.002420,0.017102,0.021004,0.002343,0.005950,0.011706,0.002410,0.210368,0.029148,0.029491,0.084160,0.003202,0.011597,0.608413,0.334342,0.327286,0.245099,0.255469,0.233677,0.214469,0.229422,0.218665,0.183364,0.192523,0.197255,0.195121,0.021160,0.003575,0.036563,0.013369,0.042694,0.007931,0.040556,0.001412,0.003243,0.024713,0.029394,0.003151,0.008357,carolina
0.026466,0.004334,3.003841,0.107896,0.173627,0.127425,0.006449,0.022541,-26.251257,2.768627,0.414908,0.394441,0.219661,0.331541,0.117497,0.104077,-0.035238,0.005734,0.006885,0.061209,-0.013941,0.016302,0.001601,0.041025,0.009536,0.074308,0.009234,0.057095,0.001352,0.003495,0.021547,0.042747,0.002586,0.028935,0.000036,-0.000013,0.000229,-0.000173,-0.000107,-0.000277,0.000041,0.000027,-0.007996,0.008562,0.000630,-0.005102,-0.001510,-0.002369,-0.000767,0.000835,-0.002415,-0.003986,0.000004,0.001432,0.003911,0.000275,-0.000017,0.000079,0.000022,-0.000619,0.000040,0.000074,-0.000008,0.000033,0.000169,0.000290,0.000001,-0.000053,0.007365,0.001647,0.170726,0.015997,0.020362,0.052560,0.002397,0.013620,0.821321,0.350626,0.352223,0.177324,0.198302,0.201513,0.175396,0.158126,0.158960,0.134824,0.144451,0.155105,0.162675,0.014965,0.001846,0.019577,0.008608,0.031735,0.007699,0.036082,0.001932,0.003313,0.015284,0.025364,0.003191,0.007517,0.008101,0.002270,0.234768,0.019026,0.025840,0.051514,0.003153,0.013637,0.785923,0.325005,0.399773,0.242095,0.248859,0.247205,0.241598,0.194432,0.222413,0.186680,0.209385,0.231237,0.205440,0.022352,0.002344,0.029379,0.012229,0.042138,0.010561,0.049369,0.002730,0.004618,0.021984,0.033300,0.004970,0.009712,carolina
0.029428,0.004251,3.033959,0.108053,0.171171,0.148817,0.006453,0.024319,-26.310935,2.745915,0.440065,0.316715,0.208934,0.291005,0.116876,0.180610,-0.004926,0.048012,0.018597,0.055857,-0.061538,0.014561,0.002648,0.040486,0.009642,0.077356,0.008090,0.061172,0.001167,0.003970,0.018244,0.039022,0.002972,0.029616,-0.000077,-0.000006,0.002482,0.000093,0.000138,0.000016,0.000040,-0.000000,0.000103,-0.001409,0.000941,-0.000235,-0.001297,0.000738,0.000788,0.001071,0.001293,-0.000806,0.000866,0.000619,-0.000656,0.000100,0.000012,0.000044,0.000124,-0.000220,-0.000017,-0.000337,0.000002,-0.000015,0.000182,-0.000042,-0.000002,-0.000061,0.012366,0.002456,0.158562,0.020150,0.022623,0.088547,0.002621,0.015546,0.922345,0.424994,0.316898,0.201767,0.213387,0.173077,0.183473,0.169207,0.155779,0.143905,0.154277,0.150322,0.155726,0.012558,0.003564,0.019500,0.006872,0.034093,0.007514,0.036282,0.001426,0.003831,0.014382,0.025677,0.003290,0.007593,0.013930,0.003388,0.239628,0.022818,0.026802,0.087119,0.003857,0.016791,0.905968,0.385229,0.358575,0.258315,0.238832,0.222332,0.247473,0.209120,0.206824,0.201183,0.213561,0.209612,0.223385,0.018577,0.004872,0.029624,0.009426,0.043733,0.010695,0.049317,0.002009,0.005041,0.019782,0.034685,0.004474,0.008919,carolina
0.028040,0.010712,3.037922,0.110774,0.174683,0.131754,0.006689,0.021606,-25.074682,2.845521,0.440396,0.349417,0.203092,0.341470,0.131894,0.122723,-0.038570,0.062278,0.004880,0.000821,-0.037866,0.016827,0.002558,0.044350,0.009741,0.079543,0.006971,0.054907,0.001090,0.003788,0.020455,0.038147,0.002355,0.030004,0.000168,-0.000015,-0.001164,0.000193,0.000210,0.000305,0.000115,-0.000091,-0.007109,-0.005712,0.009142,0.004653,0.001290,0.004409,-0.001154,-0.001039,0.000629,-0.000829,-0.003667,-0.002862,0.000152,0.000007,-0.000014,-0.000720,0.000023,0.000896,-0.000042,0.000093,-0.000004,-0.000184,0.000020,-0.000171,-0.000003,0.000051,0.010377,0.003506,0.126717,0.023582,0.024657,0.066356,0.002991,0.011938,0.716172,0.349282,0.320939,0.217441,0.178770,0.151240,0.186808,0.137726,0.160635,0.139403,0.145633,0.136400,0.165517,0.015828,0.003502,0.024479,0.007292,0.035399,0.005538,0.032010,0.001188,0.003718,0.018253,0.020171,0.002106,0.006551,0.013152,0.004724,0.181472,0.025154,0.025013,0.087101,0.003750,0.016192,0.796098,0.389113,0.378334,0.270713,0.235741,0.194968,0.259182,0.204251,0.197774,0.184514,0.185993,0.180280,0.203176,0.019903,0.004852,0.031256,0.009766,0.049458,0.008552,0.042645,0.001655,0.004764,0.024275,0.029429,0.002973,0.008662,carolina
0.026225,0.004274,3.018144,0.107969,0.174346,0.123093,0.006839,0.021615,-26.341705,2.793061,0.415114,0.353725,0.205991,0.343727,0.122946,0.175819,-0.015565,0.058840,0.012368,0.021180,-0.008797,0.015379,0.002264,0.046671,0.007148,0.078530,0.006134,0.055157,0.001299,0.003735,0.019705,0.040001,0.002825,0.030444,-0.000100,-0.000010,0.002299,0.000062,0.000086,0.000155,0.000048,0.000009,-0.001175,0.000314,-0.001413,0.002838,-0.001311,-0.004091,-0.001783,0.001801,0.000161,0.000042,-0.002116,-0.002844,-0.001280,0.000219,0.000013,-0.000105,0.000036,-0.000251,-0.000016,0.000509,0.000019,-0.000004,-0.000191,0.000030,-0.000002,-0.000021,0.007213,0.001983,0.185310,0.013916,0.018919,0.047462,0.002929,0.011686,0.798617,0.324961,0.334092,0.208418,0.180103,0.199017,0.184650,0.159330,0.167338,0.147706,0.122105,0.139626,0.148417,0.012389,0.002868,0.027152,0.004790,0.033958,0.005059,0.034447,0.001639,0.003448,0.014462,0.025429,0.002874,0.006774,0.010437,0.002752,0.269488,0.017466,0.023085,0.056831,0.003569,0.014332,0.866194,0.336627,0.373918,0.255385,0.230668,0.249307,0.230033,0.200584,0.221873,0.213695,0.159015,0.192454,0.205813,0.017289,0.003616,0.037771,0.006472,0.045760,0.007150,0.048983,0.001973,0.004659,0.020418,0.034322,0.004049,0.009513,carolina
0.026053,0.011143,3.038681,0.105598,0.170739,0.128532,0.006923,0.021824,-24.966078,2.784985,0.442958,0.338011,0.237891,0.370893,0.117756,0.138366,-0.032320,0.053096,-0.002774,0.020224,-0.040603,0.015553,0.001670,0.048140,0.009793,0.074847,0.006265,0.057564,0.001514,0.003553,0.019857,0.042665,0.002009,0.030552,-0.000095,0.000084,-0.004180,0.000089,0.000212,-0.000455,0.000093,-0.000045,0.004953,-0.002234,0.000087,0.005811,0.001496,0.001158,-0.000055,0.000631,0.004395,0.000028,0.001210,0.000755,-0.002471,0.000048,-0.000018,-0.000341,0.000026,0.000121,-0.000174,-0.000173,0.000000,-0.000091,0.000013,0.000554,-0.000004,0.000024,0.008434,0.003235,0.128826,0.015865,0.017995,0.059731,0.002682,0.010517,0.629379,0.340919,0.315686,0.196390,0.186263,0.202172,0.174919,0.184067,0.165055,0.164013,0.141408,0.147890,0.141211,0.011885,0.001424,0.026584,0.009026,0.034796,0.005409,0.036279,0.002130,0.002560,0.014103,0.023975,0.001948,0.006564,0.010100,0.004275,0.171079,0.017245,0.021517,0.064250,0.003578,0.011093,0.616888,0.346208,0.306080,0.235371,0.229986,0.262763,0.240339,0.249567,0.218207,0.220035,0.190403,0.185213,0.175047,0.018021,0.001863,0.038454,0.012833,0.051633,0.007659,0.053251,0.002783,0.003489,0.021327,0.033692,0.002319,0.009204,carolina
0.026452,0.004018,3.037788,0.106562,0.171773,0.134629,0.006689,0.022160,-26.378311,2.775801,0.390645,0.351358,0.233289,0.321544,0.121848,0.112675,0.010233,0.054082,-0.019110,0.007311,-0.028539,0.016047,0.002881,0.046866,0.007686,0.069263,0.007745,0.060089,0.001029,0.003523,0.017397,0.049029,0.002290,0.030019,0.000086,-0.000052,0.001274,0.000500,0.000712,-0.000974,0.000052,-0.000626,-0.030523,0.012929,0.006897,-0.001095,0.002157,-0.001621,0.004530,-0.005554,-0.001683,-0.001154,-0.003514,-0.000685,0.001010,0.000173,-0.000075,0.000355,0.000020,0.000078,0.000060,0.000412,-0.000016,-0.000059,0.000058,0.000096,-0.000037,0.000085,0.007788,0.001860,0.161494,0.017034,0.020864,0.061104,0.002573,0.010845,0.803601,0.352954,0.286925,0.180696,0.197395,0.187371,0.174842,0.194372,0.153328,0.143415,0.158983,0.146095,0.149823,0.011691,0.003808,0.022778,0.006986,0.032462,0.005552,0.039070,0.001482,0.003154,0.011836,0.027836,0.002195,0.007408,0.009232,0.002565,0.241234,0.021703,0.024813,0.071148,0.003509,0.012076,0.818957,0.381358,0.351429,0.231071,0.233386,0.266957,0.245329,0.263698,0.208255,0.194299,0.210147,0.200028,0.208760,0.016189,0.004524,0.032726,0.009974,0.047122,0.007666,0.054184,0.002083,0.004265,0.016696,0.036169,0.003128,0.009901,carolina
0.027105,0.004467,3.013455,0.104134,0.168071,0.139517,0.006111,0.023702,-26.244105,2.737148,0.452421,0.285846,0.141517,0.350208,0.127815,0.126130,-0.036245,-0.004709,-0.011221,0.051323,-0.019159,0.017585,0.003025,0.051699,0.009622,0.074280,0.007148,0.048388,0.001558,0.003843,0.018404,0.038959,0.002807,0.028584,-0.000009,-0.000061,0.004204,-0.000040,-0.000204,0.001860,0.000107,-0.000191,-0.008089,0.000974,0.006853,-0.005295,0.002726,-0.007225,-0.001187,0.004973,-0.002806,-0.002130,-0.003985,0.001166,0.000858,0.000065,0.000012,-0.000092,0.000087,0.000205,-0.000179,0.000470,-0.000041,0.000048,-0.000223,-0.000095,0.000039,0.000104,0.008911,0.002869,0.241481,0.013662,0.019060,0.077890,0.002406,0.014491,1.046394,0.382792,0.353889,0.233575,0.213027,0.160814,0.185140,0.173105,0.169726,0.165249,0.161386,0.145906,0.156470,0.011442,0.003584,0.025414,0.007229,0.033826,0.005790,0.030086,0.001993,0.003239,0.013738,0.024325,0.003002,0.006820,0.011025,0.003213,0.338668,0.017542,0.022519,0.087223,0.003148,0.013069,0.864354,0.346448,0.323217,0.287111,0.266700,0.209228,0.217012,0.209084,0.225979,0.216145,0.201758,0.190771,0.210050,0.016492,0.004467,0.032000,0.010448,0.039010,0.008694,0.040417,0.002160,0.003992,0.019339,0.028125,0.004091,0.008406,carolina
0.028026,0.004391,3.022316,0.107039,0.170328,0.147432,0.006155,0.026034,-26.120169,2.694243,0.359445,0.327911,0.141798,0.289671,0.080047,0.117368,-0.002276,0.066365,0.005093,0.042694,0.002237,0.014410,0.002915,0.051108,0.008632,0.060113,0.008183,0.062746,0.001237,0.004773,0.019215,0.047140,0.002846,0.029577,0.000027,-0.000014,0.003883,0.000275,0.000383,0.000522,0.000069,0.000064,-0.003785,-0.001781,0.002402,0.000759,0.000838,0.003118,-0.004105,-0.000719,-0.000358,-0.001090,0.000556,-0.000558,-0.001168,0.000019,-0.000008,0.000192,0.000002,0.000533,-0.000016,-0.000196,-0.000004,0.000005,-0.000171,-0.000579,-0.000016,0.000029,0.010712,0.002561,0.225078,0.020288,0.022623,0.075607,0.002432,0.015847,1.036476,0.473913,0.351208,0.203047,0.214634,0.195747,0.170325,0.162777,0.190039,0.154835,0.150019,0.137527,0.167626,0.012161,0.003358,0.026657,0.007199,0.034037,0.005490,0.038868,0.001650,0.004051,0.014034,0.026944,0.003330,0.008091,0.011508,0.003058,0.332307,0.024190,0.028177,0.067963,0.003128,0.015261,0.924832,0.405216,0.386471,0.245598,0.277999,0.266083,0.231932,0.202628,0.231396,0.221659,0.182177,0.201640,0.231619,0.017816,0.004265,0.036716,0.011079,0.045236,0.007955,0.048812,0.002221,0.005434,0.019719,0.033183,0.004748,0.010209,carolina
0.027618,0.005903,3.027917,0.107455,0.172713,0.133044,0.006595,0.023185,-25.789843,2.743993,0.440758,0.369836,0.153140,0.351517,0.136570,0.146727,-0.039658,0.034846,0.002589,0.042735,-0.006344,0.015311,0.001955,0.042975,0.009156,0.073716,0.006749,0.059252,0.001219,0.003682,0.017918,0.048084,0.002351,0.029876,-0.000027,0.000008,-0.001983,-0.000067,-0.000068,-0.000220,0.000031,0.000009,0.001057,0.002717,-0.000770,-0.003397,0.000918,-0.001248,-0.001864,-0.000981,0.001588,-0.002413,0.004120,-0.000061,0.002314,-0.000029,0.000003,-0.000773,-0.000081,-0.000297,0.000007,0.000249,0.000012,0.000011,-0.000074,0.001048,0.000010,-0.000022,0.008154,0.001914,0.133701,0.014373,0.017524,0.060310,0.002598,0.013391,0.701607,0.377278,0.288182,0.221326,0.176247,0.182813,0.160093,0.182360,0.175030,0.157355,0.174668,0.151610,0.140296,0.014072,0.002559,0.023786,0.007147,0.030405,0.005482,0.035887,0.001410,0.002980,0.012792,0.025844,0.002576,0.006517,0.011086,0.002537,0.186733,0.017965,0.022637,0.071816,0.003028,0.016939,0.770184,0.395985,0.386259,0.271383,0.240172,0.249143,0.196401,0.233068,0.233671,0.207744,0.231579,0.203239,0.176446,0.019915,0.003760,0.035773,0.010865,0.041507,0.008050,0.048354,0.001963,0.003933,0.017492,0.038152,0.003450,0.008830,carolina
