@RELATION trained_models/pasos/spect_sub/snr_5/original_pasos_snr_5
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.041534,0.005100,3.119373,0.101723,0.158115,0.290798,0.005927,0.064701,-25.495643,2.673317,0.077019,0.114346,0.148326,0.425341,0.201405,0.078822,0.000491,0.005613,-0.014975,0.130660,0.011961,0.014150,0.004197,0.033858,0.009503,0.066961,0.011337,0.050938,0.002347,0.006117,0.017482,0.029574,0.003066,0.024391,0.000068,0.000015,0.004008,0.000384,0.000472,0.000779,0.000048,0.000172,0.023110,-0.008314,-0.006031,0.001695,-0.006176,-0.002013,0.003938,0.002047,0.000499,0.001505,-0.001341,-0.003485,-0.001576,0.000020,0.000023,0.000118,0.000032,-0.000216,0.000066,-0.000320,0.000017,0.000013,0.000055,-0.000033,0.000051,-0.000094,0.010655,0.001874,0.128807,0.015081,0.019072,0.117425,0.002040,0.040632,0.551189,0.287182,0.240130,0.194966,0.214956,0.167879,0.169354,0.184239,0.176502,0.150689,0.156600,0.184386,0.176399,0.010466,0.004367,0.020134,0.008823,0.025411,0.009612,0.026277,0.002794,0.006648,0.011541,0.018105,0.002587,0.005428,0.015928,0.002587,0.162633,0.018979,0.024920,0.158607,0.002320,0.065589,0.567567,0.286107,0.247844,0.238173,0.259753,0.224323,0.229903,0.242258,0.222122,0.198741,0.201887,0.231220,0.215183,0.013683,0.006112,0.028781,0.012592,0.036955,0.012492,0.034289,0.003309,0.008203,0.016252,0.024977,0.003719,0.007233,carolina
0.028925,0.004963,3.065539,0.101129,0.162905,0.143858,0.005754,0.030245,-25.449321,2.642649,0.113877,0.195818,0.109327,0.419354,0.184177,0.094722,-0.006088,-0.032272,-0.023132,0.052268,0.019075,0.015502,0.002512,0.038074,0.012182,0.066273,0.012383,0.050004,0.002504,0.003666,0.020121,0.036414,0.003701,0.025176,0.000077,-0.000017,0.001031,-0.000167,-0.000222,0.000315,0.000058,-0.000018,-0.001938,-0.000401,0.001060,-0.001148,-0.002074,-0.006869,-0.004443,0.002650,-0.000204,-0.002167,-0.001236,0.000802,0.002896,0.000166,0.000014,0.000348,0.000045,-0.000733,0.000139,0.000071,-0.000026,0.000064,0.000061,0.000059,0.000020,-0.000099,0.006543,0.001606,0.157396,0.012589,0.018607,0.058069,0.001900,0.012186,0.603177,0.305673,0.261429,0.192910,0.205405,0.191070,0.188220,0.171333,0.171892,0.165496,0.152224,0.157553,0.150934,0.011868,0.002698,0.018516,0.010518,0.028690,0.008479,0.029205,0.002621,0.002694,0.014861,0.020421,0.003315,0.006407,0.007487,0.002208,0.209863,0.014113,0.022444,0.059401,0.002392,0.013797,0.610625,0.329566,0.306915,0.240032,0.236509,0.267149,0.237990,0.199420,0.245173,0.235105,0.216693,0.221573,0.201424,0.016786,0.003447,0.025348,0.015050,0.039018,0.012190,0.040894,0.004008,0.003552,0.021133,0.028503,0.004535,0.008398,carolina
0.028176,0.004379,3.058209,0.100040,0.161777,0.145454,0.005688,0.028784,-25.800017,2.666706,0.218792,0.199881,0.100270,0.339779,0.170094,0.143952,0.011488,0.058736,-0.000188,0.044845,-0.015788,0.014466,0.004045,0.036162,0.009235,0.071034,0.009495,0.057210,0.001822,0.004362,0.020027,0.036635,0.003100,0.026820,-0.000014,-0.000019,0.001019,-0.000178,-0.000339,-0.000127,0.000040,-0.000000,-0.009391,0.001026,-0.000603,0.002387,0.002368,0.002858,-0.001340,-0.001829,0.001968,0.001915,-0.000890,-0.001758,-0.001620,0.000119,0.000040,0.000039,0.000092,-0.000067,-0.000012,-0.000082,0.000057,-0.000025,0.000043,-0.000120,-0.000001,-0.000025,0.008394,0.002305,0.146277,0.011684,0.016854,0.074055,0.001968,0.013507,0.747157,0.369022,0.272008,0.169440,0.186109,0.163184,0.150201,0.153577,0.146826,0.150972,0.151069,0.148832,0.145021,0.011156,0.004177,0.019529,0.006610,0.027538,0.006918,0.033495,0.001869,0.003586,0.015517,0.021854,0.002624,0.006959,0.009436,0.003026,0.220922,0.013708,0.020809,0.073966,0.002869,0.014492,0.714437,0.361500,0.297641,0.220782,0.211081,0.209291,0.206519,0.178517,0.162057,0.205730,0.193348,0.199022,0.200206,0.015987,0.005877,0.028873,0.009432,0.035915,0.009406,0.044892,0.002204,0.005398,0.022211,0.028620,0.003687,0.008413,carolina
0.040181,0.012800,3.114794,0.098457,0.152351,0.251560,0.005487,0.048494,-23.961542,2.558531,-0.003694,0.228911,0.113155,0.384659,0.119709,0.126438,0.031104,0.008957,-0.017233,0.161797,-0.027860,0.014527,0.004072,0.034113,0.009415,0.065027,0.010938,0.046546,0.001717,0.005839,0.018568,0.032727,0.004156,0.023409,0.000123,0.000053,0.000855,0.000113,-0.000049,0.001323,0.000051,0.000209,0.012371,-0.003755,0.001085,0.002832,-0.001175,-0.000128,0.000899,0.000417,-0.001313,-0.007333,0.000514,0.000113,-0.000589,0.000007,-0.000013,-0.000664,-0.000095,0.000197,0.000149,-0.000154,-0.000006,-0.000073,0.000000,-0.000188,-0.000002,-0.000062,0.011047,0.003479,0.106661,0.010760,0.015625,0.104299,0.001717,0.027516,0.482475,0.268052,0.239126,0.190623,0.176973,0.185838,0.175431,0.174562,0.178122,0.139695,0.174543,0.175533,0.151275,0.010103,0.003903,0.017194,0.006951,0.027631,0.008189,0.025566,0.001654,0.004670,0.012594,0.016477,0.003092,0.005466,0.015386,0.004593,0.157224,0.013554,0.020687,0.146663,0.001824,0.043663,0.529432,0.314194,0.301349,0.223139,0.224162,0.225600,0.248189,0.209967,0.207179,0.172251,0.195329,0.221050,0.194900,0.014365,0.005763,0.024126,0.008916,0.040353,0.011721,0.035052,0.002218,0.006215,0.016994,0.023661,0.004105,0.007952,carolina
0.030118,0.005391,3.101806,0.096909,0.155256,0.150587,0.005558,0.032840,-25.170867,2.588018,-0.016101,0.155391,0.064133,0.462405,0.194115,0.111846,-0.023436,0.035461,0.008733,0.051533,-0.015601,0.013109,0.003507,0.038636,0.009879,0.065240,0.010353,0.048820,0.002851,0.007388,0.017347,0.033945,0.003312,0.024593,-0.000426,-0.000006,0.000858,-0.000417,0.000082,-0.004368,0.000055,-0.000299,-0.000852,0.003613,-0.003727,-0.001502,-0.000637,0.000261,0.001284,-0.003648,-0.002069,0.002568,0.000796,-0.002222,0.001465,0.000211,0.000013,-0.000077,-0.000002,-0.000325,-0.000023,0.000708,0.000098,0.000032,-0.000006,-0.000134,-0.000018,0.000078,0.007248,0.002021,0.157548,0.012358,0.018392,0.063173,0.001779,0.010013,0.566388,0.269510,0.285829,0.192040,0.182621,0.206332,0.209785,0.162779,0.167215,0.165944,0.152294,0.142533,0.158594,0.008978,0.003267,0.020829,0.005918,0.027318,0.007853,0.030232,0.003033,0.007094,0.012242,0.018780,0.002747,0.006139,0.008134,0.002715,0.226048,0.015364,0.025083,0.063703,0.002148,0.012734,0.676012,0.320937,0.322280,0.249511,0.226909,0.251386,0.249914,0.192559,0.223646,0.210524,0.186971,0.191616,0.200595,0.012410,0.004781,0.029332,0.008063,0.037333,0.008121,0.041439,0.004280,0.007662,0.017696,0.026025,0.003690,0.008946,carolina
0.028376,0.014546,3.112875,0.096640,0.157016,0.138875,0.006031,0.030091,-23.979040,2.651869,0.082269,0.171999,0.119781,0.450314,0.217175,0.069998,-0.056768,0.009747,0.037414,0.093637,0.039426,0.013728,0.003327,0.039864,0.008527,0.067934,0.010546,0.051955,0.002133,0.006212,0.016091,0.036535,0.002712,0.026042,0.000009,0.000002,-0.004019,0.000071,0.000085,-0.000114,0.000081,-0.000054,-0.005196,-0.001652,0.004068,0.003057,0.002259,0.002721,-0.001868,0.000206,0.005927,0.002034,-0.000714,-0.001926,0.001594,-0.000059,-0.000031,0.000281,0.000008,0.000235,-0.000060,-0.000347,0.000005,-0.000052,0.000064,0.000620,0.000007,0.000129,0.006467,0.004040,0.098951,0.012452,0.016533,0.062519,0.002032,0.008280,0.499989,0.301212,0.272745,0.209953,0.200645,0.177216,0.184908,0.208153,0.188700,0.164111,0.124752,0.145776,0.147553,0.010362,0.003614,0.022229,0.006704,0.029544,0.008160,0.028255,0.002410,0.004911,0.011163,0.022023,0.002262,0.005597,0.008574,0.004989,0.135182,0.014743,0.022011,0.066770,0.002807,0.009960,0.526530,0.312500,0.302482,0.240173,0.256602,0.210981,0.229954,0.278375,0.251990,0.202551,0.160766,0.194026,0.185705,0.016055,0.004793,0.031360,0.009221,0.044406,0.011327,0.041879,0.003176,0.006304,0.016748,0.031402,0.002801,0.008258,carolina
0.027423,0.004950,3.088373,0.098018,0.159456,0.136808,0.006095,0.027241,-25.570341,2.711521,0.158791,0.182439,0.076723,0.363223,0.165370,0.143477,-0.006121,-0.001976,-0.013237,0.031839,-0.004552,0.016676,0.003343,0.042172,0.009805,0.062116,0.010084,0.056153,0.001657,0.004675,0.017931,0.041082,0.003806,0.026453,0.000023,-0.000070,0.000921,0.000205,0.000548,-0.001581,0.000041,-0.000526,-0.021081,0.010046,-0.001551,-0.004225,-0.000362,-0.000483,0.007568,-0.002549,0.001423,0.002500,-0.001697,-0.001343,-0.000313,0.000136,-0.000038,0.000243,-0.000069,-0.000266,0.000041,0.000552,0.000030,-0.000113,-0.000035,0.000047,0.000006,0.000012,0.006457,0.002120,0.148751,0.014729,0.020268,0.053148,0.002146,0.009113,0.630124,0.312938,0.262394,0.194663,0.198318,0.195166,0.175556,0.161196,0.185836,0.153202,0.178897,0.138703,0.159660,0.012857,0.004756,0.021442,0.006445,0.029625,0.007210,0.034684,0.001734,0.003806,0.011177,0.022632,0.003877,0.006757,0.008203,0.002887,0.221711,0.019362,0.026496,0.063588,0.002667,0.010249,0.687353,0.375641,0.326584,0.242468,0.222834,0.235935,0.228383,0.199314,0.249670,0.198588,0.231877,0.195541,0.193063,0.017862,0.006979,0.027635,0.008431,0.042602,0.010088,0.051346,0.002311,0.004930,0.016723,0.029331,0.005489,0.009458,carolina
0.027423,0.004633,3.042604,0.099871,0.161648,0.141681,0.005487,0.028893,-25.743622,2.658374,0.207851,0.219810,0.090235,0.398610,0.138391,0.100388,-0.022788,0.014650,-0.017197,0.051790,-0.008712,0.018516,0.003692,0.045968,0.009433,0.068181,0.009109,0.046407,0.002408,0.004871,0.018436,0.036608,0.003184,0.026089,0.000082,-0.000071,0.003220,0.000178,0.000270,0.001835,0.000068,-0.000209,-0.008056,0.002161,0.007388,-0.005452,0.001606,-0.007093,-0.000845,0.004709,-0.000988,-0.000568,-0.004304,-0.000611,-0.000611,0.000091,0.000029,-0.000109,0.000087,0.000154,-0.000114,0.000447,-0.000084,0.000073,-0.000180,-0.000081,0.000001,0.000103,0.008013,0.002833,0.237494,0.011938,0.019361,0.065593,0.001876,0.012794,0.849985,0.338903,0.277658,0.201795,0.174529,0.174785,0.181174,0.168238,0.165457,0.149954,0.173097,0.143731,0.148912,0.012239,0.004108,0.022432,0.006837,0.031844,0.006801,0.028615,0.002906,0.004256,0.012305,0.023178,0.002465,0.006732,0.011117,0.003270,0.324366,0.016920,0.023830,0.072520,0.002694,0.012658,0.732843,0.333919,0.295688,0.254444,0.213853,0.206997,0.212093,0.239021,0.224820,0.212797,0.196850,0.184515,0.172016,0.018530,0.005104,0.027404,0.009288,0.040042,0.009558,0.037561,0.003648,0.005575,0.017022,0.028578,0.003305,0.008414,carolina
0.041502,0.006391,3.109675,0.101366,0.156933,0.268832,0.005258,0.054864,-24.871957,2.476499,-0.028474,0.196970,0.076453,0.341041,0.107956,0.107694,0.033713,0.000974,-0.028634,0.163551,-0.005977,0.013281,0.004248,0.039562,0.009405,0.048216,0.013012,0.052626,0.002255,0.006476,0.019290,0.036905,0.004545,0.022724,0.000064,-0.000014,0.003322,0.000336,0.000498,0.000511,0.000058,0.000145,-0.001540,-0.002373,-0.001248,-0.000578,0.000573,0.004609,-0.004345,-0.000730,0.002402,0.001869,0.000878,-0.000283,-0.000409,-0.000002,-0.000016,0.000097,0.000021,0.000516,-0.000019,-0.000159,-0.000013,-0.000006,-0.000133,-0.000579,0.000003,0.000014,0.010937,0.002960,0.179678,0.012344,0.018596,0.104697,0.001710,0.032341,0.734653,0.343864,0.260176,0.185805,0.211281,0.204084,0.166671,0.157592,0.199049,0.148125,0.150615,0.154974,0.152092,0.009748,0.003359,0.020166,0.006120,0.024930,0.009263,0.028200,0.002641,0.005313,0.013993,0.021679,0.003851,0.005832,0.014176,0.003568,0.256792,0.016994,0.026239,0.136684,0.002055,0.048477,0.739607,0.359706,0.296315,0.253810,0.255737,0.289867,0.224648,0.205205,0.219333,0.212679,0.205946,0.193797,0.183458,0.013798,0.004459,0.028235,0.008638,0.032989,0.012775,0.034667,0.003180,0.007724,0.020600,0.028829,0.004914,0.007743,carolina
0.029737,0.008206,3.115145,0.094863,0.154267,0.137067,0.005675,0.033049,-24.618476,2.633369,0.011644,0.147106,0.019424,0.453168,0.193691,0.068385,-0.050131,0.017027,0.017464,0.082202,-0.000278,0.014065,0.003798,0.035413,0.011361,0.059071,0.013183,0.052466,0.002921,0.008251,0.015995,0.036895,0.002883,0.023770,-0.000059,-0.000003,-0.001537,-0.000106,-0.000171,-0.000100,0.000032,-0.000064,-0.003778,-0.001104,0.002499,-0.001244,0.003332,0.000450,-0.003636,-0.003108,0.000372,0.000053,0.004038,-0.001687,0.000752,-0.000081,-0.000027,-0.000670,-0.000161,-0.000227,0.000024,0.000295,-0.000007,0.000031,-0.000053,0.001030,0.000016,0.000019,0.005903,0.002286,0.105956,0.013152,0.018325,0.059541,0.001598,0.012116,0.470083,0.327059,0.272465,0.227853,0.184676,0.168481,0.164372,0.184473,0.159791,0.170649,0.153015,0.145271,0.160805,0.011571,0.003562,0.017687,0.008217,0.023798,0.010814,0.029236,0.003877,0.009842,0.010861,0.020524,0.002115,0.005280,0.008223,0.002956,0.151782,0.013909,0.022661,0.072921,0.001804,0.015926,0.542118,0.352086,0.312254,0.247545,0.230028,0.219820,0.198617,0.233041,0.224113,0.243705,0.210397,0.184519,0.209168,0.017396,0.004796,0.025286,0.011929,0.031901,0.013075,0.039995,0.005149,0.011181,0.015505,0.030621,0.002998,0.006601,carolina
