@RELATION trained_models/pasos/weiner/snr_-10/original_pasos_snr_-10
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.064528,0.038936,3.187347,0.103318,0.146086,0.489360,0.006248,0.102731,-22.193311,2.241825,-0.494885,-0.277419,-0.184707,0.223757,0.107643,-0.052323,-0.043081,-0.038239,-0.022306,0.150816,0.022201,0.011174,0.010157,0.015222,0.010868,0.025026,0.021955,0.027412,0.005585,0.012695,0.012492,0.013296,0.005630,0.013290,0.000095,0.000189,0.004507,0.000016,-0.000023,0.000482,0.000067,0.000172,0.052175,-0.005893,-0.008516,-0.004359,-0.009246,-0.005760,0.003253,0.000768,0.000154,-0.000561,-0.002614,-0.000913,-0.000366,-0.000007,0.000068,0.000134,0.000124,-0.000542,0.000071,-0.000724,0.000030,0.000041,0.000049,0.000035,0.000029,-0.000176,0.016374,0.015445,0.099906,0.014846,0.019785,0.157803,0.002449,0.027194,0.630653,0.325064,0.309176,0.225623,0.262207,0.214291,0.196352,0.196051,0.194721,0.185389,0.177573,0.194623,0.172979,0.008195,0.010209,0.013168,0.008505,0.015460,0.017688,0.017538,0.007110,0.013645,0.007309,0.008445,0.005564,0.005199,0.023284,0.019350,0.126362,0.017582,0.025893,0.191913,0.002640,0.033179,0.600703,0.328249,0.284135,0.266316,0.290971,0.255046,0.262433,0.248364,0.252255,0.236066,0.193535,0.243935,0.196640,0.010051,0.014032,0.017262,0.011592,0.017208,0.023399,0.022667,0.008652,0.016170,0.011219,0.011070,0.008021,0.006951,carolina
0.038829,0.023696,3.173502,0.098923,0.149842,0.204076,0.005647,0.046016,-22.630228,2.321074,-0.393835,-0.212703,-0.189616,0.227340,0.113758,-0.001071,-0.092337,-0.108122,-0.062931,0.012925,-0.002989,0.017961,0.006424,0.024900,0.021085,0.028936,0.019732,0.023479,0.006616,0.007519,0.017914,0.020749,0.009004,0.015127,0.000050,0.000010,-0.000521,-0.000093,-0.000326,0.000941,0.000072,0.000109,0.002799,-0.004768,-0.001734,-0.001796,-0.003462,-0.012360,-0.006676,0.001430,-0.002402,-0.000601,-0.001331,-0.000386,0.003047,0.000039,0.000019,0.000578,0.000079,-0.000403,0.000120,0.000025,-0.000036,0.000012,-0.000016,-0.000179,0.000026,0.000046,0.007310,0.009612,0.066845,0.014536,0.022678,0.097855,0.002049,0.016063,0.401206,0.256731,0.275472,0.230155,0.240853,0.233774,0.197395,0.204458,0.190619,0.195469,0.165378,0.179882,0.160968,0.013435,0.007589,0.016857,0.017307,0.017284,0.013254,0.013340,0.008434,0.006446,0.011647,0.014495,0.009699,0.004395,0.008173,0.010931,0.094907,0.017316,0.027436,0.102683,0.002626,0.018606,0.423206,0.280870,0.326416,0.256541,0.255301,0.297151,0.243435,0.206379,0.246714,0.241102,0.221397,0.215379,0.195885,0.018401,0.009694,0.020242,0.023785,0.019935,0.017022,0.018073,0.011891,0.008670,0.014450,0.018106,0.012634,0.005788,carolina
0.037160,0.017887,3.165456,0.101058,0.156163,0.195461,0.005399,0.043848,-22.988836,2.362826,-0.276888,-0.121752,-0.242050,0.191996,0.132454,0.061039,-0.042294,-0.017610,-0.041962,0.026189,-0.060364,0.022744,0.011490,0.021642,0.014019,0.028761,0.016629,0.027932,0.005538,0.008794,0.019925,0.021067,0.006898,0.014208,-0.000009,-0.000136,-0.000221,-0.000215,-0.000432,-0.000330,0.000045,-0.000045,-0.011312,0.000137,-0.002963,0.002828,0.003179,0.005199,-0.001082,-0.003036,0.002307,0.002517,0.000192,0.001049,0.000033,-0.000003,0.000094,-0.000027,-0.000085,-0.000048,-0.000030,0.000107,0.000518,-0.000050,-0.000183,-0.000038,-0.000012,0.000059,0.006559,0.005539,0.075179,0.014059,0.021565,0.063191,0.001652,0.012062,0.453507,0.256652,0.281120,0.196378,0.216823,0.182750,0.172764,0.169093,0.192655,0.156400,0.197515,0.188755,0.147038,0.016746,0.013277,0.012777,0.010736,0.012477,0.012703,0.013639,0.006216,0.006578,0.013841,0.011731,0.005329,0.004337,0.008650,0.006299,0.112968,0.016923,0.028620,0.082673,0.002098,0.015510,0.450576,0.306131,0.324617,0.240288,0.249580,0.222509,0.237875,0.220271,0.238521,0.211825,0.238648,0.248334,0.214125,0.021896,0.017701,0.017303,0.015206,0.016765,0.016584,0.017493,0.007682,0.009467,0.017120,0.015914,0.007105,0.005648,carolina
0.056711,0.036648,3.203631,0.099555,0.143115,0.401758,0.005334,0.094383,-21.996432,2.162176,-0.517261,-0.135983,-0.202023,0.228867,0.032410,0.051293,0.010901,-0.041206,-0.077299,0.150145,-0.081742,0.016071,0.008873,0.017511,0.011433,0.022276,0.018625,0.023203,0.004207,0.011293,0.017751,0.018047,0.010188,0.011957,0.000163,0.000394,-0.000351,0.000140,-0.000096,0.001735,0.000041,0.000145,0.019626,-0.001773,0.001663,-0.000597,-0.004595,-0.004133,-0.002930,-0.002202,0.000111,-0.005613,0.001885,-0.000132,0.001624,-0.000252,-0.000014,-0.000152,0.000104,-0.000121,0.000276,-0.000375,-0.000001,-0.000156,-0.000026,-0.000016,0.000036,-0.000072,0.014517,0.009555,0.048514,0.012415,0.018149,0.155700,0.001565,0.039394,0.369768,0.220844,0.237216,0.188862,0.218249,0.215880,0.191334,0.189069,0.183549,0.179943,0.196889,0.186321,0.157106,0.011072,0.007566,0.011323,0.008956,0.013853,0.013541,0.010845,0.004360,0.009762,0.011924,0.012563,0.008607,0.003486,0.020134,0.011069,0.069271,0.015515,0.024814,0.197363,0.001891,0.056612,0.366334,0.255695,0.286113,0.245245,0.263527,0.256624,0.258596,0.215588,0.207097,0.222490,0.219822,0.235755,0.198318,0.015052,0.010409,0.015262,0.011600,0.018520,0.018444,0.014820,0.005771,0.011959,0.016350,0.017058,0.011375,0.004700,carolina
0.039369,0.038620,3.183776,0.094353,0.139500,0.212897,0.005553,0.051770,-21.897495,2.219584,-0.498950,-0.238649,-0.298691,0.270021,0.082251,-0.005097,-0.086347,-0.030414,-0.023903,0.065031,-0.032226,0.013841,0.007169,0.020129,0.017599,0.023676,0.021810,0.027198,0.006237,0.015401,0.015247,0.018232,0.006136,0.014136,-0.000608,-0.000017,-0.001253,-0.000701,-0.000039,-0.009971,0.000070,-0.001642,-0.001244,0.004157,-0.003340,-0.002322,-0.000919,-0.000327,0.001473,-0.003069,0.000546,0.006092,0.002225,-0.002099,0.000173,0.000151,0.000049,-0.000085,-0.000147,0.000002,-0.000086,0.000927,0.000211,0.000003,0.000134,-0.000102,0.000010,0.000217,0.009201,0.010609,0.080334,0.017436,0.023199,0.121914,0.001617,0.019073,0.409234,0.261523,0.276821,0.205434,0.244743,0.224019,0.229114,0.185758,0.173919,0.195200,0.157596,0.170074,0.173182,0.010674,0.007078,0.013726,0.011698,0.013694,0.018785,0.017455,0.007201,0.017675,0.010760,0.011099,0.004917,0.005013,0.009224,0.012977,0.114955,0.018426,0.029995,0.099377,0.001850,0.019409,0.471455,0.314922,0.309464,0.260377,0.278471,0.268855,0.262921,0.212993,0.221290,0.239126,0.190352,0.212852,0.202902,0.015124,0.010868,0.018748,0.015425,0.018831,0.019484,0.019854,0.010047,0.018559,0.014130,0.013734,0.006306,0.006326,carolina
0.035826,0.027672,3.179092,0.094188,0.145587,0.188534,0.006024,0.047949,-22.481814,2.281578,-0.474131,-0.204214,-0.235299,0.274202,0.124998,-0.031918,-0.081215,-0.061974,0.003785,0.095500,0.041365,0.013921,0.008944,0.019076,0.014232,0.028798,0.021784,0.030238,0.005186,0.013489,0.012400,0.016296,0.006387,0.014700,0.000073,-0.000580,-0.000151,0.000124,0.000057,0.000788,0.000064,0.000191,-0.009531,-0.001895,0.002100,0.004399,0.003550,0.003339,-0.001816,0.000778,0.005293,0.000705,-0.001791,-0.002118,0.001898,-0.000067,0.000019,0.000111,0.000099,0.000188,0.000102,-0.000517,0.000038,-0.000020,0.000138,0.000429,0.000061,-0.000037,0.006624,0.012574,0.065448,0.014683,0.023487,0.096218,0.001893,0.018408,0.407492,0.277033,0.309799,0.262375,0.246510,0.200881,0.202639,0.219029,0.198658,0.171679,0.153050,0.179540,0.154880,0.010628,0.009901,0.011816,0.013507,0.019590,0.017053,0.015662,0.006948,0.012132,0.008490,0.011626,0.005532,0.004900,0.007428,0.013902,0.086946,0.017639,0.027950,0.098854,0.002470,0.018815,0.407542,0.290547,0.340588,0.286332,0.277065,0.238726,0.248597,0.280148,0.242532,0.198866,0.175513,0.221758,0.196873,0.013170,0.012450,0.015124,0.018548,0.023221,0.023091,0.020824,0.009751,0.014278,0.012238,0.016168,0.007395,0.006582,carolina
0.036139,0.031163,3.163064,0.095589,0.147592,0.183156,0.005838,0.042214,-22.264805,2.393801,-0.334851,-0.174437,-0.258280,0.188746,0.101295,0.050402,-0.110444,-0.072376,-0.060816,-0.004483,-0.043401,0.020854,0.007910,0.025960,0.019444,0.027829,0.016631,0.025363,0.004880,0.008722,0.018628,0.022501,0.008801,0.015349,0.000059,-0.000126,-0.000612,0.000000,0.000092,-0.000952,0.000054,0.000036,-0.001695,-0.000505,-0.007934,-0.002560,-0.000013,-0.002927,0.006500,-0.000515,0.003073,0.001014,0.000147,-0.001560,-0.001913,0.000102,0.000002,0.000008,-0.000285,-0.000689,0.000092,0.000357,0.000104,-0.000161,-0.000164,-0.000029,0.000072,-0.000120,0.006325,0.012097,0.091055,0.015492,0.024710,0.072046,0.002338,0.011851,0.396477,0.234785,0.254391,0.227602,0.235305,0.208262,0.177913,0.201077,0.195305,0.182057,0.183897,0.144207,0.167182,0.015574,0.010255,0.018001,0.014551,0.017743,0.012640,0.014705,0.005997,0.006257,0.012896,0.014701,0.007440,0.005575,0.007457,0.014853,0.118221,0.018344,0.030465,0.082782,0.002708,0.014632,0.454874,0.280819,0.303989,0.241573,0.256532,0.244509,0.234045,0.226005,0.260005,0.226413,0.238171,0.200562,0.204371,0.020960,0.014451,0.020076,0.019329,0.023321,0.016286,0.020599,0.007692,0.008575,0.016596,0.017728,0.010209,0.007254,carolina
0.036620,0.016880,3.158107,0.099413,0.154786,0.189801,0.005074,0.044519,-22.997049,2.347890,-0.309738,-0.117672,-0.241744,0.252860,0.077445,0.023647,-0.054071,-0.013326,-0.047774,0.037064,-0.064046,0.023608,0.009008,0.022997,0.012891,0.028961,0.018381,0.028415,0.006676,0.009599,0.019014,0.019878,0.007264,0.013911,0.000104,-0.000285,-0.001553,0.000344,0.000487,0.001499,0.000040,-0.000036,-0.015318,0.001085,0.006774,-0.002547,0.000546,-0.001455,-0.002544,0.000318,0.001606,-0.000172,-0.001456,-0.000225,0.001065,-0.000059,0.000045,-0.000082,0.000138,0.000123,0.000080,0.000110,-0.000148,0.000093,0.000171,-0.000035,-0.000053,0.000037,0.005836,0.005506,0.105851,0.015422,0.022580,0.057216,0.001520,0.010927,0.462449,0.239886,0.253583,0.192627,0.223275,0.203472,0.174403,0.163803,0.173701,0.179191,0.198006,0.161987,0.172933,0.015227,0.009676,0.013076,0.009054,0.017059,0.012225,0.014004,0.007648,0.006594,0.012783,0.010386,0.005412,0.004171,0.007511,0.006451,0.145093,0.019008,0.027468,0.071113,0.001936,0.013676,0.437538,0.273280,0.267724,0.238994,0.258589,0.226170,0.231077,0.227650,0.215428,0.250034,0.229043,0.222837,0.225874,0.021498,0.012407,0.017348,0.012625,0.023053,0.016979,0.019125,0.010791,0.008422,0.018762,0.014250,0.007784,0.005277,carolina
0.059964,0.036670,3.207135,0.100396,0.143651,0.429287,0.005548,0.099047,-21.999054,2.166209,-0.503795,-0.168736,-0.230087,0.179185,0.039517,0.041682,0.001725,-0.062574,-0.121094,0.150764,-0.064149,0.014496,0.008944,0.017865,0.013478,0.018404,0.021628,0.021953,0.004463,0.010152,0.018636,0.017945,0.009196,0.012251,-0.000064,0.000108,-0.001194,0.000197,0.000466,-0.000539,0.000057,-0.000054,0.010326,0.000713,-0.002839,-0.002839,-0.003126,-0.001018,-0.005656,0.000510,0.004349,-0.001338,-0.001230,0.001545,0.002456,-0.000049,0.000003,0.000231,0.000218,-0.000004,0.000071,-0.000155,-0.000013,0.000019,0.000111,-0.000240,0.000022,-0.000005,0.018867,0.011175,0.049452,0.013618,0.021460,0.180658,0.001601,0.040874,0.488908,0.222902,0.237472,0.201473,0.239371,0.208337,0.182046,0.194846,0.226569,0.179651,0.180451,0.175699,0.165735,0.010097,0.007671,0.011918,0.011139,0.011916,0.018037,0.009483,0.005658,0.008300,0.012144,0.012170,0.008251,0.003721,0.022960,0.011582,0.068722,0.016711,0.029406,0.199223,0.001873,0.051196,0.453886,0.259871,0.233117,0.272999,0.262399,0.279563,0.228525,0.239656,0.226947,0.245845,0.231607,0.210989,0.199326,0.013033,0.010323,0.014544,0.013648,0.014404,0.025088,0.012533,0.006603,0.010733,0.016489,0.017026,0.009560,0.004991,carolina
0.036956,0.044792,3.183002,0.091497,0.141721,0.164689,0.006025,0.044673,-21.810334,2.296977,-0.560327,-0.253292,-0.325377,0.265771,0.130087,-0.044938,-0.095755,-0.028025,-0.007846,0.064907,-0.028117,0.014738,0.007930,0.018561,0.016556,0.020548,0.023144,0.028240,0.006906,0.016273,0.013990,0.018096,0.005747,0.014695,-0.000054,-0.000065,0.001012,-0.000183,-0.000242,0.000373,0.000044,0.000036,-0.005679,-0.002493,0.005039,0.002338,0.003457,0.002129,-0.000979,-0.003024,-0.004053,0.000560,0.002840,-0.001624,-0.000325,-0.000038,-0.000100,-0.000115,-0.000137,0.000008,-0.000023,0.000111,-0.000035,0.000015,-0.000086,0.000464,0.000013,0.000045,0.007515,0.014907,0.063131,0.015508,0.023495,0.083692,0.001691,0.013922,0.414517,0.278482,0.280932,0.218027,0.210433,0.203535,0.183836,0.195890,0.184282,0.184585,0.167626,0.182042,0.170271,0.012752,0.007643,0.010193,0.012842,0.011911,0.020473,0.017720,0.009550,0.020586,0.010772,0.013636,0.004877,0.005149,0.008175,0.014779,0.096671,0.016802,0.028682,0.094741,0.001957,0.016956,0.372476,0.292910,0.287563,0.233693,0.253275,0.254859,0.237103,0.244865,0.228406,0.227242,0.216521,0.224753,0.209700,0.017500,0.010799,0.012798,0.017272,0.014776,0.026651,0.023242,0.012479,0.023021,0.015921,0.016554,0.006848,0.007289,carolina
