@RELATION trained_models/ruido_blanco/filtered/mmse/knn/snr_-5/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.438979,0.001187,3.261833,0.468771,0.300770,3.001257,0.000852,0.850209,-28.556589,0.974126,0.584477,0.369689,0.288146,0.216927,0.119797,0.104254,0.050717,0.052832,0.034552,-0.018517,0.013891,0.004957,0.001702,0.011488,0.003372,0.019415,0.002745,0.014782,0.001617,0.002213,0.006173,0.009118,0.001959,0.007596,0.000113,-0.000093,0.003117,-0.000066,0.000027,0.000341,0.000009,0.000154,-0.034070,0.000560,-0.004700,-0.002794,-0.003461,-0.002571,0.001663,0.001057,-0.001261,0.001869,0.001783,0.000199,0.001128,-0.000018,-0.000005,-0.000109,0.000017,-0.000082,0.000014,0.000073,0.000016,-0.000011,0.000032,-0.000050,0.000006,-0.000023,0.046363,0.001690,0.104141,0.021488,0.005670,0.301760,0.000232,0.059981,0.691500,0.237608,0.346838,0.295167,0.210784,0.264006,0.241840,0.203859,0.193101,0.197023,0.203770,0.182353,0.191093,0.004048,0.001729,0.008727,0.002406,0.014569,0.001795,0.009600,0.001258,0.001566,0.005153,0.005750,0.001825,0.003951,0.055378,0.002103,0.120043,0.023975,0.007464,0.347744,0.000250,0.070937,0.649457,0.297829,0.355531,0.348468,0.280059,0.341398,0.337651,0.275447,0.228796,0.256551,0.246290,0.237129,0.240857,0.005025,0.002138,0.011502,0.003305,0.017853,0.002608,0.012014,0.001749,0.001849,0.006869,0.007731,0.002167,0.005200,carolina
0.440005,0.001753,3.248297,0.468136,0.302030,2.957021,0.000947,0.841806,-27.814035,1.019611,0.535356,0.383329,0.275258,0.239729,0.131598,0.049032,0.031083,-0.013983,-0.006796,0.022942,0.011212,0.005499,0.001831,0.011532,0.004627,0.015831,0.003549,0.016405,0.002010,0.002121,0.005442,0.010125,0.002073,0.007391,0.000372,-0.000002,0.000130,0.000219,0.000116,0.001387,0.000007,0.000771,-0.000911,-0.001702,-0.000415,-0.003840,-0.005713,0.000255,0.005140,0.001217,-0.002731,-0.007228,-0.004320,-0.000627,0.003885,0.000026,-0.000002,0.000022,0.000063,-0.000175,0.000013,-0.000034,-0.000000,0.000007,0.000000,-0.000163,0.000004,-0.000052,0.047466,0.001727,0.149235,0.030363,0.005988,0.420801,0.000537,0.101387,0.780515,0.262916,0.550620,0.290199,0.261014,0.267797,0.237714,0.232778,0.216688,0.212772,0.170341,0.183711,0.205788,0.006191,0.002690,0.007093,0.004821,0.009989,0.003212,0.015029,0.002979,0.002089,0.004693,0.006491,0.002434,0.004356,0.048596,0.002171,0.179120,0.030489,0.006011,0.422381,0.000642,0.113027,0.701165,0.321673,0.585140,0.346335,0.320716,0.335494,0.311278,0.287177,0.318523,0.267489,0.239276,0.256260,0.247022,0.008479,0.003572,0.009803,0.005503,0.013489,0.004223,0.019707,0.003945,0.002459,0.006120,0.009351,0.003232,0.005486,carolina
0.437273,0.001647,3.246361,0.462503,0.300399,2.929283,0.001011,0.823240,-28.439427,0.989002,0.484400,0.323248,0.288624,0.206243,0.144025,0.104189,0.050511,0.062013,0.063578,0.033958,0.011286,0.004268,0.001745,0.011105,0.003086,0.017867,0.003330,0.017483,0.002047,0.002431,0.005902,0.010282,0.002078,0.007760,-0.000213,-0.000001,0.000455,-0.000005,0.000003,0.001203,0.000008,0.000318,-0.001607,-0.003958,0.002654,-0.000813,-0.000081,0.000477,0.001638,0.005839,0.003905,-0.002714,-0.005111,-0.001204,0.003597,0.000018,0.000007,-0.000105,0.000004,-0.000005,-0.000006,-0.000042,-0.000001,-0.000052,0.000018,-0.000021,0.000012,-0.000011,0.058871,0.003572,0.175410,0.047337,0.007991,0.547624,0.000802,0.159990,1.137425,0.260158,0.570224,0.373955,0.263355,0.261173,0.222390,0.207502,0.206078,0.216409,0.197768,0.194947,0.210778,0.004102,0.002076,0.006715,0.002544,0.011717,0.003367,0.013939,0.002889,0.002930,0.005502,0.007261,0.002542,0.003743,0.058705,0.003929,0.212906,0.042407,0.008891,0.486069,0.000776,0.150406,0.934597,0.291903,0.518569,0.389642,0.325240,0.348943,0.291366,0.276997,0.270263,0.265271,0.224550,0.256443,0.266700,0.005839,0.002588,0.009889,0.002997,0.014643,0.004044,0.018666,0.003212,0.004117,0.007696,0.009525,0.003100,0.004765,carolina
0.442201,0.007264,3.284831,0.470523,0.300806,3.009306,0.000902,0.851942,-25.719543,0.987436,0.547144,0.398183,0.325088,0.220267,0.140550,0.074271,0.042204,0.010414,0.022604,0.035047,0.008248,0.005117,0.001565,0.010733,0.003339,0.019228,0.003258,0.014693,0.001334,0.002013,0.005105,0.009126,0.001973,0.007495,-0.000377,0.000008,-0.000137,-0.000199,0.000023,-0.000848,0.000008,-0.000336,0.006637,0.004378,0.000743,-0.002137,0.003527,0.003654,-0.000507,-0.002090,0.000244,0.000156,-0.005355,-0.002445,0.000926,0.000023,-0.000015,-0.000018,0.000019,0.000144,0.000004,0.000029,0.000022,-0.000039,0.000015,-0.000014,0.000027,0.000017,0.050227,0.004319,0.049325,0.024776,0.006436,0.370098,0.000429,0.078513,0.681775,0.229938,0.491830,0.292258,0.239042,0.210787,0.263089,0.225566,0.200220,0.191815,0.184337,0.196927,0.165753,0.005363,0.001450,0.005922,0.002345,0.014284,0.003023,0.010735,0.000881,0.001569,0.005457,0.005944,0.002416,0.003958,0.056587,0.005502,0.062996,0.026555,0.006800,0.413106,0.000458,0.096854,0.651209,0.272000,0.562391,0.346052,0.296003,0.278766,0.329599,0.279450,0.263092,0.236942,0.223913,0.247777,0.229470,0.006935,0.001632,0.008950,0.003406,0.021569,0.004068,0.014458,0.001099,0.002144,0.007059,0.008443,0.003189,0.005618,carolina
0.431502,0.000900,3.253128,0.464238,0.301477,2.915277,0.001005,0.832396,-28.962956,1.026043,0.499652,0.285405,0.274651,0.249135,0.161973,0.095213,0.058815,0.009485,0.030183,0.015358,0.008749,0.004457,0.002002,0.012945,0.002982,0.019133,0.003370,0.015897,0.001843,0.003282,0.006096,0.010588,0.001734,0.008294,0.000309,-0.000001,0.000518,0.000077,0.000003,0.001085,0.000006,0.000318,0.000688,-0.000701,-0.002590,0.001052,-0.003820,-0.001498,-0.003039,-0.002570,-0.002512,-0.001364,0.001068,-0.003608,-0.003519,0.000044,0.000003,-0.000024,0.000002,-0.000133,0.000004,0.000012,0.000017,-0.000003,-0.000064,-0.000069,-0.000002,-0.000016,0.051998,0.001081,0.124124,0.030057,0.006761,0.424022,0.000550,0.093942,0.776581,0.285167,0.493846,0.393478,0.288242,0.252230,0.212976,0.195418,0.206852,0.190116,0.182926,0.201187,0.190735,0.003719,0.001868,0.009255,0.002173,0.013389,0.002804,0.013336,0.002590,0.004724,0.006482,0.008857,0.001656,0.004563,0.059834,0.001299,0.168106,0.034170,0.008170,0.482370,0.000697,0.105186,0.835889,0.344357,0.525499,0.403717,0.341299,0.271064,0.233483,0.248454,0.294627,0.246153,0.246772,0.244077,0.247867,0.004883,0.002211,0.012065,0.002840,0.016555,0.003805,0.018573,0.003362,0.005734,0.008202,0.012307,0.002388,0.006186,carolina
0.440309,0.006278,3.276073,0.470285,0.301367,3.005051,0.000873,0.847995,-25.923352,0.985293,0.558468,0.384121,0.342505,0.238301,0.146684,0.093860,0.039776,0.034091,0.048622,-0.006303,-0.017834,0.004914,0.001468,0.012262,0.002956,0.017839,0.003093,0.016339,0.002084,0.002178,0.005064,0.010740,0.001616,0.007893,-0.001198,0.000035,-0.001025,-0.000343,0.000071,-0.007672,0.000011,-0.001189,0.005291,0.005006,0.002968,0.001747,0.006711,0.001077,0.002248,0.006786,-0.000647,-0.002210,0.000515,-0.001890,-0.003068,0.000029,-0.000001,0.000210,0.000016,0.000256,-0.000016,0.000058,-0.000013,-0.000030,-0.000034,0.000461,-0.000007,0.000140,0.045106,0.003434,0.089177,0.022224,0.006148,0.337422,0.000284,0.074245,0.614060,0.252168,0.444702,0.272124,0.217534,0.197695,0.211155,0.239935,0.212595,0.224226,0.227563,0.211373,0.218447,0.005038,0.001549,0.008102,0.002192,0.012825,0.003247,0.014027,0.002709,0.001674,0.003965,0.008413,0.001299,0.004116,0.054253,0.003908,0.123728,0.023933,0.007031,0.386486,0.000326,0.085132,0.629225,0.290832,0.439496,0.312970,0.277562,0.276680,0.263288,0.311724,0.282562,0.286036,0.299904,0.263888,0.283386,0.006934,0.002002,0.011407,0.003105,0.018132,0.004718,0.019278,0.002870,0.002241,0.005750,0.011687,0.001381,0.005452,carolina
0.435640,0.000990,3.256414,0.463681,0.301975,2.926524,0.000984,0.830998,-28.834131,1.024687,0.459401,0.359223,0.306755,0.248904,0.094185,0.063018,0.052727,0.026617,0.014794,-0.008738,-0.001901,0.005340,0.002446,0.012026,0.003280,0.016702,0.003680,0.016313,0.001442,0.003707,0.004929,0.011741,0.001991,0.007772,0.001733,-0.000014,0.002833,0.001186,-0.000184,0.015436,0.000007,0.003693,-0.032416,0.003587,0.013761,0.007153,0.002780,-0.006210,0.004779,-0.005354,-0.003694,-0.000999,-0.004301,0.000585,-0.000060,-0.000021,-0.000079,0.000082,0.000010,0.000012,0.000032,0.000046,0.000011,-0.000123,0.000051,-0.000007,-0.000060,0.000006,0.052656,0.001497,0.139801,0.033757,0.006561,0.443669,0.000600,0.113165,0.850638,0.278812,0.552395,0.322870,0.246133,0.271030,0.273036,0.227826,0.218126,0.200832,0.206682,0.180075,0.193763,0.004829,0.003613,0.006922,0.002906,0.012044,0.003136,0.013077,0.001049,0.005699,0.003873,0.008165,0.001999,0.003819,0.060702,0.001963,0.185653,0.035157,0.007836,0.470342,0.000736,0.119743,0.813908,0.352234,0.567805,0.358037,0.299133,0.330244,0.339914,0.298736,0.301480,0.258966,0.266192,0.276346,0.280686,0.006246,0.004429,0.009306,0.003700,0.017344,0.004169,0.018530,0.001302,0.007205,0.005419,0.011013,0.002289,0.005486,carolina
0.424859,0.001995,3.207372,0.454676,0.300860,2.825498,0.001151,0.799946,-28.476803,1.025290,0.437471,0.292189,0.238173,0.239440,0.133109,0.081411,0.019237,0.006717,0.003147,0.038716,0.034280,0.006131,0.002853,0.013318,0.003726,0.017915,0.003921,0.014526,0.002722,0.002912,0.005481,0.010273,0.002096,0.007866,-0.001066,-0.000120,0.010004,0.000789,0.000289,0.004579,0.000041,-0.000018,-0.012552,0.007609,0.010841,-0.010146,-0.002731,-0.013631,-0.005441,0.007421,-0.004047,-0.003037,-0.005783,0.003646,0.002301,-0.000180,0.000015,0.000076,0.000054,0.000183,-0.000182,0.000422,-0.000038,0.000089,-0.000250,-0.000136,0.000082,0.000031,0.071747,0.003998,0.303730,0.054058,0.007865,0.643449,0.000960,0.181530,1.265640,0.313179,0.609615,0.382923,0.287688,0.275225,0.256275,0.247301,0.229599,0.229900,0.207824,0.212979,0.203093,0.005893,0.004465,0.007727,0.003814,0.012444,0.004729,0.011550,0.004023,0.003236,0.004531,0.007631,0.002314,0.003846,0.065213,0.004182,0.372368,0.043259,0.008505,0.521284,0.001129,0.159732,0.978634,0.351859,0.506902,0.402925,0.346886,0.316205,0.279560,0.291273,0.286136,0.282126,0.245176,0.229279,0.225764,0.006525,0.005109,0.009921,0.004726,0.017050,0.005474,0.014340,0.004738,0.003784,0.005513,0.010148,0.002324,0.004975,carolina
0.426733,0.001822,3.219360,0.455556,0.301510,2.845624,0.001161,0.807296,-28.321674,0.992838,0.379925,0.328015,0.221785,0.146174,0.072065,0.065565,0.069967,0.040518,0.046956,0.048516,0.022301,0.005306,0.002407,0.011807,0.003299,0.014549,0.003897,0.016595,0.001834,0.003720,0.005536,0.011373,0.002500,0.007557,0.000830,-0.000005,0.001403,0.000516,-0.000088,0.007737,0.000011,0.001252,-0.011550,-0.008760,0.000778,0.006487,0.004876,0.003531,-0.000937,-0.001303,0.002454,0.004592,0.002835,0.002634,-0.006314,-0.000027,-0.000010,-0.000065,-0.000000,0.000088,-0.000291,-0.000103,0.000012,-0.000098,0.000006,-0.000126,-0.000032,-0.000028,0.064330,0.003557,0.255127,0.047561,0.007437,0.593692,0.000959,0.160614,1.192431,0.344459,0.673554,0.279504,0.264551,0.240487,0.252508,0.255281,0.218222,0.206678,0.171369,0.200793,0.216054,0.004309,0.002933,0.006056,0.003038,0.013772,0.004687,0.012206,0.002739,0.004796,0.005057,0.008199,0.003088,0.003918,0.068567,0.004464,0.336883,0.046695,0.008827,0.587064,0.001077,0.165499,1.090108,0.373823,0.649167,0.301852,0.333312,0.319267,0.322251,0.301888,0.249746,0.280927,0.231298,0.259006,0.271990,0.005778,0.003593,0.008645,0.004397,0.017180,0.005719,0.015303,0.003755,0.005918,0.006305,0.009885,0.003947,0.005169,carolina
0.440181,0.003531,3.268370,0.467615,0.301399,2.988576,0.000924,0.844646,-26.722688,0.980798,0.524335,0.340272,0.250335,0.229004,0.131045,0.097756,0.040444,0.016114,0.025175,0.025010,0.028749,0.004225,0.002700,0.010581,0.003935,0.017374,0.003019,0.015111,0.001522,0.002212,0.004590,0.011052,0.001951,0.007466,0.000005,0.000001,0.000007,-0.000052,0.000072,-0.000702,0.000007,-0.000045,0.003864,0.003555,0.000280,-0.003792,-0.000097,-0.000309,-0.000658,-0.000491,-0.002355,-0.004900,0.001357,-0.000404,0.001958,0.000010,0.000001,-0.000118,0.000002,-0.000095,-0.000011,0.000060,0.000008,0.000023,-0.000001,0.000219,0.000018,-0.000014,0.043915,0.002445,0.102100,0.025973,0.006372,0.373696,0.000461,0.084709,0.715023,0.316117,0.412463,0.273038,0.220892,0.246780,0.235137,0.256431,0.193740,0.191662,0.209075,0.210142,0.179794,0.004030,0.005232,0.006224,0.003950,0.011715,0.002217,0.012911,0.001505,0.001780,0.003577,0.009539,0.002108,0.004218,0.049207,0.002826,0.133842,0.028023,0.006275,0.400125,0.000505,0.100558,0.680752,0.318871,0.497104,0.339619,0.255436,0.328801,0.304994,0.329202,0.224450,0.229172,0.278983,0.291695,0.254748,0.005616,0.007223,0.008823,0.004951,0.015695,0.002894,0.016886,0.002106,0.002374,0.004617,0.013728,0.002890,0.005774,carolina
