@RELATION trained_models/ruido_blanco/filtered/mmse/randomforest/snr_10/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.154977,0.000878,3.065309,0.340239,0.316877,0.891935,0.002672,0.222423,-30.240695,2.331897,0.632630,0.291717,0.273911,0.332030,0.086356,0.085878,-0.007181,0.026754,0.027968,0.026729,-0.005555,0.014626,0.001741,0.036326,0.008630,0.065554,0.007401,0.052060,0.002005,0.003541,0.017770,0.032818,0.002320,0.027478,-0.000867,-0.000017,0.005117,-0.001488,-0.000413,-0.005141,0.000035,-0.001806,0.001278,-0.009562,-0.020309,0.001919,-0.012110,0.001520,0.005153,0.003630,-0.000508,0.003640,-0.000878,-0.006013,-0.002462,0.000178,0.000072,-0.000721,0.000067,-0.000516,0.000025,-0.000055,0.000127,0.000116,0.000041,-0.000338,0.000065,-0.000209,0.043081,0.001938,0.196474,0.040003,0.013571,0.332778,0.001319,0.184111,1.122461,0.391784,0.454098,0.289252,0.236186,0.261850,0.242692,0.217015,0.176090,0.211753,0.175152,0.191191,0.211355,0.014679,0.001632,0.024275,0.008627,0.034026,0.007813,0.037661,0.002945,0.003331,0.014283,0.023276,0.002306,0.008483,0.052203,0.002579,0.258770,0.039566,0.013379,0.399834,0.001675,0.230907,0.992851,0.375765,0.437060,0.327799,0.296792,0.325646,0.338986,0.286262,0.247235,0.261262,0.231811,0.244671,0.238985,0.017949,0.001691,0.033223,0.011942,0.044445,0.010990,0.044403,0.002971,0.004157,0.019939,0.031389,0.002848,0.010246,carolina
0.151633,0.000943,3.010530,0.322955,0.310546,0.815456,0.002989,0.198285,-29.667222,2.217839,0.418256,0.370458,0.220959,0.345641,0.089691,0.096265,0.026396,-0.041590,-0.021295,0.049081,-0.012631,0.015039,0.002513,0.033633,0.010343,0.056095,0.009131,0.050614,0.002735,0.003207,0.016734,0.034033,0.003224,0.024871,0.000640,-0.000002,0.000641,0.000856,0.000268,0.005382,0.000014,0.004338,-0.019257,0.009337,0.006041,-0.011152,0.000320,-0.000050,0.002544,0.001010,-0.003720,-0.011200,-0.001659,0.003513,0.007532,0.000262,-0.000016,0.000165,0.000078,-0.000271,0.000066,0.000054,-0.000043,0.000013,0.000038,0.000084,0.000003,-0.000025,0.043453,0.002100,0.276019,0.064769,0.029194,0.306130,0.001871,0.155418,1.792936,0.551283,0.704995,0.280325,0.326570,0.348619,0.251220,0.259967,0.226029,0.218640,0.188380,0.206617,0.229200,0.015854,0.004393,0.017179,0.009544,0.035409,0.010002,0.042600,0.005301,0.003374,0.015564,0.023208,0.004379,0.011586,0.052399,0.002582,0.367695,0.052875,0.027528,0.355576,0.002511,0.207607,1.408903,0.517296,0.611657,0.317144,0.325117,0.370734,0.315723,0.261708,0.292980,0.279753,0.242473,0.286082,0.248321,0.023082,0.005336,0.022671,0.012474,0.044640,0.013160,0.054875,0.005935,0.004100,0.021307,0.031180,0.005041,0.013164,carolina
0.149011,0.001303,3.046967,0.323408,0.307949,0.852090,0.002804,0.192686,-30.216370,2.108328,0.477575,0.294256,0.235633,0.313981,0.087935,0.138615,0.027227,0.078690,0.047312,0.050238,-0.004843,0.011913,0.002262,0.036666,0.007543,0.060779,0.006770,0.057220,0.001629,0.003691,0.016318,0.032252,0.003088,0.026662,-0.000608,-0.000000,0.003067,0.000240,-0.000011,0.002263,0.000025,0.002015,-0.004383,-0.002544,0.003420,-0.002681,-0.002134,0.003180,0.003495,0.004017,0.002303,-0.004285,-0.002172,0.001422,-0.000866,0.000048,0.000017,-0.000429,0.000057,0.000157,-0.000017,-0.000167,-0.000001,-0.000047,0.000099,-0.000121,-0.000006,0.000003,0.043526,0.004115,0.218616,0.065852,0.036618,0.287528,0.001598,0.163415,2.077123,0.682334,0.667622,0.348549,0.310642,0.283017,0.245860,0.208702,0.184927,0.209529,0.196704,0.193675,0.200141,0.013370,0.003415,0.023121,0.006585,0.038479,0.006980,0.043002,0.002316,0.004131,0.015046,0.022433,0.004359,0.011088,0.048728,0.004166,0.303887,0.050693,0.028693,0.335068,0.002095,0.209685,1.488907,0.582285,0.550663,0.361431,0.317535,0.342615,0.323860,0.266408,0.235805,0.268874,0.244396,0.244756,0.251519,0.019115,0.004146,0.031512,0.009577,0.039267,0.008972,0.055126,0.002088,0.005488,0.021927,0.028150,0.005178,0.010793,carolina
0.154460,0.001560,3.055267,0.332032,0.312890,0.855157,0.003209,0.217831,-28.906874,2.222525,0.474202,0.408529,0.294430,0.343407,0.100128,0.098274,-0.006525,0.036724,0.021072,0.020306,0.022284,0.014013,0.002325,0.037112,0.009519,0.065108,0.006921,0.049349,0.001243,0.003952,0.014850,0.030307,0.002437,0.026345,0.000386,0.000001,-0.001892,-0.000180,-0.000007,-0.002824,0.000027,-0.002205,0.001686,0.001281,0.003066,0.002579,0.005861,0.001114,-0.002894,0.000948,0.003081,-0.001993,-0.006892,-0.001629,0.001479,0.000033,-0.000018,-0.000495,-0.000053,0.000674,-0.000020,0.000120,0.000004,-0.000066,-0.000025,-0.000215,0.000025,0.000028,0.041873,0.003635,0.162641,0.060812,0.026520,0.307622,0.002499,0.173012,1.581512,0.570154,0.701678,0.333124,0.305605,0.206126,0.290887,0.259989,0.205561,0.195843,0.181217,0.188451,0.180142,0.016376,0.003493,0.022848,0.009055,0.037312,0.006777,0.039373,0.001350,0.005344,0.014178,0.020261,0.002970,0.010015,0.049349,0.004755,0.232133,0.055118,0.028266,0.375118,0.002992,0.231532,1.405801,0.544801,0.716835,0.364281,0.355102,0.278715,0.358630,0.310770,0.274140,0.263894,0.223579,0.243907,0.241313,0.021473,0.004228,0.032689,0.012913,0.050626,0.009663,0.050162,0.001450,0.006717,0.018857,0.028307,0.003817,0.012282,carolina
0.150858,0.000826,3.040180,0.321629,0.308920,0.823952,0.003294,0.199519,-30.369760,2.199793,0.389665,0.306202,0.230612,0.352633,0.084072,0.108982,0.000884,0.036526,0.058270,0.029924,-0.004365,0.011671,0.002599,0.040118,0.006548,0.061198,0.006316,0.049086,0.002184,0.004904,0.015888,0.033265,0.002746,0.026083,0.000064,-0.000001,0.004554,0.000347,-0.000013,0.005821,0.000012,0.004301,-0.001227,-0.003194,-0.000711,0.003376,-0.002655,-0.001906,-0.004900,-0.002243,-0.002003,-0.004525,0.000365,-0.001341,-0.001218,0.000264,0.000001,-0.000046,0.000057,-0.000440,0.000031,0.000193,0.000025,0.000005,-0.000127,-0.000105,-0.000002,-0.000059,0.046995,0.001751,0.220586,0.064621,0.029072,0.350406,0.002128,0.163100,1.785267,0.520935,0.759473,0.374113,0.306121,0.290122,0.256855,0.231979,0.239781,0.184688,0.189496,0.180109,0.210017,0.011064,0.003557,0.028237,0.004577,0.035478,0.005580,0.038194,0.003588,0.006077,0.013530,0.024713,0.003479,0.010515,0.055160,0.002059,0.302078,0.060867,0.030795,0.397050,0.002693,0.196881,1.611810,0.511550,0.680903,0.403928,0.330313,0.305518,0.273976,0.263247,0.306106,0.226722,0.241041,0.222196,0.259720,0.015718,0.003726,0.035811,0.005919,0.042228,0.007433,0.052590,0.004101,0.006849,0.018333,0.034355,0.004620,0.012488,carolina
0.149424,0.001055,3.051706,0.333289,0.314907,0.846229,0.003232,0.196806,-29.440086,2.210866,0.544223,0.381310,0.300983,0.350894,0.113804,0.083485,-0.023612,0.052828,0.065815,0.021504,-0.022719,0.014159,0.001942,0.041500,0.006796,0.059833,0.006843,0.053174,0.002150,0.004224,0.015805,0.036851,0.002063,0.027782,-0.001493,0.000009,-0.002809,-0.000891,-0.000050,-0.011171,0.000055,-0.005472,0.011279,0.004064,0.000736,0.005813,0.004035,-0.004020,0.000180,0.008796,0.003830,0.001180,0.000460,-0.001494,-0.001580,0.000041,-0.000010,0.000265,0.000006,-0.000129,-0.000206,-0.000047,-0.000004,-0.000111,-0.000051,0.000686,-0.000001,0.000092,0.043832,0.002056,0.221771,0.054281,0.022324,0.307456,0.001769,0.163073,1.477943,0.582526,0.632094,0.314887,0.265214,0.254181,0.217668,0.248732,0.228873,0.239717,0.204344,0.222323,0.229971,0.014393,0.003311,0.026867,0.007195,0.038537,0.008498,0.044491,0.004066,0.003967,0.015025,0.026407,0.002428,0.010754,0.056143,0.002363,0.315324,0.048873,0.022314,0.359433,0.002290,0.200806,1.240315,0.479151,0.521231,0.365555,0.298328,0.324233,0.269948,0.297161,0.309567,0.306493,0.287939,0.253194,0.252417,0.021000,0.004122,0.036647,0.010808,0.054793,0.011924,0.058952,0.004564,0.005422,0.021561,0.036596,0.002437,0.012728,carolina
0.146701,0.000823,3.043089,0.318668,0.308370,0.808076,0.003179,0.182450,-30.347782,2.201828,0.416383,0.345734,0.245540,0.363309,0.032280,0.062910,0.077118,0.046264,0.008915,0.019708,-0.028519,0.015376,0.003248,0.038148,0.006504,0.052180,0.007736,0.055635,0.001866,0.005204,0.014727,0.038289,0.003563,0.026759,0.000730,-0.000057,0.008808,0.002102,0.001361,0.003015,0.000016,0.000163,-0.063990,0.024070,0.019318,-0.000582,0.002763,-0.004085,0.006959,-0.004593,-0.000977,-0.004261,-0.004242,-0.002480,-0.000895,0.000528,-0.000177,0.000534,0.000005,0.000339,-0.000004,0.000480,-0.000004,-0.000137,0.000151,0.000159,-0.000056,0.000195,0.045467,0.001990,0.246718,0.067083,0.030898,0.348721,0.001847,0.176640,1.871175,0.562642,0.733231,0.317081,0.331428,0.294649,0.278110,0.245052,0.253392,0.185862,0.241136,0.185430,0.201098,0.016135,0.005987,0.023316,0.006112,0.035519,0.008366,0.048042,0.003241,0.007589,0.012178,0.027702,0.004409,0.011585,0.055130,0.002516,0.348267,0.057437,0.028470,0.404609,0.002441,0.224388,1.515905,0.477263,0.630624,0.322508,0.328003,0.362260,0.307961,0.308508,0.300669,0.229829,0.266944,0.238697,0.247015,0.020714,0.007740,0.028404,0.007791,0.043927,0.011019,0.064588,0.003483,0.009322,0.017583,0.034477,0.005418,0.013653,carolina
0.147691,0.001578,3.014893,0.319401,0.304092,0.841928,0.002877,0.211824,-30.368579,2.201370,0.456122,0.250214,0.198148,0.307855,0.097352,0.079105,-0.022217,0.012508,0.006358,0.050865,0.033724,0.015977,0.003489,0.044304,0.008062,0.060607,0.007180,0.041889,0.002663,0.004188,0.014675,0.033049,0.002575,0.025941,-0.000495,-0.000099,0.012272,0.000178,0.000250,0.002648,0.000091,-0.000045,-0.006186,0.003023,0.010776,-0.007799,0.002194,-0.012426,-0.001532,0.003945,-0.003947,-0.002254,-0.004711,0.001302,-0.000984,-0.000126,-0.000011,0.000109,0.000032,0.000146,-0.000197,0.000266,-0.000026,0.000071,-0.000235,-0.000064,0.000093,-0.000007,0.048183,0.004097,0.406665,0.074277,0.040532,0.355099,0.001711,0.178487,2.211643,0.553171,0.692565,0.360301,0.336791,0.285930,0.260894,0.295344,0.230730,0.202360,0.198057,0.188431,0.207232,0.013012,0.005102,0.029945,0.008059,0.037903,0.006543,0.030390,0.003972,0.004289,0.011883,0.026290,0.002945,0.009503,0.055125,0.004309,0.559326,0.051654,0.029753,0.395348,0.002223,0.233031,1.510197,0.444220,0.507270,0.401760,0.344776,0.316540,0.252794,0.319617,0.307184,0.251700,0.238360,0.230752,0.240986,0.018558,0.004917,0.036255,0.011354,0.043119,0.007939,0.035990,0.004428,0.005042,0.016799,0.030241,0.003723,0.010715,carolina
0.150408,0.001200,3.019444,0.310604,0.301138,0.849299,0.003127,0.220145,-30.354453,2.020783,0.301871,0.314839,0.185084,0.255082,0.013362,0.075175,0.030127,0.072136,0.024747,0.058633,0.057152,0.012592,0.003329,0.039656,0.006768,0.044486,0.007951,0.054482,0.002104,0.005471,0.014796,0.036414,0.003568,0.025158,0.000286,-0.000007,0.000594,0.000503,0.000266,0.004412,0.000051,0.000309,-0.013693,-0.012200,0.003060,0.004472,0.005599,0.007434,-0.003927,0.004800,0.001620,0.003012,0.002070,-0.000406,-0.002754,-0.000060,-0.000076,-0.000107,0.000003,-0.000000,-0.000276,-0.000134,-0.000073,-0.000068,-0.000065,-0.000018,-0.000061,-0.000010,0.052549,0.003210,0.360087,0.080342,0.041429,0.379239,0.001903,0.185089,2.378476,0.782500,0.820916,0.318361,0.290641,0.261925,0.265387,0.217168,0.278200,0.230778,0.189425,0.202905,0.207975,0.011342,0.005106,0.026131,0.006020,0.035786,0.007932,0.044271,0.003530,0.006412,0.012832,0.027093,0.004669,0.011942,0.058064,0.003842,0.510954,0.063647,0.036313,0.422669,0.002407,0.224282,1.837267,0.587886,0.689172,0.344897,0.330809,0.292731,0.326423,0.246910,0.322847,0.289898,0.230363,0.272419,0.247791,0.016672,0.005862,0.031898,0.009374,0.042306,0.010032,0.048083,0.004518,0.008342,0.018390,0.034376,0.005884,0.012001,carolina
0.151860,0.001464,3.030291,0.326319,0.310922,0.856807,0.003093,0.212668,-28.965145,2.141415,0.488349,0.392019,0.174896,0.339914,0.095370,0.131084,0.010317,0.036710,0.027425,0.027851,0.028240,0.012884,0.002895,0.034905,0.008390,0.059477,0.006843,0.054040,0.001689,0.004252,0.013384,0.036379,0.002654,0.026544,-0.000104,-0.000000,-0.000191,0.000007,0.000097,-0.002635,0.000016,-0.000145,-0.001010,0.005236,0.001922,-0.002877,-0.004841,0.000244,0.000541,-0.004488,-0.000657,-0.003346,0.006677,-0.001758,0.002686,-0.000001,-0.000001,-0.000336,-0.000033,-0.000350,-0.000015,0.000368,0.000026,0.000034,0.000004,0.000476,0.000005,-0.000057,0.046857,0.002781,0.205699,0.062141,0.027062,0.340993,0.001987,0.175844,1.716948,0.636862,0.662815,0.339592,0.321379,0.277967,0.240178,0.295342,0.222060,0.213803,0.221265,0.209770,0.185870,0.016863,0.005120,0.022279,0.008900,0.035065,0.006987,0.044174,0.002819,0.004868,0.010814,0.026729,0.003028,0.010950,0.054235,0.003380,0.290615,0.054201,0.027936,0.384750,0.002393,0.221768,1.463969,0.542623,0.651450,0.372406,0.331133,0.295619,0.321951,0.343295,0.270412,0.236290,0.303631,0.254214,0.227618,0.024147,0.006395,0.030401,0.012833,0.043230,0.009258,0.051230,0.003387,0.006056,0.014856,0.038008,0.004215,0.012945,carolina
