@RELATION trained_models/ruido_blanco/filtered/mmse/svm/snr_-10/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.476506,0.002837,3.285971,0.484839,0.295100,3.207294,0.000757,0.878022,-27.319078,0.553942,0.407904,0.311500,0.256676,0.194643,0.126685,0.115232,0.069942,0.057187,0.035115,-0.016258,0.020598,0.003062,0.001555,0.006246,0.002404,0.009228,0.002003,0.007446,0.001458,0.001969,0.003342,0.004747,0.001787,0.003465,0.000132,-0.000289,0.003245,0.000049,-0.000018,0.000115,0.000008,0.000109,-0.041033,-0.001288,-0.000419,-0.001530,-0.003891,-0.002786,0.001754,0.000946,-0.001294,0.001827,0.002435,0.002032,0.002334,-0.000012,-0.000006,-0.000059,0.000001,-0.000032,0.000008,0.000009,0.000003,-0.000010,0.000001,-0.000031,0.000002,-0.000011,0.027787,0.002538,0.074335,0.016643,0.004275,0.162700,0.000171,0.046521,0.585608,0.234485,0.319139,0.281645,0.210254,0.259876,0.238859,0.202626,0.194451,0.197990,0.207186,0.186649,0.184722,0.002093,0.001369,0.004871,0.001571,0.007332,0.001155,0.004506,0.000807,0.001460,0.002190,0.002680,0.001794,0.002085,0.036293,0.002845,0.075148,0.019882,0.005362,0.192693,0.000171,0.062873,0.565559,0.304120,0.354074,0.342202,0.271864,0.340142,0.325116,0.276308,0.248265,0.264615,0.252027,0.244436,0.243329,0.002615,0.001816,0.006340,0.002062,0.009517,0.001725,0.005958,0.001167,0.001763,0.003065,0.003669,0.002248,0.002766,carolina
0.479487,0.004819,3.288020,0.486783,0.295731,3.195907,0.000784,0.880381,-26.433700,0.592322,0.404593,0.314365,0.265814,0.204271,0.112244,0.044585,0.036560,0.002322,-0.002661,0.018491,0.015207,0.003483,0.001429,0.006198,0.003024,0.007519,0.002506,0.008323,0.001596,0.001850,0.003049,0.005277,0.001860,0.003542,0.000118,-0.000004,-0.000019,0.000192,0.000126,-0.000009,0.000007,0.000581,-0.000372,-0.002389,-0.000824,-0.003379,-0.006329,-0.000587,0.004787,0.000827,-0.002731,-0.005577,-0.004178,-0.001735,0.003279,0.000000,-0.000001,0.000008,0.000052,-0.000073,0.000007,-0.000004,0.000002,0.000003,-0.000005,-0.000079,0.000004,-0.000017,0.028382,0.001737,0.080560,0.016833,0.005339,0.203268,0.000247,0.052621,0.475143,0.254997,0.409561,0.264040,0.242912,0.245773,0.223868,0.230507,0.213116,0.222676,0.181603,0.190819,0.190814,0.004254,0.001173,0.003981,0.002878,0.004968,0.002331,0.007364,0.001714,0.001626,0.002281,0.003378,0.001947,0.002448,0.030505,0.002194,0.107269,0.018357,0.005488,0.221260,0.000284,0.065629,0.469883,0.323447,0.474241,0.335681,0.303343,0.326861,0.307802,0.303167,0.311366,0.283031,0.254759,0.261387,0.250384,0.005706,0.001572,0.005263,0.003604,0.006899,0.003258,0.009411,0.002286,0.002055,0.002841,0.004883,0.002520,0.002722,carolina
0.476511,0.003090,3.283543,0.482278,0.295208,3.162633,0.000842,0.868113,-27.228341,0.579896,0.345864,0.265948,0.264680,0.183765,0.142212,0.103121,0.059325,0.063505,0.063450,0.030810,0.012804,0.002642,0.001543,0.005789,0.002174,0.008597,0.002373,0.008845,0.001781,0.002248,0.003472,0.005542,0.001763,0.003644,-0.000150,-0.000001,0.000150,-0.000039,0.000023,0.000508,0.000007,0.000209,-0.001561,-0.004316,0.002278,-0.000159,0.001001,0.000783,0.001508,0.005824,0.004628,-0.001196,-0.004413,-0.001815,0.002443,0.000011,0.000006,-0.000040,-0.000001,0.000008,-0.000001,-0.000032,-0.000000,-0.000051,0.000000,0.000003,0.000015,-0.000005,0.041749,0.003166,0.100672,0.030252,0.005733,0.351713,0.000481,0.092843,0.773372,0.305985,0.440978,0.346359,0.249834,0.247889,0.201520,0.200463,0.217420,0.227287,0.184197,0.195628,0.217639,0.002034,0.001610,0.003694,0.001721,0.005688,0.002077,0.006379,0.001967,0.002977,0.003005,0.004763,0.001604,0.002235,0.045013,0.003742,0.125204,0.029970,0.005765,0.332451,0.000448,0.091600,0.698097,0.324520,0.440826,0.389571,0.325282,0.335511,0.281521,0.275875,0.306286,0.288721,0.204409,0.262724,0.273354,0.002929,0.002263,0.005298,0.001822,0.007692,0.002373,0.008560,0.002320,0.004367,0.003974,0.006126,0.002017,0.002724,carolina
0.481497,0.027083,3.308126,0.488135,0.294160,3.240186,0.000731,0.886461,-24.042992,0.555061,0.442556,0.340650,0.272161,0.178814,0.121094,0.072331,0.052953,0.005855,0.026094,0.043125,0.007367,0.002827,0.001299,0.005578,0.002179,0.009011,0.002287,0.007719,0.001298,0.001574,0.002823,0.004765,0.001500,0.003384,-0.000286,0.000027,-0.000029,-0.000205,0.000028,-0.000152,0.000007,-0.000254,0.008354,0.005817,0.001024,-0.002865,0.001540,0.002446,-0.000765,-0.002372,-0.000027,0.000668,-0.004618,-0.002496,0.000830,0.000018,-0.000012,0.000010,0.000018,0.000053,0.000008,0.000009,0.000023,-0.000027,0.000021,0.000006,0.000024,0.000008,0.024327,0.003155,0.012457,0.012459,0.004949,0.103222,0.000093,0.023710,0.415296,0.210680,0.324230,0.277187,0.202811,0.229082,0.239570,0.215449,0.207466,0.183042,0.191685,0.195977,0.167411,0.002240,0.000742,0.002842,0.001194,0.007483,0.001720,0.005486,0.000720,0.000884,0.002507,0.003148,0.000936,0.002225,0.029576,0.003696,0.016704,0.014236,0.005739,0.128624,0.000098,0.028562,0.431770,0.252271,0.422594,0.338200,0.253120,0.298416,0.300082,0.269559,0.262075,0.243499,0.248618,0.259853,0.221403,0.003072,0.000872,0.004218,0.001776,0.011025,0.002450,0.007489,0.001031,0.001253,0.003339,0.004320,0.001283,0.003084,carolina
0.474138,0.002063,3.289530,0.483566,0.295217,3.184299,0.000798,0.872695,-27.687286,0.577206,0.372553,0.252024,0.256608,0.203561,0.151030,0.095576,0.076934,0.020145,0.017496,0.021248,0.011327,0.002864,0.001709,0.006928,0.002126,0.009038,0.002553,0.007957,0.001360,0.002183,0.003689,0.005531,0.001489,0.003872,0.000045,-0.000000,0.000057,0.000032,0.000024,-0.000119,0.000006,0.000100,0.000979,-0.000334,-0.003144,-0.000092,-0.004326,-0.001313,-0.001355,-0.000120,-0.001306,-0.002479,-0.001342,-0.004925,-0.003107,0.000021,0.000005,0.000012,-0.000002,-0.000021,0.000000,0.000043,0.000011,-0.000008,-0.000014,-0.000024,-0.000002,0.000010,0.031072,0.001127,0.077552,0.018309,0.005690,0.206836,0.000288,0.056576,0.500469,0.272184,0.363773,0.345985,0.273115,0.224249,0.214614,0.207577,0.215809,0.188841,0.187120,0.196200,0.188204,0.002154,0.001296,0.004732,0.001290,0.006943,0.002065,0.006087,0.000910,0.001972,0.004024,0.004941,0.001275,0.002585,0.037006,0.001420,0.105908,0.022172,0.006961,0.230824,0.000352,0.067288,0.581048,0.328097,0.412106,0.379808,0.324099,0.248901,0.244228,0.264848,0.300059,0.247213,0.255017,0.236330,0.243192,0.002752,0.001509,0.006043,0.001702,0.008747,0.002777,0.008221,0.001200,0.002315,0.004666,0.006599,0.001818,0.003359,carolina
0.478902,0.028964,3.306618,0.487065,0.295105,3.233957,0.000730,0.885245,-23.902274,0.572609,0.424925,0.309306,0.289878,0.207146,0.139190,0.093466,0.051962,0.039855,0.042650,-0.002082,-0.017917,0.002695,0.001254,0.006220,0.002168,0.008495,0.002252,0.007994,0.001904,0.001861,0.002901,0.005259,0.001450,0.003529,-0.000563,0.000075,-0.000274,-0.000219,0.000026,-0.002157,0.000008,-0.000472,0.003151,0.003421,0.002828,0.001718,0.007950,0.002878,0.002812,0.006190,-0.002020,-0.004061,-0.000225,-0.002182,-0.003807,0.000012,0.000003,0.000096,0.000012,0.000141,-0.000007,0.000020,-0.000012,-0.000022,-0.000035,0.000241,-0.000007,0.000073,0.024073,0.003742,0.017286,0.011197,0.005220,0.105790,0.000087,0.019088,0.384487,0.232380,0.319485,0.246644,0.207890,0.210566,0.222765,0.250621,0.223065,0.208881,0.230738,0.203507,0.215075,0.002081,0.000725,0.003743,0.001292,0.005883,0.001999,0.005949,0.002393,0.001231,0.001842,0.003945,0.000870,0.002021,0.030209,0.004353,0.023236,0.012743,0.006270,0.128256,0.000103,0.023094,0.436055,0.284264,0.348563,0.285590,0.275100,0.276010,0.278124,0.325674,0.278763,0.269327,0.305428,0.252832,0.292763,0.002874,0.000936,0.005208,0.001776,0.008357,0.002940,0.008331,0.003013,0.001613,0.002593,0.005413,0.001143,0.002720,carolina
0.476234,0.002152,3.289214,0.483513,0.295789,3.182545,0.000810,0.875417,-27.597282,0.600070,0.344755,0.303316,0.275149,0.203900,0.095587,0.067043,0.057152,0.037085,0.021950,-0.013820,0.003826,0.002998,0.001815,0.006333,0.002472,0.008236,0.002436,0.007997,0.001358,0.002506,0.002930,0.005796,0.001655,0.003484,0.000826,-0.000007,0.000400,0.000444,-0.000171,0.003735,0.000007,0.000299,-0.015374,0.001288,0.005059,0.007359,0.002989,-0.006578,0.001418,-0.004465,-0.002968,0.000180,-0.003531,0.001400,0.000780,-0.000028,-0.000004,0.000007,0.000006,-0.000031,0.000035,0.000002,0.000009,-0.000040,0.000023,-0.000023,-0.000048,-0.000008,0.034300,0.001428,0.077510,0.020590,0.005614,0.229318,0.000313,0.058631,0.564628,0.293808,0.418106,0.309353,0.224456,0.250180,0.243317,0.216715,0.205623,0.191988,0.189686,0.184713,0.196807,0.002151,0.001770,0.003831,0.002211,0.005986,0.001704,0.005727,0.000772,0.002940,0.002181,0.003514,0.001232,0.001893,0.041734,0.001906,0.100974,0.023411,0.006369,0.256782,0.000372,0.073798,0.601541,0.376729,0.470749,0.368856,0.282781,0.311253,0.324686,0.296183,0.304322,0.245999,0.259198,0.279674,0.274111,0.002946,0.002213,0.005060,0.002879,0.008761,0.002353,0.008153,0.001014,0.003807,0.002936,0.004823,0.001432,0.002590,carolina
0.466207,0.002731,3.244893,0.477053,0.296759,3.076052,0.000892,0.844909,-27.491644,0.633898,0.313600,0.227036,0.221294,0.206573,0.120057,0.066031,0.034132,0.016827,0.009135,0.045080,0.030925,0.003971,0.002318,0.007006,0.002624,0.008372,0.002994,0.008588,0.002533,0.002654,0.003669,0.005487,0.002029,0.004012,-0.000204,-0.000080,0.008184,0.000795,0.000003,0.011388,0.000015,0.005290,-0.012879,0.003933,0.012238,-0.006033,-0.009289,-0.013719,-0.003354,0.005267,-0.004093,-0.005221,-0.004067,0.004272,0.002543,-0.000183,0.000002,0.000025,0.000053,0.000146,-0.000132,0.000439,-0.000045,0.000048,-0.000185,-0.000217,0.000016,0.000058,0.049968,0.002926,0.233573,0.033857,0.007420,0.464746,0.000489,0.133512,0.843905,0.361485,0.455350,0.382611,0.283324,0.254738,0.230728,0.228154,0.220717,0.234207,0.191669,0.198182,0.186928,0.004310,0.003448,0.004061,0.002559,0.005530,0.003349,0.007861,0.003706,0.003210,0.003910,0.004462,0.002320,0.002818,0.046600,0.002939,0.290932,0.028623,0.007367,0.399045,0.000594,0.123641,0.711851,0.387968,0.425086,0.403680,0.347652,0.303105,0.266811,0.270367,0.272828,0.292000,0.231452,0.212814,0.207967,0.004615,0.004360,0.005148,0.003140,0.007500,0.003549,0.009950,0.004391,0.003829,0.004671,0.005525,0.002386,0.002948,carolina
0.468875,0.003269,3.266296,0.478477,0.296507,3.118542,0.000909,0.861996,-27.139547,0.600123,0.294441,0.259631,0.204869,0.113076,0.071551,0.077015,0.078506,0.027863,0.035295,0.037850,0.025121,0.003545,0.002034,0.006577,0.002449,0.007371,0.002897,0.008235,0.001514,0.002798,0.003280,0.005979,0.002105,0.003595,0.000358,-0.000003,0.000181,0.000258,-0.000060,0.001143,0.000007,0.000172,-0.005769,-0.003870,-0.002109,0.003071,0.005768,0.002480,-0.003417,-0.002107,0.002634,0.004081,0.000079,0.002350,-0.006325,-0.000007,-0.000001,-0.000045,0.000005,0.000052,-0.000102,-0.000081,0.000004,-0.000058,-0.000006,-0.000070,0.000019,-0.000014,0.043618,0.003362,0.149092,0.028398,0.007073,0.366685,0.000562,0.091489,0.780207,0.349620,0.481948,0.268860,0.241307,0.254743,0.238619,0.257276,0.207476,0.195291,0.162839,0.205034,0.213580,0.003104,0.001992,0.003475,0.001944,0.006565,0.003313,0.005451,0.001374,0.003264,0.002721,0.004759,0.002725,0.002090,0.051768,0.004367,0.195650,0.030573,0.007354,0.389668,0.000631,0.111250,0.778177,0.381698,0.500799,0.313143,0.304948,0.327699,0.292815,0.298736,0.250486,0.268060,0.227727,0.256018,0.273544,0.003944,0.002561,0.004483,0.002801,0.008499,0.004267,0.006574,0.001828,0.003979,0.003360,0.005966,0.003648,0.002655,carolina
0.479501,0.008515,3.297884,0.485808,0.294917,3.217133,0.000759,0.880744,-25.606549,0.549631,0.383756,0.272769,0.220295,0.193237,0.138836,0.089295,0.051147,0.017291,0.009361,0.031537,0.046268,0.002448,0.002082,0.005450,0.002551,0.008191,0.002223,0.007204,0.001413,0.001705,0.002708,0.005573,0.001647,0.003261,-0.000059,0.000002,-0.000027,-0.000011,0.000060,-0.000190,0.000007,0.000181,0.003237,0.002321,-0.000438,-0.002670,0.002097,-0.000985,-0.002336,-0.000251,-0.000707,-0.003716,0.000217,-0.001502,0.000981,0.000005,-0.000002,-0.000043,0.000004,-0.000040,-0.000016,0.000016,0.000006,0.000018,-0.000004,0.000080,0.000014,-0.000007,0.024528,0.001938,0.049403,0.014070,0.005365,0.155121,0.000180,0.033512,0.444152,0.296790,0.293300,0.264879,0.198867,0.236455,0.218149,0.239877,0.202049,0.197660,0.199636,0.203989,0.185031,0.001656,0.003062,0.003101,0.002124,0.005539,0.001477,0.004915,0.001018,0.000941,0.001954,0.004874,0.001579,0.001978,0.031519,0.002170,0.064793,0.016231,0.005783,0.168784,0.000203,0.043777,0.425079,0.311832,0.391181,0.328286,0.243179,0.324850,0.285403,0.319447,0.243580,0.240720,0.250089,0.291175,0.268191,0.002187,0.004247,0.004125,0.002391,0.007721,0.001956,0.006723,0.001504,0.001367,0.002487,0.006589,0.002089,0.002651,carolina
