@RELATION trained_models/ruido_blanco/filtered/mmse/svm/snr_0/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.360014,0.000851,3.208304,0.440594,0.308479,2.461131,0.001102,0.768575,-29.362927,1.466089,0.684650,0.357825,0.284155,0.254049,0.119106,0.088388,0.018468,0.036617,0.033856,-0.007401,0.013817,0.008242,0.001728,0.020276,0.005139,0.036148,0.004273,0.027701,0.001966,0.002591,0.010399,0.017083,0.002187,0.014642,-0.000495,-0.000041,0.003182,-0.000529,0.000112,-0.004252,0.000019,-0.000445,-0.020198,0.000110,-0.013091,-0.003459,-0.005153,-0.001107,0.002585,0.002523,0.000069,0.002523,0.000271,-0.003030,0.000165,0.000049,0.000013,-0.000275,0.000064,-0.000164,0.000026,0.000174,0.000070,0.000002,0.000072,-0.000103,0.000028,-0.000059,0.062738,0.001655,0.147546,0.028688,0.007424,0.481380,0.000452,0.110583,0.836278,0.247569,0.408389,0.302649,0.213183,0.260425,0.249718,0.203748,0.198787,0.201408,0.192442,0.188348,0.202414,0.007722,0.001592,0.014719,0.004207,0.023491,0.003496,0.018730,0.002290,0.002062,0.008654,0.011483,0.002008,0.005913,0.070526,0.002161,0.184124,0.030280,0.008727,0.540414,0.000530,0.122448,0.752479,0.280702,0.389558,0.344775,0.285931,0.331013,0.352178,0.274339,0.240729,0.256966,0.234858,0.241964,0.242585,0.009493,0.001823,0.019645,0.005917,0.028470,0.004951,0.022629,0.002841,0.002596,0.011667,0.015403,0.002275,0.007582,carolina
0.355018,0.001008,3.176790,0.435118,0.309575,2.382373,0.001298,0.749011,-28.859104,1.495303,0.567269,0.386747,0.257378,0.281768,0.120038,0.057307,0.027173,-0.022376,-0.006540,0.016758,0.014488,0.008835,0.002166,0.019678,0.006659,0.030636,0.005398,0.029865,0.002647,0.002608,0.009628,0.018802,0.002584,0.014035,0.000839,-0.000002,0.000525,0.000335,0.000094,0.005041,0.000007,0.001515,-0.005094,-0.000745,0.001549,-0.004218,-0.004512,-0.000021,0.004678,0.001378,-0.002916,-0.009316,-0.003640,0.000944,0.004772,0.000066,-0.000005,0.000060,0.000068,-0.000318,0.000027,-0.000032,-0.000008,0.000009,0.000004,-0.000219,0.000001,-0.000089,0.065423,0.001744,0.221739,0.047781,0.008063,0.579288,0.000984,0.177383,1.143647,0.267276,0.677242,0.287236,0.293696,0.307539,0.255219,0.237116,0.216359,0.205344,0.175559,0.191666,0.217188,0.009009,0.003696,0.010549,0.006669,0.019775,0.005158,0.026214,0.005180,0.002789,0.009132,0.012119,0.003579,0.007185,0.071089,0.002172,0.264941,0.044204,0.010227,0.569149,0.001178,0.177166,0.981770,0.333027,0.657311,0.327984,0.341502,0.352682,0.328626,0.278207,0.307571,0.263745,0.242612,0.266170,0.244790,0.012897,0.004703,0.015407,0.008022,0.025820,0.006745,0.034994,0.006555,0.003272,0.012348,0.017051,0.004685,0.009259,carolina
0.353131,0.001477,3.190341,0.431262,0.306464,2.384978,0.001289,0.750236,-29.171340,1.428323,0.570065,0.328448,0.275780,0.242102,0.142464,0.101888,0.042640,0.060460,0.060107,0.040898,0.005590,0.007019,0.001927,0.020294,0.004598,0.033946,0.004714,0.032541,0.001898,0.002745,0.009677,0.018440,0.002471,0.014878,-0.000141,-0.000000,0.001278,0.000046,-0.000018,0.002571,0.000009,0.000290,-0.001972,-0.003254,0.004201,-0.001207,-0.002080,0.000218,0.002352,0.005936,0.003288,-0.003712,-0.005146,-0.000772,0.002800,0.000032,0.000010,-0.000222,0.000021,0.000001,-0.000007,-0.000077,-0.000003,-0.000052,0.000043,-0.000060,0.000004,-0.000018,0.070815,0.004249,0.201287,0.060728,0.014025,0.608610,0.001022,0.181874,1.498751,0.263593,0.649640,0.369815,0.281200,0.260267,0.227343,0.207854,0.206013,0.211925,0.196310,0.189227,0.212274,0.007225,0.002666,0.012198,0.004111,0.021646,0.005042,0.025628,0.002571,0.003095,0.008994,0.012168,0.003498,0.006475,0.070392,0.004465,0.252404,0.050479,0.015061,0.550673,0.001018,0.158594,1.156967,0.319180,0.555770,0.376017,0.317417,0.345557,0.291020,0.264170,0.258213,0.254567,0.238481,0.242035,0.273006,0.010337,0.003218,0.017735,0.005709,0.024740,0.006205,0.033810,0.002385,0.004188,0.013064,0.016370,0.004223,0.007556,carolina
0.359691,0.002828,3.226364,0.439354,0.308700,2.448213,0.001314,0.763612,-27.261973,1.457148,0.592288,0.425843,0.330760,0.256453,0.130085,0.068715,0.032541,0.016795,0.026651,0.037058,0.017287,0.008310,0.001885,0.019701,0.005511,0.035821,0.004437,0.026515,0.001284,0.002869,0.008626,0.016586,0.002389,0.014150,-0.000472,0.000003,-0.000487,-0.000196,0.000015,-0.002352,0.000010,-0.000390,0.004832,0.003076,0.001197,-0.000882,0.005119,0.003638,-0.001145,-0.001272,0.000915,-0.000634,-0.006290,-0.002091,0.001541,0.000027,-0.000017,-0.000113,0.000016,0.000316,-0.000005,0.000056,0.000017,-0.000057,0.000004,-0.000057,0.000030,0.000029,0.069378,0.004263,0.099277,0.043258,0.006081,0.573280,0.001068,0.160475,1.016338,0.265167,0.662760,0.282119,0.256478,0.195247,0.272629,0.235883,0.198551,0.208977,0.179136,0.188113,0.165670,0.009110,0.002438,0.011231,0.004749,0.022281,0.003924,0.019955,0.001029,0.003158,0.008924,0.010333,0.003377,0.005732,0.077426,0.005549,0.127599,0.043893,0.008293,0.602186,0.001167,0.169638,0.938970,0.311960,0.703337,0.339243,0.311351,0.265321,0.338226,0.290577,0.279944,0.253644,0.213340,0.233204,0.227075,0.012061,0.002817,0.016462,0.006887,0.033685,0.005456,0.026710,0.001073,0.003989,0.011679,0.015010,0.004624,0.008443,carolina
0.349428,0.000734,3.188744,0.431052,0.308314,2.344951,0.001458,0.730472,-29.699293,1.498631,0.552600,0.284377,0.259807,0.284899,0.136889,0.073524,0.047719,0.015248,0.044881,0.037670,0.009375,0.007104,0.002343,0.022612,0.004070,0.034564,0.004544,0.028570,0.002159,0.003992,0.009734,0.018886,0.002185,0.014976,0.000481,-0.000001,0.002254,0.000165,-0.000028,0.005243,0.000007,0.000771,-0.001148,-0.001914,-0.001354,0.002632,-0.003204,-0.000803,-0.003314,-0.003911,-0.003748,-0.002136,0.001547,-0.002515,-0.002876,0.000105,0.000001,-0.000066,0.000016,-0.000314,0.000011,0.000015,0.000029,0.000003,-0.000136,-0.000127,-0.000003,-0.000055,0.071666,0.001311,0.176939,0.047779,0.009019,0.627883,0.001002,0.176214,1.154023,0.276759,0.639091,0.382204,0.299200,0.259064,0.215806,0.208814,0.218162,0.189459,0.185385,0.200496,0.187499,0.006229,0.002843,0.015805,0.002838,0.021938,0.003887,0.023893,0.003481,0.005479,0.009101,0.014560,0.002585,0.007008,0.079726,0.001545,0.234455,0.051470,0.010816,0.700997,0.001270,0.200699,1.161950,0.352326,0.633920,0.396939,0.352798,0.278127,0.232291,0.260242,0.295129,0.237854,0.252756,0.244282,0.242798,0.008629,0.003330,0.020406,0.003661,0.027011,0.005210,0.033559,0.004377,0.006440,0.012180,0.020693,0.003568,0.009489,carolina
0.356788,0.002115,3.219107,0.440813,0.309298,2.441143,0.001230,0.768067,-27.673062,1.458218,0.638461,0.404327,0.348427,0.272032,0.142184,0.073132,0.007320,0.032086,0.067804,0.003707,-0.015127,0.008254,0.001676,0.023081,0.004375,0.033358,0.004456,0.030395,0.002179,0.002831,0.008845,0.020250,0.001811,0.015357,-0.002160,0.000018,-0.002062,-0.000521,0.000102,-0.015169,0.000017,-0.003049,0.007290,0.005739,0.002398,0.002369,0.005845,-0.001534,0.000929,0.008085,0.001561,-0.000456,0.000281,-0.002179,-0.002047,0.000037,-0.000005,0.000316,0.000013,0.000280,-0.000042,0.000077,-0.000012,-0.000049,-0.000029,0.000651,-0.000004,0.000181,0.065609,0.002652,0.141696,0.036542,0.006322,0.524617,0.000688,0.140564,0.899840,0.256931,0.558763,0.282458,0.224029,0.197365,0.201445,0.243958,0.210399,0.234078,0.219427,0.216840,0.214512,0.008423,0.002505,0.015330,0.003827,0.022444,0.005312,0.026625,0.003594,0.002377,0.007988,0.015340,0.001945,0.006982,0.077317,0.002960,0.196274,0.037710,0.007504,0.595894,0.000809,0.163911,0.855142,0.275371,0.519077,0.324598,0.273357,0.265224,0.260479,0.307821,0.291905,0.293415,0.283420,0.265653,0.267715,0.011967,0.003225,0.021433,0.005583,0.031741,0.007617,0.035872,0.003684,0.003422,0.011502,0.021454,0.001917,0.008961,carolina
0.350390,0.000823,3.191881,0.431180,0.308724,2.344719,0.001362,0.737314,-29.565493,1.496261,0.531076,0.360668,0.282746,0.285491,0.086534,0.062902,0.057690,0.027310,0.017041,-0.001084,-0.007170,0.008835,0.003036,0.021468,0.004475,0.030649,0.005446,0.030678,0.001638,0.004545,0.008290,0.021727,0.002635,0.014954,0.001806,-0.000035,0.006900,0.002116,0.000229,0.018587,0.000008,0.007078,-0.050218,0.011048,0.021356,0.003169,0.002109,-0.005523,0.006528,-0.005419,-0.001823,-0.003684,-0.003810,-0.000077,-0.001424,0.000214,-0.000172,0.000235,0.000009,0.000165,0.000022,0.000191,0.000007,-0.000164,0.000095,0.000045,-0.000054,0.000072,0.070101,0.001769,0.202862,0.050525,0.008714,0.616023,0.000999,0.180011,1.210677,0.264213,0.679419,0.295254,0.280012,0.269873,0.274842,0.233321,0.227199,0.192356,0.217133,0.187141,0.185334,0.008565,0.005660,0.011827,0.003927,0.021322,0.005373,0.025991,0.001925,0.007192,0.006788,0.015757,0.003266,0.006667,0.082969,0.002281,0.272280,0.048864,0.010966,0.661863,0.001200,0.185548,1.076697,0.334244,0.645421,0.320727,0.318638,0.331288,0.330346,0.293540,0.284630,0.243387,0.264602,0.265055,0.257530,0.011130,0.007107,0.015718,0.005025,0.028905,0.006996,0.036235,0.002150,0.008955,0.009759,0.020501,0.004024,0.009206,carolina
0.345862,0.001612,3.150780,0.422159,0.304919,2.310834,0.001483,0.720263,-29.436280,1.466425,0.532851,0.295768,0.216010,0.262038,0.132282,0.076616,-0.006641,0.008901,-0.002043,0.041818,0.041080,0.009581,0.003135,0.024193,0.005114,0.033124,0.005129,0.024421,0.002709,0.003376,0.008924,0.018363,0.002261,0.014315,-0.001198,-0.000111,0.011134,0.000565,0.000433,0.002754,0.000069,-0.000245,-0.011041,0.007317,0.011366,-0.011384,0.001973,-0.012686,-0.005258,0.007656,-0.005546,-0.001398,-0.006056,0.002937,-0.000322,-0.000148,0.000001,0.000091,0.000044,0.000169,-0.000198,0.000334,-0.000034,0.000088,-0.000227,-0.000089,0.000103,0.000009,0.083126,0.003923,0.366426,0.070299,0.015211,0.704820,0.001311,0.211018,1.658741,0.284431,0.688127,0.350121,0.318030,0.276678,0.266615,0.264883,0.235366,0.210230,0.214753,0.206484,0.210438,0.008463,0.004946,0.014894,0.005033,0.022235,0.005527,0.017761,0.003929,0.003630,0.006961,0.013619,0.002571,0.005745,0.079077,0.004115,0.468630,0.052544,0.015434,0.574129,0.001491,0.165321,1.211872,0.342045,0.519364,0.380414,0.349299,0.314542,0.284523,0.302631,0.301273,0.261737,0.254340,0.230755,0.236131,0.010545,0.005355,0.018729,0.006659,0.028553,0.006337,0.021511,0.004534,0.004116,0.009338,0.017563,0.002812,0.007915,carolina
0.346325,0.001471,3.156770,0.420398,0.305998,2.304282,0.001522,0.717695,-29.197939,1.404855,0.422707,0.339899,0.194645,0.181194,0.063908,0.068914,0.057089,0.053148,0.032443,0.052330,0.034774,0.008231,0.003025,0.021328,0.004372,0.025615,0.005207,0.030290,0.001971,0.004349,0.008858,0.020773,0.003132,0.014058,0.000730,-0.000006,0.002145,0.000621,0.000026,0.007657,0.000026,0.004519,-0.012392,-0.010264,-0.000147,0.007943,0.005920,0.004176,-0.000885,-0.000235,0.002374,0.003743,0.002600,0.000574,-0.002879,-0.000051,0.000006,-0.000079,-0.000003,0.000061,-0.000400,-0.000094,-0.000003,-0.000094,-0.000007,-0.000074,0.000029,-0.000035,0.083498,0.003660,0.326719,0.067664,0.013584,0.742326,0.001299,0.216381,1.643509,0.366711,0.807201,0.273822,0.289398,0.227745,0.257633,0.239353,0.245051,0.214468,0.181136,0.199295,0.208092,0.006919,0.004797,0.012133,0.003670,0.022812,0.005828,0.023520,0.003303,0.005467,0.007883,0.014980,0.004184,0.006690,0.083609,0.004528,0.435827,0.061551,0.015572,0.714415,0.001460,0.213371,1.400020,0.371591,0.731844,0.297559,0.334691,0.299162,0.320111,0.275093,0.272599,0.290431,0.239066,0.256562,0.263121,0.009942,0.005672,0.017255,0.005538,0.027699,0.007016,0.028323,0.004365,0.006994,0.010619,0.018736,0.004956,0.008469,carolina
0.356416,0.002266,3.198074,0.435157,0.308837,2.414369,0.001314,0.752142,-27.584502,1.442368,0.593473,0.356144,0.219867,0.272442,0.121194,0.110402,0.022346,0.014387,0.037190,0.030035,0.031962,0.007262,0.002755,0.019414,0.005810,0.032903,0.004498,0.028918,0.001738,0.002914,0.007751,0.020196,0.002370,0.014565,0.000095,-0.000000,-0.000021,-0.000019,0.000065,-0.000587,0.000008,0.000309,0.001862,0.005325,0.002054,-0.006367,-0.002935,-0.000037,0.000704,-0.000082,-0.003245,-0.005144,0.003882,-0.000496,0.001860,0.000011,0.000005,-0.000232,-0.000017,-0.000218,-0.000007,0.000195,0.000014,0.000025,-0.000005,0.000400,0.000023,-0.000033,0.065852,0.003073,0.156391,0.043681,0.006708,0.573474,0.000927,0.162747,1.072975,0.316445,0.555357,0.264603,0.267214,0.254337,0.253082,0.273844,0.199521,0.194783,0.215146,0.218428,0.173046,0.008432,0.004919,0.011940,0.006445,0.021455,0.003874,0.024531,0.002507,0.002717,0.006221,0.016508,0.002869,0.007224,0.068980,0.003695,0.207366,0.044341,0.008044,0.579403,0.001028,0.182736,0.997732,0.334137,0.608650,0.340230,0.289059,0.323223,0.326615,0.338021,0.240265,0.244147,0.295254,0.280353,0.228065,0.012136,0.006476,0.017347,0.009027,0.027831,0.004916,0.030757,0.003280,0.003331,0.008385,0.024290,0.003891,0.009792,carolina
