@RELATION trained_models/ruido_blanco/filtered/spect_sub/knn/snr_5/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.259188,0.001031,3.119155,0.408324,0.318520,1.677951,0.001466,0.617405,-28.535087,1.980138,0.825288,0.340978,0.314422,0.292952,0.146146,0.081440,0.011283,0.021905,0.017787,0.026126,0.012070,0.011519,0.001204,0.034921,0.006779,0.055592,0.005035,0.045329,0.001245,0.002601,0.015144,0.029834,0.001929,0.022767,0.000812,-0.000032,0.004592,-0.000048,-0.000025,0.003497,0.000015,0.000617,-0.017976,-0.003687,-0.003752,-0.000868,-0.003680,-0.001178,0.001535,0.000917,-0.002059,0.002070,-0.000025,-0.003401,-0.000468,-0.000012,0.000022,-0.000159,0.000074,-0.000030,-0.000001,-0.000109,0.000015,-0.000007,0.000084,-0.000197,0.000010,-0.000050,0.043327,0.001175,0.180670,0.025136,0.006537,0.376436,0.000734,0.147648,0.592438,0.205190,0.295037,0.227179,0.186900,0.191850,0.174167,0.155589,0.172476,0.168339,0.174639,0.159380,0.167174,0.009882,0.001028,0.019459,0.006305,0.026687,0.004479,0.028711,0.001213,0.002015,0.013310,0.019685,0.001586,0.006881,0.060418,0.001593,0.232437,0.032064,0.009485,0.488634,0.000815,0.194865,0.710370,0.272148,0.390649,0.331351,0.262953,0.279225,0.260077,0.195552,0.248586,0.238737,0.267083,0.226086,0.239311,0.012169,0.001377,0.027041,0.009103,0.040134,0.006492,0.040685,0.001612,0.002909,0.018884,0.025506,0.002371,0.009830,carolina
0.257945,0.001254,3.090333,0.401038,0.319714,1.616061,0.001509,0.600172,-27.967405,1.984193,0.644244,0.401940,0.270326,0.289864,0.104048,0.054456,0.023543,-0.000009,0.003168,0.040456,0.015949,0.010962,0.001439,0.030062,0.006841,0.049808,0.006071,0.049525,0.001955,0.002870,0.016603,0.031727,0.002372,0.022066,0.001134,-0.000004,0.001233,0.000415,0.000053,0.005819,0.000011,0.002033,-0.007259,0.000817,0.003172,-0.002850,-0.002538,0.000043,0.002436,0.000514,-0.004222,-0.005754,-0.001717,0.001163,0.002895,-0.000004,-0.000002,0.000040,0.000149,-0.000261,0.000066,-0.000303,0.000006,0.000013,-0.000208,0.000033,0.000005,-0.000083,0.041820,0.001108,0.261005,0.034829,0.005603,0.389314,0.000761,0.166704,0.824034,0.262079,0.447696,0.199251,0.215467,0.266640,0.201029,0.191582,0.190250,0.167033,0.171173,0.159713,0.166019,0.010549,0.001460,0.018754,0.004821,0.022587,0.006024,0.030588,0.003656,0.002795,0.012941,0.022227,0.002761,0.006898,0.059008,0.001469,0.340790,0.038681,0.007693,0.504952,0.000889,0.205792,0.869099,0.358181,0.535084,0.267064,0.275316,0.300674,0.294714,0.240531,0.254052,0.229518,0.244559,0.239302,0.212088,0.015561,0.001772,0.026793,0.006843,0.030554,0.008519,0.042344,0.004846,0.003954,0.019304,0.031354,0.003804,0.009820,carolina
0.253575,0.001174,3.060478,0.397573,0.317530,1.596161,0.001479,0.584174,-28.318668,1.942211,0.704246,0.374203,0.294431,0.253595,0.093746,0.073278,0.038224,0.044621,0.037482,0.021760,-0.002950,0.011092,0.001668,0.033133,0.006339,0.054317,0.005538,0.050267,0.001152,0.003351,0.015157,0.028822,0.002417,0.023222,-0.000036,0.000000,0.000268,0.000013,0.000004,0.000518,0.000014,-0.000118,0.000717,-0.000474,0.000503,0.000597,-0.001038,-0.000104,0.002117,0.003168,0.003555,-0.002595,-0.003620,0.000021,-0.000897,-0.000034,0.000008,0.000298,0.000057,-0.000316,-0.000038,-0.000124,-0.000011,-0.000054,0.000155,0.000040,0.000022,-0.000028,0.045255,0.001718,0.291269,0.041426,0.010319,0.379297,0.000776,0.173286,1.066583,0.267673,0.415014,0.247368,0.219919,0.213245,0.201212,0.167170,0.179250,0.161237,0.179956,0.141100,0.153209,0.009628,0.002108,0.021299,0.005746,0.024312,0.004459,0.032156,0.001322,0.003730,0.013324,0.020504,0.003310,0.007469,0.055817,0.001972,0.390352,0.039266,0.011692,0.451972,0.000931,0.190413,0.948303,0.337220,0.410885,0.286422,0.306104,0.275993,0.262212,0.214583,0.234120,0.237215,0.252455,0.194615,0.214319,0.014311,0.002444,0.028290,0.008369,0.031855,0.006147,0.041773,0.001716,0.004369,0.018944,0.029980,0.004017,0.009687,carolina
0.258067,0.004842,3.136329,0.404614,0.319486,1.657970,0.001446,0.612550,-26.027848,1.975481,0.709205,0.402882,0.330303,0.307649,0.137304,0.052312,0.013104,-0.010928,-0.006700,0.014703,0.011460,0.013075,0.001514,0.033068,0.007946,0.053693,0.005562,0.046201,0.001264,0.002629,0.015034,0.027694,0.002084,0.021903,-0.000694,0.000034,-0.002716,-0.000216,0.000039,-0.007150,0.000018,-0.002559,-0.001049,-0.001624,0.001654,0.000886,0.004810,0.001760,-0.000171,0.002308,-0.002307,-0.002041,-0.002740,-0.000320,0.004652,-0.000025,-0.000049,0.000450,0.000006,-0.000185,-0.000001,0.000205,0.000005,-0.000015,-0.000169,0.000645,0.000004,0.000155,0.044826,0.002499,0.132106,0.028472,0.004454,0.370060,0.000735,0.158345,0.683917,0.226608,0.397093,0.187472,0.241080,0.177881,0.202407,0.177580,0.163573,0.164413,0.168962,0.175632,0.147677,0.013654,0.001557,0.017124,0.006614,0.026063,0.004960,0.030661,0.001476,0.002292,0.011323,0.018001,0.002148,0.007516,0.065944,0.003294,0.198941,0.033995,0.005942,0.507373,0.000798,0.200338,0.774908,0.289392,0.507502,0.270162,0.314072,0.253691,0.302988,0.251946,0.225555,0.246124,0.219943,0.243403,0.214506,0.019073,0.001882,0.022179,0.009805,0.036539,0.007565,0.042473,0.002045,0.003131,0.016256,0.025877,0.002976,0.010981,carolina
0.250476,0.000971,3.084363,0.397679,0.318307,1.593461,0.001481,0.575009,-28.515861,1.989214,0.669771,0.314425,0.296464,0.329982,0.144733,0.058307,0.022716,0.027131,0.045831,0.039584,0.041885,0.011121,0.001806,0.033923,0.005865,0.057472,0.006403,0.040161,0.001520,0.003378,0.012693,0.031718,0.001921,0.022142,-0.000413,0.000000,0.001987,0.000044,0.000033,-0.000931,0.000009,0.000227,-0.001179,-0.001900,0.002423,0.003549,0.001078,-0.000544,-0.002174,-0.002534,-0.003298,-0.002384,-0.000024,-0.000184,0.000855,0.000023,-0.000010,-0.000224,0.000037,-0.000093,0.000043,0.000682,0.000003,-0.000006,-0.000115,-0.000032,-0.000011,0.000096,0.047614,0.001119,0.247021,0.033220,0.007217,0.412425,0.000769,0.171380,0.827482,0.249512,0.441030,0.256734,0.222792,0.221922,0.178094,0.187442,0.143864,0.176389,0.169577,0.156877,0.171210,0.010690,0.002018,0.023910,0.004613,0.028541,0.005501,0.022248,0.002145,0.003053,0.010050,0.017803,0.002437,0.007630,0.058492,0.001553,0.313269,0.040520,0.009704,0.494427,0.000857,0.203892,0.964273,0.312289,0.517613,0.305850,0.306617,0.283142,0.228277,0.251675,0.203493,0.260405,0.215940,0.208920,0.251084,0.015149,0.002620,0.032894,0.006459,0.033999,0.007597,0.033268,0.002972,0.003901,0.013309,0.024269,0.003297,0.009358,carolina
0.259074,0.003419,3.139319,0.406473,0.319422,1.673430,0.001464,0.618267,-26.559809,1.971162,0.729863,0.398439,0.372469,0.300821,0.115269,0.062710,-0.024326,0.003312,0.044842,0.030664,0.014135,0.013140,0.001155,0.036178,0.007270,0.052027,0.004939,0.048170,0.001359,0.003012,0.012461,0.030825,0.001351,0.023111,-0.000531,0.000025,-0.002642,-0.000303,-0.000002,-0.008250,0.000019,-0.002813,0.001097,0.002239,0.004297,0.005271,0.002164,-0.002858,-0.001709,0.001798,0.000039,0.002782,-0.000044,-0.000376,-0.001480,0.000079,-0.000026,0.000043,-0.000072,0.000230,-0.000016,0.000143,-0.000011,-0.000060,-0.000115,0.000482,0.000002,0.000124,0.042194,0.002001,0.132167,0.026527,0.004445,0.359859,0.000606,0.144909,0.612929,0.229360,0.372535,0.187587,0.185566,0.193752,0.184869,0.191573,0.172963,0.180835,0.169484,0.175347,0.179771,0.013055,0.001119,0.020304,0.006320,0.026213,0.004259,0.034797,0.002095,0.002801,0.008381,0.018303,0.001037,0.007423,0.061406,0.002897,0.203853,0.036975,0.006700,0.530189,0.000702,0.209138,0.813483,0.294443,0.458317,0.266061,0.241628,0.260520,0.248355,0.264671,0.252570,0.245037,0.246137,0.256791,0.261638,0.019281,0.001493,0.026662,0.008999,0.040691,0.006397,0.052218,0.003091,0.004175,0.012432,0.026122,0.001422,0.010271,carolina
0.253480,0.001205,3.073805,0.397507,0.318504,1.601492,0.001581,0.579673,-28.227913,1.958080,0.683741,0.410721,0.317811,0.313668,0.083368,0.039003,0.027096,0.014773,0.004797,0.026792,-0.019046,0.012280,0.001917,0.033428,0.006215,0.048552,0.005868,0.048568,0.001116,0.003409,0.014823,0.032972,0.002021,0.022127,0.000236,-0.000021,0.003632,0.001034,0.000270,0.002415,0.000017,0.002341,-0.032431,0.014672,0.016032,-0.002598,-0.000246,-0.002474,0.003145,-0.002210,0.000721,-0.002384,-0.007017,-0.005003,-0.000598,-0.000074,-0.000094,0.000635,0.000074,-0.000188,-0.000032,0.001385,-0.000057,-0.000058,0.000039,0.000359,-0.000002,0.000365,0.048762,0.001427,0.263641,0.038313,0.007177,0.429089,0.000867,0.189397,0.924106,0.264353,0.461654,0.204649,0.210847,0.176654,0.218411,0.179199,0.201121,0.164623,0.187914,0.156899,0.180563,0.009669,0.002820,0.021289,0.005804,0.027947,0.005644,0.032235,0.001162,0.003518,0.011672,0.017905,0.002027,0.007867,0.069936,0.001975,0.342688,0.044052,0.009897,0.565187,0.000997,0.242457,0.967784,0.348271,0.501205,0.252099,0.282727,0.249791,0.303554,0.247279,0.253821,0.215907,0.255315,0.227992,0.262462,0.013310,0.003416,0.029676,0.007774,0.039102,0.008229,0.043903,0.001222,0.004276,0.016486,0.024768,0.002613,0.010956,carolina
0.255399,0.001398,3.054799,0.395968,0.316848,1.620262,0.001557,0.588893,-28.363255,1.968754,0.712422,0.330518,0.296596,0.316920,0.100483,0.040996,-0.043764,-0.016986,0.005484,0.048074,0.019695,0.012891,0.002003,0.039009,0.007651,0.051880,0.006461,0.040263,0.001566,0.003254,0.013309,0.027214,0.002034,0.021135,-0.000304,-0.000043,0.007692,0.000491,0.000298,0.003792,0.000035,-0.000082,-0.009267,0.004440,0.009563,-0.008087,0.003600,-0.009605,-0.002091,0.006806,-0.005260,-0.002318,-0.008464,0.003722,0.001863,-0.000005,0.000041,0.000088,0.000125,0.000187,0.000124,0.000243,-0.000095,-0.000042,-0.000103,-0.000112,-0.000074,0.000053,0.040192,0.002633,0.371356,0.045877,0.011766,0.411058,0.001020,0.171332,1.101716,0.261555,0.511091,0.262232,0.220102,0.213193,0.217282,0.199507,0.187527,0.182561,0.179800,0.169155,0.177400,0.011678,0.002961,0.020327,0.006431,0.026464,0.006181,0.021414,0.002342,0.003363,0.010038,0.017747,0.002456,0.006066,0.055068,0.003460,0.454207,0.046931,0.014393,0.489120,0.001198,0.196561,1.087421,0.349436,0.498563,0.350479,0.298060,0.293858,0.240812,0.257641,0.240239,0.252788,0.223919,0.206990,0.260131,0.017408,0.003641,0.028519,0.008733,0.035575,0.007897,0.030104,0.002941,0.004207,0.014530,0.024461,0.002987,0.008191,carolina
0.259519,0.001438,3.100907,0.396421,0.317711,1.655794,0.001595,0.607332,-28.036069,1.904005,0.618401,0.354938,0.242984,0.265955,0.065192,0.049672,0.038495,0.038654,0.043099,0.042724,0.044823,0.010523,0.002158,0.038315,0.005596,0.039177,0.006238,0.052446,0.001178,0.003676,0.015236,0.032976,0.002615,0.022084,0.000254,-0.000003,0.000952,0.000266,-0.000026,0.004706,0.000019,0.001987,-0.004131,-0.003172,0.002662,0.000400,0.002673,-0.001386,-0.002610,-0.000263,-0.003835,0.003106,0.004233,-0.000139,0.002752,-0.000017,-0.000040,-0.000085,-0.000030,0.000255,0.000049,0.000135,0.000004,-0.000017,-0.000252,-0.000292,0.000002,0.000013,0.047530,0.002398,0.233290,0.043487,0.010659,0.420979,0.000954,0.161814,1.067028,0.263999,0.477998,0.191430,0.202912,0.195346,0.188894,0.213804,0.225186,0.202999,0.170613,0.183192,0.171503,0.008906,0.003090,0.022489,0.004420,0.022610,0.004957,0.035626,0.001390,0.003567,0.012926,0.018801,0.002873,0.008150,0.063402,0.003437,0.334763,0.054818,0.015167,0.578664,0.001089,0.217603,1.234082,0.318283,0.554513,0.231283,0.278879,0.275882,0.267969,0.285007,0.315294,0.314147,0.228843,0.239224,0.234478,0.013217,0.003993,0.029521,0.006312,0.032832,0.007252,0.046859,0.001862,0.004838,0.018506,0.025455,0.003610,0.010172,carolina
0.260785,0.002775,3.092446,0.402079,0.318160,1.679997,0.001444,0.608085,-26.798531,1.878968,0.690400,0.394773,0.265702,0.329958,0.162205,0.099106,0.004600,0.005047,0.007829,0.032479,0.015839,0.011062,0.002034,0.031854,0.007000,0.050009,0.005473,0.045175,0.001216,0.002928,0.013053,0.033587,0.001904,0.021786,-0.000309,0.000008,-0.002238,-0.000225,0.000120,-0.004072,0.000021,-0.001207,0.004754,-0.000732,-0.002073,0.001060,0.002996,0.002891,-0.002098,-0.001174,0.001645,-0.001848,0.004711,-0.005867,-0.002048,0.000087,0.000008,0.000425,-0.000112,-0.000513,-0.000029,0.000398,0.000001,0.000011,0.000083,0.000324,0.000019,0.000047,0.041102,0.001804,0.225664,0.032912,0.005439,0.372629,0.000659,0.153258,0.808242,0.314420,0.394133,0.212687,0.197994,0.206032,0.201130,0.191595,0.176378,0.152953,0.177112,0.178272,0.155475,0.013786,0.003214,0.017082,0.004915,0.024338,0.006641,0.030403,0.001546,0.003091,0.010022,0.020996,0.001845,0.007039,0.060848,0.002494,0.302194,0.040156,0.007146,0.515185,0.000758,0.207935,0.909377,0.378026,0.505918,0.290576,0.262573,0.277397,0.268186,0.266476,0.242911,0.235526,0.264621,0.242584,0.216914,0.019374,0.004383,0.022590,0.007197,0.036099,0.009454,0.041639,0.002216,0.004452,0.015071,0.029579,0.002552,0.009528,carolina
