@RELATION trained_models/ruido_blanco/filtered/spect_sub/randomforest/snr_-10/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.481679,0.008655,3.290926,0.488030,0.294788,3.244904,0.000663,0.888122,-25.542562,0.551687,0.460429,0.342391,0.272386,0.201613,0.166481,0.096351,0.049368,0.048448,0.042442,-0.011553,0.019666,0.002823,0.001338,0.006124,0.002327,0.008933,0.001856,0.007337,0.001430,0.001849,0.003116,0.004649,0.001518,0.003172,0.001152,-0.000353,0.003331,0.000077,-0.000041,0.000203,0.000007,0.000136,-0.026868,-0.003328,-0.001475,-0.000064,-0.001508,-0.002246,0.000624,-0.001547,-0.000748,0.002310,0.000040,0.001779,0.004054,-0.000025,0.000007,-0.000035,0.000010,-0.000019,-0.000000,-0.000031,0.000004,-0.000002,0.000008,-0.000044,-0.000003,-0.000012,0.018927,0.002703,0.073243,0.010252,0.003894,0.100002,0.000116,0.025976,0.376870,0.182237,0.225748,0.215795,0.198155,0.206418,0.166974,0.171204,0.164280,0.172806,0.164185,0.160929,0.161042,0.001569,0.000824,0.003917,0.001379,0.006018,0.000959,0.003570,0.000771,0.000999,0.001977,0.002493,0.001037,0.001573,0.023104,0.002619,0.092381,0.013563,0.005777,0.137173,0.000123,0.035276,0.449216,0.240256,0.351563,0.303471,0.256565,0.289852,0.233938,0.219511,0.239543,0.264600,0.236938,0.241695,0.209993,0.002068,0.001171,0.004864,0.002113,0.008058,0.001362,0.005151,0.001135,0.001490,0.002654,0.003216,0.001538,0.002050,carolina
0.484215,0.015018,3.301616,0.489002,0.295705,3.245062,0.000664,0.892541,-24.689557,0.627548,0.435494,0.295978,0.216426,0.196145,0.118530,0.058241,0.034821,0.001683,-0.002867,0.008977,0.010154,0.002896,0.001407,0.005595,0.002338,0.008109,0.002288,0.008996,0.001367,0.001739,0.003354,0.005062,0.001484,0.003377,0.000082,-0.000000,0.000021,0.000100,0.000064,0.000144,0.000007,0.000245,-0.002267,-0.003063,0.002885,-0.000721,-0.005735,-0.003040,0.001089,-0.000762,-0.001707,-0.001716,-0.002457,0.001292,0.003458,-0.000021,-0.000004,-0.000006,-0.000011,-0.000037,0.000016,0.000021,0.000006,0.000005,-0.000033,-0.000034,-0.000000,-0.000008,0.014675,0.001421,0.035600,0.009097,0.003619,0.070404,0.000082,0.020561,0.298386,0.215362,0.254440,0.198002,0.214799,0.175425,0.185771,0.172939,0.180805,0.168910,0.176533,0.179489,0.145246,0.002625,0.000876,0.002870,0.001261,0.004853,0.001530,0.006490,0.000773,0.000982,0.002217,0.003288,0.000938,0.001903,0.017957,0.001850,0.048542,0.011302,0.004663,0.093376,0.000082,0.028388,0.376212,0.291602,0.353706,0.286360,0.293961,0.228052,0.282474,0.250881,0.255859,0.230792,0.243467,0.264530,0.217389,0.003791,0.001251,0.003886,0.001653,0.006794,0.002141,0.008374,0.001093,0.001508,0.003082,0.004717,0.001311,0.002329,carolina
0.484188,0.008205,3.296577,0.486936,0.294877,3.243230,0.000664,0.886552,-25.551375,0.558092,0.388515,0.274432,0.242592,0.179838,0.140060,0.082121,0.052210,0.053266,0.048876,0.003202,0.016442,0.002641,0.001320,0.005975,0.002198,0.008053,0.002033,0.008749,0.001318,0.001852,0.003119,0.004745,0.001496,0.003269,0.000009,-0.000002,0.000037,0.000073,-0.000009,0.000188,0.000006,0.000118,-0.003131,-0.002725,0.000342,0.002660,0.002036,0.000789,0.001042,0.000612,0.000741,-0.002455,-0.002774,-0.000681,0.001382,0.000017,0.000008,0.000062,-0.000002,-0.000041,0.000008,-0.000019,-0.000016,-0.000013,0.000000,-0.000004,0.000007,-0.000001,0.017842,0.001207,0.056066,0.013008,0.004600,0.105045,0.000085,0.023865,0.430394,0.231034,0.251241,0.223975,0.204501,0.187250,0.166980,0.190734,0.173683,0.170385,0.171201,0.161615,0.164436,0.001576,0.000921,0.004400,0.001428,0.004140,0.001405,0.006125,0.000712,0.001187,0.001994,0.002849,0.000917,0.001672,0.023329,0.001604,0.094715,0.016000,0.005511,0.128292,0.000090,0.029069,0.480386,0.270354,0.302855,0.271176,0.291677,0.264851,0.246075,0.274659,0.258974,0.236957,0.240800,0.203965,0.221921,0.002404,0.001521,0.006048,0.001729,0.005995,0.001493,0.009097,0.001059,0.001489,0.002665,0.004166,0.001330,0.002433,carolina
0.482074,0.048497,3.309277,0.488130,0.294803,3.251048,0.000663,0.889265,-23.121024,0.590866,0.456237,0.349388,0.265803,0.184492,0.090587,0.081880,0.054307,0.006954,0.022060,0.054473,-0.002644,0.002913,0.001457,0.005678,0.002336,0.008031,0.001899,0.008298,0.001410,0.001657,0.003185,0.005076,0.001458,0.003278,-0.000358,0.000054,-0.000009,-0.000140,0.000011,-0.000039,0.000007,-0.000499,0.004295,0.003807,0.000055,-0.002834,0.002053,0.002098,-0.001619,-0.003755,-0.003611,-0.001494,-0.001775,0.000223,0.001441,0.000009,-0.000013,0.000012,0.000018,0.000023,0.000027,0.000019,0.000026,-0.000011,-0.000001,-0.000005,0.000002,0.000007,0.021231,0.003678,0.007202,0.009319,0.003715,0.064367,0.000085,0.020896,0.269838,0.202349,0.239586,0.219514,0.187593,0.181163,0.175592,0.193974,0.162779,0.167611,0.174324,0.168071,0.156329,0.002123,0.001005,0.002844,0.001152,0.005049,0.000894,0.005377,0.000954,0.000868,0.002777,0.004237,0.000698,0.001945,0.029584,0.004919,0.010134,0.011165,0.004889,0.086708,0.000091,0.025584,0.324200,0.256293,0.345119,0.322515,0.260811,0.257137,0.258905,0.252855,0.229286,0.236878,0.221280,0.237422,0.215313,0.002689,0.001259,0.003714,0.001599,0.007782,0.001135,0.007975,0.001380,0.001191,0.003816,0.006041,0.000986,0.002961,carolina
0.478634,0.006900,3.292821,0.485180,0.295178,3.232238,0.000669,0.885172,-25.772138,0.581145,0.406643,0.295625,0.291266,0.228919,0.154120,0.090914,0.057710,0.019686,0.031453,0.023911,0.024340,0.002975,0.001642,0.006512,0.002072,0.009544,0.002267,0.007456,0.001560,0.001772,0.002895,0.005030,0.001372,0.003410,0.000064,0.000005,-0.000033,0.000016,0.000018,-0.000099,0.000007,-0.000136,-0.001015,-0.002178,0.001645,0.003038,0.002381,-0.001397,-0.001172,-0.000534,0.000229,-0.003886,-0.002317,-0.002407,-0.001743,0.000020,-0.000001,-0.000014,0.000005,0.000018,0.000001,0.000064,-0.000029,-0.000004,-0.000007,-0.000015,0.000000,0.000016,0.018199,0.001178,0.068204,0.010539,0.004519,0.124179,0.000127,0.026707,0.323713,0.223264,0.258398,0.236361,0.193158,0.169652,0.186212,0.170763,0.153908,0.174001,0.149026,0.169444,0.149910,0.002412,0.001229,0.003402,0.001063,0.007145,0.001356,0.004705,0.000996,0.000940,0.002143,0.003035,0.000916,0.002054,0.025127,0.001702,0.096973,0.014700,0.006122,0.168096,0.000137,0.038232,0.428293,0.256360,0.358260,0.310430,0.273331,0.238944,0.250786,0.230632,0.219509,0.253383,0.203404,0.234708,0.211150,0.003337,0.001809,0.004691,0.001499,0.009273,0.001869,0.006158,0.001279,0.001351,0.002692,0.004241,0.001363,0.002633,carolina
0.483625,0.045121,3.308691,0.489382,0.294611,3.256907,0.000654,0.889102,-23.222391,0.572477,0.457700,0.321759,0.264543,0.203630,0.135200,0.080380,0.042097,0.037928,0.046403,0.034871,0.033147,0.002505,0.001220,0.005662,0.002115,0.008253,0.001966,0.008771,0.001292,0.001858,0.002774,0.005328,0.001287,0.003386,-0.000318,0.000097,-0.000044,-0.000082,-0.000025,-0.000561,0.000007,-0.000191,0.000743,0.001953,0.000563,-0.000556,0.003110,0.005787,0.005108,0.005969,-0.001236,-0.004042,-0.004336,-0.001960,-0.001959,0.000001,-0.000001,0.000016,-0.000001,0.000076,-0.000004,0.000028,-0.000007,-0.000038,-0.000028,0.000205,0.000005,0.000051,0.017161,0.003538,0.007176,0.007789,0.003550,0.052586,0.000077,0.016735,0.217364,0.171282,0.203412,0.173080,0.162012,0.167639,0.198281,0.194427,0.175713,0.185394,0.173235,0.168999,0.170624,0.001615,0.000712,0.002648,0.001107,0.005605,0.000888,0.006568,0.000696,0.001029,0.001660,0.003642,0.000634,0.002050,0.025197,0.004917,0.009568,0.010354,0.004784,0.073090,0.000087,0.023210,0.301494,0.226483,0.287742,0.238099,0.214148,0.237439,0.276884,0.279163,0.238197,0.255177,0.260757,0.236092,0.238153,0.002320,0.001052,0.003546,0.001651,0.007990,0.001269,0.009443,0.001043,0.001474,0.002468,0.005323,0.000915,0.002932,carolina
0.484614,0.008534,3.299944,0.486835,0.295255,3.244102,0.000671,0.886334,-25.465107,0.580091,0.379889,0.297926,0.262253,0.185388,0.085294,0.066021,0.056155,0.020488,0.031956,-0.006806,0.005759,0.002977,0.001667,0.006004,0.002339,0.007173,0.002311,0.008255,0.001280,0.001919,0.002971,0.004952,0.001578,0.003032,0.000386,-0.000021,0.000259,0.000266,-0.000121,0.001690,0.000007,0.000345,-0.011000,-0.001144,0.004626,0.003632,-0.000796,-0.005138,0.002267,0.001438,-0.000468,0.000065,-0.000514,0.002002,0.000601,-0.000036,0.000002,-0.000074,-0.000010,-0.000114,-0.000013,0.000043,-0.000021,-0.000002,0.000024,0.000013,-0.000042,-0.000011,0.015564,0.001115,0.047816,0.010933,0.004105,0.091447,0.000093,0.022627,0.338265,0.207206,0.251615,0.211432,0.187227,0.173140,0.197269,0.154763,0.160521,0.177428,0.161744,0.176176,0.188279,0.001680,0.001471,0.003542,0.001312,0.003807,0.001396,0.005256,0.000674,0.001160,0.001858,0.002488,0.001144,0.001425,0.021883,0.001584,0.068115,0.015499,0.005460,0.128327,0.000102,0.032190,0.435745,0.299833,0.353373,0.284807,0.239705,0.261662,0.272993,0.204334,0.222485,0.233875,0.225269,0.263925,0.276280,0.002389,0.002054,0.005092,0.001801,0.005529,0.002167,0.007899,0.000926,0.001670,0.002461,0.003431,0.001686,0.002228,carolina
0.480458,0.008010,3.282363,0.485281,0.295465,3.217120,0.000699,0.882613,-25.581592,0.583436,0.393837,0.293650,0.244519,0.192130,0.110714,0.063519,0.046059,0.015814,0.000191,0.032142,0.023176,0.002989,0.001584,0.006379,0.002218,0.007408,0.002493,0.007399,0.001565,0.002329,0.003245,0.005184,0.001644,0.003108,-0.000050,-0.000020,0.003033,0.000362,-0.000043,0.004745,0.000008,0.000690,-0.008485,0.000547,0.006658,-0.004225,-0.004415,-0.009442,0.000163,0.004570,-0.002384,-0.004074,-0.003497,0.006354,0.004273,-0.000013,-0.000003,-0.000027,-0.000006,-0.000001,0.000060,0.000168,-0.000031,-0.000029,-0.000043,-0.000173,-0.000034,0.000032,0.021551,0.002152,0.113556,0.015903,0.005252,0.186303,0.000199,0.035466,0.459683,0.239362,0.282114,0.259236,0.214799,0.183620,0.174672,0.170051,0.177015,0.187694,0.167999,0.168363,0.172653,0.002174,0.001357,0.003742,0.001469,0.004036,0.002159,0.003907,0.001072,0.002924,0.002212,0.003572,0.001331,0.001480,0.026247,0.002877,0.153391,0.018472,0.006261,0.237064,0.000216,0.046936,0.520831,0.276958,0.351433,0.320547,0.302361,0.240267,0.233600,0.207678,0.239933,0.260372,0.208592,0.229487,0.245844,0.003057,0.001810,0.004936,0.002095,0.005599,0.002865,0.005855,0.001376,0.004008,0.002955,0.004580,0.001766,0.002130,carolina
0.481338,0.013470,3.293880,0.485432,0.296064,3.225363,0.000690,0.887677,-24.829966,0.568183,0.368030,0.281094,0.208882,0.148261,0.110531,0.087361,0.052395,0.038618,0.021091,0.012207,0.022971,0.003080,0.001696,0.006659,0.002097,0.006488,0.002165,0.008882,0.001263,0.002133,0.002841,0.006215,0.001572,0.003294,0.000250,-0.000009,0.000037,0.000134,-0.000041,0.000594,0.000007,-0.000073,-0.001798,0.000495,-0.000414,-0.001707,-0.003004,-0.000323,-0.001547,0.002987,0.002548,0.002425,-0.001259,0.003157,-0.002089,-0.000007,0.000007,0.000002,0.000007,0.000071,-0.000005,0.000001,0.000009,-0.000027,-0.000106,-0.000068,0.000031,-0.000007,0.020895,0.002463,0.067662,0.014255,0.005238,0.151373,0.000150,0.029586,0.428677,0.206009,0.243795,0.187290,0.189093,0.185071,0.200480,0.188374,0.185614,0.184176,0.171282,0.179466,0.180097,0.002147,0.001526,0.004129,0.001286,0.003821,0.001098,0.005251,0.000676,0.001538,0.001784,0.005016,0.001008,0.001795,0.029876,0.003474,0.097523,0.020604,0.006900,0.216675,0.000160,0.043354,0.593471,0.275523,0.330538,0.265121,0.277050,0.250710,0.269135,0.256683,0.248438,0.277408,0.227935,0.253615,0.250196,0.003122,0.002155,0.006391,0.001860,0.005307,0.001518,0.007668,0.001021,0.002103,0.002520,0.007019,0.001442,0.002686,carolina
0.480926,0.044720,3.305749,0.487593,0.294898,3.248454,0.000658,0.886652,-23.212893,0.543450,0.401463,0.334084,0.267199,0.191220,0.141783,0.091241,0.048269,0.036200,0.012918,0.019838,0.031536,0.002767,0.001474,0.006129,0.002249,0.007851,0.002004,0.007849,0.001315,0.001798,0.002876,0.005549,0.001384,0.003266,-0.000150,0.000026,0.000078,-0.000018,0.000123,-0.000524,0.000007,0.000245,0.005493,0.001472,0.000391,0.002981,0.002648,-0.000076,-0.002255,-0.002129,-0.000167,-0.002907,0.000543,0.000138,0.000262,0.000021,-0.000000,-0.000003,0.000019,0.000014,-0.000015,0.000024,-0.000002,0.000025,0.000010,0.000017,0.000014,0.000003,0.017123,0.003601,0.015708,0.009156,0.003761,0.062996,0.000079,0.021218,0.277710,0.210441,0.234125,0.187894,0.176318,0.189844,0.165913,0.191513,0.171255,0.161784,0.166523,0.186286,0.168238,0.002701,0.000878,0.003588,0.001366,0.004171,0.000878,0.005010,0.001160,0.000852,0.001836,0.003652,0.000809,0.001561,0.024518,0.004807,0.021040,0.012162,0.004960,0.085473,0.000088,0.026892,0.323326,0.278410,0.334187,0.259807,0.248053,0.270803,0.230040,0.248927,0.239464,0.219699,0.225009,0.263443,0.238767,0.003776,0.001309,0.004944,0.002018,0.006245,0.001292,0.006581,0.001704,0.001089,0.002664,0.005164,0.001145,0.002058,carolina
