@RELATION trained_models/ruido_blanco/filtered/spect_sub/randomforest/snr_10/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.161520,0.000915,3.036890,0.350953,0.322475,0.881727,0.002413,0.214601,-28.999714,2.392569,0.767474,0.333652,0.309103,0.337136,0.133689,0.096529,-0.024355,0.000866,0.027848,0.029892,0.008717,0.013913,0.001137,0.043716,0.008198,0.068062,0.006642,0.056803,0.001225,0.002876,0.018429,0.036737,0.001818,0.028293,0.000395,-0.000026,0.005240,-0.000143,-0.000061,0.002706,0.000024,0.001815,-0.014139,-0.006455,-0.004511,0.001132,-0.004921,-0.001422,0.001938,0.001515,-0.002140,0.001923,0.000586,-0.004303,-0.001521,-0.000002,0.000030,-0.000187,0.000098,0.000011,-0.000003,-0.000153,0.000017,-0.000008,0.000103,-0.000232,0.000017,-0.000056,0.034430,0.001212,0.195975,0.027398,0.008732,0.242508,0.001167,0.157310,0.652029,0.240125,0.299898,0.212104,0.191028,0.193915,0.165024,0.171605,0.171960,0.170026,0.169173,0.166723,0.175008,0.011943,0.001082,0.023717,0.007800,0.029797,0.006448,0.036228,0.001324,0.002692,0.016366,0.024002,0.001407,0.007436,0.050552,0.001673,0.256341,0.034711,0.012161,0.325522,0.001373,0.208610,0.777954,0.307630,0.391141,0.301455,0.254152,0.286941,0.242301,0.209777,0.245452,0.230100,0.250351,0.237426,0.256062,0.015485,0.001395,0.033536,0.011231,0.045489,0.009512,0.051090,0.001782,0.003876,0.023238,0.032076,0.002027,0.010857,carolina
0.160018,0.001020,3.003355,0.340933,0.320698,0.856207,0.002471,0.197223,-28.487586,2.344231,0.584689,0.406780,0.238292,0.319956,0.097951,0.086692,0.001895,0.004807,0.009284,0.040433,0.004609,0.012909,0.001525,0.036078,0.008089,0.062064,0.007059,0.059324,0.001961,0.002875,0.020101,0.038814,0.002382,0.026980,0.000617,-0.000003,0.001146,0.000430,0.000111,0.003757,0.000019,0.003811,-0.005988,0.003293,0.000511,-0.004512,-0.001146,-0.001331,0.001137,0.001877,-0.000901,-0.007719,-0.001171,0.000315,0.004403,-0.000005,0.000007,0.000091,0.000211,-0.000283,0.000085,-0.000253,0.000003,0.000019,-0.000252,0.000104,0.000011,-0.000077,0.033955,0.001095,0.295432,0.039752,0.012681,0.255778,0.001237,0.148182,0.977280,0.318500,0.464784,0.190744,0.229567,0.283157,0.207008,0.189359,0.172492,0.194161,0.154457,0.178977,0.169089,0.012154,0.001749,0.021200,0.005925,0.028519,0.007043,0.035942,0.003982,0.002644,0.015679,0.026715,0.002823,0.007771,0.047362,0.001443,0.387143,0.043381,0.014651,0.341128,0.001490,0.216366,1.000548,0.401347,0.539925,0.255828,0.279475,0.313942,0.293491,0.224325,0.238010,0.256084,0.240447,0.261038,0.202727,0.017874,0.002116,0.030535,0.008562,0.038586,0.010005,0.049059,0.005276,0.003856,0.023386,0.037194,0.003711,0.010444,carolina
0.155930,0.001020,2.971247,0.338173,0.318259,0.853039,0.002374,0.186833,-28.777662,2.290643,0.652620,0.350416,0.299972,0.290093,0.070569,0.088390,0.010963,0.038332,0.048504,0.010858,0.007637,0.013277,0.001668,0.039681,0.007612,0.066771,0.006473,0.061421,0.001160,0.003318,0.017986,0.034729,0.002529,0.028432,-0.000077,0.000000,-0.000021,-0.000026,0.000001,0.000248,0.000028,0.000082,0.002062,-0.000534,-0.001836,0.000995,0.001782,-0.000373,0.001908,0.001764,0.002211,-0.000607,-0.004138,-0.002599,-0.001922,-0.000044,0.000009,0.000366,0.000109,-0.000393,-0.000037,-0.000135,-0.000007,-0.000044,0.000161,0.000051,0.000021,-0.000037,0.035374,0.001766,0.307426,0.042795,0.018755,0.222880,0.001208,0.130333,1.221846,0.363969,0.407504,0.243966,0.220408,0.210727,0.212644,0.160795,0.182359,0.162906,0.173004,0.144016,0.154795,0.011535,0.002225,0.025756,0.007103,0.029487,0.005217,0.038901,0.001435,0.003623,0.015423,0.023786,0.003443,0.008409,0.044666,0.002025,0.423157,0.039889,0.018783,0.286637,0.001508,0.175306,1.073710,0.416393,0.410327,0.288748,0.287668,0.277149,0.286875,0.203475,0.244809,0.228871,0.239586,0.195257,0.197804,0.016758,0.002541,0.034175,0.010392,0.037843,0.007106,0.050006,0.001730,0.004391,0.022045,0.034776,0.004180,0.010057,carolina
0.155998,0.003376,3.049373,0.344793,0.321822,0.865481,0.002489,0.197505,-26.745339,2.372955,0.642102,0.375273,0.334096,0.320326,0.103982,0.082290,0.011429,0.005068,-0.008209,-0.005948,0.014506,0.015837,0.001663,0.040817,0.009878,0.066564,0.006558,0.054938,0.001049,0.002880,0.018761,0.033293,0.002142,0.026911,-0.000259,0.000030,-0.003469,-0.000272,0.000039,-0.005474,0.000035,-0.003058,-0.002440,-0.000029,0.003006,0.000536,0.002042,0.001521,-0.000579,0.003046,0.001356,-0.001386,-0.004968,-0.000581,0.004846,-0.000033,-0.000023,0.000475,-0.000011,-0.000320,-0.000003,0.000158,-0.000001,-0.000015,-0.000179,0.000705,0.000012,0.000149,0.033280,0.002278,0.164024,0.033988,0.010086,0.235977,0.001416,0.145637,0.838591,0.311221,0.417412,0.216716,0.250818,0.192147,0.215789,0.178173,0.175855,0.165497,0.158674,0.163093,0.160310,0.016252,0.001796,0.021636,0.009945,0.030794,0.006556,0.035760,0.001533,0.002563,0.014375,0.021841,0.002169,0.008507,0.049878,0.003016,0.244783,0.040132,0.013004,0.337967,0.001642,0.219545,0.940443,0.372155,0.531515,0.297119,0.336166,0.262914,0.304019,0.240249,0.251500,0.222913,0.222927,0.230529,0.204484,0.023173,0.002056,0.028982,0.014668,0.042798,0.009853,0.049124,0.002057,0.003351,0.020537,0.031451,0.002970,0.011962,carolina
0.156062,0.000885,3.000946,0.337398,0.319450,0.832741,0.002395,0.188702,-28.890275,2.365723,0.588959,0.325523,0.299690,0.335276,0.133947,0.066724,0.001722,0.021870,0.049968,0.040275,0.027604,0.013695,0.001738,0.041264,0.007132,0.069983,0.007322,0.048921,0.001334,0.003705,0.015212,0.039027,0.001843,0.027195,-0.000622,0.000000,0.003250,-0.000045,0.000044,-0.001085,0.000015,-0.000672,0.001030,-0.001990,0.001228,0.002876,0.001066,-0.000907,-0.001216,-0.001988,-0.004085,-0.001397,0.001375,-0.000609,-0.000290,0.000010,-0.000009,-0.000299,0.000043,-0.000128,0.000054,0.000803,0.000022,-0.000001,-0.000140,-0.000052,-0.000008,0.000100,0.035217,0.001177,0.269288,0.036992,0.012712,0.260651,0.001236,0.143773,0.955659,0.320698,0.455823,0.268523,0.213468,0.229721,0.201591,0.179812,0.169001,0.165128,0.169524,0.151446,0.162009,0.013777,0.002128,0.028914,0.005685,0.032895,0.006363,0.027826,0.002081,0.003556,0.011899,0.021743,0.002222,0.008346,0.043497,0.001622,0.342007,0.043572,0.016558,0.313478,0.001422,0.184084,1.091335,0.378839,0.500462,0.318206,0.287152,0.301007,0.260668,0.248970,0.211906,0.242192,0.223271,0.212336,0.233816,0.019196,0.002662,0.039997,0.007562,0.039740,0.008783,0.041533,0.002905,0.004560,0.015622,0.028790,0.003071,0.010514,carolina
0.159347,0.002561,3.059092,0.346759,0.322210,0.877116,0.002504,0.204211,-27.163756,2.356128,0.667909,0.377013,0.364239,0.337051,0.106533,0.044986,-0.034763,0.032185,0.041372,0.012231,0.003865,0.016033,0.001070,0.044391,0.008896,0.064193,0.006118,0.058393,0.001321,0.003209,0.015395,0.038236,0.001461,0.028426,-0.000535,0.000023,-0.003624,-0.000433,-0.000044,-0.006086,0.000034,-0.004229,0.003136,0.003306,0.003550,0.003982,0.001392,-0.002990,-0.000173,0.002963,0.000938,0.003191,-0.001654,-0.004098,-0.001263,0.000198,-0.000014,-0.000000,-0.000040,0.000143,-0.000080,0.000021,-0.000012,-0.000144,-0.000139,0.000453,-0.000001,0.000093,0.033734,0.001881,0.151469,0.031075,0.008680,0.236578,0.001050,0.148448,0.744264,0.297297,0.363446,0.200501,0.190426,0.196110,0.187220,0.199762,0.170101,0.166309,0.174282,0.202414,0.179719,0.015809,0.001054,0.024367,0.008122,0.031627,0.006378,0.040666,0.002031,0.003033,0.010529,0.022084,0.001294,0.008156,0.049004,0.002727,0.233063,0.043017,0.012030,0.353186,0.001240,0.221589,0.955646,0.334757,0.442512,0.281488,0.241978,0.260394,0.260084,0.282503,0.234534,0.227045,0.240302,0.291759,0.270624,0.023132,0.001435,0.032021,0.011884,0.049600,0.009272,0.060973,0.002805,0.004369,0.015647,0.031489,0.001878,0.011178,carolina
0.152709,0.001110,2.985192,0.336572,0.318948,0.844117,0.002662,0.193394,-28.615752,2.337550,0.629449,0.370752,0.310454,0.342608,0.054997,0.059438,0.028303,0.022501,0.007706,0.027005,-0.025431,0.014636,0.002105,0.040905,0.007235,0.058803,0.007037,0.058836,0.000981,0.003669,0.017837,0.040384,0.002319,0.027054,0.000009,-0.000024,0.003704,0.000934,0.000591,-0.001339,0.000026,-0.000699,-0.034386,0.019277,0.012402,-0.002596,0.000110,-0.002596,0.004413,-0.003530,0.002382,-0.000966,-0.007605,-0.007854,-0.002260,-0.000055,-0.000118,0.000740,0.000102,-0.000164,-0.000041,0.001509,-0.000054,-0.000070,0.000053,0.000395,-0.000006,0.000403,0.038805,0.001521,0.290334,0.042998,0.014477,0.268304,0.001508,0.155555,1.098837,0.365054,0.450175,0.210983,0.221909,0.204761,0.220052,0.196931,0.202227,0.180292,0.212116,0.167140,0.176079,0.011861,0.003442,0.026789,0.007411,0.032561,0.006884,0.037851,0.001182,0.003799,0.014248,0.021901,0.002582,0.008717,0.055155,0.002082,0.387798,0.047721,0.016842,0.366500,0.001797,0.223412,1.101259,0.409291,0.443979,0.272344,0.290200,0.295068,0.304676,0.274086,0.256142,0.245544,0.272695,0.251897,0.253146,0.016248,0.004337,0.036762,0.010088,0.044651,0.010153,0.052089,0.001257,0.004531,0.020621,0.030120,0.003530,0.011686,carolina
0.157473,0.001289,2.975913,0.337096,0.317398,0.859806,0.002431,0.209428,-28.793899,2.357504,0.642621,0.308808,0.302906,0.333722,0.076851,0.041116,-0.035457,0.002796,-0.003383,0.038980,0.028351,0.015289,0.002042,0.048429,0.008923,0.063426,0.007751,0.049559,0.001470,0.003552,0.016426,0.033581,0.002257,0.026088,-0.000467,-0.000040,0.007792,0.000323,0.000297,0.003078,0.000051,-0.000227,-0.007005,0.003552,0.009995,-0.008395,0.004734,-0.010956,-0.001513,0.006826,-0.005767,-0.002942,-0.006692,0.002549,0.001871,-0.000011,0.000033,0.000103,0.000132,0.000201,0.000102,0.000213,-0.000091,-0.000049,-0.000126,-0.000098,-0.000053,0.000041,0.028446,0.002692,0.382408,0.047092,0.020967,0.245131,0.001441,0.133443,1.252447,0.356244,0.506673,0.258881,0.236395,0.223989,0.215201,0.204968,0.186304,0.184398,0.183649,0.155110,0.176674,0.013200,0.003051,0.026319,0.007743,0.031481,0.007912,0.026943,0.002585,0.003557,0.012611,0.020791,0.003053,0.007151,0.039889,0.003532,0.476800,0.047550,0.022801,0.306220,0.001786,0.184454,1.223014,0.405765,0.477646,0.348677,0.318396,0.289090,0.237666,0.256446,0.238752,0.267646,0.252685,0.194693,0.263865,0.019754,0.003633,0.036378,0.010660,0.041368,0.010490,0.037364,0.003244,0.004517,0.018193,0.027657,0.003989,0.009233,carolina
0.160808,0.001153,3.018235,0.336065,0.318212,0.875461,0.002548,0.209465,-28.605700,2.277235,0.541614,0.339858,0.232086,0.287100,0.062571,0.071718,0.015031,0.040380,0.025516,0.052179,0.045911,0.012617,0.002292,0.046593,0.007039,0.049036,0.008012,0.064340,0.001109,0.003904,0.018527,0.040207,0.002684,0.027134,0.000154,-0.000002,0.001233,0.000257,0.000038,0.002596,0.000031,0.000635,-0.003221,-0.002112,0.001476,-0.000151,0.002610,-0.000382,-0.003000,-0.000629,-0.004300,0.004103,0.004232,-0.001104,0.002559,-0.000022,-0.000043,-0.000049,-0.000036,0.000244,0.000075,0.000262,0.000002,-0.000018,-0.000246,-0.000317,-0.000010,0.000043,0.035500,0.002192,0.249105,0.045983,0.019111,0.257750,0.001280,0.153315,1.242448,0.377787,0.457435,0.218726,0.207913,0.196868,0.209992,0.210606,0.234378,0.203589,0.167505,0.170755,0.174896,0.009855,0.003161,0.026707,0.006496,0.027531,0.007198,0.042686,0.001252,0.003752,0.015460,0.022982,0.002949,0.009378,0.047079,0.003138,0.364867,0.054725,0.024664,0.365587,0.001555,0.214692,1.383127,0.383082,0.544022,0.254288,0.289509,0.263352,0.292284,0.279793,0.326983,0.300586,0.220529,0.227173,0.240405,0.014755,0.004119,0.034574,0.009128,0.040068,0.010594,0.054577,0.001547,0.005134,0.022469,0.030868,0.003707,0.011333,carolina
0.160476,0.002166,2.997530,0.342682,0.319800,0.896364,0.002436,0.212024,-27.365494,2.242009,0.651167,0.374837,0.263620,0.380551,0.142185,0.091109,-0.018417,0.008882,0.013843,0.024502,0.015149,0.013642,0.001828,0.039631,0.008755,0.061802,0.006353,0.057084,0.001240,0.003179,0.015452,0.041548,0.002009,0.027345,-0.000054,0.000005,-0.003232,-0.000212,0.000066,-0.001809,0.000036,-0.000617,0.003830,-0.000609,-0.001698,0.001048,0.003036,0.001846,-0.001242,-0.000398,0.000917,-0.003053,0.004132,-0.002885,-0.001908,0.000090,0.000006,0.000350,-0.000144,-0.000588,-0.000023,0.000259,0.000005,0.000010,0.000120,0.000402,0.000013,0.000009,0.031209,0.001717,0.267316,0.036878,0.011874,0.250285,0.001183,0.148992,0.973621,0.403727,0.407835,0.231951,0.190452,0.216267,0.188290,0.208771,0.186728,0.161392,0.175534,0.158069,0.160702,0.017620,0.003053,0.021437,0.006565,0.029879,0.007869,0.037627,0.001696,0.003717,0.011968,0.025966,0.002161,0.008149,0.046475,0.002380,0.358707,0.044148,0.015120,0.350718,0.001428,0.204794,1.068131,0.458854,0.511095,0.310643,0.267701,0.287433,0.261501,0.273065,0.255991,0.233823,0.236643,0.217566,0.219145,0.024792,0.004243,0.028959,0.009421,0.043927,0.011114,0.051204,0.002414,0.005325,0.018076,0.036420,0.003028,0.010696,carolina
