@RELATION trained_models/ruido_blanco/filtered/spect_sub/svm/snr_0/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.368988,0.001433,3.211380,0.448130,0.309547,2.532076,0.000970,0.798966,-27.851247,1.491439,0.787281,0.389391,0.297270,0.259383,0.166324,0.076735,0.023661,0.009656,0.028824,0.022368,0.020774,0.008039,0.001353,0.023078,0.004961,0.036412,0.003526,0.029329,0.001420,0.002364,0.010141,0.019255,0.001777,0.014566,0.001202,-0.000050,0.003807,0.000046,-0.000016,0.002475,0.000009,0.000499,-0.021843,-0.001985,-0.002721,-0.001593,-0.002866,-0.001386,0.001228,-0.000878,-0.000933,0.002110,-0.000620,-0.001644,0.000394,-0.000024,0.000013,-0.000114,0.000038,-0.000036,0.000000,-0.000060,0.000012,-0.000004,0.000053,-0.000140,0.000002,-0.000034,0.044465,0.001185,0.147690,0.020740,0.004913,0.382531,0.000422,0.080496,0.537638,0.189586,0.288311,0.230958,0.197491,0.195503,0.177639,0.149692,0.177072,0.167225,0.172829,0.157416,0.177516,0.006865,0.001137,0.013506,0.004202,0.020436,0.002631,0.018341,0.001278,0.001590,0.008890,0.012792,0.001264,0.005716,0.055999,0.001520,0.190675,0.026475,0.006995,0.488196,0.000449,0.108954,0.644935,0.250604,0.389931,0.330992,0.266663,0.269671,0.254709,0.193133,0.226105,0.229538,0.266737,0.232128,0.247572,0.008026,0.001592,0.017953,0.006348,0.030254,0.003595,0.026059,0.001738,0.002320,0.012663,0.016278,0.001833,0.007699,carolina
0.373920,0.001916,3.199153,0.446171,0.310963,2.518228,0.000959,0.803276,-27.227588,1.522348,0.678798,0.382584,0.273307,0.262967,0.125834,0.069692,0.017546,-0.032163,-0.003437,0.018941,0.007641,0.007692,0.001538,0.019143,0.005113,0.031951,0.004731,0.032602,0.001837,0.002371,0.011467,0.020041,0.001910,0.013935,0.000848,-0.000005,0.000721,0.000294,0.000035,0.004476,0.000007,0.000853,-0.004357,-0.002208,0.002722,-0.000770,-0.001738,-0.000259,-0.000476,0.000043,-0.002293,-0.005458,-0.002593,0.001441,0.002995,-0.000009,-0.000003,-0.000009,0.000065,-0.000192,0.000030,-0.000249,0.000001,0.000005,-0.000154,-0.000028,0.000010,-0.000070,0.035488,0.001084,0.192357,0.024421,0.004195,0.364443,0.000389,0.083735,0.620569,0.234627,0.396350,0.199736,0.210761,0.233174,0.193581,0.168991,0.175280,0.174651,0.168277,0.165605,0.153210,0.007206,0.001382,0.010848,0.003235,0.014426,0.004218,0.020424,0.002663,0.002230,0.009249,0.013377,0.001956,0.004666,0.049277,0.001449,0.253157,0.028297,0.005579,0.457938,0.000435,0.107686,0.691268,0.310584,0.506783,0.266595,0.268381,0.282508,0.287924,0.220505,0.258308,0.248337,0.232109,0.244712,0.198180,0.010671,0.001757,0.015705,0.004496,0.019968,0.006203,0.029909,0.003416,0.003185,0.013425,0.019866,0.002742,0.006872,carolina
0.365168,0.001615,3.173831,0.441254,0.309919,2.455875,0.000990,0.778294,-27.644881,1.486527,0.696486,0.390904,0.290159,0.217678,0.126173,0.075367,0.050720,0.041788,0.035343,-0.000828,0.008894,0.007650,0.001697,0.022935,0.004631,0.035834,0.003996,0.033174,0.001280,0.002635,0.010551,0.019390,0.002157,0.015441,0.000163,-0.000000,0.000147,0.000057,-0.000009,0.001082,0.000008,-0.000163,-0.001746,-0.000791,0.000960,-0.000473,0.001319,0.000666,0.001523,0.003854,0.003717,-0.003607,-0.004569,-0.000327,-0.002155,-0.000010,0.000016,0.000204,0.000035,-0.000178,-0.000018,-0.000087,-0.000015,-0.000035,0.000056,-0.000001,0.000016,-0.000015,0.047454,0.001580,0.245385,0.033843,0.005708,0.440516,0.000449,0.117722,0.860112,0.200256,0.406109,0.257654,0.219512,0.203301,0.185966,0.166731,0.176079,0.159203,0.157861,0.143462,0.167775,0.006489,0.001882,0.015097,0.003884,0.017613,0.003072,0.022126,0.001088,0.002822,0.010123,0.014987,0.002792,0.005871,0.059014,0.001838,0.323025,0.033601,0.007166,0.489640,0.000531,0.124902,0.790320,0.268229,0.412735,0.257251,0.306239,0.254304,0.244867,0.225978,0.247539,0.235047,0.228291,0.208877,0.225590,0.009779,0.002239,0.020436,0.005364,0.024261,0.004035,0.029160,0.001448,0.003030,0.014178,0.022148,0.003353,0.007946,carolina
0.374560,0.008393,3.237409,0.447876,0.310133,2.562110,0.000900,0.807232,-25.150158,1.475798,0.689793,0.422766,0.330773,0.286968,0.147808,0.087755,0.034240,-0.019930,-0.007729,0.028743,0.011513,0.008346,0.001523,0.021264,0.004956,0.034649,0.003711,0.030025,0.001301,0.002247,0.009836,0.018086,0.001955,0.013858,-0.000730,0.000022,-0.000771,-0.000120,0.000008,-0.003003,0.000009,-0.000581,-0.000781,-0.000315,0.001447,-0.000326,0.002977,0.002205,0.000744,-0.000912,-0.001509,-0.000518,-0.004162,-0.000450,0.004787,-0.000007,-0.000037,0.000222,0.000021,-0.000033,0.000003,0.000115,0.000018,-0.000016,-0.000079,0.000305,0.000004,0.000073,0.041638,0.002360,0.078892,0.019148,0.004341,0.329718,0.000273,0.061798,0.500766,0.189593,0.331588,0.209967,0.193844,0.191045,0.205979,0.183802,0.168733,0.172780,0.169364,0.176625,0.156864,0.008329,0.001382,0.010813,0.003311,0.017583,0.002497,0.021734,0.000984,0.001720,0.007338,0.011552,0.001979,0.005651,0.060880,0.003167,0.118157,0.023434,0.005542,0.452885,0.000276,0.079746,0.588931,0.259157,0.452415,0.314695,0.271977,0.275153,0.299471,0.245330,0.232161,0.251807,0.213912,0.250262,0.230635,0.011344,0.001712,0.014361,0.004868,0.025960,0.003753,0.031268,0.001487,0.002334,0.010566,0.016304,0.002746,0.008613,carolina
0.365231,0.001272,3.190521,0.442230,0.310015,2.479301,0.000978,0.783911,-27.924510,1.497672,0.631426,0.340462,0.319059,0.306132,0.173916,0.077427,0.031493,0.018987,0.049412,0.040561,0.037414,0.007357,0.001829,0.021691,0.004308,0.038261,0.004447,0.027072,0.001554,0.002612,0.008864,0.020447,0.001620,0.014361,0.000018,0.000000,0.000597,0.000038,0.000008,0.000189,0.000007,0.000163,-0.001334,-0.004191,0.002966,0.004196,0.001682,-0.000520,-0.002291,-0.001748,-0.003179,-0.003675,-0.000558,-0.001020,-0.000317,0.000031,-0.000009,-0.000127,0.000028,-0.000062,0.000023,0.000363,-0.000013,-0.000008,-0.000080,-0.000027,-0.000002,0.000055,0.046881,0.001031,0.189686,0.024273,0.005487,0.411575,0.000438,0.092692,0.622590,0.212955,0.384370,0.280702,0.214312,0.200803,0.170985,0.175115,0.138461,0.179898,0.153343,0.159063,0.161676,0.006471,0.001840,0.013245,0.003289,0.022454,0.003107,0.015628,0.001648,0.002081,0.007334,0.011713,0.001411,0.006006,0.061000,0.001448,0.247350,0.031484,0.006946,0.503915,0.000485,0.123020,0.764413,0.262999,0.476080,0.349524,0.288136,0.266678,0.227500,0.254184,0.204359,0.267587,0.221539,0.227099,0.247511,0.009482,0.002492,0.019192,0.004547,0.026500,0.004369,0.022099,0.002324,0.002755,0.009959,0.016474,0.002065,0.007325,carolina
0.371270,0.005945,3.230490,0.448729,0.310217,2.545275,0.000940,0.802641,-25.682620,1.493635,0.718029,0.439467,0.362481,0.267940,0.119577,0.037680,-0.021170,0.028717,0.062171,0.027044,0.003512,0.008644,0.001217,0.023358,0.004915,0.033691,0.003782,0.032444,0.001551,0.002695,0.008300,0.020150,0.001397,0.014927,-0.000735,0.000036,-0.001583,-0.000297,0.000037,-0.007668,0.000011,-0.001044,0.004685,0.004037,0.000376,0.000216,-0.000365,0.000674,0.001515,0.003647,-0.000728,0.002188,0.001599,-0.001544,-0.003591,0.000014,0.000000,0.000088,-0.000020,0.000241,-0.000010,0.000268,-0.000010,-0.000041,-0.000079,0.000428,0.000004,0.000130,0.042138,0.002126,0.094787,0.018801,0.004371,0.333410,0.000294,0.067405,0.467718,0.184686,0.313087,0.179393,0.155661,0.183723,0.178430,0.206803,0.180057,0.187890,0.160439,0.167319,0.181679,0.008516,0.001040,0.013774,0.003725,0.017450,0.002958,0.024969,0.001940,0.002189,0.005534,0.012961,0.001106,0.006034,0.061025,0.003092,0.141778,0.026362,0.006336,0.489386,0.000340,0.096451,0.632179,0.271637,0.401387,0.249544,0.211218,0.253615,0.247879,0.299794,0.256289,0.260720,0.250108,0.244216,0.255225,0.012618,0.001466,0.018385,0.005270,0.026626,0.004403,0.037221,0.002676,0.003246,0.008284,0.018313,0.001525,0.008370,carolina
0.367822,0.001548,3.190530,0.441856,0.310723,2.476223,0.001003,0.784719,-27.633855,1.493704,0.668379,0.416587,0.328661,0.273677,0.071157,0.019934,0.043792,0.021610,0.024668,0.001510,-0.002904,0.008539,0.001896,0.022059,0.004390,0.031520,0.004811,0.032369,0.001196,0.003262,0.009745,0.021424,0.001837,0.014184,0.000240,-0.000015,0.002854,0.000769,-0.000015,0.005736,0.000011,0.001878,-0.025172,0.009349,0.017233,-0.000451,-0.001918,-0.005729,0.001100,-0.000927,-0.000327,-0.001375,-0.004018,-0.001191,-0.000182,-0.000062,-0.000047,0.000341,0.000024,-0.000243,-0.000025,0.001018,-0.000060,-0.000012,0.000033,0.000257,-0.000011,0.000249,0.045300,0.001234,0.194083,0.027787,0.005142,0.420969,0.000452,0.096066,0.703503,0.196694,0.419855,0.235309,0.216572,0.177308,0.210638,0.183691,0.191047,0.193653,0.182163,0.174640,0.178564,0.006773,0.002190,0.013641,0.003115,0.019355,0.004228,0.022675,0.000987,0.003171,0.007420,0.012046,0.001688,0.006165,0.064813,0.001725,0.250813,0.033798,0.007218,0.540271,0.000497,0.128315,0.767803,0.286884,0.473218,0.276722,0.273556,0.257655,0.287162,0.239881,0.241144,0.245528,0.253980,0.253565,0.260154,0.009552,0.002631,0.019444,0.004286,0.027188,0.006031,0.030971,0.001130,0.003959,0.010244,0.016826,0.002209,0.008833,carolina
0.366034,0.001646,3.155309,0.438739,0.309881,2.462125,0.001080,0.771089,-27.775067,1.500861,0.689267,0.363713,0.277560,0.262657,0.109474,0.038834,-0.014032,-0.017329,-0.007898,0.052223,0.031902,0.009027,0.002060,0.024624,0.005380,0.033539,0.005131,0.026810,0.001627,0.003137,0.009170,0.017937,0.001938,0.013545,-0.000154,-0.000032,0.008105,0.000525,0.000151,0.005705,0.000021,0.002160,-0.008435,0.003811,0.008008,-0.006632,0.000297,-0.009098,0.000162,0.007086,-0.004823,-0.003084,-0.008502,0.003003,0.003279,0.000000,0.000081,0.000052,0.000081,0.000153,0.000160,0.000300,-0.000081,-0.000055,-0.000108,-0.000182,-0.000101,0.000061,0.043383,0.002279,0.323351,0.037540,0.005529,0.460441,0.000681,0.132661,0.901292,0.203059,0.474550,0.271848,0.219211,0.213842,0.199544,0.185474,0.179314,0.191431,0.166926,0.170621,0.194287,0.008866,0.002747,0.012233,0.004177,0.018435,0.005112,0.014323,0.001888,0.003575,0.006461,0.011875,0.002180,0.004497,0.056408,0.003008,0.392631,0.039251,0.007593,0.508623,0.000762,0.140099,0.911449,0.271559,0.505018,0.357979,0.297642,0.299621,0.244253,0.237509,0.244934,0.252867,0.203961,0.210668,0.274934,0.013047,0.003625,0.017257,0.005607,0.025743,0.006275,0.021182,0.002370,0.004322,0.009184,0.016712,0.002402,0.006772,carolina
0.370626,0.002146,3.195896,0.440519,0.310259,2.514320,0.001072,0.790962,-27.243687,1.460649,0.609938,0.373855,0.245707,0.214998,0.094630,0.064603,0.037814,0.026664,0.047985,0.034667,0.021458,0.007761,0.001993,0.024687,0.004084,0.025115,0.004376,0.033085,0.001337,0.003121,0.010193,0.022023,0.002238,0.013882,0.000349,-0.000003,0.000540,0.000161,-0.000040,0.003422,0.000011,0.000481,-0.002713,-0.001512,0.000922,0.001137,0.000350,-0.002767,-0.001249,0.000679,-0.000823,0.000548,0.001704,0.001901,0.001246,-0.000021,-0.000008,-0.000058,0.000010,0.000159,0.000014,-0.000004,0.000009,-0.000020,-0.000208,-0.000242,0.000010,-0.000018,0.046335,0.002566,0.196951,0.034701,0.006067,0.450362,0.000671,0.119685,0.853979,0.198824,0.447506,0.193260,0.202112,0.195037,0.174616,0.203539,0.198035,0.195599,0.171489,0.175491,0.176403,0.006838,0.002362,0.014458,0.002702,0.015222,0.002810,0.021955,0.001389,0.003164,0.008366,0.012914,0.002272,0.005466,0.063235,0.003669,0.279070,0.046399,0.008170,0.615074,0.000734,0.168886,1.059463,0.266603,0.545648,0.235304,0.281529,0.268425,0.250245,0.281295,0.281514,0.297794,0.230031,0.242437,0.252517,0.009901,0.003130,0.020233,0.003958,0.021948,0.004160,0.029292,0.001900,0.004333,0.011726,0.017417,0.002879,0.007139,carolina
0.372564,0.004972,3.205732,0.445386,0.310048,2.533411,0.000958,0.798848,-25.900208,1.432566,0.683666,0.414554,0.262543,0.285672,0.179800,0.081348,0.006574,0.016860,0.016785,0.022975,0.033956,0.007386,0.001923,0.021045,0.004732,0.032162,0.004272,0.030536,0.001342,0.002629,0.009315,0.021638,0.001753,0.014144,-0.000871,0.000019,-0.001160,-0.000229,0.000176,-0.006671,0.000014,-0.000372,0.007750,0.002720,-0.001394,-0.001052,-0.000045,0.001734,-0.000976,-0.002764,0.003270,-0.002666,0.001027,-0.002101,-0.001534,0.000063,0.000013,0.000433,-0.000066,-0.000265,-0.000005,0.000462,-0.000001,0.000013,0.000072,0.000234,0.000017,0.000086,0.040958,0.002099,0.146973,0.023596,0.004241,0.355955,0.000357,0.078737,0.597320,0.231056,0.356703,0.207319,0.191945,0.202718,0.204171,0.201768,0.167766,0.175920,0.184667,0.180518,0.158150,0.008065,0.002685,0.011859,0.003433,0.015649,0.004823,0.021486,0.001391,0.002317,0.007989,0.014034,0.001662,0.005386,0.059658,0.002906,0.196524,0.029957,0.004985,0.486557,0.000392,0.109394,0.699987,0.308879,0.463442,0.272967,0.269323,0.283681,0.277883,0.261221,0.222894,0.262514,0.270215,0.258633,0.231603,0.011362,0.003766,0.016240,0.005018,0.023509,0.006986,0.030474,0.002071,0.003343,0.011749,0.019751,0.002362,0.008011,carolina
