@RELATION trained_models/ruido_blanco/filtered/wiener/randomforest/snr_10/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.149623,0.003751,3.063950,0.352320,0.323892,0.815925,0.001872,0.148929,-26.646487,2.457195,0.782507,0.334771,0.327745,0.344502,0.133459,0.098769,-0.007456,0.017739,0.025598,0.022979,0.006353,0.013804,0.001131,0.039801,0.007565,0.076360,0.005966,0.052104,0.001105,0.002722,0.020289,0.037250,0.001862,0.028391,0.000150,0.000009,0.005327,-0.000264,-0.000066,0.000497,0.000018,0.000000,0.016338,-0.004838,-0.005596,0.001416,-0.004608,-0.001788,0.002380,0.001555,-0.002474,0.002098,0.000231,-0.004096,-0.001852,0.000009,0.000032,-0.000139,0.000105,0.000031,-0.000001,-0.000107,0.000018,-0.000008,0.000117,-0.000225,0.000019,-0.000042,0.026249,0.001712,0.150390,0.017765,0.005092,0.153915,0.000665,0.109149,0.455749,0.185391,0.233754,0.166651,0.141754,0.139802,0.140728,0.128324,0.145221,0.140720,0.148903,0.132553,0.146975,0.011097,0.001012,0.021943,0.007137,0.028809,0.004760,0.031726,0.001196,0.002185,0.017561,0.021755,0.001367,0.005991,0.039821,0.002389,0.205693,0.022338,0.006794,0.224105,0.000837,0.161584,0.532618,0.217000,0.294299,0.228757,0.197851,0.205197,0.208880,0.163323,0.210046,0.185981,0.225939,0.196727,0.202927,0.015801,0.001249,0.031672,0.010703,0.042719,0.006853,0.044254,0.001378,0.003153,0.024384,0.031325,0.001974,0.008912,carolina
0.150485,0.003895,3.044756,0.343908,0.322384,0.809023,0.001850,0.143530,-26.335248,2.392968,0.656084,0.400247,0.273128,0.329008,0.108871,0.066828,0.003569,-0.009047,0.009600,0.049654,0.014075,0.012887,0.001347,0.035745,0.008017,0.070869,0.006770,0.058360,0.001248,0.002683,0.020446,0.037852,0.001871,0.027807,0.000517,-0.000022,0.000272,0.000433,0.000097,0.003709,0.000011,0.002940,-0.009265,0.001837,0.002897,-0.002953,-0.000469,-0.000842,0.000629,0.000756,-0.002381,-0.005927,-0.000663,-0.000314,0.003499,-0.000002,0.000005,0.000150,0.000176,-0.000341,0.000092,-0.000034,0.000002,0.000023,-0.000269,0.000136,0.000009,-0.000069,0.025528,0.001427,0.195236,0.026867,0.006795,0.154395,0.000602,0.096559,0.737520,0.235745,0.328899,0.148181,0.174662,0.185010,0.153287,0.150112,0.141351,0.145175,0.131154,0.130055,0.121212,0.011617,0.001313,0.017666,0.005666,0.030042,0.005461,0.033595,0.001727,0.002109,0.014235,0.023906,0.002003,0.006567,0.036588,0.001891,0.282317,0.029009,0.007640,0.215604,0.000761,0.144297,0.734546,0.273029,0.362118,0.195661,0.220542,0.223692,0.223787,0.186044,0.205714,0.200504,0.194451,0.195094,0.157751,0.017073,0.001505,0.028258,0.008214,0.041719,0.007585,0.048623,0.002312,0.003074,0.021704,0.032364,0.002623,0.008583,carolina
0.148403,0.003990,3.039978,0.343206,0.321249,0.819762,0.001739,0.143666,-26.365299,2.359770,0.686851,0.356782,0.314110,0.298155,0.085675,0.089486,-0.002966,0.041938,0.048561,0.027227,0.012841,0.012904,0.001423,0.039306,0.007622,0.074212,0.006698,0.058745,0.001001,0.003112,0.017878,0.034977,0.002167,0.028320,-0.000032,-0.000003,0.000192,0.000117,0.000017,0.000574,0.000025,0.000363,-0.001687,-0.001126,-0.000384,0.000083,0.000899,0.000509,0.002488,0.002354,0.000532,-0.002743,-0.002951,-0.000857,0.000061,-0.000027,0.000007,0.000384,0.000119,-0.000196,-0.000019,-0.000111,-0.000006,-0.000024,0.000002,-0.000073,0.000017,0.000003,0.028596,0.002213,0.178403,0.031270,0.011140,0.152808,0.000584,0.102773,0.902027,0.293887,0.336070,0.174728,0.161831,0.149867,0.157568,0.113435,0.125796,0.137302,0.146567,0.115393,0.127919,0.010389,0.001526,0.019402,0.005443,0.029269,0.004836,0.034094,0.001146,0.002832,0.014376,0.022346,0.002385,0.006748,0.040910,0.002346,0.278390,0.027696,0.010257,0.213328,0.000814,0.145253,0.723855,0.308999,0.318688,0.217776,0.225889,0.197116,0.208413,0.140379,0.173308,0.181610,0.208160,0.159689,0.161679,0.014908,0.001848,0.026885,0.007470,0.037959,0.006299,0.044309,0.001346,0.003389,0.020780,0.031609,0.002587,0.007621,carolina
0.147409,0.010688,3.079827,0.348448,0.323308,0.819093,0.001786,0.151597,-25.022463,2.418587,0.698536,0.379622,0.324469,0.349424,0.131290,0.084368,-0.004345,0.016569,0.014152,0.024136,0.018537,0.013434,0.001302,0.042678,0.008216,0.077868,0.006155,0.051909,0.000831,0.002635,0.018066,0.033791,0.001761,0.028127,0.000576,0.000003,-0.001173,-0.000018,0.000028,-0.000482,0.000016,-0.000617,-0.000218,-0.000110,0.002511,0.000398,0.001096,-0.000855,-0.001306,0.001526,0.000513,-0.001173,-0.002646,-0.001412,0.002421,0.000015,-0.000018,0.000124,0.000025,-0.000168,-0.000008,-0.000237,-0.000001,0.000000,-0.000051,0.000228,0.000026,-0.000026,0.026582,0.003320,0.104783,0.022962,0.005271,0.157657,0.000665,0.107675,0.645164,0.239440,0.299339,0.164931,0.161688,0.139938,0.163836,0.146041,0.129746,0.121939,0.131632,0.133817,0.104800,0.010944,0.001423,0.021190,0.006191,0.029917,0.005168,0.030199,0.000784,0.002241,0.014572,0.018505,0.001280,0.006261,0.039709,0.004390,0.158379,0.025933,0.006373,0.237697,0.000793,0.166725,0.668658,0.264578,0.364275,0.213805,0.215290,0.209373,0.236936,0.195561,0.181932,0.176977,0.167921,0.194530,0.151026,0.016203,0.001816,0.028914,0.009204,0.043854,0.007552,0.040298,0.001123,0.002932,0.018930,0.027134,0.001856,0.008763,carolina
0.148516,0.003988,3.051763,0.344125,0.321986,0.802181,0.001790,0.144655,-26.370882,2.398758,0.631706,0.342155,0.314541,0.358956,0.128537,0.076565,0.007777,0.029356,0.034921,0.035961,0.026522,0.013254,0.001582,0.041243,0.006555,0.076605,0.006293,0.047381,0.001112,0.003109,0.016021,0.041289,0.001680,0.028211,-0.000417,-0.000005,0.004034,0.000054,0.000010,0.000946,0.000013,0.000980,-0.000452,-0.001678,0.002731,0.002063,-0.001043,-0.002038,-0.002584,-0.003019,-0.003866,-0.001421,0.001122,0.000289,0.000169,0.000046,-0.000008,-0.000225,0.000055,-0.000216,0.000069,0.000657,0.000013,0.000003,-0.000147,-0.000064,-0.000007,0.000047,0.028307,0.001792,0.180989,0.026029,0.006758,0.165252,0.000667,0.098181,0.726061,0.234985,0.347912,0.201020,0.156720,0.149826,0.152609,0.125855,0.130109,0.132004,0.130158,0.127157,0.143309,0.011939,0.001865,0.025467,0.005006,0.031970,0.005028,0.026066,0.001302,0.002509,0.012497,0.023031,0.001582,0.006461,0.038711,0.002444,0.250566,0.029852,0.008574,0.222857,0.000786,0.136762,0.762851,0.274475,0.360933,0.246197,0.207911,0.199060,0.186405,0.175092,0.175560,0.195727,0.182482,0.180218,0.204961,0.017935,0.002110,0.036642,0.007052,0.041155,0.007392,0.038904,0.001843,0.003121,0.016362,0.031155,0.002201,0.008643,carolina
0.150535,0.010126,3.086694,0.349566,0.323483,0.824700,0.001870,0.149909,-25.105776,2.387892,0.720918,0.393911,0.355139,0.340358,0.110016,0.070987,-0.023862,0.036783,0.051540,0.019247,0.019696,0.013682,0.001023,0.042035,0.007619,0.072938,0.005290,0.055928,0.001098,0.003018,0.017382,0.039591,0.001289,0.028943,-0.000222,0.000112,-0.003871,-0.000437,-0.000052,-0.005862,0.000028,-0.003721,0.003413,0.001268,0.002050,0.002422,0.002220,-0.001430,-0.000079,0.002893,0.000393,0.001362,0.000897,0.000592,-0.000730,0.000018,-0.000016,-0.000111,-0.000052,0.000283,-0.000054,-0.000014,-0.000010,-0.000078,-0.000185,0.000489,-0.000001,0.000117,0.025280,0.003082,0.106034,0.020292,0.004910,0.153604,0.000645,0.108995,0.557587,0.244453,0.284588,0.156133,0.141560,0.136747,0.148525,0.164629,0.144588,0.139109,0.138693,0.144973,0.149534,0.011929,0.000987,0.022262,0.005481,0.032160,0.004590,0.034356,0.001391,0.002476,0.012291,0.022623,0.000975,0.006233,0.033556,0.004279,0.151185,0.027000,0.006207,0.216131,0.000772,0.153108,0.685154,0.250407,0.308249,0.200840,0.186724,0.189332,0.203130,0.234447,0.203014,0.191500,0.205309,0.202054,0.220028,0.017965,0.001416,0.028080,0.008168,0.050066,0.006684,0.049827,0.001733,0.003502,0.018187,0.032395,0.001342,0.008632,carolina
0.146792,0.003974,3.062449,0.343203,0.322049,0.814916,0.001901,0.148793,-26.410883,2.375939,0.671632,0.384437,0.327532,0.351225,0.073979,0.055660,0.015782,0.034319,0.009639,0.021208,-0.025681,0.013831,0.001623,0.042471,0.006490,0.065366,0.006972,0.059828,0.000801,0.003113,0.017247,0.043147,0.001957,0.028098,0.000554,-0.000039,-0.002330,0.000692,0.000268,0.000049,0.000022,-0.000535,-0.023706,0.012664,0.007482,-0.002354,-0.000233,-0.002990,0.002485,-0.003443,0.001009,0.000603,-0.002980,-0.003155,-0.002328,-0.000050,-0.000073,0.000278,0.000023,-0.000739,-0.000041,0.000808,-0.000013,-0.000028,0.000175,0.000587,0.000015,0.000092,0.033176,0.001783,0.173600,0.027930,0.007350,0.187494,0.000660,0.128091,0.785801,0.267254,0.343761,0.157528,0.173715,0.157289,0.176798,0.154946,0.150940,0.124601,0.151754,0.129165,0.141666,0.010105,0.002128,0.025078,0.005597,0.029792,0.006201,0.034667,0.000704,0.002601,0.013781,0.022334,0.001744,0.007047,0.046960,0.002420,0.252687,0.029080,0.008242,0.264067,0.000877,0.177360,0.716412,0.293168,0.340495,0.204241,0.204783,0.222943,0.237364,0.197895,0.194329,0.171005,0.199310,0.194664,0.203835,0.015212,0.002552,0.035116,0.007547,0.041904,0.008649,0.047246,0.000934,0.003453,0.020137,0.029243,0.002408,0.009511,carolina
0.146738,0.004401,3.030449,0.341161,0.320583,0.807422,0.001908,0.150499,-26.326943,2.400135,0.689800,0.326222,0.313501,0.344821,0.101909,0.059513,-0.034186,0.005413,0.019372,0.039534,0.032832,0.014434,0.001824,0.049277,0.007590,0.069901,0.006514,0.046385,0.001353,0.003440,0.017640,0.036347,0.001710,0.027328,-0.000472,-0.000044,0.006716,0.000313,0.000177,0.002586,0.000026,-0.000018,-0.006533,0.002331,0.006841,-0.006351,0.002104,-0.006992,-0.000538,0.005973,-0.003252,-0.002854,-0.004509,0.001657,0.001397,0.000036,0.000008,-0.000029,0.000082,0.000104,-0.000024,0.000406,-0.000079,-0.000006,-0.000084,-0.000039,-0.000048,0.000094,0.024463,0.003170,0.242691,0.033833,0.011600,0.169112,0.000860,0.102934,0.931073,0.263730,0.369032,0.200934,0.172134,0.167223,0.163049,0.156265,0.142008,0.144884,0.143605,0.128458,0.151533,0.011368,0.002409,0.026373,0.005509,0.034245,0.004822,0.025736,0.002506,0.002936,0.013146,0.022399,0.001825,0.007014,0.034806,0.003974,0.339562,0.031168,0.011908,0.220465,0.001109,0.147302,0.828595,0.281097,0.337997,0.267628,0.227979,0.211734,0.187479,0.192117,0.177096,0.194797,0.194358,0.174983,0.217656,0.017592,0.002822,0.035385,0.007347,0.045251,0.005738,0.037120,0.003136,0.003604,0.019108,0.028991,0.002342,0.008794,carolina
0.152341,0.004116,3.066401,0.340754,0.320464,0.846063,0.001956,0.174519,-26.261222,2.328701,0.631569,0.360048,0.254599,0.285127,0.066786,0.056705,-0.000591,0.034935,0.032931,0.066213,0.061189,0.012943,0.001821,0.045863,0.006800,0.058588,0.007541,0.063306,0.000972,0.003761,0.017962,0.039404,0.002237,0.028094,0.000113,-0.000021,0.001378,0.000294,0.000021,0.002818,0.000016,0.000626,-0.004698,-0.003887,0.002014,0.001519,0.001134,0.001214,-0.001238,-0.001107,-0.001679,0.002142,0.003384,0.000173,-0.000339,-0.000026,-0.000035,-0.000038,-0.000031,0.000410,-0.000049,0.000086,0.000003,-0.000022,-0.000260,-0.000322,-0.000006,0.000022,0.032298,0.002718,0.162041,0.033947,0.010833,0.199510,0.000843,0.131847,0.939458,0.322224,0.363765,0.169096,0.173066,0.156309,0.148719,0.163670,0.177648,0.154361,0.126034,0.140725,0.125692,0.010386,0.002418,0.023361,0.005363,0.032906,0.005456,0.040740,0.000944,0.003347,0.013245,0.020518,0.002143,0.008170,0.042834,0.003609,0.246252,0.038144,0.013141,0.260892,0.000998,0.178209,0.999354,0.320650,0.414256,0.207078,0.235989,0.224970,0.210016,0.218008,0.245683,0.229295,0.178180,0.197372,0.167480,0.015951,0.003170,0.030882,0.007511,0.045756,0.008364,0.051955,0.001292,0.004532,0.019461,0.026666,0.002887,0.010249,carolina
0.154347,0.005440,3.064198,0.348044,0.322321,0.850275,0.001828,0.165354,-25.888133,2.329530,0.704237,0.378464,0.284041,0.366009,0.138785,0.096290,-0.019702,0.011609,0.008736,0.031632,0.021820,0.012817,0.001456,0.039517,0.008626,0.069943,0.005670,0.055335,0.000953,0.002674,0.016749,0.043425,0.001777,0.028170,0.000218,-0.000002,-0.002289,-0.000107,0.000040,-0.000369,0.000015,-0.000091,0.002596,0.001580,-0.001026,-0.000045,0.000552,0.001518,-0.003527,-0.003279,0.000562,-0.000624,0.004598,-0.001926,-0.000034,0.000051,0.000001,0.000189,-0.000132,-0.000618,-0.000002,0.000182,0.000012,0.000029,0.000092,0.000422,0.000028,-0.000080,0.030093,0.001714,0.127721,0.024455,0.005973,0.167245,0.000639,0.118964,0.700489,0.296086,0.290960,0.185988,0.150669,0.162201,0.141056,0.170055,0.139942,0.122883,0.140391,0.140916,0.120194,0.013907,0.001770,0.020461,0.005958,0.029430,0.005053,0.034826,0.001018,0.002128,0.012169,0.024640,0.001843,0.006668,0.044664,0.002122,0.178171,0.026301,0.007299,0.229549,0.000772,0.164268,0.704179,0.321913,0.344803,0.247108,0.201277,0.213820,0.199606,0.220668,0.193749,0.181014,0.193041,0.192982,0.168762,0.020275,0.002447,0.028847,0.008844,0.042257,0.007517,0.045999,0.001467,0.003025,0.018419,0.034309,0.002615,0.008927,carolina
