@RELATION trained_models/ruido_blanco/filtered/wiener/svm/snr_-5/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.450985,0.011223,3.287514,0.475051,0.300751,3.086151,0.000555,0.869392,-24.789587,0.991938,0.660147,0.421873,0.323192,0.247127,0.164614,0.103023,0.030491,0.012001,0.022752,-0.000077,0.012333,0.004813,0.001265,0.011536,0.003296,0.020799,0.002586,0.014115,0.001319,0.001914,0.006068,0.010355,0.001517,0.007310,0.001003,0.000025,0.003441,-0.000014,-0.000006,0.000237,0.000005,0.000000,0.005717,-0.001374,-0.001195,-0.001534,-0.002093,-0.001601,-0.000330,-0.001407,-0.000722,0.002538,0.000135,0.000063,0.001898,-0.000022,0.000007,-0.000019,0.000024,0.000009,0.000003,-0.000022,0.000011,-0.000003,0.000037,-0.000074,-0.000001,-0.000007,0.018972,0.001395,0.058776,0.008161,0.002843,0.122193,0.000085,0.018268,0.252536,0.134419,0.202967,0.164467,0.127158,0.138623,0.132518,0.122350,0.137531,0.139341,0.148668,0.135752,0.131277,0.003207,0.000622,0.006184,0.001870,0.010071,0.001387,0.007223,0.000677,0.000961,0.004477,0.005849,0.000832,0.002193,0.024721,0.001899,0.077465,0.011218,0.003870,0.174220,0.000096,0.026986,0.342164,0.197645,0.284418,0.223811,0.189088,0.198200,0.185075,0.154306,0.200328,0.196041,0.220572,0.207913,0.182774,0.004556,0.000863,0.008328,0.002901,0.014575,0.001967,0.010425,0.000919,0.001366,0.006309,0.008258,0.001231,0.003297,carolina
0.451670,0.011936,3.286789,0.473629,0.301583,3.076807,0.000556,0.869211,-24.621878,1.046050,0.605666,0.403729,0.285035,0.241520,0.138295,0.063084,0.025275,-0.014509,0.004051,0.024754,0.023644,0.004465,0.001368,0.010997,0.003286,0.019064,0.002931,0.016606,0.001416,0.001801,0.006242,0.010850,0.001577,0.007259,0.000299,-0.000021,0.000079,0.000201,0.000022,0.001856,0.000005,0.000454,-0.003778,-0.001046,0.002166,-0.001256,-0.002987,-0.001752,0.001465,0.000370,-0.003336,-0.004856,-0.001810,0.000282,0.001981,-0.000009,-0.000002,0.000014,0.000035,-0.000127,0.000027,-0.000006,0.000012,-0.000001,-0.000114,-0.000048,0.000005,-0.000036,0.016989,0.001175,0.053167,0.009650,0.003164,0.118173,0.000068,0.017151,0.330798,0.150711,0.236674,0.160303,0.159555,0.145047,0.134367,0.129105,0.141867,0.135720,0.121878,0.132017,0.119728,0.003250,0.000726,0.005559,0.001674,0.008716,0.001679,0.009165,0.000821,0.000975,0.003871,0.006401,0.000984,0.002232,0.024273,0.001572,0.073900,0.012013,0.004016,0.154526,0.000078,0.023581,0.391744,0.219391,0.308058,0.206297,0.212561,0.191027,0.212795,0.172964,0.214404,0.190120,0.177552,0.193621,0.169895,0.004856,0.000969,0.008240,0.002404,0.012050,0.002235,0.013160,0.001171,0.001448,0.005663,0.008904,0.001379,0.003033,carolina
0.453208,0.011351,3.284273,0.472814,0.301344,3.072938,0.000545,0.867196,-24.708740,1.010622,0.604228,0.391027,0.308332,0.225516,0.133013,0.079370,0.034779,0.041995,0.045488,0.017893,0.018774,0.004395,0.001349,0.011597,0.003098,0.020249,0.002814,0.016722,0.001357,0.002041,0.005754,0.010037,0.001580,0.007404,-0.000009,-0.000003,0.000051,0.000073,-0.000013,0.000679,0.000006,0.000045,-0.002725,-0.002369,0.002208,0.001847,0.001053,-0.000000,0.001021,0.001152,0.000653,-0.002526,-0.002990,-0.000801,0.000820,-0.000001,0.000008,0.000113,0.000016,-0.000094,0.000002,-0.000040,-0.000014,-0.000016,0.000004,-0.000012,0.000002,-0.000008,0.020348,0.001684,0.062731,0.014428,0.003699,0.151674,0.000067,0.022284,0.452694,0.151631,0.246674,0.195895,0.152332,0.136190,0.123654,0.133743,0.123180,0.142724,0.140877,0.117499,0.132350,0.003043,0.000758,0.005246,0.001845,0.008649,0.001660,0.008748,0.000717,0.001355,0.003902,0.005920,0.001084,0.002068,0.026900,0.001826,0.099615,0.015231,0.003936,0.162841,0.000080,0.024738,0.420454,0.186664,0.269230,0.222300,0.224125,0.190469,0.178485,0.201151,0.187903,0.202602,0.201162,0.162989,0.172400,0.004494,0.001020,0.007573,0.002353,0.012165,0.001895,0.011197,0.000943,0.001453,0.005553,0.008355,0.001374,0.002605,carolina
0.453407,0.027458,3.297127,0.475080,0.300840,3.092010,0.000543,0.870109,-23.533839,1.019328,0.643463,0.435279,0.325379,0.236503,0.147127,0.087253,0.048461,0.004741,0.021977,0.037902,0.015711,0.004597,0.001337,0.012091,0.003286,0.020927,0.002637,0.014903,0.001217,0.001783,0.005427,0.009713,0.001509,0.007333,-0.000272,0.000013,-0.000105,-0.000072,0.000055,-0.000588,0.000005,-0.000036,0.004381,0.000199,-0.000330,-0.001371,0.001215,0.001511,-0.000588,0.000402,-0.000591,-0.001368,-0.003091,-0.001274,0.001964,0.000023,-0.000006,0.000053,0.000032,-0.000019,0.000008,-0.000050,0.000007,-0.000013,-0.000010,0.000012,0.000009,-0.000006,0.017574,0.002298,0.014459,0.008375,0.002904,0.105160,0.000067,0.014958,0.297353,0.143622,0.212818,0.156646,0.134390,0.138707,0.153770,0.141676,0.123618,0.123933,0.129331,0.124918,0.115008,0.002950,0.000654,0.005905,0.001739,0.009842,0.001216,0.008623,0.000514,0.000839,0.003935,0.005426,0.000659,0.002444,0.024834,0.002992,0.022055,0.009910,0.003449,0.140069,0.000071,0.018931,0.328603,0.197621,0.287547,0.227713,0.189093,0.206849,0.223601,0.196021,0.173833,0.173062,0.168901,0.188262,0.165156,0.004182,0.000802,0.007835,0.002558,0.015230,0.001770,0.012440,0.000793,0.001113,0.005300,0.007684,0.000894,0.003762,carolina
0.449460,0.011951,3.286384,0.472395,0.301235,3.068799,0.000549,0.866942,-24.639503,1.012372,0.580317,0.380935,0.323920,0.262324,0.163805,0.085402,0.057949,0.021347,0.033675,0.024327,0.026813,0.004473,0.001570,0.012425,0.002842,0.021251,0.002975,0.013527,0.001299,0.001933,0.005301,0.011671,0.001463,0.007529,-0.000054,0.000001,0.000177,-0.000003,0.000032,-0.000243,0.000005,0.000054,0.000546,-0.000910,0.000459,0.001433,0.000803,-0.000414,-0.001683,-0.002147,-0.001898,-0.002045,-0.000173,0.000171,-0.001902,0.000043,-0.000000,-0.000045,0.000015,-0.000025,0.000003,0.000165,-0.000000,-0.000002,-0.000035,-0.000033,-0.000002,0.000026,0.019519,0.001418,0.057719,0.009795,0.003862,0.138524,0.000083,0.019404,0.347079,0.154099,0.241719,0.197394,0.152740,0.136543,0.134164,0.113465,0.118703,0.132232,0.119097,0.133622,0.131571,0.003227,0.000975,0.006670,0.001634,0.010367,0.001587,0.006919,0.000627,0.000885,0.004178,0.007068,0.000848,0.002535,0.026074,0.001978,0.082130,0.013163,0.004966,0.189169,0.000097,0.029619,0.421858,0.198358,0.313763,0.241899,0.207245,0.179483,0.180344,0.151861,0.174098,0.206249,0.179571,0.195550,0.197549,0.004690,0.001289,0.009862,0.002369,0.013871,0.002383,0.009847,0.000818,0.001176,0.005468,0.009744,0.001266,0.003515,carolina
0.452568,0.026867,3.297696,0.475349,0.300883,3.094394,0.000544,0.869927,-23.569259,0.999874,0.640059,0.428921,0.351805,0.255543,0.147220,0.073725,0.022729,0.020828,0.041469,0.022621,0.023931,0.004402,0.001258,0.011683,0.003064,0.019633,0.002547,0.016046,0.001284,0.001899,0.005296,0.011268,0.001352,0.007509,-0.000730,0.000078,-0.000475,-0.000180,-0.000007,-0.003210,0.000007,-0.000563,0.000888,0.002161,0.002367,0.000162,0.002020,0.001307,0.001176,0.003054,-0.000105,-0.000477,-0.000850,-0.000085,-0.000831,0.000010,-0.000002,0.000035,-0.000003,0.000212,-0.000003,0.000071,-0.000010,-0.000021,-0.000046,0.000269,0.000000,0.000085,0.017877,0.002116,0.015608,0.007367,0.003110,0.093219,0.000064,0.012874,0.252439,0.130408,0.201795,0.140018,0.115307,0.124631,0.131831,0.157963,0.142954,0.144696,0.136910,0.138464,0.146369,0.003173,0.000616,0.005736,0.001444,0.009283,0.001487,0.009677,0.000676,0.001102,0.003271,0.006260,0.000686,0.002256,0.025045,0.002910,0.023411,0.010004,0.004335,0.131353,0.000075,0.018300,0.339814,0.188635,0.259237,0.184203,0.164182,0.186415,0.186596,0.230091,0.192662,0.197894,0.205698,0.204071,0.208138,0.004849,0.000899,0.007263,0.002053,0.013832,0.002214,0.013890,0.000956,0.001623,0.004908,0.009210,0.000945,0.003159,carolina
0.452028,0.011561,3.290329,0.472812,0.301622,3.070369,0.000555,0.867232,-24.687242,1.008026,0.582298,0.429493,0.328761,0.246839,0.109503,0.063188,0.043448,0.029281,0.019591,0.008957,-0.002379,0.004743,0.001525,0.012297,0.002936,0.018452,0.003033,0.016704,0.001138,0.001979,0.005461,0.012048,0.001494,0.007399,0.000485,-0.000032,0.000147,0.000261,-0.000084,0.002922,0.000006,0.000309,-0.011932,0.002277,0.006066,0.002217,-0.000830,-0.002952,0.001672,-0.002329,-0.001889,0.000212,-0.001588,-0.001417,-0.001840,-0.000033,-0.000014,0.000030,-0.000002,-0.000350,-0.000012,0.000223,0.000003,-0.000005,0.000041,0.000165,-0.000008,-0.000011,0.019631,0.001408,0.044441,0.010457,0.003303,0.128244,0.000072,0.019693,0.342802,0.146949,0.245002,0.159279,0.154863,0.146830,0.147561,0.126782,0.136500,0.141081,0.144430,0.134533,0.144178,0.002964,0.001035,0.006689,0.001696,0.009764,0.001868,0.009868,0.000432,0.001022,0.003474,0.006106,0.000771,0.002624,0.027155,0.001912,0.062806,0.013159,0.004132,0.171323,0.000087,0.027198,0.385616,0.216937,0.304040,0.200327,0.199403,0.208414,0.212512,0.175238,0.171023,0.180737,0.204751,0.199774,0.197940,0.004267,0.001253,0.009735,0.002141,0.014025,0.002736,0.014359,0.000626,0.001366,0.004810,0.007912,0.001083,0.003954,carolina
0.449887,0.011998,3.273509,0.471096,0.301664,3.054832,0.000574,0.864728,-24.625665,1.022616,0.600896,0.388798,0.293559,0.252837,0.144914,0.072100,0.029604,0.003973,0.001878,0.023662,0.023943,0.004979,0.001596,0.013639,0.003232,0.019146,0.002965,0.013576,0.001573,0.002198,0.005649,0.010436,0.001561,0.007121,-0.000009,-0.000042,0.003131,0.000304,-0.000016,0.004263,0.000007,0.000535,-0.006626,0.001849,0.005226,-0.004151,-0.002450,-0.004843,-0.000095,0.004414,-0.002615,-0.003626,-0.003544,0.002082,0.002353,0.000004,-0.000013,-0.000057,0.000022,0.000019,-0.000006,0.000186,-0.000022,-0.000030,-0.000056,-0.000088,-0.000038,0.000043,0.020881,0.002500,0.104149,0.015529,0.003935,0.187275,0.000126,0.030530,0.475119,0.159751,0.274224,0.211528,0.165279,0.158061,0.151317,0.142958,0.137278,0.134949,0.132949,0.128962,0.145676,0.003413,0.001258,0.006255,0.001717,0.010036,0.002017,0.007186,0.001309,0.001636,0.003653,0.006035,0.001019,0.002175,0.024359,0.003144,0.139829,0.016363,0.004452,0.218766,0.000146,0.038549,0.491925,0.198698,0.305454,0.267764,0.235881,0.224784,0.202564,0.173989,0.173694,0.171303,0.182574,0.166413,0.202688,0.005189,0.001597,0.008624,0.002142,0.014563,0.002326,0.010255,0.001695,0.002165,0.005115,0.007968,0.001278,0.003288,carolina
0.452346,0.012128,3.284913,0.471278,0.301447,3.069805,0.000579,0.866270,-24.601841,1.013183,0.573880,0.389414,0.258804,0.185893,0.113849,0.069119,0.046992,0.018181,0.028858,0.033593,0.044273,0.004697,0.001702,0.012654,0.002817,0.015993,0.003080,0.017233,0.001212,0.002316,0.005607,0.011137,0.001723,0.007192,0.000240,-0.000012,0.000228,0.000133,-0.000067,0.001910,0.000006,-0.000036,-0.003300,-0.001438,0.001236,0.000553,-0.000329,-0.001090,-0.000455,0.000941,-0.000370,0.001166,0.000336,0.001538,-0.000579,-0.000011,-0.000000,-0.000042,0.000005,0.000116,-0.000040,-0.000055,0.000010,-0.000032,-0.000126,-0.000136,0.000018,-0.000017,0.020609,0.002223,0.063706,0.014810,0.004351,0.182219,0.000121,0.026352,0.471011,0.170300,0.252209,0.142297,0.147282,0.158777,0.154316,0.156237,0.148447,0.148962,0.123724,0.137285,0.145019,0.003276,0.001262,0.005524,0.001387,0.010130,0.001671,0.010562,0.000539,0.001688,0.003665,0.005737,0.001245,0.002528,0.027325,0.002968,0.091102,0.019415,0.005690,0.239120,0.000132,0.035616,0.602837,0.214654,0.329586,0.195423,0.209068,0.227165,0.220367,0.225640,0.213472,0.230525,0.172692,0.194097,0.205596,0.004820,0.001702,0.007700,0.002035,0.013770,0.002377,0.014104,0.000767,0.002414,0.005360,0.007442,0.001669,0.003480,carolina
0.453321,0.020899,3.295575,0.473761,0.300810,3.102113,0.000543,0.870082,-23.874687,0.974673,0.609260,0.397563,0.294629,0.246515,0.174206,0.086172,0.021152,0.017989,0.013715,0.029954,0.026399,0.004119,0.001469,0.011153,0.003351,0.018808,0.002619,0.015014,0.001308,0.001861,0.005027,0.011441,0.001472,0.007071,-0.000104,-0.000007,0.000044,0.000005,0.000053,-0.000234,0.000005,0.000091,0.002550,0.000527,-0.000496,-0.000473,0.000782,0.001305,-0.002793,-0.002696,0.000638,-0.002018,0.001504,-0.000508,-0.000630,0.000022,0.000012,-0.000012,-0.000016,-0.000149,-0.000012,0.000029,-0.000001,0.000024,0.000018,0.000096,0.000029,-0.000028,0.017566,0.001689,0.021120,0.008638,0.003083,0.099213,0.000067,0.012328,0.297248,0.164068,0.180785,0.143317,0.126995,0.141876,0.136087,0.146732,0.132673,0.135402,0.145894,0.148573,0.122891,0.003546,0.000806,0.005383,0.001960,0.008708,0.001197,0.009185,0.000654,0.000882,0.003191,0.006414,0.000797,0.002265,0.026350,0.002163,0.026700,0.011175,0.003705,0.127706,0.000077,0.018158,0.340268,0.227838,0.248233,0.203677,0.183225,0.202815,0.195845,0.212133,0.175132,0.186893,0.203455,0.221345,0.174690,0.005093,0.001210,0.007609,0.002972,0.012480,0.001731,0.012481,0.000972,0.001226,0.004669,0.008819,0.001101,0.003347,carolina
