@RELATION trained_models/ruido_blanco/filtered/wiener/svm/snr_5/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.247273,0.004322,3.142051,0.410088,0.319539,1.601614,0.001080,0.610762,-26.192408,2.022167,0.834334,0.372895,0.323086,0.311856,0.154807,0.091417,0.004707,0.010567,0.027011,0.013677,0.013471,0.011637,0.001161,0.032764,0.006535,0.063044,0.005090,0.042422,0.001171,0.002517,0.016700,0.030573,0.001780,0.023206,0.000440,0.000010,0.004569,-0.000179,-0.000005,0.000281,0.000011,-0.000082,0.012829,-0.002699,-0.004561,-0.000357,-0.003756,-0.001340,0.001973,0.000537,-0.001798,0.001967,-0.000274,-0.002985,-0.001015,-0.000002,0.000023,-0.000094,0.000085,0.000034,0.000001,-0.000082,0.000017,-0.000006,0.000103,-0.000191,0.000012,-0.000029,0.032692,0.001640,0.128122,0.015336,0.003590,0.245395,0.000342,0.092895,0.385626,0.145027,0.226485,0.167972,0.136241,0.136713,0.138457,0.122865,0.140780,0.139452,0.151911,0.131866,0.142797,0.009300,0.000909,0.017877,0.005775,0.025170,0.003842,0.024923,0.001058,0.001851,0.014204,0.017889,0.001211,0.005148,0.048380,0.002288,0.174041,0.019779,0.005026,0.349230,0.000419,0.130086,0.465548,0.189394,0.286901,0.234390,0.199147,0.198375,0.203709,0.150889,0.203996,0.184552,0.232125,0.199648,0.196035,0.013196,0.001161,0.025356,0.008699,0.037164,0.005500,0.034985,0.001236,0.002648,0.019726,0.025682,0.001744,0.007777,carolina
0.248158,0.004507,3.125472,0.403903,0.320081,1.577369,0.001081,0.600953,-25.944185,2.014609,0.721656,0.411381,0.276737,0.297987,0.127898,0.058924,0.011094,-0.018138,0.009071,0.047305,0.021529,0.010854,0.001371,0.029819,0.006871,0.058335,0.005826,0.048262,0.001304,0.002461,0.017026,0.031260,0.001830,0.022824,0.000935,-0.000021,0.000354,0.000359,0.000031,0.005679,0.000008,0.001987,-0.007419,0.000004,0.002981,-0.001914,-0.001203,-0.000672,0.000740,0.000279,-0.002414,-0.005707,-0.001428,0.000387,0.003021,-0.000010,0.000001,0.000100,0.000133,-0.000325,0.000075,-0.000036,0.000006,0.000016,-0.000255,0.000052,0.000009,-0.000073,0.031464,0.001376,0.164805,0.022613,0.002714,0.241179,0.000311,0.100596,0.617202,0.175767,0.322239,0.148964,0.167288,0.175212,0.151132,0.147788,0.141014,0.141199,0.131254,0.128832,0.114940,0.009538,0.001176,0.014805,0.004622,0.025067,0.004500,0.027614,0.001511,0.001812,0.011747,0.019481,0.001796,0.005587,0.046672,0.001822,0.234797,0.025211,0.003917,0.326256,0.000377,0.130500,0.647957,0.236980,0.364212,0.196603,0.218277,0.220502,0.227045,0.186030,0.208751,0.195784,0.193151,0.196129,0.150296,0.014080,0.001350,0.023479,0.006684,0.034783,0.006218,0.039969,0.002039,0.002644,0.017863,0.026412,0.002378,0.007451,carolina
0.247818,0.004528,3.121952,0.402858,0.319146,1.583891,0.001027,0.597396,-25.986414,1.977670,0.742176,0.378942,0.313867,0.274371,0.105955,0.073714,0.010855,0.039300,0.047050,0.022528,0.018196,0.010824,0.001409,0.032585,0.006488,0.061313,0.005719,0.048573,0.001101,0.002874,0.014940,0.028862,0.002032,0.023262,0.000109,-0.000003,0.000124,0.000092,-0.000001,0.001060,0.000013,0.000209,-0.001168,-0.001723,-0.000080,0.000522,0.001224,-0.000095,0.001840,0.002515,0.000988,-0.002934,-0.003118,-0.000446,0.000136,-0.000021,0.000007,0.000327,0.000092,-0.000190,-0.000015,-0.000096,-0.000011,-0.000023,0.000004,-0.000057,0.000015,-0.000003,0.034566,0.002098,0.156343,0.028638,0.004916,0.251540,0.000298,0.117265,0.770015,0.201607,0.334712,0.181822,0.155154,0.142992,0.149553,0.118171,0.122067,0.136817,0.147504,0.114759,0.129063,0.008587,0.001344,0.015799,0.004484,0.024513,0.003986,0.027714,0.001054,0.002529,0.011862,0.018264,0.002113,0.005644,0.048988,0.002228,0.242001,0.026026,0.005681,0.322105,0.000394,0.130332,0.630625,0.247473,0.321842,0.217192,0.222693,0.192226,0.202280,0.154938,0.175066,0.184854,0.211407,0.159487,0.164588,0.012442,0.001632,0.022062,0.006102,0.032515,0.005064,0.035572,0.001259,0.002921,0.017100,0.025909,0.002350,0.006483,carolina
0.247423,0.011960,3.155772,0.407716,0.319885,1.599648,0.001036,0.611652,-24.665680,2.016169,0.761238,0.408809,0.327715,0.313889,0.147996,0.073285,0.014195,0.007181,0.018509,0.027322,0.015524,0.011266,0.001314,0.035117,0.007002,0.064113,0.005246,0.042885,0.000925,0.002418,0.014921,0.027943,0.001711,0.023077,0.000377,0.000005,-0.000707,-0.000047,0.000034,-0.000741,0.000009,-0.000109,0.001762,-0.000774,0.001613,0.000319,0.001085,-0.000485,-0.001003,0.001313,0.000484,-0.001258,-0.002927,-0.001168,0.002339,0.000021,-0.000016,0.000113,0.000032,-0.000128,-0.000001,-0.000191,0.000002,-0.000004,-0.000042,0.000154,0.000022,-0.000023,0.035376,0.003084,0.079267,0.018956,0.002311,0.244374,0.000321,0.098376,0.533681,0.178732,0.293727,0.156524,0.154407,0.138100,0.163962,0.143734,0.130234,0.124304,0.132915,0.128941,0.105801,0.008832,0.001207,0.017341,0.005021,0.025625,0.004075,0.025081,0.000704,0.001853,0.011908,0.015368,0.001132,0.005562,0.052806,0.004074,0.122125,0.021627,0.003234,0.354098,0.000369,0.130256,0.564006,0.222100,0.359530,0.220178,0.212207,0.208431,0.236677,0.198472,0.184780,0.174765,0.168281,0.185713,0.154758,0.013031,0.001491,0.023517,0.007475,0.038279,0.005940,0.034052,0.001040,0.002409,0.015511,0.022478,0.001608,0.008156,carolina
0.245422,0.004592,3.131799,0.403594,0.319461,1.568658,0.001053,0.593276,-25.971516,2.004243,0.694705,0.359472,0.324927,0.329895,0.146600,0.065369,0.025584,0.022328,0.038085,0.034418,0.029980,0.011068,0.001603,0.034285,0.005640,0.063449,0.005525,0.038999,0.001160,0.002822,0.013459,0.034063,0.001629,0.023234,-0.000390,-0.000004,0.002765,0.000035,0.000015,0.001080,0.000008,0.000390,-0.000523,-0.001572,0.002189,0.002279,-0.000492,-0.001303,-0.002462,-0.003887,-0.003594,-0.001491,0.001190,0.001005,-0.000881,0.000051,-0.000007,-0.000187,0.000045,-0.000175,0.000050,0.000523,0.000010,0.000004,-0.000129,-0.000071,-0.000007,0.000039,0.035955,0.001720,0.152578,0.022201,0.003300,0.265447,0.000346,0.108899,0.613405,0.173066,0.339375,0.198981,0.159739,0.145615,0.146492,0.126326,0.125627,0.136574,0.124992,0.129086,0.143259,0.009720,0.001676,0.020622,0.004218,0.027366,0.004172,0.021122,0.001140,0.002081,0.010643,0.019233,0.001382,0.005729,0.049408,0.002352,0.210534,0.026440,0.004517,0.356636,0.000406,0.145249,0.669914,0.224861,0.365021,0.241699,0.214568,0.195015,0.183001,0.173892,0.175302,0.205375,0.179902,0.184663,0.208639,0.014555,0.001926,0.029777,0.005968,0.035501,0.006155,0.031264,0.001614,0.002567,0.013941,0.026216,0.001950,0.007720,carolina
0.248344,0.011392,3.160020,0.408719,0.319893,1.608028,0.001070,0.615363,-24.747140,1.988827,0.784553,0.417276,0.356566,0.308763,0.132374,0.063127,-0.009354,0.022804,0.049291,0.020846,0.025619,0.011368,0.001085,0.034473,0.006477,0.060012,0.004597,0.046257,0.001138,0.002728,0.014372,0.032681,0.001307,0.023724,-0.000590,0.000103,-0.003119,-0.000349,0.000002,-0.008850,0.000016,-0.003630,0.002135,0.002030,0.002754,0.001636,0.001718,-0.001200,0.000259,0.003253,0.000547,0.001048,0.000521,0.000166,-0.000822,0.000020,-0.000012,-0.000038,-0.000036,0.000337,-0.000035,0.000051,-0.000012,-0.000062,-0.000145,0.000491,-0.000001,0.000135,0.030769,0.002847,0.081961,0.016658,0.002703,0.232806,0.000306,0.088901,0.457947,0.177592,0.276896,0.146862,0.128322,0.133638,0.142115,0.167608,0.140524,0.140660,0.135508,0.140650,0.148074,0.009665,0.000894,0.018153,0.004346,0.026890,0.003795,0.028600,0.001218,0.002121,0.010047,0.018606,0.000929,0.005495,0.043396,0.003950,0.118335,0.022547,0.003930,0.327255,0.000361,0.124841,0.585186,0.207112,0.310401,0.189103,0.172159,0.189666,0.196688,0.240171,0.196581,0.191748,0.205513,0.199567,0.216137,0.014634,0.001294,0.022879,0.006425,0.041501,0.005560,0.041407,0.001532,0.003028,0.014926,0.026810,0.001257,0.007621,carolina
0.243162,0.004531,3.140099,0.403054,0.319865,1.577545,0.001104,0.595898,-26.011247,1.986728,0.721682,0.412095,0.326378,0.317536,0.096491,0.047372,0.022909,0.027910,0.018346,0.018619,-0.020954,0.011607,0.001606,0.034974,0.005636,0.054291,0.006002,0.049248,0.000890,0.002838,0.014403,0.035504,0.001851,0.023089,0.000799,-0.000037,-0.001366,0.000648,0.000069,0.002557,0.000013,0.003022,-0.020986,0.009542,0.008175,-0.001531,-0.000722,-0.002803,0.002615,-0.003148,0.000055,0.000629,-0.002516,-0.003037,-0.002387,-0.000051,-0.000062,0.000220,0.000015,-0.000690,-0.000036,0.000689,-0.000009,-0.000022,0.000146,0.000505,0.000010,0.000064,0.041790,0.001700,0.141796,0.023516,0.003439,0.285144,0.000334,0.107784,0.645912,0.189014,0.339505,0.151312,0.164145,0.150400,0.171139,0.149112,0.145695,0.127256,0.150597,0.130794,0.144160,0.008382,0.001855,0.020408,0.004668,0.025750,0.005069,0.028921,0.000622,0.002215,0.011231,0.018200,0.001526,0.006242,0.060276,0.002308,0.203046,0.025474,0.005051,0.387859,0.000434,0.140284,0.612454,0.244969,0.354316,0.191779,0.202828,0.213118,0.235311,0.195544,0.182470,0.168118,0.203002,0.193511,0.204411,0.012499,0.002202,0.028731,0.006176,0.036553,0.007092,0.040109,0.000841,0.002904,0.016289,0.023805,0.002106,0.008841,carolina
0.243820,0.004953,3.108387,0.400618,0.318920,1.567102,0.001129,0.585290,-25.930324,2.007765,0.741641,0.358610,0.305925,0.316939,0.123887,0.048620,-0.014498,-0.000909,0.016286,0.038685,0.031546,0.012117,0.001796,0.040362,0.006538,0.057703,0.005660,0.038315,0.001447,0.003160,0.014737,0.030115,0.001688,0.022407,-0.000358,-0.000043,0.006260,0.000360,0.000114,0.003541,0.000016,0.000826,-0.006655,0.002390,0.006488,-0.005925,0.001292,-0.006631,-0.000430,0.005626,-0.003075,-0.002959,-0.004436,0.001787,0.001506,0.000031,0.000002,-0.000040,0.000072,0.000089,-0.000019,0.000382,-0.000068,-0.000013,-0.000080,-0.000056,-0.000047,0.000088,0.033093,0.003038,0.222117,0.030830,0.005047,0.278883,0.000478,0.123480,0.803744,0.185922,0.365720,0.205959,0.166871,0.164526,0.162085,0.152552,0.143292,0.145860,0.141666,0.129880,0.152398,0.009377,0.002178,0.020956,0.004518,0.028739,0.004164,0.021248,0.002317,0.002623,0.010758,0.018496,0.001620,0.005909,0.046405,0.003806,0.302871,0.029373,0.006276,0.338100,0.000589,0.131690,0.735737,0.230799,0.339203,0.274769,0.227790,0.216952,0.192410,0.186981,0.176277,0.192523,0.191642,0.170865,0.215344,0.014510,0.002572,0.028251,0.005931,0.038938,0.004816,0.030769,0.002917,0.003230,0.015607,0.024182,0.002051,0.007859,carolina
0.251257,0.004740,3.140195,0.400448,0.318878,1.617288,0.001157,0.601724,-25.873970,1.960502,0.688353,0.376581,0.255520,0.251516,0.090290,0.050323,0.016277,0.022293,0.035878,0.061810,0.060673,0.010914,0.001833,0.037369,0.005708,0.048096,0.006368,0.051623,0.001036,0.003436,0.014927,0.032302,0.002125,0.022847,0.000250,-0.000020,0.001179,0.000261,-0.000036,0.004268,0.000010,0.002069,-0.004585,-0.003456,0.001956,0.001326,0.000783,0.000879,-0.000911,-0.000728,-0.001658,0.002022,0.002826,0.000474,-0.000302,-0.000024,-0.000025,-0.000057,-0.000022,0.000341,-0.000056,0.000028,0.000006,-0.000027,-0.000249,-0.000300,0.000001,0.000005,0.039658,0.002633,0.144290,0.030478,0.004897,0.317211,0.000482,0.126857,0.802135,0.232483,0.358689,0.151788,0.162888,0.151810,0.149618,0.165525,0.168831,0.154327,0.124570,0.140974,0.133648,0.008632,0.002195,0.018338,0.004142,0.027977,0.004344,0.032944,0.000845,0.003019,0.010962,0.016583,0.001907,0.006814,0.051268,0.003500,0.214630,0.035950,0.006720,0.404249,0.000549,0.155465,0.898999,0.259517,0.412721,0.189751,0.227666,0.221550,0.206347,0.222466,0.233652,0.234304,0.176184,0.196644,0.181336,0.013166,0.002905,0.024574,0.005865,0.038756,0.006627,0.042273,0.001147,0.004072,0.016168,0.021598,0.002551,0.008838,carolina
0.253512,0.006614,3.146806,0.406711,0.319222,1.638145,0.001054,0.617160,-25.422611,1.940406,0.756282,0.395090,0.288082,0.328703,0.168199,0.083787,-0.013198,0.006727,0.013952,0.031733,0.024728,0.010620,0.001458,0.032354,0.007295,0.057521,0.004871,0.045143,0.001054,0.002478,0.013782,0.035297,0.001714,0.022912,0.000181,-0.000003,-0.001406,-0.000076,0.000059,-0.000373,0.000009,0.000118,0.003159,0.001239,-0.000737,-0.000561,0.000209,0.002125,-0.003512,-0.003623,0.000899,-0.000810,0.003918,-0.001315,-0.000830,0.000046,0.000005,0.000131,-0.000103,-0.000512,-0.000003,0.000148,0.000010,0.000028,0.000073,0.000348,0.000032,-0.000069,0.035606,0.001714,0.099021,0.020315,0.002648,0.251186,0.000317,0.091475,0.574043,0.220408,0.276328,0.161708,0.141755,0.153611,0.143033,0.164600,0.134129,0.128000,0.140615,0.142579,0.120040,0.011312,0.001524,0.016514,0.004917,0.024798,0.003909,0.028423,0.000940,0.001802,0.009916,0.019872,0.001609,0.005748,0.051672,0.002131,0.135230,0.022688,0.003697,0.329900,0.000372,0.116993,0.601592,0.274391,0.332236,0.219793,0.197118,0.214244,0.199742,0.220709,0.187030,0.185578,0.199039,0.197111,0.174219,0.016479,0.002140,0.023235,0.007338,0.035556,0.005801,0.037765,0.001352,0.002534,0.014890,0.027640,0.002276,0.007990,carolina
