@RELATION trained_models/ruido_blanco/original//knn/snr_-10/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.484224,0.023897,3.308801,0.488590,0.294642,3.270286,0.000507,0.889701,-23.926771,0.576949,0.452292,0.347945,0.277584,0.201450,0.139181,0.100448,0.055489,0.036203,0.033923,-0.003427,0.016380,0.002956,0.001275,0.005694,0.002264,0.009111,0.002017,0.007112,0.001323,0.001690,0.003330,0.004733,0.001409,0.003062,0.000018,0.000003,0.000078,-0.000025,-0.000016,0.000008,0.000005,-0.000091,0.000491,-0.000058,-0.000074,-0.002967,-0.002230,-0.001921,0.000008,0.001707,-0.000450,0.003288,0.003684,0.002021,0.001234,-0.000009,0.000000,0.000011,-0.000002,-0.000008,0.000015,-0.000020,0.000008,-0.000008,0.000011,-0.000027,-0.000001,-0.000005,0.012137,0.001122,0.015574,0.007080,0.002389,0.035164,0.000048,0.010842,0.194116,0.127114,0.154507,0.148782,0.117952,0.143811,0.147391,0.136772,0.116622,0.130512,0.131203,0.121286,0.129076,0.001454,0.000509,0.002639,0.001036,0.004174,0.000866,0.003403,0.000511,0.000656,0.001827,0.002402,0.000665,0.000881,0.018322,0.001447,0.019860,0.010521,0.003206,0.048450,0.000051,0.017623,0.263983,0.186534,0.211913,0.209522,0.175212,0.208434,0.203678,0.195270,0.167027,0.191084,0.164000,0.162794,0.183558,0.001790,0.000749,0.003513,0.001487,0.005807,0.001335,0.004818,0.000763,0.000887,0.002684,0.003327,0.000925,0.001239,carolina
0.484950,0.026008,3.309168,0.488597,0.295071,3.268770,0.000513,0.890699,-23.790636,0.606750,0.432868,0.329532,0.273994,0.204691,0.112952,0.051081,0.034502,0.004137,-0.001375,0.015964,0.037086,0.002781,0.001293,0.005841,0.002449,0.008521,0.002233,0.007666,0.001335,0.001612,0.002945,0.005191,0.001531,0.003050,-0.000036,-0.000021,0.000005,0.000075,0.000051,0.000166,0.000005,0.000336,-0.000936,-0.000867,0.000666,-0.001842,-0.004256,-0.001739,0.004227,0.001898,-0.001324,-0.004391,-0.003971,-0.001593,0.002162,0.000012,0.000003,-0.000005,0.000024,-0.000082,0.000006,-0.000006,0.000004,-0.000005,0.000002,-0.000021,0.000001,-0.000015,0.010874,0.001061,0.013944,0.005850,0.002663,0.037012,0.000047,0.009990,0.218794,0.152972,0.188682,0.145124,0.146424,0.149841,0.139146,0.148143,0.130544,0.130246,0.135882,0.133707,0.118472,0.001613,0.000560,0.002357,0.001120,0.003908,0.001042,0.004362,0.000632,0.000752,0.001592,0.002590,0.000758,0.001095,0.014790,0.001511,0.019758,0.007864,0.003821,0.052073,0.000052,0.014262,0.287147,0.232310,0.254106,0.203966,0.208635,0.221385,0.214800,0.225190,0.204902,0.174317,0.204528,0.198524,0.179535,0.002396,0.000836,0.003556,0.001498,0.005527,0.001502,0.006031,0.000902,0.001004,0.002242,0.003768,0.001095,0.001411,carolina
0.485331,0.023888,3.308022,0.488117,0.294776,3.266694,0.000509,0.889301,-23.923154,0.585368,0.422191,0.300319,0.258401,0.208832,0.144562,0.085473,0.043268,0.053877,0.062491,0.018294,0.002058,0.002460,0.001324,0.005826,0.002049,0.008848,0.002106,0.008143,0.001359,0.001711,0.003112,0.005063,0.001428,0.003186,0.000095,-0.000008,0.000062,-0.000012,-0.000011,0.000362,0.000005,0.000073,-0.001542,-0.002398,0.000866,-0.000388,-0.000670,0.000856,0.001508,0.002718,0.002729,-0.001500,-0.002806,0.000597,0.001252,0.000027,0.000006,-0.000009,0.000006,-0.000051,-0.000003,-0.000024,-0.000005,-0.000019,0.000013,-0.000009,0.000000,-0.000013,0.013786,0.001523,0.018294,0.008861,0.003085,0.052800,0.000050,0.012606,0.292668,0.147652,0.180179,0.186999,0.141435,0.131426,0.124455,0.132643,0.131120,0.139376,0.120020,0.133671,0.138070,0.001362,0.000681,0.002718,0.000787,0.004128,0.001017,0.004485,0.000573,0.000917,0.001691,0.002473,0.000654,0.001135,0.018994,0.002106,0.031361,0.011991,0.004071,0.076616,0.000051,0.016011,0.355508,0.191145,0.228241,0.257534,0.203834,0.199357,0.187322,0.192965,0.197380,0.177968,0.141604,0.189680,0.183445,0.002044,0.001032,0.004137,0.001017,0.005715,0.001444,0.006033,0.000742,0.001451,0.002464,0.003295,0.000923,0.001559,carolina
0.485222,0.052116,3.312159,0.488910,0.294445,3.274761,0.000506,0.889746,-22.867085,0.600537,0.459957,0.352047,0.268022,0.180379,0.125287,0.077794,0.057533,0.018006,0.034291,0.038386,0.011961,0.002672,0.001263,0.005745,0.002152,0.009098,0.002176,0.007543,0.001252,0.001596,0.002957,0.004939,0.001415,0.003115,-0.000268,0.000014,-0.000043,-0.000096,0.000007,-0.000095,0.000005,-0.000036,0.003830,0.002158,0.000511,-0.002043,-0.000070,0.003392,0.001581,-0.000944,-0.001102,-0.000775,-0.002792,-0.001211,-0.000015,0.000006,-0.000012,-0.000018,0.000008,0.000059,0.000011,0.000006,0.000014,-0.000032,0.000005,-0.000016,0.000007,0.000006,0.012024,0.001918,0.004735,0.005831,0.002366,0.028890,0.000040,0.010188,0.204458,0.132119,0.181379,0.157583,0.127399,0.126994,0.136733,0.130744,0.133194,0.120998,0.131361,0.128523,0.113171,0.001509,0.000486,0.002334,0.000926,0.004163,0.000932,0.003833,0.000499,0.000715,0.001909,0.002533,0.000573,0.001071,0.017623,0.002532,0.006745,0.007728,0.003167,0.039718,0.000044,0.014085,0.243573,0.187757,0.270127,0.223828,0.182745,0.169889,0.188057,0.180907,0.185988,0.174867,0.188179,0.180194,0.159455,0.002107,0.000621,0.003398,0.001336,0.006440,0.001432,0.005587,0.000725,0.001008,0.002612,0.003658,0.000838,0.001653,carolina
0.482672,0.025588,3.308136,0.487392,0.294877,3.265886,0.000509,0.888793,-23.815582,0.584707,0.409746,0.301566,0.275729,0.230670,0.165078,0.096060,0.068479,0.027143,0.041025,0.023573,0.020422,0.002636,0.001485,0.006338,0.001991,0.009305,0.002124,0.007473,0.001318,0.001686,0.002991,0.005184,0.001387,0.003299,0.000000,-0.000003,0.000038,-0.000030,0.000017,-0.000070,0.000005,0.000018,0.000734,0.000020,-0.001452,-0.000155,-0.002724,-0.000278,-0.000662,0.001905,0.001211,0.000038,-0.000983,-0.002673,-0.002753,0.000026,0.000005,0.000001,0.000003,-0.000011,0.000001,0.000070,0.000011,-0.000010,-0.000014,-0.000008,-0.000000,0.000015,0.013047,0.001266,0.021248,0.006815,0.002980,0.044761,0.000052,0.009647,0.240969,0.153842,0.175399,0.179626,0.157131,0.135338,0.120082,0.129250,0.137217,0.122830,0.127811,0.128298,0.121119,0.001250,0.000721,0.002819,0.000843,0.004650,0.000901,0.004291,0.000552,0.000691,0.002014,0.002847,0.000754,0.001278,0.018425,0.001889,0.030952,0.010295,0.004268,0.065293,0.000058,0.014885,0.339510,0.219416,0.233105,0.241406,0.213535,0.181132,0.164678,0.188544,0.207554,0.168301,0.187655,0.165696,0.166611,0.001690,0.000987,0.003993,0.001234,0.006532,0.001281,0.006189,0.000736,0.000950,0.002840,0.004072,0.001096,0.001934,carolina
0.484583,0.051892,3.311611,0.489016,0.294725,3.274339,0.000508,0.889555,-22.872460,0.584339,0.453576,0.343054,0.293043,0.207031,0.141819,0.090629,0.055602,0.046602,0.042416,-0.005521,-0.013789,0.002538,0.001219,0.006046,0.002057,0.008744,0.001942,0.007730,0.001346,0.001649,0.002960,0.005321,0.001393,0.003162,-0.000381,0.000045,-0.000082,-0.000078,0.000001,-0.000551,0.000005,-0.000263,0.000668,0.001303,0.000596,0.001022,0.002287,0.001187,0.001413,0.004219,-0.000370,-0.002935,0.001650,-0.000998,-0.004241,0.000002,0.000006,0.000038,0.000005,0.000042,-0.000007,-0.000004,-0.000010,-0.000004,-0.000028,0.000092,-0.000004,0.000025,0.011343,0.001834,0.003812,0.004550,0.002472,0.022912,0.000043,0.008358,0.189657,0.132813,0.158302,0.126249,0.123937,0.136215,0.125030,0.150459,0.151148,0.139528,0.143152,0.134876,0.138717,0.001341,0.000475,0.002613,0.000824,0.004059,0.000956,0.004290,0.000523,0.000631,0.001517,0.002558,0.000609,0.001056,0.015208,0.002360,0.005277,0.006090,0.003603,0.030630,0.000052,0.011680,0.253850,0.195432,0.196011,0.170556,0.186971,0.205860,0.181117,0.220433,0.203438,0.195091,0.200799,0.187429,0.204935,0.001975,0.000709,0.003697,0.001251,0.005854,0.001405,0.006472,0.000752,0.000895,0.002110,0.003647,0.000838,0.001487,carolina
0.485204,0.024496,3.308665,0.488032,0.295133,3.266974,0.000509,0.889074,-23.867325,0.596477,0.410168,0.340781,0.279020,0.214359,0.110567,0.071953,0.054255,0.033724,0.019482,0.004627,0.016246,0.002780,0.001452,0.006068,0.002269,0.008177,0.002343,0.007780,0.001315,0.001842,0.002844,0.005707,0.001426,0.003052,0.000277,-0.000036,0.000177,0.000147,-0.000107,0.001047,0.000005,0.000064,-0.008636,-0.001464,0.003317,0.004871,0.001174,-0.004476,-0.001136,-0.002606,-0.001391,0.000350,-0.000699,0.002009,0.000605,0.000001,0.000011,0.000004,0.000000,-0.000073,0.000032,-0.000006,0.000005,-0.000021,0.000003,-0.000003,-0.000023,-0.000015,0.011555,0.001271,0.018468,0.006946,0.002686,0.041503,0.000049,0.012058,0.239237,0.157223,0.194182,0.164874,0.131635,0.139851,0.146253,0.148639,0.138711,0.134645,0.130759,0.131500,0.135872,0.001388,0.000675,0.002552,0.001080,0.004157,0.001097,0.004068,0.000501,0.000859,0.001317,0.002881,0.000649,0.001113,0.017480,0.001723,0.026734,0.009694,0.003729,0.057065,0.000057,0.017123,0.322461,0.234720,0.269314,0.224853,0.188835,0.191477,0.222211,0.231890,0.214721,0.197277,0.200792,0.200672,0.208882,0.002007,0.000979,0.003899,0.001609,0.006287,0.001528,0.006177,0.000752,0.001188,0.001852,0.003748,0.000885,0.001707,carolina
0.482632,0.025111,3.302872,0.486639,0.295360,3.257275,0.000510,0.888820,-23.810562,0.607789,0.420623,0.301662,0.236636,0.205563,0.137727,0.072897,0.046625,0.016819,0.004784,0.022071,0.023891,0.003063,0.001566,0.006718,0.002302,0.008296,0.002108,0.007027,0.001522,0.001861,0.003127,0.005004,0.001480,0.003003,0.000077,-0.000056,0.000903,0.000224,-0.000059,0.002521,0.000005,0.000181,-0.006962,-0.000333,0.004387,-0.003300,-0.003416,-0.003462,0.000186,0.003454,-0.002488,-0.003640,-0.002079,0.001805,0.002340,-0.000027,-0.000002,-0.000058,0.000007,0.000028,-0.000061,0.000064,-0.000001,-0.000003,-0.000049,-0.000080,0.000010,0.000010,0.012890,0.001864,0.041684,0.009215,0.003507,0.072199,0.000054,0.013334,0.322023,0.170998,0.197914,0.185304,0.157416,0.134417,0.133777,0.147700,0.133653,0.151418,0.133580,0.130178,0.134895,0.001748,0.000974,0.002961,0.001255,0.003741,0.001246,0.003653,0.000729,0.001160,0.001766,0.002492,0.000741,0.001015,0.016594,0.002170,0.056405,0.010237,0.004224,0.083878,0.000066,0.016071,0.359829,0.232643,0.247093,0.224300,0.216606,0.191456,0.175804,0.202272,0.173298,0.215501,0.181339,0.177266,0.173887,0.002383,0.001172,0.004182,0.001728,0.005067,0.001655,0.004890,0.000960,0.001478,0.002433,0.003346,0.000874,0.001477,carolina
0.483689,0.025472,3.307521,0.486761,0.295005,3.263451,0.000509,0.888448,-23.806599,0.586600,0.392829,0.306349,0.226726,0.144640,0.099237,0.083772,0.063619,0.033122,0.025241,0.022449,0.026621,0.002899,0.001552,0.006262,0.002243,0.007196,0.002260,0.008142,0.001277,0.002007,0.002964,0.005634,0.001559,0.003023,0.000118,0.000002,0.000105,0.000033,-0.000038,0.000184,0.000005,-0.000145,0.000636,0.000544,-0.001177,-0.000518,0.001153,0.000288,-0.002909,-0.001611,0.000660,0.000915,-0.000327,0.000532,-0.002889,-0.000003,0.000001,-0.000016,0.000009,0.000073,-0.000003,-0.000032,0.000002,-0.000004,-0.000025,-0.000076,0.000004,0.000000,0.013294,0.001765,0.024273,0.008152,0.003456,0.059766,0.000056,0.012322,0.296852,0.174564,0.202417,0.143526,0.152632,0.157776,0.145726,0.142431,0.134959,0.133710,0.109654,0.132992,0.146865,0.001601,0.000656,0.002599,0.001149,0.004144,0.001080,0.003931,0.000512,0.001070,0.001654,0.003032,0.001009,0.001024,0.018215,0.002264,0.033702,0.010949,0.004515,0.078360,0.000061,0.017373,0.363593,0.241106,0.254602,0.198225,0.221761,0.233191,0.206538,0.184383,0.176993,0.195556,0.168863,0.176445,0.211214,0.002317,0.000901,0.003637,0.001800,0.005530,0.001610,0.004910,0.000771,0.001485,0.002478,0.003859,0.001409,0.001435,carolina
0.483317,0.050600,3.312530,0.487660,0.294633,3.275818,0.000502,0.889201,-22.870911,0.575833,0.415378,0.284987,0.228170,0.199639,0.160011,0.085479,0.037385,0.021309,0.012964,0.022513,0.013694,0.002419,0.001448,0.005592,0.002221,0.008257,0.002123,0.007583,0.001378,0.001685,0.002795,0.005248,0.001406,0.002972,0.000086,-0.000001,0.000055,-0.000008,0.000045,-0.000135,0.000005,0.000118,0.002644,0.001763,-0.000515,-0.002566,0.000737,-0.000877,-0.001860,-0.000721,0.000200,-0.002167,-0.000732,-0.000880,0.002565,0.000003,0.000005,-0.000068,-0.000009,-0.000011,-0.000009,0.000012,0.000005,0.000013,-0.000006,0.000076,0.000012,-0.000009,0.011849,0.001852,0.005472,0.005717,0.002373,0.025978,0.000043,0.008702,0.203867,0.154655,0.150314,0.142129,0.129548,0.133650,0.139478,0.153243,0.120963,0.128111,0.122030,0.122147,0.127131,0.001172,0.000637,0.002697,0.000963,0.003796,0.000946,0.003504,0.000650,0.000692,0.001371,0.002762,0.000674,0.000922,0.017929,0.002404,0.008074,0.007933,0.003098,0.032694,0.000047,0.013072,0.256270,0.198575,0.234129,0.201246,0.180737,0.191673,0.199399,0.224908,0.179014,0.170719,0.155366,0.176078,0.186237,0.001686,0.000908,0.003880,0.001403,0.005241,0.001356,0.005003,0.001005,0.001037,0.001918,0.003802,0.000902,0.001271,carolina
