@RELATION trained_models/ruido_blanco/original//knn/snr_0/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.367704,0.006235,3.234856,0.449906,0.309721,2.518973,0.000689,0.803584,-25.499074,1.505834,0.778281,0.419486,0.318999,0.269282,0.158091,0.089611,0.022164,0.012558,0.028892,0.009866,0.023117,0.008563,0.001241,0.020838,0.005079,0.041846,0.004040,0.028524,0.001167,0.002127,0.010907,0.018355,0.001584,0.015008,-0.000236,0.000006,0.000765,-0.000145,0.000009,-0.001045,0.000007,-0.000118,0.005214,-0.000952,-0.003244,-0.001497,-0.000935,-0.000914,0.000989,0.002477,-0.000812,0.002642,0.001092,-0.001306,-0.000791,0.000013,-0.000002,0.000079,0.000005,-0.000005,0.000031,-0.000061,0.000013,-0.000001,0.000091,-0.000073,0.000014,-0.000011,0.028848,0.001402,0.081934,0.012718,0.002867,0.221875,0.000133,0.045332,0.315220,0.136482,0.201411,0.156634,0.127681,0.142405,0.153613,0.139164,0.112680,0.127800,0.126670,0.123872,0.133739,0.006358,0.000773,0.011732,0.004117,0.017933,0.002793,0.014915,0.000619,0.001145,0.008008,0.010915,0.001138,0.003511,0.042239,0.001894,0.106543,0.017162,0.003990,0.308235,0.000150,0.065019,0.380856,0.190476,0.238444,0.210880,0.190449,0.202716,0.230637,0.204970,0.166408,0.185184,0.159061,0.169957,0.175029,0.008082,0.001048,0.016846,0.005798,0.025552,0.003978,0.019950,0.000804,0.001497,0.011407,0.015507,0.001591,0.005011,carolina
0.367568,0.006525,3.228204,0.447337,0.310804,2.496177,0.000715,0.803240,-25.351793,1.525285,0.717038,0.420470,0.303336,0.272118,0.137616,0.050053,0.014090,-0.011238,0.001903,0.030378,0.027967,0.008281,0.001283,0.020894,0.005514,0.038905,0.004880,0.029659,0.001266,0.002168,0.010449,0.020842,0.001757,0.014736,0.000649,-0.000017,0.000153,0.000116,0.000045,0.003337,0.000006,0.000808,-0.001978,-0.000008,0.000904,-0.002395,-0.003598,-0.002376,0.003285,0.001173,-0.001884,-0.005560,-0.002860,0.000104,0.002528,0.000111,-0.000002,-0.000000,0.000051,-0.000388,0.000034,0.000019,0.000002,0.000003,0.000032,-0.000010,0.000003,-0.000071,0.026637,0.001302,0.088403,0.014964,0.003193,0.224782,0.000168,0.040490,0.448508,0.144760,0.280505,0.153899,0.152426,0.157769,0.150115,0.144152,0.141630,0.131021,0.129752,0.126416,0.142348,0.006903,0.000914,0.009514,0.004201,0.017935,0.003632,0.019389,0.000984,0.001534,0.007910,0.012441,0.001428,0.004483,0.037936,0.001816,0.122763,0.017807,0.004251,0.310211,0.000204,0.055796,0.505873,0.219434,0.337454,0.209560,0.208876,0.221100,0.226495,0.207384,0.213814,0.182801,0.200602,0.196881,0.196523,0.010697,0.001121,0.014304,0.005761,0.025095,0.005146,0.026614,0.001382,0.002104,0.011375,0.017156,0.001901,0.005924,carolina
0.368353,0.006407,3.229333,0.446647,0.310041,2.502071,0.000698,0.799111,-25.418595,1.490993,0.720378,0.397783,0.309747,0.259722,0.144423,0.083883,0.019753,0.040098,0.049212,0.019045,0.005433,0.006628,0.001464,0.020467,0.004541,0.040462,0.004365,0.032097,0.001225,0.002360,0.009904,0.020080,0.001644,0.015248,0.000281,-0.000008,0.000682,0.000032,-0.000026,0.002209,0.000006,0.000163,-0.001616,-0.002303,0.001143,0.000299,-0.000503,0.000020,0.000284,0.002981,0.003883,-0.001891,-0.003383,0.000615,0.001196,0.000068,0.000012,-0.000040,0.000051,-0.000196,-0.000008,-0.000091,-0.000006,-0.000027,0.000087,-0.000068,0.000002,-0.000055,0.033250,0.002060,0.096350,0.021338,0.003397,0.263069,0.000190,0.061334,0.578723,0.138430,0.298125,0.181839,0.142727,0.129267,0.126432,0.119651,0.133092,0.142013,0.118748,0.131546,0.148640,0.005471,0.001343,0.010444,0.002743,0.018350,0.003497,0.019770,0.000866,0.001798,0.007698,0.012137,0.001339,0.004638,0.042696,0.002826,0.148451,0.024226,0.004398,0.325244,0.000220,0.081461,0.583024,0.190481,0.311378,0.235015,0.188941,0.190898,0.170178,0.165127,0.165127,0.182902,0.154013,0.189431,0.208814,0.008283,0.001866,0.015933,0.003520,0.024309,0.004769,0.026273,0.000913,0.002686,0.011431,0.016391,0.001802,0.005869,carolina
0.368485,0.016386,3.244314,0.449630,0.309953,2.520599,0.000700,0.806788,-24.143099,1.518194,0.755971,0.443474,0.327909,0.257698,0.144317,0.067392,0.025828,0.003199,0.026857,0.035687,0.013023,0.007602,0.001299,0.021364,0.005016,0.041840,0.004113,0.029234,0.001022,0.002144,0.009769,0.019525,0.001507,0.015215,-0.000009,0.000010,-0.000552,-0.000068,-0.000005,-0.001105,0.000007,-0.000218,0.001245,-0.000246,0.000478,-0.000114,0.001444,0.004448,0.002285,-0.000144,-0.000527,-0.001175,-0.003424,-0.000703,0.000482,0.000026,-0.000018,-0.000226,-0.000028,0.000302,0.000004,0.000021,0.000011,-0.000058,-0.000007,-0.000055,0.000017,0.000019,0.033544,0.002742,0.052046,0.013194,0.003126,0.220163,0.000168,0.034719,0.396487,0.146714,0.271793,0.165895,0.143394,0.121757,0.157675,0.127357,0.141586,0.111515,0.124322,0.123424,0.104655,0.006513,0.000908,0.011086,0.003329,0.018605,0.002759,0.016880,0.000492,0.001442,0.008030,0.010848,0.000830,0.003940,0.050534,0.003710,0.076941,0.016394,0.003933,0.307335,0.000168,0.048414,0.469031,0.208307,0.373500,0.241858,0.201861,0.175255,0.218619,0.179563,0.208273,0.160437,0.167057,0.173143,0.150468,0.008904,0.001207,0.015627,0.004539,0.027983,0.004084,0.023928,0.000703,0.001971,0.010880,0.015608,0.001188,0.006076,carolina
0.363580,0.006635,3.231799,0.446659,0.310284,2.487647,0.000725,0.796933,-25.358594,1.510417,0.692848,0.389700,0.330679,0.295964,0.163996,0.070726,0.036278,0.016061,0.045843,0.033789,0.025935,0.007018,0.001554,0.023569,0.003874,0.041652,0.003808,0.028905,0.001210,0.002395,0.009596,0.020163,0.001667,0.015653,0.000073,-0.000007,0.000560,0.000001,-0.000000,0.001497,0.000005,0.000327,0.000195,-0.001091,-0.001217,0.001756,-0.001607,-0.000106,-0.002038,-0.001016,-0.001212,-0.000633,-0.000187,-0.000944,-0.001085,0.000090,-0.000005,-0.000064,0.000028,-0.000171,0.000012,0.000278,0.000021,-0.000004,-0.000131,-0.000049,-0.000005,0.000008,0.035051,0.001688,0.103829,0.016486,0.003461,0.260819,0.000206,0.054283,0.483618,0.155845,0.284239,0.189837,0.157878,0.153048,0.120711,0.128571,0.134034,0.139508,0.131063,0.130157,0.133903,0.005029,0.001286,0.013350,0.002565,0.019533,0.002437,0.018437,0.000839,0.001737,0.007844,0.012641,0.001283,0.004648,0.050585,0.002400,0.150587,0.022400,0.004637,0.366123,0.000230,0.078403,0.606176,0.230183,0.337894,0.253323,0.212343,0.203043,0.160863,0.189326,0.197833,0.201791,0.192497,0.182337,0.181757,0.006837,0.001533,0.018878,0.003597,0.026373,0.003433,0.026371,0.001110,0.002268,0.011026,0.017856,0.001929,0.006789,carolina
0.368471,0.015844,3.240903,0.450167,0.310079,2.526020,0.000706,0.807432,-24.202682,1.485235,0.757608,0.442000,0.359533,0.281870,0.155986,0.071516,0.011688,0.028928,0.050367,0.010794,-0.003105,0.007507,0.001138,0.023397,0.003981,0.039637,0.003572,0.030152,0.001199,0.002189,0.009780,0.021427,0.001444,0.015505,-0.000567,0.000062,-0.002043,-0.000163,0.000023,-0.005632,0.000009,-0.001071,0.002232,0.002453,0.000742,0.001032,0.001275,-0.001180,0.000422,0.005202,0.001332,-0.001762,0.001453,-0.001478,-0.003563,0.000020,-0.000001,0.000130,0.000023,0.000059,-0.000042,-0.000027,-0.000009,-0.000025,-0.000010,0.000319,0.000001,0.000070,0.029107,0.002382,0.046364,0.011210,0.003363,0.202277,0.000143,0.028762,0.359903,0.139969,0.240488,0.139179,0.136077,0.132786,0.136227,0.161929,0.142946,0.148068,0.144080,0.147509,0.140019,0.005696,0.000646,0.012088,0.002746,0.019150,0.002690,0.019645,0.000879,0.001154,0.006954,0.011953,0.000946,0.004135,0.038944,0.003103,0.065524,0.014320,0.004468,0.270253,0.000179,0.038921,0.434971,0.190422,0.273388,0.186571,0.193788,0.199774,0.195623,0.236582,0.211784,0.210084,0.201836,0.202652,0.197484,0.008594,0.000909,0.017435,0.004202,0.028979,0.003869,0.029165,0.001137,0.001596,0.010199,0.016920,0.001058,0.005973,carolina
0.366279,0.006466,3.233674,0.446579,0.310701,2.491145,0.000729,0.799465,-25.401391,1.509170,0.703610,0.426292,0.322585,0.288269,0.119427,0.056528,0.033530,0.027051,0.015660,0.004736,0.014605,0.008085,0.001564,0.023561,0.004339,0.036459,0.004767,0.031911,0.001102,0.002600,0.009027,0.023252,0.001685,0.015135,0.000944,-0.000048,0.001575,0.000637,-0.000123,0.007485,0.000007,0.001497,-0.021007,0.002810,0.007483,0.001958,0.001948,-0.002943,0.001814,-0.003312,-0.001789,0.000532,-0.000638,0.001245,-0.000160,0.000036,-0.000037,0.000147,0.000001,-0.000205,0.000029,0.000183,0.000000,-0.000059,-0.000001,0.000019,-0.000030,-0.000010,0.035039,0.001633,0.096798,0.016946,0.003214,0.259221,0.000192,0.052007,0.471918,0.148001,0.296508,0.163387,0.149049,0.154480,0.159803,0.155509,0.142403,0.139995,0.141232,0.125619,0.132142,0.006123,0.001218,0.011139,0.003012,0.018447,0.003129,0.020371,0.000564,0.002000,0.005808,0.013484,0.001226,0.004593,0.049270,0.002241,0.145451,0.021154,0.004096,0.349782,0.000226,0.072585,0.533011,0.218069,0.369883,0.211161,0.197404,0.210833,0.226067,0.233602,0.199567,0.207150,0.194226,0.185121,0.197897,0.008426,0.001518,0.016609,0.004065,0.027637,0.004454,0.029631,0.000774,0.002658,0.008386,0.017491,0.001606,0.006894,carolina
0.363589,0.006858,3.209862,0.443524,0.310489,2.469530,0.000713,0.787795,-25.318224,1.517554,0.716248,0.391808,0.285781,0.261793,0.135416,0.061443,0.017331,0.000790,-0.003634,0.024217,0.026458,0.008755,0.001951,0.025615,0.004991,0.037838,0.004019,0.025710,0.001526,0.002758,0.009944,0.020237,0.001749,0.014451,0.000204,-0.000059,0.003321,0.000409,0.000018,0.005290,0.000010,0.001706,-0.008456,0.001518,0.005901,-0.004504,0.000086,-0.005926,-0.000848,0.004700,-0.002241,-0.002620,-0.003426,0.001625,0.001144,0.000006,0.000005,-0.000104,0.000053,0.000132,-0.000153,0.000333,-0.000027,0.000022,-0.000153,-0.000118,0.000029,0.000072,0.033987,0.002527,0.177209,0.023597,0.003486,0.307388,0.000215,0.079262,0.642710,0.161835,0.325583,0.207493,0.167296,0.156698,0.152702,0.163963,0.141303,0.142611,0.131396,0.138372,0.143004,0.005514,0.002245,0.012463,0.003620,0.017845,0.003014,0.015772,0.001336,0.002294,0.007287,0.012215,0.001378,0.004142,0.044230,0.002837,0.236338,0.022804,0.003721,0.349968,0.000282,0.089762,0.583972,0.224271,0.322915,0.250329,0.220093,0.210113,0.175496,0.220597,0.190830,0.196381,0.175128,0.189034,0.188730,0.007757,0.002565,0.015817,0.004681,0.023087,0.004039,0.020510,0.001504,0.002734,0.010325,0.015658,0.001559,0.006023,carolina
0.370812,0.006821,3.225203,0.443204,0.310453,2.507110,0.000715,0.797015,-25.240908,1.480218,0.643864,0.398761,0.271972,0.212470,0.099609,0.063671,0.038247,0.030902,0.032453,0.045338,0.044360,0.007434,0.001730,0.024398,0.004288,0.030983,0.004568,0.033378,0.001215,0.003248,0.009531,0.022627,0.001910,0.014716,0.000191,-0.000011,0.001665,0.000170,-0.000069,0.002775,0.000009,0.000481,-0.003509,-0.002981,0.000205,0.001140,0.002633,0.002230,-0.003520,-0.001719,0.000032,0.001016,0.001659,0.001206,-0.001022,-0.000004,-0.000011,-0.000036,-0.000001,0.000324,-0.000020,-0.000137,-0.000006,-0.000002,-0.000109,-0.000362,-0.000008,0.000007,0.034440,0.002274,0.135347,0.021734,0.003665,0.297158,0.000210,0.065987,0.618008,0.180627,0.347756,0.153148,0.157498,0.149539,0.151492,0.149823,0.150365,0.142241,0.123114,0.134875,0.142984,0.005994,0.001355,0.011790,0.003028,0.018602,0.002850,0.020316,0.000910,0.002754,0.007400,0.013031,0.001851,0.004687,0.043086,0.002835,0.189633,0.024481,0.004455,0.351437,0.000237,0.082385,0.643661,0.213512,0.390011,0.206470,0.226094,0.232344,0.221211,0.202994,0.184064,0.210527,0.175915,0.195736,0.203566,0.008813,0.001680,0.016779,0.004810,0.023989,0.003940,0.025335,0.001292,0.003592,0.011077,0.016278,0.002572,0.006251,carolina
0.371189,0.010420,3.245245,0.448207,0.309892,2.550562,0.000685,0.809365,-24.703960,1.474857,0.726328,0.398188,0.278637,0.273364,0.176875,0.088653,0.003601,0.008712,0.018308,0.024280,0.008668,0.007116,0.001521,0.021122,0.004918,0.037428,0.003895,0.030728,0.001226,0.002371,0.008840,0.021717,0.001692,0.014664,-0.000100,0.000003,-0.000222,-0.000051,0.000061,-0.000984,0.000005,0.000064,0.002506,0.002409,-0.000848,-0.003809,-0.000055,0.000098,-0.001464,-0.001067,0.001431,-0.001301,0.000701,-0.001575,0.001330,-0.000008,0.000004,-0.000340,-0.000052,-0.000122,-0.000006,0.000177,0.000009,0.000016,-0.000009,0.000472,0.000022,-0.000014,0.030211,0.001774,0.056294,0.013814,0.003304,0.220563,0.000140,0.032835,0.425953,0.162501,0.242816,0.147477,0.144219,0.140543,0.150435,0.160860,0.126011,0.125190,0.134142,0.133262,0.132874,0.005940,0.001362,0.011672,0.003415,0.017009,0.002493,0.017669,0.000869,0.001489,0.006290,0.012340,0.001263,0.003918,0.040170,0.002211,0.081985,0.016673,0.003881,0.270233,0.000143,0.042696,0.492110,0.199171,0.327784,0.210543,0.205593,0.188992,0.212107,0.226960,0.183331,0.170720,0.193921,0.189286,0.195771,0.008301,0.001920,0.017300,0.005317,0.023680,0.003680,0.023987,0.001267,0.001980,0.008902,0.018040,0.001761,0.005377,carolina
