@RELATION trained_models/ruido_blanco/original//randomforest/snr_-5/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.451933,0.011363,3.289867,0.474819,0.300739,3.086851,0.000551,0.869510,-24.748612,0.997055,0.643636,0.421870,0.318898,0.238246,0.152208,0.097360,0.040392,0.023254,0.030626,0.001284,0.018285,0.004975,0.001277,0.011096,0.003276,0.020890,0.002747,0.014639,0.001278,0.001848,0.006077,0.009557,0.001487,0.007309,-0.000018,0.000005,0.000215,-0.000073,-0.000000,-0.000230,0.000005,-0.000100,0.002766,0.000153,-0.001320,-0.002579,-0.001769,-0.001748,0.000319,0.002138,-0.000586,0.002994,0.002595,0.000487,0.000079,-0.000002,-0.000001,0.000042,0.000002,-0.000003,0.000022,-0.000031,0.000011,-0.000006,0.000040,-0.000046,0.000003,-0.000005,0.018056,0.001247,0.041289,0.009407,0.002730,0.112736,0.000071,0.018938,0.247789,0.129652,0.175856,0.154533,0.123002,0.144541,0.150468,0.141030,0.111836,0.126637,0.129411,0.119981,0.132179,0.003183,0.000626,0.005879,0.002070,0.009582,0.001543,0.007487,0.000528,0.000819,0.004088,0.005466,0.000893,0.001974,0.026727,0.001659,0.053314,0.013341,0.003600,0.156035,0.000075,0.029118,0.317449,0.192050,0.221422,0.214718,0.186881,0.210266,0.215955,0.203384,0.158478,0.188330,0.161340,0.160878,0.179712,0.003947,0.000898,0.008136,0.002938,0.013502,0.002256,0.010290,0.000761,0.001076,0.005900,0.007667,0.001234,0.002808,carolina
0.452078,0.012066,3.288591,0.473936,0.301518,3.078285,0.000562,0.869483,-24.619441,1.031172,0.610101,0.406415,0.309858,0.244465,0.128505,0.049893,0.023540,-0.005576,-0.000411,0.022940,0.035630,0.004766,0.001299,0.011259,0.003570,0.019471,0.003192,0.015611,0.001320,0.001826,0.005596,0.010798,0.001637,0.007242,0.000123,-0.000018,0.000052,0.000093,0.000046,0.001262,0.000005,0.000408,-0.001574,-0.000774,0.000904,-0.001890,-0.004030,-0.002070,0.003898,0.001656,-0.001729,-0.005206,-0.003686,-0.000723,0.002476,0.000043,0.000000,-0.000008,0.000033,-0.000201,0.000017,0.000001,0.000004,-0.000003,0.000009,-0.000034,0.000002,-0.000040,0.015887,0.001167,0.042612,0.009205,0.003251,0.117860,0.000076,0.017160,0.313746,0.146581,0.231551,0.156454,0.147855,0.150309,0.142217,0.148705,0.138386,0.131338,0.130227,0.125895,0.131079,0.003492,0.000684,0.004988,0.002206,0.009240,0.001953,0.010142,0.000737,0.001046,0.003789,0.006118,0.001055,0.002491,0.021094,0.001635,0.059887,0.011657,0.004460,0.164231,0.000088,0.023850,0.380361,0.222672,0.298733,0.211466,0.208877,0.219464,0.219718,0.223870,0.215374,0.177452,0.201890,0.191345,0.190985,0.005341,0.000925,0.007507,0.002950,0.013044,0.002783,0.013850,0.001050,0.001422,0.005406,0.008681,0.001476,0.003272,carolina
0.453199,0.011474,3.287281,0.473243,0.301083,3.076186,0.000556,0.866897,-24.711234,1.002457,0.604538,0.385294,0.304247,0.237912,0.147016,0.083078,0.033549,0.046153,0.054644,0.015822,0.002303,0.003942,0.001391,0.011112,0.002923,0.020237,0.002918,0.016747,0.001329,0.001972,0.005557,0.010428,0.001514,0.007502,0.000064,-0.000008,0.000230,0.000005,-0.000018,0.001020,0.000005,0.000073,-0.001459,-0.002158,0.001228,0.000026,-0.000807,-0.000004,0.000603,0.002854,0.003421,-0.001597,-0.003106,0.000664,0.001368,0.000043,0.000008,-0.000023,0.000020,-0.000111,-0.000005,-0.000047,-0.000006,-0.000024,0.000038,-0.000033,0.000001,-0.000030,0.021443,0.001799,0.051530,0.014219,0.003529,0.153724,0.000091,0.024847,0.427214,0.136998,0.241876,0.190785,0.143001,0.128004,0.122399,0.124113,0.134748,0.140597,0.115530,0.129973,0.142619,0.002846,0.000944,0.005525,0.001509,0.009558,0.001902,0.010183,0.000694,0.001313,0.003813,0.005865,0.000924,0.002522,0.027624,0.002483,0.083699,0.017656,0.004250,0.197249,0.000097,0.033765,0.464873,0.186890,0.273700,0.248924,0.195790,0.194262,0.175088,0.173709,0.182138,0.180171,0.143297,0.187175,0.195785,0.004319,0.001393,0.008473,0.001870,0.012999,0.002610,0.013445,0.000798,0.002077,0.005631,0.007918,0.001275,0.003325,carolina
0.453339,0.027712,3.296960,0.475030,0.300707,3.093265,0.000552,0.869437,-23.522242,1.019067,0.641343,0.432893,0.316231,0.220647,0.140242,0.077628,0.045844,0.007487,0.027556,0.035487,0.011632,0.004430,0.001278,0.011299,0.003159,0.020893,0.002861,0.015291,0.001166,0.001797,0.005389,0.010166,0.001450,0.007430,-0.000227,0.000011,-0.000172,-0.000087,0.000002,-0.000484,0.000006,-0.000127,0.002864,0.001054,0.000084,-0.001592,0.000756,0.004397,0.002252,-0.000633,-0.001016,-0.000895,-0.002886,-0.000954,-0.000017,0.000014,-0.000015,-0.000081,-0.000003,0.000146,0.000009,0.000011,0.000014,-0.000043,-0.000001,-0.000030,0.000012,0.000012,0.018887,0.002286,0.017945,0.008441,0.002934,0.105881,0.000071,0.015336,0.286156,0.137380,0.224048,0.164437,0.135678,0.125019,0.147574,0.129366,0.138757,0.114158,0.126120,0.125795,0.107129,0.003240,0.000611,0.005356,0.001733,0.009794,0.001546,0.008578,0.000478,0.000953,0.004182,0.005649,0.000631,0.002308,0.028136,0.003073,0.025653,0.010812,0.003729,0.145944,0.000072,0.020686,0.342717,0.199230,0.322691,0.236635,0.194653,0.173190,0.203905,0.180130,0.196775,0.165368,0.176833,0.177386,0.153675,0.004452,0.000781,0.007630,0.002423,0.015059,0.002293,0.012373,0.000694,0.001316,0.005713,0.008119,0.000912,0.003605,carolina
0.449592,0.012090,3.287517,0.472880,0.301195,3.070627,0.000562,0.867423,-24.626238,1.012927,0.583224,0.374167,0.320304,0.267264,0.169761,0.087034,0.056721,0.019778,0.040725,0.026628,0.022466,0.004219,0.001528,0.012505,0.002657,0.021061,0.002756,0.015237,0.001282,0.001949,0.005396,0.010582,0.001504,0.007764,0.000054,-0.000005,0.000132,-0.000021,0.000011,0.000219,0.000005,0.000118,0.000721,-0.000238,-0.001441,0.000364,-0.002326,-0.000093,-0.001267,0.000377,-0.000224,-0.000455,-0.000580,-0.001807,-0.001926,0.000050,0.000001,-0.000020,0.000011,-0.000069,0.000005,0.000139,0.000015,-0.000007,-0.000057,-0.000029,-0.000002,0.000014,0.020177,0.001486,0.057824,0.010530,0.003589,0.141954,0.000095,0.019374,0.349613,0.157831,0.225890,0.192608,0.155061,0.142515,0.117334,0.125940,0.135040,0.131534,0.130933,0.129999,0.121600,0.002602,0.000936,0.006535,0.001509,0.010523,0.001476,0.009671,0.000639,0.001081,0.004291,0.006489,0.000955,0.002755,0.028629,0.002147,0.084074,0.015124,0.004935,0.202826,0.000105,0.029378,0.463761,0.228424,0.283752,0.253409,0.210188,0.188178,0.159267,0.186449,0.205273,0.185779,0.195655,0.176180,0.167355,0.003487,0.001174,0.009165,0.002163,0.014507,0.002093,0.013902,0.000861,0.001436,0.006048,0.009245,0.001427,0.004110,carolina
0.452400,0.027182,3.295772,0.475346,0.300892,3.095005,0.000555,0.870054,-23.560437,0.990864,0.637518,0.430736,0.349782,0.250546,0.154239,0.083076,0.035310,0.036314,0.043989,-0.002433,-0.013339,0.004291,0.001191,0.012204,0.002732,0.019834,0.002513,0.015759,0.001297,0.001833,0.005392,0.011059,0.001424,0.007562,-0.000590,0.000053,-0.000613,-0.000113,0.000014,-0.002391,0.000006,-0.000399,0.001372,0.002006,0.000816,0.000986,0.001629,0.000034,0.001052,0.004714,0.000424,-0.002397,0.001672,-0.001179,-0.004027,0.000010,0.000004,0.000086,0.000015,0.000070,-0.000019,-0.000006,-0.000010,-0.000012,-0.000023,0.000194,-0.000002,0.000050,0.017046,0.002018,0.015340,0.006885,0.003099,0.089807,0.000066,0.011554,0.263004,0.135908,0.196854,0.137744,0.133225,0.133024,0.126163,0.159832,0.152465,0.147216,0.148828,0.145717,0.144523,0.002816,0.000516,0.005960,0.001428,0.009837,0.001566,0.010020,0.000634,0.000786,0.003452,0.005933,0.000740,0.002353,0.022209,0.002606,0.021791,0.008997,0.004214,0.118846,0.000081,0.015927,0.333249,0.193436,0.233223,0.183676,0.197126,0.201643,0.180390,0.235650,0.214413,0.207118,0.205112,0.202294,0.209947,0.004226,0.000750,0.008562,0.002149,0.014588,0.002282,0.014961,0.000859,0.001106,0.004981,0.008430,0.000912,0.003356,carolina
0.452010,0.011698,3.288918,0.473252,0.301542,3.072820,0.000564,0.867595,-24.675268,1.013182,0.588035,0.419120,0.324083,0.256071,0.119197,0.064231,0.043813,0.028098,0.014113,0.003091,0.018042,0.004696,0.001509,0.012325,0.003051,0.018435,0.003243,0.016406,0.001243,0.002139,0.005066,0.012036,0.001536,0.007378,0.000522,-0.000043,0.000668,0.000352,-0.000144,0.004138,0.000006,0.000299,-0.014673,-0.000302,0.005611,0.004008,0.001820,-0.003764,-0.000039,-0.003085,-0.001702,0.000851,-0.000670,0.001508,0.000206,0.000004,-0.000008,0.000037,0.000001,-0.000168,0.000033,0.000043,0.000004,-0.000039,-0.000000,-0.000001,-0.000028,-0.000027,0.018589,0.001445,0.050514,0.010813,0.003275,0.131581,0.000088,0.020914,0.335808,0.149095,0.243022,0.172597,0.139520,0.151100,0.154331,0.151877,0.142025,0.142776,0.141005,0.128750,0.131390,0.003094,0.000857,0.005698,0.001808,0.009747,0.001824,0.009947,0.000504,0.001308,0.002920,0.006822,0.000881,0.002538,0.026000,0.001974,0.074426,0.014245,0.004270,0.178702,0.000102,0.029162,0.411533,0.220719,0.323054,0.225399,0.188926,0.203293,0.230273,0.235152,0.207084,0.212206,0.206528,0.194230,0.202364,0.004269,0.001144,0.008593,0.002531,0.014683,0.002579,0.014803,0.000722,0.001753,0.004177,0.008865,0.001160,0.003881,carolina
0.450100,0.012124,3.273257,0.471088,0.301726,3.050978,0.000563,0.864973,-24.604429,1.026552,0.598399,0.381268,0.281623,0.238171,0.140999,0.068892,0.034440,0.006811,-0.001769,0.022218,0.024256,0.005156,0.001771,0.013517,0.003297,0.018952,0.002842,0.013822,0.001569,0.002241,0.005665,0.010464,0.001608,0.007104,0.000005,-0.000058,0.002314,0.000332,-0.000045,0.004975,0.000007,0.000544,-0.008052,0.000764,0.005438,-0.003896,-0.001807,-0.004786,-0.000577,0.004209,-0.002249,-0.003238,-0.002822,0.001746,0.001719,-0.000020,-0.000000,-0.000090,0.000027,0.000074,-0.000111,0.000184,-0.000014,0.000005,-0.000101,-0.000108,0.000018,0.000037,0.021062,0.002234,0.107698,0.015426,0.004183,0.191407,0.000104,0.027405,0.470209,0.171667,0.262864,0.204851,0.166224,0.146476,0.147119,0.158920,0.137741,0.145729,0.130920,0.137233,0.143889,0.003194,0.001612,0.006444,0.002146,0.009031,0.002010,0.008148,0.000994,0.001708,0.003872,0.005795,0.001048,0.002283,0.025286,0.002523,0.143843,0.015818,0.004553,0.213048,0.000134,0.031226,0.464769,0.228825,0.287017,0.241269,0.224427,0.203079,0.179315,0.213566,0.177272,0.203226,0.174883,0.181457,0.188333,0.004361,0.001894,0.008600,0.002769,0.012145,0.002634,0.010695,0.001183,0.002080,0.005346,0.007727,0.001185,0.003407,carolina
0.452409,0.012280,3.284005,0.471082,0.301496,3.071377,0.000562,0.866171,-24.563447,1.000250,0.549795,0.383884,0.268003,0.180189,0.103794,0.076627,0.056632,0.034010,0.029906,0.034128,0.035684,0.004591,0.001644,0.012693,0.002974,0.015722,0.003093,0.017135,0.001264,0.002514,0.005338,0.011752,0.001722,0.007173,0.000172,-0.000006,0.000522,0.000087,-0.000058,0.001112,0.000006,0.000018,-0.001658,-0.001716,-0.000882,0.000567,0.002280,0.001379,-0.003170,-0.001829,0.000292,0.001228,0.001128,0.001051,-0.001844,-0.000003,-0.000002,-0.000031,0.000005,0.000160,-0.000011,-0.000081,-0.000001,-0.000004,-0.000059,-0.000195,-0.000001,-0.000002,0.019700,0.002032,0.070899,0.013702,0.004186,0.169362,0.000103,0.025202,0.442604,0.171040,0.277113,0.150996,0.157785,0.154870,0.150247,0.152849,0.141816,0.139675,0.116132,0.134720,0.145179,0.003252,0.000948,0.005742,0.001846,0.009720,0.001759,0.009745,0.000641,0.001793,0.003803,0.006627,0.001432,0.002437,0.026168,0.002561,0.098588,0.016643,0.005082,0.209961,0.000112,0.033671,0.494595,0.223459,0.329388,0.203400,0.229850,0.238341,0.216758,0.204598,0.182020,0.204808,0.176088,0.186892,0.209037,0.004719,0.001234,0.008253,0.002911,0.012643,0.002491,0.012134,0.000949,0.002377,0.005702,0.008232,0.002009,0.003331,carolina
0.453498,0.021160,3.297816,0.473703,0.300824,3.103529,0.000545,0.869982,-23.846294,0.988357,0.599483,0.371474,0.275213,0.245565,0.178442,0.088356,0.021720,0.013083,0.014086,0.020056,0.006742,0.004051,0.001481,0.011048,0.003191,0.018672,0.002743,0.015693,0.001337,0.001930,0.004927,0.011041,0.001533,0.007086,-0.000077,0.000002,0.000041,-0.000038,0.000058,-0.000464,0.000005,0.000018,0.003863,0.002817,-0.001307,-0.004059,0.000194,-0.000107,-0.001687,-0.001152,0.000410,-0.002115,-0.000278,-0.000731,0.003115,0.000000,0.000005,-0.000165,-0.000023,-0.000045,-0.000008,0.000076,0.000006,0.000015,-0.000008,0.000219,0.000016,-0.000010,0.016479,0.001733,0.021080,0.008604,0.003078,0.100175,0.000065,0.012654,0.297838,0.160709,0.189555,0.146382,0.134961,0.134230,0.143976,0.157025,0.121841,0.126533,0.127968,0.126966,0.130749,0.002779,0.000874,0.005955,0.001877,0.008872,0.001443,0.008457,0.000736,0.000924,0.003133,0.006262,0.000909,0.002138,0.022429,0.002163,0.030677,0.011054,0.003732,0.122572,0.000065,0.018581,0.358458,0.202037,0.279063,0.209782,0.189982,0.188094,0.204957,0.229070,0.179614,0.168128,0.175970,0.184423,0.190161,0.003894,0.001248,0.008670,0.002847,0.012351,0.002117,0.011663,0.001107,0.001279,0.004417,0.008995,0.001242,0.002937,carolina
