@RELATION trained_models/ruido_blanco/original//svm/snr_10/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.149982,0.003847,3.065237,0.351522,0.323588,0.818418,0.001811,0.145508,-26.556491,2.452386,0.759216,0.337657,0.321743,0.337090,0.129957,0.088114,-0.002640,0.016844,0.019880,0.027192,0.024358,0.014787,0.001141,0.038065,0.008246,0.077992,0.006317,0.053994,0.000917,0.002640,0.019172,0.034039,0.001744,0.028581,-0.000613,0.000008,0.003107,-0.000330,-0.000074,-0.000699,0.000018,-0.000826,0.011736,-0.005302,-0.005931,0.002286,-0.002334,-0.000418,0.002696,0.002825,-0.000953,0.002662,-0.000429,-0.003380,-0.001867,0.000044,-0.000000,0.000084,0.000004,-0.000067,0.000038,-0.000169,0.000013,0.000014,0.000169,-0.000117,0.000036,-0.000044,0.025038,0.001596,0.147719,0.018139,0.005243,0.152182,0.000574,0.109309,0.462559,0.207753,0.232222,0.159007,0.139479,0.151721,0.150498,0.146821,0.121058,0.131789,0.119887,0.126459,0.139655,0.011895,0.000993,0.022257,0.007977,0.029901,0.005120,0.029842,0.000816,0.001800,0.014479,0.020454,0.001472,0.005745,0.037546,0.002171,0.197236,0.023636,0.006501,0.216593,0.000714,0.155662,0.531738,0.236978,0.276871,0.209337,0.203478,0.217796,0.226943,0.221683,0.187878,0.178972,0.156468,0.177174,0.184210,0.015534,0.001234,0.033046,0.011098,0.043809,0.007292,0.039084,0.000933,0.002448,0.020472,0.029182,0.002112,0.008135,carolina
0.151030,0.003978,3.051666,0.344293,0.322520,0.807081,0.001899,0.139002,-26.311816,2.389440,0.660829,0.387771,0.280454,0.327060,0.119719,0.067334,-0.001766,-0.009326,0.000329,0.043202,0.013954,0.014257,0.001221,0.037579,0.008846,0.071971,0.007789,0.053626,0.001143,0.002737,0.019050,0.038343,0.001860,0.027546,0.000358,-0.000017,0.000140,0.000193,0.000094,0.002404,0.000010,0.001951,-0.004823,0.003488,0.000324,-0.004062,-0.001573,-0.002431,0.001175,0.000514,-0.001994,-0.005146,-0.001242,0.000731,0.002920,0.000266,-0.000005,0.000057,0.000089,-0.000621,0.000055,0.000075,-0.000003,0.000023,0.000105,0.000168,0.000005,-0.000088,0.022385,0.001458,0.150980,0.025435,0.006791,0.147716,0.000696,0.090435,0.714117,0.238678,0.322443,0.147808,0.168019,0.180276,0.153067,0.137003,0.144134,0.134000,0.126106,0.132784,0.156804,0.012768,0.001241,0.017598,0.007865,0.030817,0.006616,0.033634,0.001472,0.002356,0.015241,0.023772,0.001922,0.006938,0.032444,0.002030,0.212061,0.027898,0.008135,0.208696,0.000919,0.134107,0.729205,0.270907,0.357298,0.201626,0.215237,0.232081,0.219809,0.181055,0.211617,0.198290,0.187180,0.209299,0.216101,0.019780,0.001410,0.026216,0.011189,0.042610,0.009328,0.046884,0.002037,0.003265,0.021980,0.031703,0.002356,0.009040,carolina
0.148947,0.004072,3.058627,0.344584,0.321438,0.821467,0.001809,0.146243,-26.364603,2.358472,0.682552,0.347882,0.307210,0.309297,0.108177,0.104961,-0.009523,0.049453,0.045682,0.028894,0.004974,0.011434,0.001571,0.036533,0.007554,0.075109,0.006965,0.058570,0.000967,0.003028,0.017517,0.037004,0.001884,0.028608,-0.000263,-0.000009,0.001466,0.000105,-0.000013,0.001608,0.000014,0.001488,-0.001758,-0.002168,0.000404,0.000046,-0.000349,0.001436,0.001187,0.001969,0.003097,-0.002435,-0.001823,0.000923,-0.000510,0.000103,0.000014,-0.000038,0.000119,-0.000248,-0.000009,-0.000163,-0.000002,-0.000024,0.000184,-0.000104,-0.000001,-0.000073,0.028360,0.002363,0.152186,0.030235,0.011031,0.153968,0.000711,0.102985,0.857063,0.296245,0.332601,0.166597,0.149207,0.140142,0.148168,0.121907,0.123784,0.139689,0.123654,0.132752,0.149924,0.010250,0.001940,0.019220,0.005125,0.031979,0.006548,0.035202,0.001046,0.002672,0.014790,0.023717,0.002010,0.007569,0.038275,0.003221,0.230136,0.030717,0.012157,0.211061,0.000975,0.144124,0.795651,0.300399,0.330076,0.224803,0.184466,0.192209,0.202523,0.174349,0.161801,0.192234,0.164318,0.186294,0.213285,0.015266,0.002586,0.028833,0.006893,0.040677,0.009029,0.047731,0.001109,0.003821,0.022030,0.031266,0.002609,0.009096,carolina
0.148108,0.010898,3.077087,0.348750,0.323221,0.815142,0.001897,0.144456,-25.009325,2.426071,0.709181,0.380802,0.319867,0.336529,0.120917,0.070324,-0.019729,0.021423,0.023919,0.033977,0.021564,0.013162,0.001337,0.039135,0.008316,0.077639,0.006382,0.053843,0.000792,0.002738,0.017480,0.035830,0.001594,0.028739,0.000603,0.000009,-0.001813,-0.000026,-0.000009,-0.000877,0.000021,-0.000862,-0.000897,-0.001093,0.001646,0.002644,0.001867,0.002743,0.000335,0.000386,0.001666,-0.001090,-0.004533,-0.001234,0.000785,0.000038,-0.000021,-0.000568,-0.000089,0.000577,-0.000013,0.000035,0.000001,-0.000072,-0.000011,-0.000104,0.000023,0.000022,0.026568,0.003353,0.124225,0.022686,0.005429,0.151980,0.000830,0.099916,0.618440,0.242008,0.306275,0.174210,0.161115,0.124639,0.162247,0.133638,0.135316,0.117217,0.116674,0.127332,0.117852,0.012620,0.001454,0.022006,0.006225,0.031852,0.005147,0.032042,0.000712,0.002266,0.014570,0.019560,0.001300,0.006163,0.038692,0.004544,0.186922,0.026838,0.007114,0.225316,0.000885,0.147462,0.705843,0.289481,0.406581,0.240815,0.220100,0.177588,0.229241,0.185792,0.195158,0.170251,0.150309,0.184701,0.166583,0.017247,0.002092,0.030925,0.008241,0.045507,0.007749,0.044022,0.000978,0.003133,0.019589,0.028195,0.001872,0.008696,carolina
0.148471,0.004067,3.065322,0.344796,0.322174,0.800959,0.001949,0.141915,-26.356706,2.391921,0.651459,0.354837,0.318488,0.347816,0.130801,0.081572,-0.004587,0.030953,0.049276,0.037508,0.022294,0.011879,0.001520,0.043050,0.006070,0.076423,0.005561,0.052404,0.001066,0.003134,0.016849,0.036820,0.001911,0.029117,-0.000531,-0.000010,0.001512,0.000063,-0.000009,0.001763,0.000011,0.001642,0.000259,-0.002035,-0.001143,0.003688,-0.001670,-0.001609,-0.002362,-0.001380,-0.000470,-0.000648,-0.001495,-0.000975,0.000296,0.000158,-0.000008,-0.000118,0.000058,-0.000291,0.000030,0.000583,0.000025,-0.000006,-0.000227,-0.000020,-0.000008,0.000011,0.028883,0.001883,0.163046,0.026464,0.007067,0.159603,0.000839,0.097893,0.723947,0.228746,0.332897,0.189243,0.160098,0.165639,0.141709,0.144695,0.147740,0.140422,0.128607,0.121619,0.149384,0.009420,0.001813,0.026025,0.004239,0.032498,0.004215,0.032757,0.001204,0.002713,0.013537,0.023126,0.001853,0.006770,0.042305,0.002649,0.235250,0.033581,0.009388,0.222353,0.000960,0.144249,0.838538,0.284065,0.372487,0.250030,0.198491,0.218053,0.185323,0.199377,0.204253,0.202779,0.175488,0.171109,0.200687,0.012927,0.002158,0.037327,0.005719,0.042592,0.005977,0.046338,0.001444,0.003499,0.019060,0.031991,0.002751,0.009462,carolina
0.150926,0.010329,3.067287,0.349472,0.323461,0.820967,0.001943,0.147015,-25.083302,2.385303,0.713112,0.380972,0.346701,0.349534,0.130740,0.076662,-0.024930,0.041288,0.047152,0.022276,0.010068,0.013289,0.001032,0.043373,0.006276,0.073807,0.005525,0.054963,0.001014,0.002873,0.017441,0.039685,0.001433,0.029295,-0.000349,0.000074,-0.004623,-0.000280,-0.000022,-0.004149,0.000027,-0.002768,0.003583,0.001283,0.000924,0.002256,0.001248,-0.001910,-0.000839,0.004160,0.002062,0.000354,0.001388,-0.001637,-0.002629,0.000026,-0.000011,0.000068,0.000015,-0.000135,-0.000097,-0.000118,-0.000002,-0.000050,0.000017,0.000392,0.000002,0.000039,0.029453,0.002923,0.117441,0.020264,0.004698,0.150700,0.000709,0.101205,0.568494,0.234449,0.281061,0.145120,0.149954,0.154763,0.151452,0.160838,0.140456,0.139634,0.124664,0.140382,0.134980,0.011209,0.000908,0.023852,0.005389,0.033593,0.004798,0.034564,0.001279,0.001942,0.013075,0.022603,0.001244,0.006150,0.041485,0.003828,0.164723,0.024366,0.005420,0.208062,0.000938,0.140959,0.610141,0.248435,0.279814,0.189112,0.191659,0.224633,0.208209,0.228458,0.210245,0.200004,0.184113,0.187772,0.174347,0.016836,0.001244,0.034082,0.008368,0.051691,0.006855,0.051088,0.001605,0.002667,0.019371,0.031865,0.001404,0.008896,carolina
0.147273,0.004058,3.069759,0.343690,0.322108,0.814692,0.001972,0.148993,-26.374803,2.385493,0.665375,0.373134,0.313269,0.356889,0.085344,0.056429,0.020066,0.039671,0.014738,0.009144,0.001631,0.013912,0.001616,0.043527,0.006465,0.066860,0.007295,0.059016,0.000822,0.003317,0.015953,0.042538,0.001905,0.028538,0.000730,-0.000055,0.002117,0.001010,0.000279,0.002337,0.000015,0.000926,-0.029995,0.009601,0.007555,-0.001428,0.002844,-0.001710,0.003730,-0.003776,-0.001509,0.000225,-0.000925,0.000389,-0.000545,0.000138,-0.000070,0.000406,-0.000002,-0.000049,0.000012,0.000509,-0.000005,-0.000077,0.000008,0.000072,-0.000027,0.000080,0.030821,0.001854,0.164178,0.027700,0.007340,0.184660,0.000757,0.125951,0.742269,0.249281,0.336428,0.159718,0.179566,0.167719,0.169124,0.158949,0.148725,0.132639,0.154655,0.130894,0.140315,0.011308,0.001861,0.021517,0.005124,0.030903,0.005458,0.038100,0.000743,0.003134,0.010984,0.024362,0.001825,0.007282,0.042899,0.002547,0.253745,0.031890,0.008909,0.258719,0.000961,0.177616,0.758004,0.290406,0.383627,0.201940,0.218776,0.231366,0.226444,0.229582,0.204991,0.187113,0.206104,0.194588,0.199429,0.015612,0.002318,0.031079,0.006903,0.045713,0.007756,0.054006,0.001009,0.004228,0.016072,0.031626,0.002477,0.010141,carolina
0.146747,0.004484,3.046129,0.340331,0.320186,0.810607,0.001802,0.153902,-26.260866,2.386513,0.683512,0.327839,0.285440,0.321511,0.094381,0.068812,-0.017977,0.009359,0.008401,0.030647,0.020509,0.015057,0.002081,0.046869,0.007965,0.070404,0.005974,0.046191,0.001318,0.003526,0.017034,0.037580,0.001934,0.027262,-0.000200,-0.000061,0.003733,0.000367,0.000183,0.002778,0.000031,0.000036,-0.008034,0.001532,0.006653,-0.005271,0.001951,-0.006943,-0.000850,0.005169,-0.002344,-0.002116,-0.003767,0.001389,0.000767,0.000046,0.000015,-0.000103,0.000076,0.000187,-0.000184,0.000467,-0.000040,0.000043,-0.000200,-0.000106,0.000040,0.000104,0.026761,0.002850,0.239138,0.034317,0.011565,0.177543,0.000740,0.109016,0.938003,0.264699,0.362375,0.207386,0.167902,0.164081,0.154131,0.176963,0.151797,0.139212,0.130711,0.133346,0.130473,0.009818,0.002877,0.023314,0.006326,0.032033,0.004574,0.028966,0.001720,0.003090,0.012896,0.024911,0.001789,0.006813,0.039217,0.003197,0.330230,0.030671,0.011124,0.239152,0.001040,0.162440,0.794085,0.289465,0.336854,0.272792,0.213065,0.204026,0.166383,0.224807,0.218391,0.195822,0.175601,0.196410,0.169750,0.014349,0.003216,0.027809,0.008720,0.037971,0.006482,0.037555,0.001905,0.003663,0.018556,0.029653,0.002162,0.008507,carolina
0.152296,0.004201,3.062096,0.339158,0.320076,0.840441,0.001817,0.167015,-26.172098,2.308552,0.592844,0.363105,0.261558,0.289173,0.062711,0.060352,0.004624,0.040241,0.033491,0.058144,0.051423,0.012227,0.001775,0.045963,0.006813,0.057905,0.007302,0.062406,0.001091,0.004285,0.016848,0.041845,0.002148,0.028269,-0.000181,-0.000015,0.003621,0.000326,0.000014,0.001994,0.000027,0.000490,-0.005770,-0.003618,0.001923,0.001538,0.002087,0.003639,-0.003962,-0.001541,-0.000071,0.000433,0.001693,0.001013,-0.000015,-0.000004,-0.000027,0.000002,-0.000009,0.000623,-0.000026,-0.000151,-0.000014,-0.000000,-0.000166,-0.000536,-0.000018,0.000050,0.032242,0.002490,0.212016,0.033340,0.010620,0.183672,0.000719,0.121327,0.942342,0.341962,0.390053,0.180097,0.170511,0.159058,0.148617,0.144655,0.173593,0.149901,0.129068,0.143171,0.134243,0.010613,0.001928,0.024817,0.005331,0.031984,0.005107,0.039812,0.001368,0.004044,0.013410,0.024902,0.002377,0.008418,0.043082,0.003078,0.309814,0.033908,0.011696,0.229749,0.000897,0.155724,0.892314,0.312511,0.407449,0.223015,0.237815,0.236034,0.215833,0.195502,0.216816,0.220461,0.172011,0.213382,0.188109,0.015804,0.002326,0.033059,0.008532,0.041637,0.006938,0.049705,0.001868,0.005357,0.019918,0.031467,0.003242,0.010575,carolina
0.154569,0.005570,3.067616,0.347491,0.322415,0.846218,0.001843,0.166216,-25.840339,2.347916,0.694823,0.372459,0.259288,0.333693,0.132336,0.114522,-0.013506,0.013145,0.014137,0.025747,0.015746,0.012734,0.001559,0.039405,0.008024,0.070329,0.006092,0.058446,0.000943,0.003142,0.015931,0.041090,0.001858,0.028273,-0.000200,0.000003,-0.001280,-0.000075,0.000047,-0.000816,0.000011,-0.000345,0.000122,0.002311,-0.000539,-0.002768,0.000688,-0.000094,-0.001793,-0.001658,0.001787,-0.001241,0.003019,-0.001131,0.000193,-0.000026,0.000001,-0.000614,-0.000098,-0.000275,0.000001,0.000305,0.000014,0.000012,-0.000003,0.000853,0.000027,-0.000027,0.027931,0.001801,0.127496,0.024117,0.005685,0.166523,0.000663,0.112976,0.673185,0.259603,0.300077,0.173783,0.160359,0.157431,0.153250,0.167427,0.143847,0.133882,0.148388,0.138315,0.136742,0.011672,0.002118,0.021119,0.006203,0.028843,0.004966,0.035634,0.001028,0.002555,0.011921,0.023071,0.001779,0.006314,0.038862,0.002264,0.183908,0.026704,0.007410,0.219640,0.000749,0.152268,0.715170,0.277253,0.377637,0.245582,0.226345,0.183359,0.218592,0.222518,0.199787,0.181592,0.220026,0.199534,0.188637,0.016386,0.002882,0.031791,0.009756,0.039463,0.007219,0.047873,0.001453,0.003463,0.016913,0.033488,0.002534,0.008426,carolina
