@RELATION trained_models/babble/spect_sub/snr_-5/model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.057359,0.009310,3.044423,0.137314,0.184451,0.362483,0.009128,0.097377,-25.192688,2.643876,0.048887,0.124310,0.095872,0.076758,0.251078,0.227328,-0.064846,0.002757,-0.007911,-0.062956,-0.176572,0.026684,0.007941,0.033508,0.012788,0.031063,0.009237,0.029159,0.002786,0.004475,0.025153,0.039984,0.005329,0.021799,0.000154,-0.000277,0.003745,0.000147,0.000051,0.000927,0.000047,0.000045,-0.034113,-0.007924,-0.000357,0.004630,0.001258,-0.007216,0.000892,0.003997,-0.003196,0.001966,-0.000630,0.002105,0.002032,0.000214,-0.000010,0.000468,0.000012,-0.000055,0.000047,0.000592,0.000006,0.000014,-0.000359,-0.000719,0.000018,-0.000065,0.047716,0.005804,0.183484,0.062422,0.037161,0.371168,0.004264,0.110258,1.079584,0.525339,0.600620,0.377144,0.393806,0.374938,0.344174,0.320775,0.261788,0.241028,0.277452,0.246062,0.241629,0.028296,0.014589,0.025292,0.012630,0.019164,0.009511,0.021270,0.005422,0.004601,0.019262,0.027657,0.006043,0.007724,0.055092,0.007819,0.250735,0.065523,0.041563,0.462247,0.005442,0.133517,1.274277,0.618703,0.708121,0.470124,0.511118,0.434228,0.436183,0.378388,0.337749,0.325304,0.320477,0.315693,0.287141,0.038871,0.020433,0.033965,0.015769,0.026205,0.013735,0.029872,0.007204,0.006332,0.023983,0.032625,0.008113,0.011463,carolina
0.046252,0.005921,3.063933,0.130538,0.184847,0.296592,0.008566,0.065309,-25.764833,2.527021,0.076299,0.182526,-0.049202,0.185125,0.237834,0.119555,0.042370,-0.010623,-0.027927,0.043022,-0.111435,0.027695,0.005466,0.031124,0.008922,0.031030,0.011097,0.040291,0.004356,0.007232,0.019868,0.035990,0.006829,0.021129,0.000408,-0.000003,0.001525,0.000791,0.000472,0.003226,0.000032,0.000036,-0.004611,0.002344,-0.000156,0.000430,-0.001390,0.000771,-0.000501,-0.003044,0.000377,-0.004318,-0.000354,0.005024,0.002428,-0.000195,-0.000289,-0.000153,0.000178,-0.000257,0.000037,0.000008,0.000005,0.000068,0.000135,0.000406,0.000033,0.000057,0.028711,0.004386,0.162217,0.046501,0.033119,0.270032,0.003845,0.075042,1.147329,0.460608,0.725182,0.358043,0.366059,0.361712,0.363592,0.261025,0.288579,0.245079,0.238139,0.253905,0.243726,0.026420,0.007293,0.021447,0.007391,0.019518,0.012785,0.027312,0.008897,0.008288,0.017862,0.024395,0.008577,0.007513,0.037413,0.004952,0.215270,0.057105,0.039186,0.361830,0.005235,0.102465,1.066390,0.504676,0.773929,0.427912,0.469748,0.399479,0.462072,0.308184,0.315799,0.317458,0.299471,0.296819,0.317778,0.033395,0.009522,0.025569,0.009625,0.021468,0.018256,0.036645,0.012442,0.011162,0.022539,0.031232,0.011472,0.010037,carolina
0.052877,0.004234,3.060257,0.131894,0.180648,0.353931,0.009094,0.084328,-26.143214,2.468544,0.142399,0.126805,-0.027782,0.153814,0.227235,0.185412,-0.001996,-0.028082,-0.007822,0.025167,-0.149022,0.022293,0.008846,0.040895,0.013729,0.034529,0.008046,0.036438,0.002951,0.007039,0.017152,0.029532,0.006585,0.021459,0.000005,0.000025,-0.000895,0.000648,0.000765,-0.000166,0.000126,-0.000018,0.006488,-0.001773,0.011921,-0.005151,-0.001067,0.004151,-0.004697,0.003831,-0.000026,-0.002846,0.000450,0.002578,0.002210,-0.000049,0.000002,0.000670,0.000020,-0.000559,0.000027,-0.001059,-0.000009,-0.000026,-0.000095,0.001165,-0.000001,0.000026,0.039846,0.002965,0.193500,0.054522,0.037333,0.335539,0.004334,0.102568,1.213201,0.555142,0.611463,0.422611,0.436092,0.324711,0.341173,0.319048,0.298320,0.250403,0.242687,0.244300,0.231940,0.019844,0.014089,0.023426,0.014052,0.026655,0.009313,0.028258,0.004734,0.008056,0.016668,0.023496,0.008080,0.008636,0.051849,0.003747,0.278697,0.061188,0.040961,0.436762,0.005518,0.127753,1.311898,0.609600,0.693575,0.489466,0.497195,0.355100,0.387326,0.406198,0.356976,0.335959,0.289680,0.305517,0.321227,0.022391,0.018327,0.031783,0.020387,0.036817,0.012932,0.034055,0.006891,0.009700,0.021594,0.029563,0.010563,0.011214,carolina
0.059809,0.027995,3.086936,0.143711,0.187530,0.396644,0.009292,0.095354,-23.694796,2.608697,0.065205,0.130736,-0.131492,0.181557,0.228870,0.121586,0.019800,0.019435,-0.030163,-0.070920,-0.196049,0.026359,0.009334,0.036630,0.013701,0.032902,0.006905,0.027833,0.003796,0.007553,0.019486,0.032334,0.007758,0.021583,0.000050,-0.000247,-0.000780,0.000466,0.000578,0.002151,0.000064,-0.000163,-0.012931,-0.014564,0.023550,-0.000122,-0.007265,0.005459,-0.006692,-0.004108,0.000071,0.003428,0.000052,-0.000978,0.000685,0.000260,-0.000209,0.000071,-0.000115,0.000054,0.000075,0.000101,-0.000036,0.000045,0.000007,0.000133,0.000018,0.000066,0.050601,0.019365,0.149408,0.069828,0.040370,0.428653,0.004429,0.119363,1.042054,0.561690,0.688203,0.380510,0.425235,0.347316,0.315200,0.289124,0.307942,0.259558,0.226702,0.227916,0.255415,0.025783,0.014576,0.030392,0.015073,0.024173,0.006486,0.020923,0.006701,0.011329,0.017722,0.024403,0.008462,0.008332,0.063318,0.024839,0.218971,0.075304,0.040882,0.567841,0.005628,0.159650,1.310752,0.733832,0.694491,0.429785,0.524672,0.436839,0.406283,0.409670,0.362340,0.330679,0.297539,0.314134,0.327918,0.032439,0.018288,0.039019,0.021338,0.033509,0.008998,0.027784,0.008880,0.015331,0.023564,0.028801,0.011037,0.011064,carolina
0.054923,0.005244,3.065973,0.136776,0.187641,0.348965,0.008535,0.076924,-25.864609,2.573858,0.136479,0.196999,-0.054910,0.218934,0.158567,0.164776,0.014200,-0.012161,-0.026487,-0.016941,-0.059597,0.024660,0.006327,0.037506,0.011127,0.032380,0.009437,0.031377,0.003353,0.007382,0.022876,0.038115,0.006781,0.021547,0.000522,-0.000005,-0.001638,0.000827,0.000629,0.002033,0.000050,-0.000091,-0.017130,0.000808,0.001826,0.004902,0.007310,0.000402,-0.008323,-0.001054,-0.006886,-0.007404,0.004353,-0.000744,-0.001074,0.000026,-0.000252,-0.000192,0.000171,0.000068,-0.000008,0.000913,0.000004,-0.000041,-0.000204,0.000143,-0.000014,0.000163,0.040990,0.003474,0.218069,0.054583,0.033013,0.364555,0.003956,0.094760,1.067184,0.528392,0.612763,0.320131,0.333562,0.386281,0.330359,0.295369,0.288824,0.252060,0.258891,0.222710,0.214648,0.028081,0.010161,0.025695,0.010959,0.020626,0.011430,0.020185,0.005778,0.009478,0.017647,0.025464,0.010467,0.007296,0.052654,0.004332,0.310983,0.067153,0.039462,0.471211,0.005115,0.124141,1.111299,0.628699,0.619696,0.430651,0.429402,0.414693,0.386768,0.342826,0.372923,0.326006,0.309395,0.310500,0.287401,0.035968,0.013976,0.033401,0.014373,0.028625,0.015824,0.027511,0.007193,0.012734,0.023172,0.030400,0.012971,0.009752,carolina
0.046797,0.020590,3.098252,0.128626,0.184282,0.296723,0.008909,0.061525,-24.004673,2.537015,0.104996,0.125079,0.007924,0.216282,0.184679,0.177819,-0.032451,0.015168,-0.003517,-0.036188,-0.129729,0.022119,0.005877,0.039214,0.017029,0.032444,0.008617,0.034387,0.005246,0.006186,0.020068,0.032467,0.005914,0.021682,0.000095,-0.000339,0.001073,0.000438,0.000384,0.001508,0.000074,0.000236,0.000496,-0.009491,-0.012148,0.003994,-0.002301,0.000189,0.008172,-0.004191,0.003580,0.005268,0.005029,0.004223,-0.003886,0.000016,-0.000000,-0.001106,-0.000475,0.000062,0.000011,0.000143,0.000009,0.000001,0.000134,0.000650,0.000030,-0.000205,0.026912,0.013659,0.109309,0.046035,0.037530,0.235203,0.004169,0.053212,1.107625,0.478458,0.699961,0.398429,0.384713,0.363164,0.284942,0.305745,0.277400,0.244477,0.238511,0.217685,0.269232,0.019812,0.007755,0.028378,0.021296,0.020457,0.011613,0.028129,0.009407,0.008651,0.015482,0.021955,0.008448,0.007729,0.029602,0.018014,0.152692,0.050349,0.041052,0.298381,0.005398,0.070940,1.192430,0.628504,0.723646,0.463643,0.437561,0.443642,0.344388,0.364536,0.343768,0.311574,0.290511,0.286544,0.327462,0.025602,0.009508,0.034704,0.024511,0.026423,0.015721,0.034132,0.012819,0.011864,0.021562,0.031239,0.011316,0.009618,carolina
0.048153,0.003254,3.064178,0.130011,0.183159,0.323166,0.008536,0.061561,-26.480844,2.560762,0.040230,0.160897,-0.018608,0.108556,0.200686,0.059164,0.014101,0.036349,-0.035702,-0.024167,-0.089766,0.020723,0.008280,0.033974,0.014551,0.030650,0.007419,0.035882,0.003336,0.006750,0.020703,0.039493,0.004990,0.021421,0.000172,0.000028,0.001825,0.000938,0.001021,-0.000993,0.000048,-0.000753,-0.020246,0.019058,0.008626,-0.001247,-0.001846,-0.007918,0.004688,-0.007595,-0.001513,-0.005989,-0.007841,-0.006097,0.003554,-0.000103,-0.000086,0.000058,0.000445,0.001702,-0.000030,-0.000316,-0.000189,-0.000006,0.000039,0.000031,-0.000006,0.000386,0.029477,0.002460,0.193831,0.047196,0.034656,0.302125,0.003752,0.053413,1.175690,0.507759,0.606697,0.343310,0.407853,0.365872,0.291921,0.319817,0.332427,0.240212,0.239993,0.231678,0.264777,0.020582,0.012997,0.024477,0.015389,0.023848,0.008450,0.028790,0.006019,0.007257,0.015569,0.027650,0.005969,0.009048,0.036371,0.003069,0.263185,0.056343,0.041182,0.381990,0.004960,0.070969,1.309766,0.578746,0.689251,0.466781,0.502072,0.433910,0.341153,0.407698,0.467748,0.329436,0.321692,0.297220,0.323996,0.025821,0.016117,0.031608,0.021179,0.025148,0.012016,0.040884,0.008501,0.009641,0.021713,0.033299,0.007599,0.012182,carolina
0.047278,0.004913,3.009928,0.121628,0.177425,0.302953,0.009045,0.064882,-25.922749,2.490305,0.144101,0.058933,-0.146368,0.240921,0.228873,0.107975,-0.013999,-0.072264,-0.038626,0.043943,-0.130144,0.019598,0.008648,0.036400,0.017098,0.039225,0.012705,0.031312,0.004356,0.004984,0.016569,0.031581,0.006630,0.020994,-0.001039,-0.000080,0.009923,-0.000698,-0.000990,0.003509,0.000084,0.000327,-0.011007,-0.000806,0.011100,-0.004929,0.008419,-0.008374,-0.000128,0.004718,-0.006831,-0.002182,-0.007781,-0.000095,0.001428,0.000004,0.000016,0.000089,0.000188,0.000308,0.000033,0.000027,-0.000120,-0.000102,-0.000081,-0.000032,-0.000069,0.000049,0.027443,0.003711,0.268246,0.040451,0.030851,0.301611,0.004226,0.065205,1.233818,0.529615,0.707283,0.370996,0.420652,0.384403,0.335429,0.308143,0.236339,0.228457,0.278055,0.230209,0.205712,0.017695,0.012188,0.023078,0.016340,0.031563,0.012516,0.020923,0.008648,0.005091,0.012418,0.020511,0.011282,0.008124,0.033621,0.004903,0.301589,0.053062,0.039715,0.366836,0.005651,0.076707,1.329055,0.723944,0.668427,0.458468,0.505793,0.495832,0.403024,0.377765,0.288045,0.301494,0.333108,0.289169,0.263942,0.022700,0.016585,0.030790,0.021145,0.039167,0.014488,0.028041,0.011035,0.007382,0.017265,0.028998,0.016104,0.009484,carolina
0.048498,0.004817,3.060024,0.125052,0.175964,0.309971,0.009053,0.082278,-26.076056,2.614642,0.026204,0.144412,-0.077188,0.182172,0.185492,0.112009,-0.005643,0.020837,-0.043723,-0.008481,-0.082545,0.019770,0.007492,0.040824,0.009183,0.030055,0.010900,0.035871,0.003497,0.009227,0.022005,0.036219,0.005490,0.021939,-0.000240,0.000045,-0.000590,-0.000075,0.000178,-0.001458,0.000169,-0.000426,0.010148,0.003397,0.002600,-0.000767,0.004514,-0.001417,-0.002221,0.001849,-0.007192,-0.003660,0.001761,-0.004309,-0.004132,0.000272,0.000023,0.001505,0.000030,-0.000075,-0.000080,-0.000391,0.000013,-0.000025,-0.000415,-0.000431,-0.000034,0.000304,0.038397,0.003824,0.192753,0.056665,0.035905,0.340488,0.004541,0.100436,1.241477,0.536407,0.574191,0.374928,0.443053,0.375658,0.316934,0.316125,0.294762,0.212401,0.231325,0.198980,0.215564,0.015554,0.010346,0.032429,0.008786,0.025813,0.010895,0.026249,0.007060,0.011614,0.019477,0.022181,0.005304,0.008315,0.044923,0.004592,0.282001,0.065692,0.042767,0.428137,0.005865,0.125736,1.216280,0.598951,0.676845,0.444628,0.469390,0.452452,0.357328,0.348773,0.362443,0.249099,0.301520,0.279467,0.278406,0.019422,0.013718,0.037938,0.012665,0.035533,0.013550,0.031488,0.009985,0.015523,0.026390,0.029163,0.006861,0.010305,carolina
0.048843,0.014871,3.100650,0.131475,0.187245,0.322993,0.009279,0.072822,-24.397434,2.516646,0.137143,0.199579,-0.095615,0.191042,0.238616,0.135865,-0.064371,-0.010007,-0.034008,-0.013665,-0.130374,0.019404,0.004660,0.035198,0.015183,0.032466,0.009073,0.035256,0.003880,0.005303,0.021577,0.040225,0.006793,0.021896,0.000150,0.000027,-0.002938,-0.000020,-0.000004,0.000031,0.000085,0.000127,0.017013,-0.001967,-0.007526,-0.001868,-0.003917,0.003095,-0.003761,-0.006879,-0.003037,-0.002855,0.001438,0.001994,0.004174,0.000004,-0.000246,-0.000218,0.000022,-0.000696,0.000012,0.000250,0.000036,0.000117,0.000055,0.000717,0.000016,-0.000058,0.035852,0.009085,0.143367,0.047092,0.029914,0.340474,0.004434,0.080876,0.957589,0.471066,0.545225,0.366108,0.352509,0.406626,0.345160,0.316610,0.281052,0.217139,0.247868,0.226215,0.259763,0.019838,0.005777,0.025566,0.016179,0.022328,0.012408,0.024178,0.006489,0.005027,0.017606,0.026412,0.010040,0.006845,0.045693,0.012198,0.187829,0.057004,0.039037,0.428160,0.005517,0.107329,1.289618,0.636520,0.673999,0.450820,0.455879,0.531122,0.420561,0.391905,0.345203,0.265956,0.309203,0.308313,0.331901,0.027809,0.007701,0.032065,0.021439,0.030348,0.016539,0.032553,0.009330,0.006698,0.025938,0.032062,0.011396,0.009048,carolina
