@RELATION sp-project/oficina/mmse/snr_5/filtered_snr_5
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.081452,0.001584,3.085261,0.154952,0.179937,0.541866,0.011608,0.134737,-28.588209,2.231769,-0.251409,0.280485,0.275514,0.086313,0.224781,0.227727,-0.138527,0.051617,0.035738,0.002976,-0.070386,0.013244,0.007402,0.027605,0.012648,0.037885,0.012876,0.028764,0.003989,0.006275,0.013342,0.019284,0.003439,0.020392,0.000277,-0.000022,0.005766,0.000236,-0.000049,0.002478,0.000045,0.000708,-0.012926,-0.020977,-0.009936,0.010488,-0.007633,0.003816,0.002895,-0.000087,-0.003354,0.005016,-0.003515,-0.003149,0.000213,0.000040,0.000020,-0.000275,0.000036,-0.000524,0.000006,0.000126,0.000112,0.000145,-0.000057,-0.000814,0.000017,-0.000225,0.071568,0.002271,0.173949,0.083245,0.036008,0.562214,0.007318,0.140843,1.591013,0.766047,0.768559,0.519471,0.481232,0.500820,0.415010,0.405743,0.341892,0.295301,0.322773,0.300620,0.273114,0.017312,0.014785,0.028005,0.017721,0.029829,0.021988,0.024778,0.005949,0.008775,0.014467,0.019065,0.004912,0.010580,0.073628,0.003007,0.209251,0.075392,0.039015,0.598179,0.008441,0.150045,1.443128,0.727480,0.796535,0.517601,0.554827,0.463039,0.435265,0.411765,0.360218,0.311781,0.334098,0.323832,0.302056,0.023534,0.020253,0.037191,0.019834,0.038636,0.030899,0.033098,0.007471,0.011615,0.018883,0.021242,0.006540,0.014886,carolina
0.058711,0.001715,3.002099,0.142040,0.181747,0.382694,0.009870,0.085036,-28.900647,2.204797,-0.075142,0.329251,0.129440,0.366462,0.166988,0.044097,0.055736,-0.014211,-0.021296,0.060240,-0.023926,0.014509,0.005341,0.026451,0.010090,0.043691,0.010851,0.041286,0.004477,0.007340,0.015368,0.026783,0.005411,0.022831,0.000449,-0.000000,0.001138,0.000851,0.000380,0.007804,0.000039,0.001452,-0.017435,0.018045,0.004802,-0.009713,0.000060,-0.006523,-0.001278,0.001919,-0.000252,-0.006026,0.003668,0.003376,0.002237,0.000271,-0.000028,0.000040,-0.000022,-0.000372,0.000012,0.000026,-0.000025,-0.000001,0.000252,0.000079,0.000005,-0.000019,0.041055,0.002829,0.245504,0.060218,0.040679,0.390689,0.005784,0.095983,2.014460,0.805115,0.968513,0.424794,0.489042,0.435337,0.370433,0.300761,0.323375,0.254057,0.285719,0.268098,0.267169,0.017154,0.009437,0.018718,0.011413,0.037783,0.012855,0.042732,0.008667,0.012889,0.013820,0.021878,0.008880,0.011590,0.049095,0.003388,0.332213,0.063190,0.041285,0.454720,0.006907,0.120204,1.414447,0.636864,0.791353,0.446203,0.499344,0.437812,0.403539,0.317011,0.319714,0.286155,0.317835,0.307268,0.252608,0.024239,0.011901,0.025054,0.015178,0.040602,0.016694,0.049891,0.011465,0.018184,0.018036,0.030048,0.012032,0.014624,carolina
0.072359,0.001285,3.061117,0.155077,0.186183,0.503201,0.010661,0.116915,-29.676890,2.229760,0.159758,0.285458,-0.035458,0.218855,0.180050,0.150356,0.054881,0.069629,-0.002275,0.068183,-0.081589,0.014610,0.007672,0.028922,0.011533,0.039782,0.007363,0.040213,0.004789,0.006144,0.016367,0.025234,0.005952,0.022590,0.000839,-0.000000,0.002483,0.002523,0.001350,0.005230,0.000019,0.000218,0.001981,-0.002060,0.003398,-0.001198,-0.001599,0.000931,-0.000051,0.001768,-0.000249,-0.001285,0.000936,-0.000584,0.000059,0.000046,0.000006,-0.000385,0.000025,0.000279,-0.000014,-0.000778,0.000002,-0.000013,0.000044,0.000013,-0.000006,-0.000025,0.059359,0.003238,0.209959,0.079183,0.043042,0.478595,0.007458,0.138575,1.906682,0.949715,0.718569,0.532958,0.546891,0.426114,0.366254,0.388797,0.326027,0.275446,0.286406,0.257326,0.253175,0.016946,0.016242,0.021755,0.016744,0.033294,0.008931,0.040026,0.011917,0.009074,0.016523,0.022598,0.009089,0.011825,0.063865,0.003446,0.300200,0.065809,0.038395,0.515281,0.008314,0.159663,1.619326,0.762104,0.648440,0.523471,0.499174,0.403549,0.378319,0.336987,0.335929,0.310744,0.290484,0.318855,0.297875,0.020845,0.021537,0.030925,0.022742,0.038950,0.012086,0.048664,0.016964,0.011609,0.021006,0.030738,0.010997,0.013600,carolina
0.091411,0.004024,3.055178,0.177712,0.193256,0.629740,0.010263,0.148230,-27.654119,2.352925,-0.062864,0.389512,0.116393,0.289705,0.156291,0.102298,-0.056556,0.117704,0.011133,-0.026678,-0.098379,0.017976,0.007110,0.028535,0.008864,0.041305,0.005688,0.034455,0.004022,0.009229,0.014975,0.020432,0.004481,0.022229,0.000154,-0.000007,0.001490,0.000190,-0.000111,0.002209,0.000101,-0.000082,-0.017650,-0.011912,0.021349,0.001414,0.002689,0.008730,-0.003497,-0.004994,-0.003511,0.000294,-0.005377,-0.004149,-0.000663,-0.000101,-0.000160,-0.000133,0.000073,0.000924,0.000020,0.000139,-0.000002,-0.000220,0.000039,-0.000151,-0.000108,0.000116,0.088863,0.006388,0.166089,0.100266,0.041891,0.657549,0.007630,0.170522,1.642538,0.781153,0.840237,0.503231,0.476229,0.377630,0.297031,0.312733,0.382526,0.326510,0.289267,0.248179,0.312603,0.025395,0.014753,0.026177,0.009914,0.038066,0.005688,0.036825,0.007515,0.016807,0.017823,0.016639,0.005914,0.012311,0.093069,0.008128,0.244847,0.087013,0.037547,0.720839,0.008684,0.184730,1.538755,0.740197,0.710347,0.470437,0.475951,0.373063,0.375586,0.343413,0.385289,0.320212,0.301870,0.287859,0.309657,0.029892,0.018653,0.030844,0.013858,0.049709,0.007792,0.045680,0.009462,0.020717,0.022116,0.020480,0.006765,0.016097,carolina
0.068580,0.001237,3.055455,0.156803,0.193398,0.438178,0.009045,0.103793,-29.359320,2.290161,-0.085998,0.339511,0.125239,0.383720,0.158012,0.191590,-0.013880,-0.021374,0.037872,0.010622,0.008671,0.014179,0.005342,0.031864,0.008691,0.041366,0.010354,0.036646,0.004450,0.007690,0.016095,0.028618,0.005790,0.022376,0.000599,-0.000001,0.005498,0.000689,-0.000043,0.008446,0.000032,0.002305,-0.003391,0.001597,-0.004358,0.005552,-0.002410,-0.005766,-0.002761,-0.000880,0.000694,-0.002721,-0.004255,-0.001955,-0.001617,0.000209,-0.000003,-0.000035,0.000022,-0.000593,-0.000030,0.000048,0.000008,0.000012,-0.000161,0.000036,0.000005,-0.000125,0.049797,0.002168,0.213026,0.064026,0.038823,0.412955,0.004358,0.124534,1.779470,0.764610,0.855567,0.442089,0.371345,0.529758,0.391997,0.309433,0.327594,0.261599,0.268544,0.264005,0.227157,0.015589,0.008566,0.025251,0.009807,0.029541,0.017514,0.030742,0.008612,0.013775,0.014924,0.025906,0.011542,0.009162,0.062225,0.002479,0.309317,0.068959,0.040386,0.496307,0.005364,0.160256,1.520229,0.670514,0.749187,0.470159,0.369612,0.458531,0.412360,0.343378,0.330262,0.300352,0.310851,0.311789,0.261410,0.021377,0.010072,0.032231,0.011403,0.035865,0.022215,0.041898,0.010860,0.016927,0.018075,0.032196,0.015114,0.012560,carolina
0.066370,0.002598,3.076382,0.150830,0.192940,0.426597,0.011392,0.096996,-27.966695,2.232742,-0.076735,0.313217,0.151080,0.389431,0.197028,0.064820,-0.004002,0.023242,0.037113,0.048185,-0.089844,0.011379,0.003185,0.032268,0.012716,0.037595,0.010111,0.038905,0.006640,0.006206,0.013733,0.028246,0.004297,0.023432,-0.000113,0.000006,-0.000864,0.000757,0.000989,-0.000872,0.000092,-0.000027,0.009307,-0.002704,-0.001973,0.006544,0.001516,0.001935,0.003574,0.001798,0.006421,-0.000717,0.002787,0.000940,-0.003868,0.000038,-0.000008,-0.000338,-0.000051,0.000193,-0.000180,-0.000162,-0.000000,-0.000091,-0.000185,0.000899,0.000002,0.000056,0.047374,0.003327,0.186756,0.064028,0.043667,0.404264,0.006679,0.099648,1.544328,0.757810,0.911492,0.555087,0.506329,0.494776,0.339376,0.354712,0.332216,0.322779,0.294546,0.264181,0.236686,0.012275,0.004400,0.028637,0.019789,0.031442,0.016544,0.043565,0.015961,0.009744,0.014347,0.024034,0.007915,0.012722,0.049620,0.003881,0.262273,0.061063,0.044929,0.469213,0.008691,0.105724,1.352986,0.708620,0.806936,0.488645,0.479023,0.492781,0.410217,0.349939,0.359020,0.351483,0.336945,0.281598,0.266547,0.015470,0.005652,0.032652,0.025350,0.038742,0.022178,0.056406,0.022106,0.012513,0.019240,0.029986,0.010665,0.014945,carolina
0.068013,0.001318,3.044320,0.147847,0.185810,0.455704,0.009864,0.096452,-29.205268,2.240346,-0.166794,0.259650,0.204926,0.271803,0.217919,0.032264,0.032746,0.000113,-0.056799,0.043410,0.009084,0.011668,0.008681,0.026396,0.009538,0.037412,0.008857,0.038671,0.004815,0.007420,0.013633,0.029509,0.003759,0.021908,0.000889,-0.000043,0.008486,0.001654,0.000948,0.005079,0.000055,0.001479,-0.053949,0.033224,0.021517,0.000357,-0.001888,-0.006791,0.002916,-0.011972,-0.002450,-0.008433,-0.010412,-0.003744,0.002762,0.000034,-0.000220,-0.000046,0.000019,0.001465,0.000296,-0.000078,-0.000022,-0.000043,0.000017,0.000022,-0.000030,0.000349,0.041893,0.002252,0.254654,0.062302,0.041376,0.419405,0.006239,0.094796,1.841118,0.801183,0.690080,0.460024,0.476753,0.444969,0.362284,0.435715,0.323626,0.318384,0.280312,0.267193,0.286959,0.012478,0.015805,0.019830,0.013272,0.032024,0.009218,0.038845,0.012389,0.011411,0.014559,0.028388,0.005372,0.011501,0.045797,0.002793,0.349598,0.064383,0.041505,0.476358,0.008249,0.116249,1.541726,0.669076,0.628919,0.492833,0.447285,0.464890,0.439989,0.459760,0.371109,0.374592,0.303183,0.289146,0.314913,0.017099,0.017506,0.023949,0.019544,0.038177,0.011719,0.050690,0.016574,0.014117,0.019090,0.032864,0.006943,0.014170,carolina
0.057269,0.002338,3.001102,0.135950,0.180998,0.392587,0.009754,0.080554,-28.730845,1.992208,0.018459,0.171831,-0.087175,0.359119,0.214060,0.102665,0.007194,-0.007702,0.004794,0.051951,-0.067544,0.015706,0.007154,0.034326,0.013479,0.043113,0.010048,0.027954,0.005469,0.004608,0.012443,0.021775,0.005903,0.021449,-0.001665,-0.000119,0.012447,-0.000688,-0.001081,0.002765,0.000137,0.000227,-0.006567,0.003227,0.009455,-0.009293,-0.000762,-0.013487,-0.002880,0.005845,-0.003378,-0.002366,-0.003654,0.001061,0.000848,-0.000162,-0.000001,0.000127,0.000020,0.000129,-0.000128,0.000230,-0.000028,0.000068,-0.000255,-0.000105,0.000057,-0.000020,0.035476,0.004735,0.388061,0.045316,0.035338,0.375816,0.005792,0.072803,2.356779,0.803733,0.920710,0.549635,0.522879,0.400771,0.367041,0.341669,0.332306,0.301741,0.333363,0.261569,0.288569,0.016911,0.010346,0.032303,0.018675,0.039099,0.012649,0.027009,0.008764,0.004702,0.012410,0.019129,0.009627,0.012015,0.039112,0.004916,0.524479,0.049469,0.037422,0.409079,0.007131,0.087502,1.658379,0.648833,0.702058,0.524744,0.513816,0.438481,0.403401,0.356105,0.348379,0.300583,0.330389,0.291619,0.326281,0.022408,0.014435,0.039227,0.022614,0.040183,0.016655,0.034858,0.009780,0.006010,0.017227,0.023351,0.012512,0.014331,carolina
0.068063,0.001857,3.032797,0.143190,0.177094,0.463650,0.009859,0.114927,-28.841387,2.084689,-0.200339,0.247905,-0.086443,0.292534,0.144544,0.119748,0.006557,0.065482,-0.065595,-0.025271,-0.041658,0.014458,0.008500,0.036251,0.010606,0.029584,0.010740,0.031204,0.004029,0.008452,0.013624,0.026623,0.005424,0.021370,0.000059,-0.000002,0.000617,0.000425,0.000632,0.002883,0.000041,0.000218,-0.006490,-0.007020,0.003707,0.003260,0.003614,0.004550,-0.004713,0.001611,-0.000491,-0.000316,-0.000056,-0.003616,-0.006401,0.000031,0.000005,0.000088,0.000057,0.000012,-0.000159,-0.000212,-0.000068,-0.000003,-0.000102,-0.000066,-0.000006,-0.000009,0.055922,0.003683,0.300596,0.068850,0.037284,0.493429,0.006518,0.119426,2.419252,0.917007,0.813808,0.518606,0.565182,0.446585,0.401658,0.398807,0.351043,0.250960,0.305460,0.242618,0.288593,0.014927,0.011731,0.033805,0.013361,0.033261,0.013531,0.030487,0.008077,0.013150,0.014089,0.023343,0.006549,0.011419,0.057278,0.004247,0.415838,0.067571,0.036729,0.510772,0.007741,0.124256,1.792014,0.712772,0.762890,0.535144,0.542639,0.479536,0.410418,0.358615,0.398676,0.315828,0.309202,0.306148,0.291791,0.020453,0.015875,0.038619,0.016802,0.039236,0.015556,0.036802,0.010181,0.017428,0.018791,0.029608,0.008606,0.014220,carolina
0.071329,0.002899,3.049803,0.156481,0.193153,0.455991,0.009305,0.104174,-27.604486,2.043349,-0.087236,0.383199,-0.046720,0.446430,0.301599,0.183257,-0.078736,-0.007546,-0.031926,0.017947,-0.008215,0.012051,0.003893,0.027728,0.012357,0.038424,0.010818,0.034293,0.003723,0.004170,0.011228,0.029336,0.004872,0.020693,-0.000041,0.000002,-0.000676,0.000159,0.000383,-0.002995,0.000028,-0.000045,-0.003111,0.009471,0.001146,-0.005266,-0.003077,0.001376,-0.002111,-0.004621,0.004643,-0.003099,0.007712,0.000025,0.006107,-0.000050,-0.000010,-0.000578,-0.000048,-0.000148,-0.000016,0.000355,0.000018,0.000033,0.000015,0.000719,-0.000031,-0.000005,0.048060,0.003321,0.196251,0.062474,0.038566,0.420074,0.005642,0.094255,1.509733,0.849651,0.681458,0.538534,0.377871,0.449232,0.381295,0.398637,0.339883,0.255768,0.302093,0.275402,0.244050,0.014159,0.007408,0.025107,0.014612,0.028861,0.012265,0.031641,0.006503,0.005451,0.010982,0.023625,0.008357,0.009535,0.050333,0.004143,0.271436,0.064739,0.044734,0.448674,0.007981,0.106145,1.517596,0.854303,0.754378,0.483981,0.388678,0.491320,0.410198,0.388025,0.361347,0.287578,0.313630,0.297247,0.295228,0.019437,0.010391,0.031459,0.018382,0.035728,0.016110,0.041570,0.008234,0.007066,0.014982,0.032824,0.008136,0.012382,carolina
