@RELATION trained_models/pasos/mmse/snr_10/original_pasos_snr_10
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.031978,0.004141,3.062551,0.102065,0.164294,0.198218,0.006364,0.027505,-26.206250,2.798638,0.298182,0.221575,0.233997,0.431171,0.169234,0.092877,-0.013707,0.011654,-0.020726,0.108927,0.009470,0.015258,0.002394,0.038901,0.009263,0.078714,0.008539,0.057101,0.001459,0.004205,0.019393,0.034430,0.002326,0.028764,0.000123,0.000011,0.003934,0.000433,0.000517,0.000795,0.000048,0.000163,0.019809,-0.009377,-0.006005,0.003147,-0.004829,-0.001203,0.003844,0.002443,0.000520,0.001858,-0.001188,-0.004372,-0.002159,0.000036,0.000012,0.000092,0.000014,-0.000149,0.000054,-0.000253,0.000013,0.000015,0.000103,-0.000069,0.000050,-0.000074,0.008155,0.001717,0.147445,0.015783,0.019580,0.086849,0.002351,0.012594,0.535982,0.277234,0.215073,0.180358,0.180198,0.157963,0.148147,0.172608,0.155386,0.132266,0.144483,0.167939,0.167083,0.011931,0.002395,0.022704,0.008882,0.029196,0.006642,0.030919,0.001563,0.003851,0.013895,0.020671,0.001874,0.005803,0.011981,0.002356,0.191819,0.019584,0.024971,0.113390,0.002738,0.014546,0.567678,0.291932,0.237168,0.232765,0.230578,0.226841,0.202152,0.241679,0.197149,0.170753,0.189762,0.217680,0.210064,0.015670,0.003283,0.033395,0.012547,0.043219,0.009010,0.040479,0.001806,0.004813,0.019578,0.029087,0.002702,0.008057,carolina
0.026579,0.004153,3.021182,0.103367,0.167761,0.129234,0.006265,0.024646,-26.086065,2.715874,0.298481,0.307018,0.188723,0.419073,0.150427,0.099078,-0.008249,-0.022460,-0.024464,0.054771,0.011154,0.015414,0.001669,0.040478,0.010465,0.074690,0.010346,0.055862,0.001654,0.003055,0.020672,0.040147,0.002588,0.028456,0.000032,-0.000017,0.000745,-0.000175,-0.000151,0.000031,0.000047,0.000009,-0.004264,0.002829,0.000908,-0.002785,-0.002400,-0.004532,-0.002902,0.002224,-0.001051,-0.003185,-0.001506,0.000734,0.003185,0.000228,0.000006,0.000225,0.000056,-0.000724,0.000106,0.000091,-0.000018,0.000057,0.000096,0.000175,0.000014,-0.000100,0.007091,0.001541,0.166112,0.013410,0.018665,0.056039,0.002339,0.013212,0.726443,0.330198,0.267143,0.168957,0.190590,0.183215,0.171374,0.158744,0.156736,0.150661,0.134811,0.148167,0.150209,0.013075,0.001625,0.019149,0.008842,0.031882,0.007501,0.033748,0.001868,0.002480,0.016171,0.023644,0.002381,0.007049,0.008347,0.002137,0.227330,0.014844,0.023077,0.055447,0.002998,0.014050,0.720658,0.340298,0.314049,0.220260,0.222151,0.254732,0.221583,0.202975,0.230266,0.223458,0.191435,0.216446,0.203178,0.019351,0.002038,0.027162,0.012475,0.043353,0.011063,0.047219,0.002834,0.003412,0.023188,0.032346,0.003102,0.009147,carolina
0.025567,0.004024,3.022587,0.101037,0.164141,0.135960,0.006169,0.024446,-26.303033,2.729375,0.382377,0.283659,0.196734,0.348329,0.132292,0.141084,0.001802,0.066548,0.002683,0.036000,-0.012141,0.013224,0.002566,0.038730,0.008623,0.078894,0.008227,0.062144,0.001214,0.003604,0.019889,0.039385,0.002416,0.029916,-0.000041,-0.000014,0.001384,-0.000144,-0.000293,-0.000032,0.000043,-0.000027,-0.008267,0.000271,0.000573,0.001985,0.002113,0.001590,-0.001292,-0.000562,0.002182,0.001407,-0.000962,-0.002107,-0.001696,0.000121,0.000026,0.000013,0.000124,-0.000147,-0.000006,-0.000132,0.000007,-0.000021,0.000121,-0.000123,-0.000001,-0.000046,0.009021,0.002392,0.157825,0.011776,0.016393,0.080357,0.002495,0.014760,0.866436,0.411960,0.279462,0.168266,0.164158,0.160336,0.156874,0.144110,0.135864,0.152607,0.134618,0.132638,0.143127,0.011007,0.002612,0.020948,0.006147,0.031918,0.006855,0.036922,0.001328,0.003257,0.016177,0.024628,0.002302,0.007722,0.009491,0.003197,0.238257,0.014014,0.020102,0.075856,0.003613,0.015043,0.796431,0.382335,0.294608,0.217086,0.198888,0.212784,0.213656,0.173212,0.161067,0.214634,0.179292,0.181947,0.190419,0.016236,0.003592,0.031269,0.008395,0.040672,0.009383,0.049998,0.001436,0.004788,0.023820,0.032282,0.003207,0.009246,carolina
0.032060,0.010663,3.066096,0.099324,0.157979,0.181834,0.005985,0.028403,-24.641947,2.693678,0.213129,0.322608,0.204551,0.396712,0.108126,0.121141,-0.001218,0.012495,-0.007829,0.131424,-0.016017,0.014402,0.002503,0.039388,0.009193,0.077356,0.008683,0.053863,0.001128,0.004243,0.018910,0.036939,0.002679,0.028164,0.000104,0.000023,-0.000122,0.000090,0.000002,0.000680,0.000069,0.000091,0.007816,-0.004145,0.001069,0.003906,0.000411,0.001386,0.001132,0.000624,-0.001308,-0.007049,-0.000500,0.000514,-0.000940,0.000032,-0.000015,-0.000692,-0.000125,0.000438,0.000066,-0.000057,-0.000008,-0.000064,0.000003,-0.000152,-0.000004,-0.000016,0.007918,0.003290,0.124965,0.010483,0.015211,0.077487,0.002363,0.012421,0.572385,0.295457,0.249299,0.184032,0.169501,0.170141,0.167608,0.156308,0.164056,0.129454,0.153351,0.155929,0.137164,0.011502,0.002604,0.021291,0.006730,0.032024,0.006605,0.031230,0.001029,0.003424,0.013919,0.019123,0.001995,0.006300,0.011164,0.004418,0.187037,0.013683,0.020123,0.110437,0.002551,0.017944,0.636557,0.333977,0.324633,0.215272,0.223699,0.219949,0.237745,0.199131,0.196480,0.164446,0.171499,0.193592,0.175686,0.015793,0.003974,0.029876,0.008720,0.046208,0.009674,0.042559,0.001409,0.004847,0.018359,0.027635,0.002753,0.008906,carolina
0.026942,0.004363,3.049399,0.099731,0.162428,0.129623,0.006052,0.026661,-25.900020,2.698156,0.192247,0.265662,0.162460,0.456709,0.165640,0.114301,-0.033700,0.048855,0.013766,0.042906,-0.007009,0.013044,0.002342,0.044074,0.007911,0.076848,0.007504,0.054614,0.001770,0.004950,0.018101,0.038400,0.002516,0.029139,-0.000413,-0.000008,0.001701,-0.000258,0.000077,-0.001946,0.000050,0.000027,-0.000596,0.002855,-0.003042,-0.000804,-0.000871,-0.000309,0.001061,-0.002755,-0.002766,0.000779,-0.000286,-0.002183,0.002029,0.000203,0.000004,-0.000098,0.000040,-0.000367,0.000004,0.000660,0.000057,0.000021,-0.000101,-0.000082,-0.000018,0.000030,0.007103,0.001960,0.169072,0.011668,0.018086,0.050174,0.002385,0.010523,0.668073,0.277251,0.281520,0.189863,0.166052,0.182285,0.187511,0.151616,0.154397,0.148226,0.143666,0.128784,0.146387,0.009768,0.002379,0.025348,0.004763,0.031726,0.005337,0.034429,0.001856,0.003885,0.013411,0.022639,0.002187,0.006714,0.008630,0.002707,0.242029,0.015014,0.024639,0.055197,0.002811,0.013081,0.772511,0.310118,0.317090,0.249977,0.208801,0.235351,0.229111,0.190772,0.205608,0.193498,0.172874,0.173395,0.188749,0.013467,0.003232,0.036225,0.006421,0.041890,0.006129,0.048244,0.002447,0.004521,0.019099,0.031593,0.003142,0.009472,carolina
0.025758,0.011747,3.061424,0.099261,0.162478,0.124683,0.006604,0.024211,-24.676578,2.739697,0.288645,0.270892,0.220649,0.456760,0.188147,0.082282,-0.069392,0.027009,0.036220,0.077085,0.027631,0.014197,0.001977,0.045030,0.007486,0.076594,0.007732,0.057409,0.001409,0.004386,0.017751,0.041229,0.001916,0.029965,-0.000027,0.000060,-0.004758,0.000053,0.000078,-0.000222,0.000086,-0.000127,-0.001486,-0.001682,0.004109,0.003015,0.001521,0.001604,-0.002029,0.000603,0.005269,0.001374,-0.000783,-0.001454,0.000927,-0.000033,-0.000032,0.000187,-0.000001,0.000046,-0.000077,-0.000259,0.000002,-0.000058,0.000045,0.000517,0.000000,0.000100,0.006169,0.003412,0.120517,0.012370,0.015306,0.056163,0.002536,0.009052,0.556815,0.326415,0.253515,0.185357,0.173694,0.165486,0.178417,0.192469,0.177250,0.152826,0.125023,0.146828,0.142709,0.011556,0.001971,0.025166,0.006069,0.033667,0.005912,0.033545,0.001526,0.003232,0.012942,0.024238,0.001654,0.005976,0.008249,0.004379,0.167506,0.013971,0.020036,0.060724,0.003493,0.010795,0.595982,0.322712,0.277436,0.225746,0.237590,0.212481,0.235769,0.267144,0.243913,0.202766,0.173584,0.199011,0.178167,0.017876,0.002701,0.035759,0.009068,0.051467,0.008434,0.049700,0.001898,0.004448,0.019386,0.034410,0.001998,0.008858,carolina
0.025517,0.004259,3.049239,0.100678,0.164502,0.127871,0.006598,0.022731,-26.169095,2.771964,0.334712,0.278601,0.177971,0.373567,0.124376,0.131307,0.006323,0.017238,-0.011114,0.023351,-0.006958,0.015915,0.002316,0.045937,0.008015,0.069404,0.008658,0.062407,0.001067,0.003892,0.017759,0.045056,0.002733,0.029705,0.000032,-0.000065,0.001369,0.000275,0.000643,-0.001706,0.000045,-0.000572,-0.026994,0.011245,0.001930,-0.003632,0.000440,-0.000077,0.007031,-0.003228,0.000607,0.001698,-0.002362,-0.000786,0.000440,0.000150,-0.000053,0.000354,-0.000037,-0.000119,0.000012,0.000600,0.000009,-0.000100,-0.000010,0.000070,-0.000012,0.000063,0.007658,0.002025,0.167436,0.015211,0.020384,0.056506,0.002659,0.010185,0.743611,0.346865,0.279153,0.181591,0.181619,0.184678,0.163882,0.149701,0.176113,0.134886,0.167987,0.129281,0.148474,0.012483,0.002910,0.023065,0.005416,0.032076,0.006223,0.039690,0.001056,0.003611,0.011217,0.025444,0.002843,0.007556,0.009632,0.002772,0.255255,0.019954,0.026168,0.064634,0.003372,0.011128,0.775600,0.387995,0.343497,0.238437,0.206922,0.234870,0.216766,0.202572,0.252073,0.181122,0.217158,0.179310,0.181661,0.017181,0.004253,0.031577,0.007094,0.046562,0.008816,0.057452,0.001463,0.004740,0.016829,0.033136,0.004093,0.010446,carolina
0.025535,0.004361,3.009896,0.101007,0.164243,0.131866,0.005976,0.023475,-26.216532,2.730913,0.371685,0.289011,0.179659,0.395886,0.107424,0.096226,-0.039763,0.019595,-0.009818,0.050655,0.005485,0.017486,0.002669,0.049896,0.009035,0.074677,0.007510,0.049444,0.001666,0.004091,0.018561,0.039801,0.002470,0.028802,0.000100,-0.000065,0.003852,0.000166,0.000248,0.001889,0.000089,-0.000209,-0.007611,0.002005,0.007239,-0.005620,0.001903,-0.007282,-0.000688,0.005145,-0.001516,-0.001163,-0.004292,-0.000086,-0.000210,0.000083,0.000024,-0.000108,0.000083,0.000170,-0.000149,0.000468,-0.000066,0.000063,-0.000201,-0.000088,0.000017,0.000107,0.007729,0.002893,0.246143,0.011666,0.018713,0.069610,0.002336,0.014150,0.955983,0.368681,0.292215,0.210949,0.162560,0.171270,0.169395,0.167393,0.158681,0.141550,0.152177,0.129886,0.141182,0.011571,0.003204,0.024840,0.006937,0.034287,0.005654,0.031285,0.002132,0.003721,0.013224,0.026225,0.002092,0.007263,0.009869,0.003299,0.341789,0.016162,0.021786,0.075780,0.003365,0.013550,0.798528,0.346494,0.300083,0.270469,0.206827,0.207688,0.189239,0.228888,0.219731,0.198010,0.184173,0.177213,0.168899,0.017400,0.003850,0.029561,0.009553,0.041461,0.008159,0.040860,0.002481,0.004693,0.018418,0.031497,0.002698,0.008789,carolina
0.033498,0.004830,3.054669,0.102709,0.162495,0.200256,0.005580,0.032523,-25.661962,2.577580,0.172478,0.297505,0.161652,0.357900,0.077781,0.094914,0.012224,0.014582,-0.006958,0.137537,0.008067,0.013214,0.002820,0.046710,0.008281,0.057705,0.010306,0.062367,0.001553,0.005273,0.019156,0.042531,0.003148,0.027824,0.000045,-0.000017,0.003635,0.000344,0.000462,0.000582,0.000066,0.000091,-0.004237,-0.003436,0.000113,0.000519,0.001654,0.005526,-0.004212,-0.001770,0.001064,0.001839,0.001638,-0.000474,-0.000712,-0.000003,-0.000023,0.000069,-0.000009,0.000627,-0.000035,-0.000138,-0.000014,-0.000005,-0.000162,-0.000579,-0.000011,0.000046,0.008581,0.002720,0.209098,0.012693,0.019224,0.078026,0.002140,0.015606,0.878259,0.405036,0.285158,0.181001,0.197928,0.194885,0.156654,0.145714,0.183312,0.148371,0.133508,0.145235,0.154754,0.010665,0.002370,0.025406,0.005710,0.030552,0.007060,0.037098,0.001892,0.004607,0.014959,0.025421,0.002843,0.007687,0.010760,0.003324,0.303769,0.017567,0.026476,0.094939,0.002677,0.015684,0.848677,0.383767,0.326978,0.246443,0.258512,0.277778,0.211512,0.200642,0.217999,0.214419,0.186269,0.189956,0.191773,0.015701,0.003056,0.034472,0.008587,0.040198,0.009574,0.046147,0.002423,0.006612,0.022168,0.032789,0.003675,0.009826,carolina
0.027178,0.006173,3.058603,0.098776,0.161476,0.128183,0.006125,0.027786,-25.407398,2.709958,0.232643,0.256659,0.121160,0.463529,0.164244,0.086188,-0.058421,0.024057,0.015635,0.068280,-0.001027,0.014057,0.002554,0.040335,0.009874,0.070218,0.009863,0.059927,0.001692,0.005570,0.016864,0.042340,0.002183,0.028154,0.000086,0.000000,-0.001673,-0.000102,-0.000153,-0.000155,0.000031,-0.000073,-0.002269,0.000428,0.001555,-0.002070,0.003003,0.000095,-0.003633,-0.002834,0.001160,-0.000686,0.003816,-0.001617,0.001004,-0.000061,-0.000013,-0.000695,-0.000142,-0.000284,0.000020,0.000309,0.000004,0.000025,-0.000025,0.001008,0.000020,-0.000007,0.006358,0.001996,0.132901,0.012567,0.017537,0.056702,0.002069,0.012168,0.590208,0.360355,0.267638,0.223678,0.179318,0.166676,0.160483,0.176515,0.154462,0.145532,0.147952,0.142206,0.147680,0.012153,0.002622,0.020738,0.007519,0.027979,0.008178,0.035527,0.002042,0.005709,0.012064,0.023512,0.001786,0.006206,0.007849,0.002575,0.188970,0.014179,0.022075,0.068668,0.002421,0.015713,0.657520,0.359848,0.333742,0.252776,0.232079,0.216565,0.206075,0.218930,0.213130,0.217247,0.213015,0.192438,0.194816,0.017945,0.003518,0.030735,0.011362,0.037929,0.010545,0.048343,0.002760,0.006840,0.016936,0.035053,0.002592,0.008033,carolina
