@RELATION trained_models/pasos/weiner/snr_-5/original_pasos_snr_-5
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {carolina,joseline}

@DATA
0.060912,0.017520,3.189949,0.102252,0.147341,0.460938,0.005961,0.099773,-23.295071,2.355449,-0.355995,-0.166172,-0.084873,0.302664,0.163924,0.006198,-0.008370,-0.010166,-0.004238,0.163112,0.031011,0.011632,0.009012,0.019322,0.010555,0.033848,0.019555,0.032606,0.004880,0.011303,0.013183,0.016622,0.005130,0.014685,0.000014,0.000078,0.004410,0.000148,0.000195,0.000594,0.000060,0.000172,0.039387,-0.006171,-0.007461,-0.002802,-0.008729,-0.004721,0.003621,0.001165,0.000464,-0.000036,-0.002269,-0.001091,-0.000310,-0.000009,0.000059,0.000149,0.000102,-0.000465,0.000079,-0.000616,0.000028,0.000028,0.000011,0.000037,0.000039,-0.000159,0.015704,0.006358,0.091288,0.015158,0.019967,0.155251,0.002195,0.028965,0.592791,0.322546,0.296785,0.216066,0.259994,0.205875,0.195673,0.192751,0.193353,0.178608,0.174489,0.196815,0.179055,0.008311,0.009225,0.014149,0.008740,0.016644,0.016226,0.018089,0.006310,0.012349,0.007592,0.010583,0.004946,0.004968,0.022899,0.008223,0.109268,0.018342,0.026421,0.194190,0.002376,0.036960,0.586345,0.324319,0.280659,0.256094,0.288775,0.254968,0.261469,0.246788,0.248317,0.229439,0.202436,0.248095,0.205478,0.010058,0.012722,0.018748,0.012145,0.020436,0.020904,0.022792,0.007703,0.014778,0.011431,0.014182,0.007120,0.006505,carolina
0.036388,0.015853,3.161646,0.098337,0.152005,0.190173,0.005451,0.042505,-23.236295,2.419467,-0.266382,-0.094964,-0.099511,0.301387,0.159778,0.046276,-0.046679,-0.071432,-0.035305,0.040243,0.016369,0.017100,0.005438,0.028319,0.018855,0.037878,0.018127,0.030017,0.005594,0.006464,0.018425,0.024642,0.007698,0.016448,0.000095,-0.000009,-0.000129,-0.000119,-0.000332,0.000877,0.000072,0.000118,0.002177,-0.004023,-0.001041,-0.001324,-0.002700,-0.011004,-0.006174,0.002218,-0.001468,-0.000634,-0.001051,0.000395,0.003239,0.000050,0.000022,0.000565,0.000067,-0.000522,0.000142,0.000024,-0.000038,0.000032,-0.000009,-0.000166,0.000028,0.000011,0.006905,0.005447,0.083873,0.013519,0.021249,0.084371,0.001876,0.015414,0.413052,0.255358,0.270980,0.223700,0.229030,0.218888,0.196937,0.196424,0.183559,0.189860,0.159935,0.175854,0.155030,0.012081,0.006503,0.016572,0.016073,0.018152,0.012045,0.015653,0.006732,0.005267,0.011784,0.015198,0.008038,0.004087,0.007608,0.006403,0.120948,0.015914,0.025464,0.089093,0.002375,0.017434,0.437728,0.286600,0.316438,0.257556,0.251002,0.284239,0.240290,0.198162,0.244149,0.241325,0.221798,0.218300,0.197328,0.016146,0.008375,0.020377,0.022450,0.023564,0.015629,0.021839,0.009604,0.006874,0.015356,0.020236,0.010646,0.005544,carolina
0.034787,0.009052,3.150457,0.099946,0.157020,0.182444,0.005255,0.039782,-24.042231,2.456855,-0.149544,-0.028226,-0.144390,0.251873,0.168660,0.102294,-0.010344,0.016355,-0.017830,0.046650,-0.034737,0.020180,0.009552,0.025775,0.012483,0.040401,0.014660,0.036269,0.004458,0.007530,0.019937,0.025497,0.005835,0.016652,-0.000027,-0.000063,-0.000031,-0.000216,-0.000423,-0.000280,0.000043,-0.000054,-0.011122,0.000431,-0.002437,0.002891,0.002806,0.004557,-0.001494,-0.003149,0.001971,0.002292,-0.000289,0.000278,-0.000456,0.000050,0.000085,0.000011,-0.000039,-0.000018,-0.000024,0.000067,0.000376,-0.000043,-0.000155,-0.000065,-0.000009,0.000013,0.006191,0.002846,0.099830,0.013140,0.020304,0.061619,0.001481,0.011585,0.513585,0.273907,0.279828,0.187221,0.211318,0.175219,0.164058,0.166928,0.182583,0.151463,0.188940,0.180490,0.146103,0.014954,0.011004,0.014298,0.009182,0.015140,0.010796,0.018172,0.004957,0.005609,0.014130,0.013637,0.004492,0.004260,0.008353,0.003285,0.153442,0.015172,0.025683,0.078813,0.001946,0.014338,0.525211,0.318578,0.323247,0.234892,0.231832,0.211344,0.229178,0.207226,0.215451,0.203172,0.227463,0.236914,0.207510,0.019587,0.014912,0.019939,0.013429,0.021412,0.014212,0.023409,0.006177,0.008135,0.017893,0.017974,0.006031,0.005571,carolina
0.053380,0.036795,3.193603,0.098538,0.144177,0.377416,0.005164,0.089328,-22.010215,2.268702,-0.394530,-0.031741,-0.112024,0.291030,0.081077,0.093359,0.038113,-0.013067,-0.048116,0.168762,-0.058573,0.015575,0.007948,0.020900,0.010751,0.031674,0.017020,0.028084,0.003562,0.010066,0.017951,0.021274,0.008707,0.013397,0.000141,0.000350,0.000106,0.000143,-0.000088,0.001836,0.000041,0.000290,0.018325,-0.002342,0.001331,0.000031,-0.004023,-0.003236,-0.001746,-0.001285,0.000060,-0.005705,0.001860,-0.000136,0.001095,-0.000163,-0.000014,-0.000315,0.000051,-0.000135,0.000274,-0.000343,-0.000003,-0.000138,-0.000021,-0.000088,0.000026,-0.000076,0.013730,0.009132,0.056760,0.011773,0.017296,0.144860,0.001473,0.038573,0.374099,0.229043,0.232120,0.187548,0.204641,0.208114,0.192611,0.188964,0.183281,0.169741,0.199466,0.184084,0.159556,0.010683,0.006937,0.011224,0.008361,0.016764,0.012425,0.012727,0.003628,0.008467,0.011606,0.012859,0.007142,0.003566,0.019851,0.010809,0.085134,0.014881,0.023525,0.188300,0.001740,0.057657,0.380911,0.269004,0.281957,0.239986,0.251543,0.243195,0.261232,0.215842,0.211140,0.210143,0.220195,0.233898,0.203408,0.014909,0.009626,0.015229,0.010775,0.023203,0.017140,0.017380,0.004834,0.010377,0.016239,0.017844,0.009345,0.004778,carolina
0.036892,0.019302,3.178082,0.093811,0.141840,0.200643,0.005391,0.048203,-22.870161,2.322917,-0.385784,-0.127844,-0.192418,0.348500,0.136568,0.046985,-0.047401,0.000651,-0.003487,0.073605,-0.018525,0.013638,0.006505,0.023981,0.015807,0.032367,0.019252,0.031883,0.005624,0.013790,0.015502,0.021440,0.005537,0.015176,-0.000544,-0.000006,-0.001271,-0.000645,0.000009,-0.009207,0.000069,-0.001633,-0.001332,0.004000,-0.003513,-0.002109,-0.000783,-0.000016,0.001467,-0.003361,-0.000034,0.005436,0.001952,-0.002222,0.000409,0.000176,0.000040,-0.000064,-0.000123,-0.000070,-0.000080,0.000876,0.000189,0.000016,0.000140,-0.000133,-0.000000,0.000202,0.007886,0.004997,0.110983,0.015765,0.021420,0.108924,0.001434,0.017822,0.421029,0.265653,0.278822,0.202447,0.230299,0.221592,0.229762,0.178721,0.174954,0.186706,0.157431,0.162892,0.172355,0.009749,0.006275,0.013897,0.010177,0.015931,0.016647,0.019375,0.006463,0.015724,0.010636,0.011560,0.004475,0.004598,0.008347,0.006184,0.153309,0.017566,0.028600,0.091667,0.001650,0.018630,0.507757,0.325799,0.315355,0.257663,0.267747,0.268509,0.265404,0.205047,0.225550,0.232379,0.192504,0.206056,0.208590,0.013661,0.009638,0.018893,0.013351,0.022958,0.017246,0.022749,0.009066,0.016386,0.014701,0.014650,0.005701,0.006072,carolina
0.034669,0.029641,3.181490,0.093742,0.147116,0.178040,0.005837,0.044410,-22.431071,2.386494,-0.341403,-0.095518,-0.134459,0.342843,0.176168,0.014572,-0.053505,-0.031000,0.025222,0.107028,0.051042,0.013494,0.007673,0.023711,0.012715,0.038361,0.019240,0.035133,0.004484,0.011989,0.012615,0.021062,0.005530,0.016132,0.000082,-0.000487,-0.001092,0.000105,0.000068,0.000465,0.000068,0.000082,-0.008810,-0.001531,0.002549,0.004055,0.003215,0.003032,-0.001963,0.000523,0.005502,0.001116,-0.001254,-0.002132,0.001901,-0.000068,0.000002,0.000191,0.000064,0.000280,0.000034,-0.000487,0.000026,-0.000027,0.000110,0.000575,0.000043,0.000024,0.006320,0.011811,0.065436,0.014063,0.021660,0.087469,0.001743,0.017311,0.420170,0.274179,0.302258,0.255676,0.240565,0.197238,0.195348,0.219495,0.199119,0.172610,0.140643,0.167828,0.156627,0.010040,0.008533,0.013014,0.011585,0.020507,0.015189,0.016520,0.005855,0.010647,0.008358,0.013933,0.004711,0.004462,0.007797,0.013185,0.085673,0.017016,0.026295,0.090494,0.002252,0.018153,0.420634,0.286652,0.337575,0.283537,0.278367,0.229528,0.238230,0.280386,0.249317,0.200446,0.163812,0.212162,0.200924,0.013391,0.010701,0.017184,0.015601,0.026348,0.020495,0.023006,0.008143,0.012604,0.012428,0.019640,0.006202,0.006204,carolina
0.034138,0.013682,3.156231,0.095061,0.149793,0.171274,0.005686,0.038630,-23.485458,2.492585,-0.210991,-0.068633,-0.161483,0.259093,0.149810,0.099016,-0.064961,-0.040582,-0.032497,0.020776,-0.018516,0.019874,0.006758,0.029842,0.016875,0.036331,0.014992,0.032984,0.004002,0.007683,0.018526,0.027227,0.007565,0.017080,0.000086,-0.000099,-0.000349,0.000050,0.000231,-0.001120,0.000045,-0.000073,-0.006680,0.003240,-0.006890,-0.003633,-0.000310,-0.002392,0.007094,-0.001019,0.002941,0.002240,-0.000480,-0.001900,-0.001394,0.000107,-0.000004,0.000027,-0.000211,-0.000621,0.000098,0.000399,0.000088,-0.000150,-0.000131,-0.000013,0.000058,-0.000102,0.005921,0.004893,0.108794,0.014570,0.022124,0.064028,0.002073,0.010245,0.439942,0.244795,0.253660,0.220709,0.231099,0.205890,0.179597,0.192569,0.197942,0.177728,0.183025,0.141238,0.167053,0.015137,0.009141,0.018348,0.012216,0.020212,0.011355,0.018281,0.004867,0.005338,0.012304,0.015854,0.006694,0.005085,0.007819,0.006252,0.144493,0.017534,0.027441,0.075138,0.002410,0.012933,0.508211,0.302553,0.308427,0.243829,0.255165,0.240547,0.232492,0.218351,0.258507,0.220549,0.239064,0.201536,0.207080,0.020915,0.012930,0.020901,0.016201,0.027943,0.014998,0.027270,0.006297,0.007147,0.016749,0.019408,0.009179,0.006729,carolina
0.034469,0.008753,3.136876,0.098703,0.155776,0.177981,0.004914,0.040064,-24.036990,2.443300,-0.175527,-0.013695,-0.145027,0.313761,0.121777,0.070262,-0.021921,0.009813,-0.024023,0.058186,-0.037589,0.022297,0.007670,0.029533,0.011685,0.040088,0.015673,0.033381,0.005526,0.008287,0.018647,0.024468,0.006135,0.016308,0.000082,-0.000147,-0.000445,0.000266,0.000394,0.001608,0.000041,-0.000045,-0.012378,0.001445,0.007069,-0.003855,0.001308,-0.004167,-0.002332,0.002062,0.000883,-0.000039,-0.002767,-0.000399,-0.000084,0.000032,0.000044,-0.000095,0.000114,0.000118,0.000020,0.000280,-0.000137,0.000098,-0.000003,-0.000051,-0.000045,0.000067,0.006425,0.003334,0.160924,0.014345,0.021991,0.055229,0.001374,0.010871,0.562768,0.264383,0.254351,0.195603,0.214367,0.198538,0.181429,0.167035,0.171544,0.176518,0.197518,0.159348,0.170530,0.014453,0.008320,0.014738,0.007907,0.021101,0.010576,0.016453,0.006398,0.005951,0.011717,0.013102,0.004537,0.004264,0.008445,0.003972,0.220125,0.018889,0.028230,0.067158,0.001805,0.012666,0.524668,0.295571,0.273589,0.239978,0.249377,0.222275,0.234600,0.233786,0.215763,0.246715,0.225730,0.218834,0.213968,0.021020,0.010661,0.019688,0.010808,0.028805,0.014488,0.022255,0.008958,0.007734,0.016883,0.017546,0.006432,0.005489,carolina
0.057210,0.024937,3.196770,0.099952,0.146059,0.402507,0.005346,0.095708,-22.536130,2.248251,-0.392497,-0.065160,-0.145328,0.237599,0.085309,0.083986,0.034225,-0.028796,-0.085182,0.173601,-0.034722,0.014065,0.007978,0.022051,0.012598,0.024173,0.019962,0.028041,0.004032,0.009452,0.018938,0.021894,0.008258,0.013117,0.000032,0.000048,0.000354,0.000257,0.000519,-0.000094,0.000053,-0.000018,0.007261,0.000242,-0.002974,-0.002449,-0.002378,0.000362,-0.005192,0.000383,0.003992,-0.000037,-0.000759,0.001045,0.001779,-0.000013,0.000004,0.000185,0.000173,0.000088,0.000065,-0.000221,-0.000010,0.000009,0.000023,-0.000438,0.000039,-0.000058,0.017618,0.007443,0.066370,0.012915,0.019793,0.163800,0.001487,0.041656,0.517281,0.239988,0.235888,0.196501,0.230896,0.212192,0.176795,0.182567,0.224264,0.172443,0.174034,0.170548,0.162316,0.009742,0.006602,0.012103,0.009884,0.013373,0.016350,0.011380,0.005012,0.007655,0.012064,0.013543,0.007222,0.003351,0.022701,0.008039,0.091771,0.016265,0.027575,0.190715,0.001670,0.055748,0.515012,0.285664,0.238591,0.275102,0.258359,0.288515,0.226878,0.225706,0.229969,0.236757,0.226976,0.207261,0.190680,0.012375,0.008968,0.015438,0.012350,0.017127,0.022791,0.014279,0.005765,0.010274,0.016941,0.019089,0.008559,0.004652,carolina
0.035522,0.031640,3.184367,0.090888,0.143030,0.159434,0.005718,0.042414,-22.295148,2.401386,-0.419123,-0.138530,-0.227141,0.337709,0.171871,0.003393,-0.066550,-0.004144,0.013202,0.084328,-0.009377,0.014561,0.007104,0.021996,0.015511,0.028576,0.021280,0.033025,0.006121,0.014695,0.014203,0.022185,0.005107,0.015391,-0.000073,-0.000042,0.000432,-0.000150,-0.000223,0.000247,0.000039,-0.000036,-0.006082,-0.003411,0.004373,0.001308,0.003268,0.001470,-0.002126,-0.003773,-0.003563,0.000351,0.002975,-0.001538,0.000666,-0.000085,-0.000083,-0.000335,-0.000171,-0.000017,0.000002,0.000172,-0.000038,0.000028,-0.000122,0.000774,0.000008,0.000080,0.006799,0.009438,0.060082,0.014711,0.021829,0.077549,0.001519,0.013201,0.400272,0.274822,0.281922,0.222139,0.203297,0.190744,0.177971,0.194416,0.177720,0.183275,0.160515,0.174620,0.169321,0.011903,0.006755,0.010564,0.011690,0.013372,0.018645,0.018016,0.008460,0.018597,0.010065,0.014942,0.004236,0.004413,0.008136,0.009713,0.091398,0.015499,0.026417,0.090205,0.001676,0.016520,0.388947,0.299302,0.290622,0.236263,0.249126,0.240299,0.222119,0.246154,0.228680,0.232566,0.208021,0.214286,0.211733,0.016986,0.009452,0.013325,0.015814,0.016654,0.023535,0.024332,0.011050,0.020638,0.014877,0.019321,0.005936,0.006019,carolina
